																																																	
can-be-part	plant	be	biotic																																														
can-be-part	plant	be	substance																																														
																																																	
part	plant	part	vascular-plant																																														
part	vascular-plant	part	seed-bearing-plant																																														
part	vascular-plant	part	creeping-plant																																														
part	seed-bearing-plant	part	tree																																														
part	seed-bearing-plant	part	evergreen-plant																																														
part	seed-bearing-plant	part	flowering-plant																																														
part	flowering-plant	part	fruit-bearing-plant																																														
																																																	
can-be-part	vascular-plant	can-be-part	plant																																														
can-be-part	seed-bearing-plant	can-be-part	vascular-plant																																														
can-be-part	creeping-plant	can-be-part	vascular-plant																																														
can-be-part	tree	can-be-part	seed-bearing-plant																																														
can-be-part	evergreen-plant	can-be-part	seed-bearing-plant																																														
can-be-part	flowering-plant	can-be-part	seed-bearing-plant																																														
can-be-part	fruit-bearing-plant	can-be-part	flowering-plant																																														
																																																	
be	vascular-plant	has-part	leaf																																														
be	vascular-plant	has-part	stem																																														
be	vascular-plant	has-part	root																																														
be	vascular-plant	has-part	tuber																																														
be	vascular-plant	has-part	sap																																														
be	vascular-plant	has-part	bean																																														
																																																	
be	leaf	part	vascular-plant																																														
be	stem	part	vascular-plant																																														
be	root	part	vascular-plant																																														
be	tuber	part	"vascular-plant	"																																														
be	bean	part	vascular-plant																																														
be	sap	part	"vascular-plant	"																																														
																																																	
be	leaf	be	solid																																														
be	stem	be	solid																																														
be	root	be	solid																																														
be	tuber	be	solid																																														
be	bean	be	solid																																														
be	sap	be	liquid																																														
																																																	
be	creeping-plant	has-part	vine																																														
																																																	
be	vine	part	creeping-plant																																														
																																																	
be	vine	be	solid																																														
be	vine	can	grow																																														
be	vine	has-trait	length																																														
																																																	
be	seed-bearing-plant	has-part	seed																																														
be	seed-bearing-plant	has-part	nut																																														
																																																	
be	seed	part	seed-bearing-plant																																														
be	nut	part	seed-bearing-plant																																														
																																																	
be	seed	be	solid																																														
be	nut	be	solid																																														
																																																	
be	tree	has-part	wood																																														
																																																	
be	wood	part	tree																																														
be	wood	be	solid																																														
																																																	
be	evergreen-plant	has-part	cone																																														
be	evergreen-plant	has-part	needle																																														
																																																	
be	cone	part	evergreen-plant																																														
be	needle	part	evergreen-plant																																														
																																																	
