dictionary	vortaro
aircraft	aerveturilo
airplane	avio
airplane	aviadilo
airplane	flugmaŝino
edit	ŝanĝo
edit	modifo
edit	adapto
edit	ŝanĝi
edit	modifi
edit	adapti
edit	redakti
image	bildo
numb	sensenta
fulcrum	apogpunkto
andrew	Andreo
zeroth	nula
zeroth	nulaj
silica	siliko
methane	metano
quadrillion	duiliardo
quadrillion	kvariliono
physics	fiziko
labour	akuŝpeno
mammary gland	laktoglando
breast	mamo
osmosis	osmozo
window	fenestro
window	intervalo
hardware	aparataro
firearm	pafilo
refresh	revigligi
refresh	aktualigi
memory	memoro
execute	ekzekuti
execute	plenumi
capitol	kapitolo
rifle	fusilo
twenty-one	dudek unu
twenty-two	dudek du
twenty-three	dudek tri
twenty-four	dudek kvar
twenty-five	dudek kvin
twenty-six	dudek ses
twenty-seven	dudek sep
twenty-eight	dudek ok
twenty-nine	dudek naŭ
essential	esenca
extreme	ekstrema
extreme	plej fora
extreme	ekstremo
search	serĉo
search	serĉi
parliament	deputitejo
parliament	parlamento
tired	laca
ps	p.s.
handbook	manlibro
lullaby	lulkanto
ruin	ruino
aka	a.k.k.
damp	malseketa
damp	amortizi
australian	aŭstraliano
australian	aŭstralia
photography	fotarto
waterfowl	akvobirdo
hence	tial
hence	do
gaelic	gaela
autocrat	aŭtokrato
sense	sentumo
nuance	nuanco
oops	ups
oops	oj
hey	he
hey	hej
put up with	elteni
put up with	toleri
put out	eligi
put out	forigi
put out	produkti
put out	misfleksi
put out	estingi
put out	konsenti
put on	surmeti
hispanicize	hispanigi
trustworthy	fidinda
order	ordo
order	ordono
order	mendo
order	ordeno
order	aranĝi
order	ordigi
order	ordoni
order	mendi
untrustworthy	malfidinda
feeler	anteno
hyperlink	ligilo
put away	formeti
call	voko
call	alvoko
call	voki
call	telefoni
magic	iluzio
magic	magio
magic	magia
splash	plaŭdo
uh-oh	aĉ
aha	aha
aha	ha
oh no	ve
kick wheel	potfarilo
sea	maro
hold on	alteniĝi
hang on	alkroĉiĝi
hang on	alkroĉi sin
jaguar	jaguaro
rot	putri
cd	KD
cd-rom	KD-NLM
subtraction	subtraho
division	divido
division	dividado
division	divizio
elf	elfo
eve	antaŭvespero
nil	nenio
ogre	ogro
kimono	kimono
duo	duopo
syzygy	sizigio
eclipse	eklipso
legend	legendo
legend	legendulo
sequel	daŭrigo
intermission	interakto
moo	muĝi
moo	mu
alpha	alfo
beta	beto
beta	beta
gamma	gamo
download	elŝuti
annexation	anekso
astronomy	astronomio
giraffe	ĝirafo
cloudlet	nubeto
without	sen
delta	delto
epsilon	epsilono
zeta	zeto
digamma	digamo
fried egg	fritita ovo
labyrinth	labirinto
lunar	luna
universe	universo
downstairs	subŝtupare
downstairs	malsupre
upstairs	superŝtupara
upstairs	superŝtupare
dancer	dancisto
dancer	virdancisto
dancer	dancistino
dawn	tagiĝo
athens	Ateno
idea	ideo
christianize	kristanigi
sardinian	sardo
sardinian	sardino
moscow	Moskvo
theta	teto
iota	joto
trigonometry	trigonometrio
quadratic	kvadrata
sphere	sfero
polyhedron	pluredro
graph	grafeo
beverage	trinkaĵo
tibetan	tibetano
tibetan	tibetanino
tibetan	tibeta lingvo
melody	melodio
motorcycle	motorbiciklo
motorcycle	motorciklo
polygyny	poligamio
mollusc	molusko
peruvian	peruano
peruvian	peruanino
peruvian	Perua
defendant	akuzito
defendant	akuzitino
civil law	civila kodo
plaintiff	plendanto
okapi	okapio
taxonomy	taksonomio
genus	genro
helium	heliumo
helium	helio
feather	plumo
chaos	ĥaoso
chaos	kaoso
at sign	heliko
ampersand	kaj-signo
carbon	karbono
asterisk	steleto
asterisk	asterisko
semicolon	punktokomo
paragraph	alineo
centimetre	centimetro
millimetre	milimetro
decimetre	decimetro
twice	dufoje
thrice	trifoje
once	unufoje
once	iama
once	iam
prom	balo
prom	abiturienta balo
café	kafejo
lambda	lambdo
california	Kalifornio
gift	donaco
fuel	brulaĵo
ashkenazi	aŝkenaza
ashkenazi	aŝkenazo
crazy	freneza
xi	ksio
premier	ĉefministro
premier	ministroprezidanto
premier	premiero
salty	sala
kilometre	kilometro
event horizon	eventa horizonto
atom	atomo
nucleus	kerno
nucleus	nukleo
pressure	premo
area	areo
area	ejo
mile	mejlo
archduke	arkiduko
archduke	ĉefduko
archduchess	arkidukino
mayoress	urbestrino
echo	eĥo
sonar	sonaro
milligram	miligramo
lithium	litio
beryllium	berilio
boron	boro
fluorine	fluoro
neon	neono
magnesium	magnezio
aluminium	aluminio
phosphorus	fosforo
sulfur	sulfuro
argon	argono
calcium	kalcio
scandium	skandio
titanium	titanio
vanadium	vanadio
chromium	kromo
manganese	mangano
cobalt	kobalto
gallium	galio
gallium	galiumo
germanium	germaniumo
arsenic	arseno
arsenic	arseniko
selenium	seleno
bromine	bromo
krypton	kriptono
rubidium	rubidio
strontium	stroncio
yttrium	itrio
zirconium	zirkonio
niobium	niobo
niobium	niobio
molybdenum	molibdeno
technetium	teknecio
technetium	teĥnecio
ruthenium	rutenio
rhodium	rodio
cadmium	kadmio
indium	indio
antimony	antimono
iodine	jodo
iodine	iodo
xenon	ksenono
caesium	cezio
barium	bario
cerium	cerio
promethium	prometio
samarium	samario
europium	eŭropio
gadolinium	gadolinio
terbium	terbio
dysprosium	disprozio
holmium	holmio
erbium	erbio
thulium	tulio
ytterbium	iterbio
lutetium	lutecio
hafnium	hafnio
rhenium	renio
osmium	osmio
iridium	iridio
mercury	hidrargo
thallium	talio
polonium	polonio
radon	radono
francium	franciumo
radium	radiumo
actinium	aktinio
thorium	torio
protactinium	protaktinio
neptunium	neptunio
plutonium	plutonio
americium	americio
curium	kuriumo
berkelium	berkelio
californium	kaliforniumo
einsteinium	ejnŝtejnio
fermium	fermio
mendelevium	mendelevio
nobelium	nobelio
lawrencium	laŭrencio
rutherfordium	ruterfordio
dubnium	dubnio
seaborgium	seborgio
bohrium	borio
hassium	hasio
meitnerium	mejtnerio
roentgenium	rentgenio
ununbium	ununbio
ununtrium	ununtrio
ununquadium	ununkvadio
ununpentium	ununpentio
ununhexium	ununheksio
ununseptium	ununseptio
ununoctium	ununoktio
scandinavian	skandinavo
scandinavian	skandinavino
astatine	astato
canoe	kanuo
canoe	kanoto
influence	influo
influence	influi
dignity	digno
esteem	alttaksi
sexual	seksa
sexual	amora
foreplay	antaŭludo
intercourse	koito
intercourse	sekskuniĝo
heatwave	varmondo
artificial intelligence	artefarita inteligenteco
cassowary	kazuaro
emu	emuo
extraterrestrial	ekstertera
extraterrestrial	eksterterano
ar	ro
cookbook	kuirlibro
deuterium	deŭterio
fencing	skermo
declaration	deklaracio
declaration	deklaro
titan	titano
escudo	eskudo
croissant	korna bulko
croissant	lunarka bulko
omicron	omikrono
arcadia	Arkadio
screw	ŝraŭbo
screw	helico
screw	fiki
lombardy	Lombardujo
republican	respublikisma
republican	respublika
democrat	demokrato
half	duona
half	duono
cast pearls before swine	ĵeti perlojn antaŭ la porkojn
jaundice	iktero
jaunty	fajna
jaunty	pimpa
envy	envii
rho	roto
milkshake	laktoskuaĵo
crosswalk	transirejo
albert	Alberto
lexicon	leksikono
tool	laborilo
omega	omego
hook	hoko
hook	krampo
simoom	samumo
rhine	Rejno
generator	generatoro
generator	generilo
condom	kondomo
condom	preventilo
condom	penisingo
fire engine	fajropumpilo
jet engine	jetmotoro
cowardice	malkuraĝeco
shoulder blade	skapolo
razor blade	razoklingo
quintillion	triiliono
quintillion	kviniliono
town	urbo
brittany	Bretonio
christian name	baptonomo
breton	bretono
breton	[[bretona]] [[lingvo]]
ceramic	ceramika
ceramic	ceramiko
champion	ĉampiono
champion	ĉampionino
truth	vero
truth	vereco
truth	veraĵo
eukaryote	eŭkariotoj
texan	teksasa
texan	teksasano
texan	teksasanino
intelligent	inteligenta
assume	supozi
assume	alpreni
assume	akcepti
tepid	varmeta
expose	elmeti
expose	eksponi
floridian	floridano
floridian	floridanino
online	interreta
online	enreta
piedmontese	piemontano
piedmontese	piemontanino
virginian	virgino
virginian	virginino
tailor	tajloro
tailor	virtajloro
tailor	tajlorino
tailor	kudristo
profit	profito
fertilizer	sterko
fertilizer	ĥemia fekundilo
fertilizer	kemia fekundilo
monopoly	monopolo
feasible	farebla
education	eduko
education	edukado
awareness	konscio
manifest	manifesto
boolean	bulea
accounting	librotenado
transparent	travidebla
transparent	malkaŝema
restaurant	restoracio
utopia	utopio
television	televido
television	televida
television	televidilo
steam	vaporo
chassis	ĉasio
electronic	elektronika
salary	salajro
punish	puni
punishment	puno
michael	Mikelo
michael	Miĥaelo
neapolitan	napolano
neapolitan	napolanino
1st	1a
1st	1-a
venetian	veneciana
venetian	veneciano
venetian	venecianino
accompanist	akompanisto
lava	lafo
recycle	recikligi
recycle	reuzi
trash	forĵetaĵo
trash	rubo
laurel	laŭro
laureate	laŭreato
launderer	lavisto
whither	kien
whence	de kie
whence	el kie
laughter	ridado
ignore	ignori
halal	halala
laughable	ridinda
laughing falcon	akaŭano
accursed	malbenita
arachnophobia	araneofobio
produce	produkti
problem	problemo
vague	svaga
accusatory	kulpiga
accusatory	akuza
muscovite	moskvano
muscovite	moskvanino
muscovite	moskva
budapest	Budapeŝto
degree	grado
degree	diplomo
sextillion	triiliardo
sextillion	sesiliono
septillion	kvariliono
septillion	sepiliono
should	devi
mission	misio
missionary	misiisto
ministry	ministerio
ministry	ministrejo
creed	kredokonfeso
creed	kredo
liturgical	liturgia
communion	komuneco
communion	komunio
christianity	kristanismo
christianity	kristismo
holy	sankta
worldly	monda
worldly	monde
unnatural	nenatura
unnatural	kontraŭnatura
extraordinary	eksterordinara
blessing	beno
condemn	kondamni
christ	Kristo
messiah	mesio
archangel	ĉefanĝelo
angelology	anĝelologio
armor	kiraso
fireball	fajropilko
snowball	neĝobulo
monolith	monolito
boulder	ŝtonego
weird	stranga
strange	stranga
forest	arbaro
forest	forsto
forest	arbari
grove	arbetaro
dash	sprinto
dash	sprinti
wash	lavi
lunch	meztagmanĝaĵo
lunch	tagmanĝo
dinner	vespermanĝo
consume	konsumi
maximum	maksimumo
minimum	minimumo
cauliflower	florbrasiko
gamble	veti
gamble	vetludi
vodka	vodko
octillion	kvariliardo
octillion	okiliono
marathon	maratono
porthole	luko
switch	ŝaltilo
switch	vergo
switch	enkursigilo
switch	plurrolulo
switch	interŝanĝi
switch	ŝalti
switch	vergi
address book	adreslibro
address book	adresaro
simultaneous	samtempa
simultaneously	samtempe
simultaneity	samtempeco
simultaneousness	samtempeco
acephalocyst	acefalocisto
charles	Karlo
vegan	vegana
vegan	vegano
vegetarian	vegetarano
vegetarian	vegetarana
americanism	usonismo
americanism	amerikanisme
americanize	usonigi
visa	vizo
smegma	smegmo
acerbic	acerba
harp	harpo
protagonist	ĉefrolulo
protagonist	ĉefpersono
epistemology	sciteorio
epistemology	epistemologio
android	homaŭtomato
android	androido
birthday	naskiĝotago
birthday	naskotago
birthday	naskiĝtago
acetaldehyde	acetaldehido
acetanilide	acetanilido
needle	kudrilo
needle	montrilo
englishwoman	anglino
serbian	serbo
serbian	serbiano
serbian	[[serba]] [[lingvo]]
serbian	serbia
serbian	serblingva
warehouse	magazeno
logarithm	logaritmo
acetimeter	acetimetro
hedonistic	hedonisma
saturnian	saturnano
saturnian	saturnanino
libertarian	liberecano
pleasure	plezuro
pleasure	agrableco
pleasure	agrablaĵo
etc.	ktp
etc.	ktp.
merry christmas	ĝojan Kristnaskon
mep	MEP
mep	eŭropdeputito
mep	eŭropparlamentano
mep	eŭropoparlamenrano
mep	membro de la Eŭropa Parlamento
scarecrow	birdotimigilo
scarecrow	ĉifonfiguro
pennsylvania	Pensilvanio
acetone	acetono
oligarchy	oligarĥio
belt	zono
contain	enhavi
banal	banala
walnut	juglandujo
walnut	juglandarbo
walnut	juglando
walnut	juglandonukso
aspirin	aspirino
movie	filmo
center	centro
equidistant	samdistanca
attribute	trajto
attribute	eco
attribute	propreco
attribute	atribui
almond	migdalo
intersection	kruciĝo
intersection	komunaĵo
operation	operacio
operation	operaco
aphasia	afazio
nefarious	skandala
nefarious	malfarinda
phalanx	falango
lemonade	limonado
algebra	algebro
sine	sinuso
dodecahedron	dekduedro
icosahedron	dudekedro
apostasy	apostateco
bagel	kringo
bagel	bagelo
torus	toro
parachute	paraŝuto
parachute	paraŝuti
machine translation	maŝintradukado
machine translation	maŝintraduko
flu	gripo
factory	fabriko
last night	hieraŭ vespere
last night	pasintan nokton
last night	hieraŭan nokton
wind instrument	blovinstrumento
gnu	gnuo
christmas tree	Kristnaska arbo
acetyl	acetilo
flammable	brulema
combustion	brulado
fruitcake	fruktokuko
north pole	Norda poluso
south pole	Suda poluso
blackboard	nigra tabulo
epiphany	epifanio
coefficient	koeficiento
constant	konstanta
matrix	matrico
operator	operacio
accra	Akrao
baghdad	Bagdado
barcelona	Barcelono
berlin	Berlino
cairo	Kairo
cape of good hope	Kabo de Bona Espero
caracas	Karakaso
cologne	Kolonjo
dublin	Dublino
florida	Florido
plastic	plasto
onomatopoeia	onomatopeo
railroad	fervojo
acute	akra
acute	akuta
pyramid	piramido
guernsey	Guernsey
the hague	Hago
havana	Havano
helsinki	Helsinko
briskly	rapide
economy	ekonomio
political party	partio
political party	politiko partio
slave	sklavo
slave	sklavino
campaign	kampanjo
campaign	balotkampanjo
campaign	reklamkampanjo
campaign	militkampanjo
campaign	kampanji
union	kunaĵo
risk	risko
ecology	ekologio
province	provinco
genetic	genetika
xenophobe	ksenofobo
user	uzanto
latvian	latva
latvian	latva lingvo
latvian	latvo
yearly	ĉiujara
yearly	jare
zoo	zoo
zoo	bestoĝardeno
zoo	zoologia ĝardeno
brain drain	cerbofuĝo
bald	kalva
bald	senhara
equanimity	egalanimeco
jerusalem	Jerusalemo
kabul	Kabulo
kathmandu	Katmanduo
kathmandu	Katmando
kiev	Kievo
lhasa	Lasao
lisbon	Lisbono
los angeles	Los-Anĝeleso
lusaka	Lusako
majorca	Majorko
manila	Manilo
marseilles	Marsejlo
melanesia	Melanezio
new england	Nov-Anglio
cruciform	krucoforma
cross	kruco
cross	kruca
cross	krucmarki
cross	transiri
cross	krucigi
cross	kruci
pun	vortludo
new york	Novjorkio
new york	Nov-Jorkio
oslo	Oslo
oxford	Oksfordo
flotsam	flosaĵo
flood	inundo
flood	pluvego
flood	inundi
rome	Romo
rome	Romio
saint petersburg	Sankt-Peterburgo
sardinia	Sardio
sardinia	Sardujo
seoul	Seulo
seville	Sevilo
siberia	Siberio
sicily	Sicilio
silesia	Silezio
hanoi	Hanojo
frankfurt	Frankfurto
munich	Munkeno
bavaria	Bavarujo
explosion	eksplodo
unknown	nekonata
skin	haŭto
publish	publikigi
primary	primara
primary	unuaranga
primary	unuagrada
tirana	Tirano
tokyo	Tokio
transylvania	Transilvanio
tripoli	Tripolo
valencia	Valencio
virginia	Virginio
virginia	Virginia
warsaw	Varsovio
zurich	Zuriko
gerard	Gerardo
glossary	glosaro
measurement	mezurado
measurement	mezuro
eighteenth	dek-oka
eighteenth	dekoka
twentieth	dudeka
twenty-first	dudek-unua
twenty-second	dudek-dua
twenty-third	dudek-tria
twenty-fourth	dudek-kvara
twenty-fifth	dudek-kvina
yellowish	flaveta
yellowish	dubeflava
twenty-sixth	dudek-sesa
twenty-seventh	dudek-sepa
twenty-eighth	dudek-oka
twenty-ninth	dudek-naŭa
thirtieth	trideka
fortieth	kvardeka
fiftieth	kvindeka
sixtieth	sesdeka
trout	truto
seventieth	sepdeka
eightieth	okdeka
ninetieth	naŭdeka
hundredth	centa
hundredth	centono
ford	travadi
alchemist	alkemiisto
alchemist	viralkemiisto
alchemist	alkemiistino
alchemist	alĥemiisto
alchemist	viralĥemiisto
alchemist	alĥemiistino
fate	fatalo
fate	sorto
eighty-one	okdek unu
eighty-first	okdek-unua
lemur	lemuro
think about	pripensi
popcorn	krevmaizo
popcorn	pufmaizo
paradise	paradizo
sandwich	sandviĉo
seventy-first	sepdek-unua
hamlet	vilaĝeto
sigma	sigmo
tau	taŭo
phi	fio
good-for-nothing	sentaŭga
good-for-nothing	sentaŭgulo
nothing	nenio
qur'an	Korano
one hundred and one	cent unu
at least	minimume
at least	almenaŭ
toilet paper	klozeta papero
toilet paper	neceseja papero
toilet paper	klozetpapero
video game console	ludkonzolo
blacksmith	forĝisto
snowflake	neĝero
phrase book	frazolibro
phrase book	frazlibro
interpreter	interpretisto
interpreter	interpretilo
songstress	kantistino
police officer	policisto
police officer	policano
goldsmith	oraĵisto
dharma	darmo
infamous	fifama
newspaper	ĵurnalo
deserve	meriti
glass	eo
strong	forta
hip-hop	hiphopo
serpent	serpento
ice cream	glaciaĵo
belarusian	[[Belorusa]] [[lingvo]]
bhutanese	butanano
bhutanese	butananino
barbarian	barbaro
cuban	kubano
ethiopian	etiopo
ethiopian	etiopa
swiss	svislanda
swiss	svisuja
swiss	svisia
swiss	svisa
swiss	sviso
swiss	virsviso
swiss	svisino
apulia	Apulio
paraguayan	paragvajano
paraguayan	paragvajanino
sudanese	sudanano
sudanese	sudananino
senegalese	senegaliano
senegalese	senegalianino
palestinian	palestina
palestinian	palestinano
palestinian	palestinanino
pakistani	pakistanano
pakistani	pakistananino
nigerien	niĝerano
nigerien	niĝerlandano
nigerien	niĝeranino
nigerien	niĝerlandanino
nigerian	niĝeriano
nigerian	niĝerianino
mauritian	maŭrico
mauritian	maŭricino
mauritanian	maŭritano
mauritanian	maŭritanino
libyan	libia
lesbian	lesbanino
lesbian	lesba
lesbian	samseksemulino
israeli	israelano
israeli	israela
haitian	haitiano
haitian	haitianino
egyptian	egipta
egyptian	egipto
aosta	Aosto
uzbek	uzbeko
uzbek	uzbekino
bologna	Bulonjo
malawian	malaviano
malawian	malavianino
malawian	malavia
jamaican	jamaikano
element	elemento
guamanian	gvamano
guamanian	gvamanino
yemeni	jemena
yemeni	jemenano
yemeni	jemenanino
zambian	zambiano
zambian	zambianino
zimbabwean	zimbabvano
zimbabwean	zimbabvanino
uruguayan	urugvajano
uruguayan	urugvajanino
venezuelan	venezuelano
venezuelan	venezuelanino
vanuatuan	vanuatano
vanuatuan	vanuatuano
vanuatuan	vanuatanino
vanuatuan	vanuatuanino
tuvaluan	tuvalano
tuvaluan	tuvalanino
syrian	siria
syrian	siriano
syrian	sirianino
nucleic acid	nuklea acido
maldivian	maldivano
maldivian	maldivanino
moroccan	marokano
moroccan	marokanino
moroccan	maroka
north korean	nordkoreo
north korean	nordkorea
puerto rican	portorikano
puerto rican	portorikanino
qatari	katarano
qatari	kataranino
samoan	samoano
samoan	samoanino
samoan	samoa
singaporean	singapurano
singaporean	singapuranino
south korean	sudkoreo
south korean	sudkorea
violinist	violonisto
violinist	violonistino
pianist	pianisto
pianist	pianistino
tunisian	tuniziano
tunisian	tunizianino
tunisian	tunizia
firefighter	fajroestingisto
firefighter	fajrobrigadano
firefighter	fajrobrigadisto
turkmen	turkmena lingvo
turkmen	turkmena
goalie	golulo
tajik	taĝiko
tajik	[[Taĝika]] [[lingvo]]
tajik	taĝika
panamanian	panamiano
panamanian	panamianino
panamanian	panamano
panamanian	panamanino
mozambican	mozambikano
mozambican	mozambikanino
eritrean	eritrea
eritrean	eritreano
greenlander	groenlandano
greenlander	groenlandanino
triskaidekaphobia	dektrifobio
viennese	vienano
viennese	vienanino
viennese	viena
togolese	togolandano
togolese	togolandanino
tongan	tongano
tongan	tonganino
ghanaian	ganaano
ghanaian	ganaanino
icelander	islandano
icelander	islandanino
telugu	telugua
malagasy	madagaskarano
malagasy	madagaskaranino
length	longo
length	longeco
andalusia	Andaluzio
andalusia	Andaluzujo
hamburger	hamburgero
cretan	kretano
cretan	kretanino
peloponnese	Peloponezo
ampere	ampero
kilogram	kilogramo
joule	ĵulo
hertz	herco
newton	neŭtono
pascal	paskalo
omani	omanano
omani	omananino
nicaraguan	nikaragvano
nicaraguan	nikaragvanino
dodecanese	Dodekanesoj
whereas	dum
whereas	kontraŭe
nauruan	naurano
nauruan	nauranino
nauruan	naura lingvo
tanzanian	tanzaniano
tanzanian	tanzanianino
wallachia	Valaĥio
dominican	dominga
dominican	dominika
dominican	domingano
dominican	dominikano
i'm fine, thank you	mi fartas bone, dankon
my name is	mia nomo estas
my name is	mi nomiĝas
where is the toilet	kie estas la necesejo?
what time is it	kioma horo estas?
many thanks	koran dankon
toki pona	Tokipono
micronesian	mikroneziano
micronesian	mikronezianino
rwandan	ruandano
rwandan	ruandanino
what is your name	kio estas via nomo?
what is your name	kiel vi nomiĝas?
niuean	niuano
niuean	niuanino
goal	celo
goal	golejo
score	poentaro
score	poentkvoto
score	takso
score	dudeko
score	partituro
score	noĉo
liechtensteiner	liĥtenŝtejnano
brood	kovi
saudi	saŭdano
saudi	saŭdarabiano
saudi	saŭdanino
saudi	saŭdarabianino
saudi	saudarabia
somali	somala lingvo
somali	somaliano
somali	somalianino
somali	somalia
watt	vatto
watt	ŭato
watt	vato
swahili	svahila
shadow	ombro
shadow	mezlumo
shadow	gvatsekvi
radius	radiuso
worker	laboristo
worker	laboristino
worker	laboranto
worker	laborantino
worker	proleto
worker	proletino
worker	proletario
worker	proletariino
electricity	elektro
electricity	elektreco
exa-	eksa-
hecto-	hekto-
peta-	peta-
nipple	cico
nipple	mampinto
nipple	cicumo
wart	veruko
sexual intercourse	amoro
commonwealth	komunumo
formosa	Formozo
spam	spamo
spam	trudletero
spam	rubleteri
archaeologist	arĥeologo
exclamation mark	krisigno
dermatologist	dermatologo
-ist	-isto
-ism	-o
-ism	-ismo
hydrologist	hidrologo
question mark	demandosigno
photograph	fotografaĵo
photograph	foto
photograph	fotografi
photograph	foti
turn out	rezulti
turn out	finiĝi
turn out	sukcesi
turn out	[[finiĝi]] [[bone]]
turn out	[[havi]] [[bona]]n [[rezulto]]n
turn out	elturniĝi
turn out	veni
turn out	aperi
turn out	malŝalti
turn out	evidentiĝi
turn out	montriĝi
turn out	produkti
turn out	fari
unicycle	unuciklo
turn off	elŝalti
technician	teĥnikisto
technician	teknikisto
zany	frenezeta
turn on	aktivigi
turn on	enŝalti
new guinea	Nov-Gvineo
banjo	banĝo
standpoint	starpunkto
standpoint	vidpunkto
standstill	halto
stand up	ekstari
crossword	krucvortenigmo
crossword	krucvorto
slowly	malrapide
caliph	kalifo
caliph	ĥalifo
perfume	parfumo
eel	angilo
general election	ĝenerala balotado
judo	ĵudo
archaeology	arĥeologio
archaeology	arkeologio
altar	altaro
gymnasium	gimnastikejo
gymnasium	gimnazio
fishy	fiŝeto
quibble	ĉikani
knock	frapo
knock	frapi
knock off	faligi
mushroom	ĉampinjono
mushroom	ŝampinjono
antwerp	Antverpeno
bruges	Bruĝo
ghent	Gento
spades	piko
clover	trifolio
hearts	kero
diamonds	karoo
club	klabo
club	klubo
club	amuzejo
vanish	neniiĝi
clubs	trefo
montana	Montano
ruse	ruzo
amorphous	amorfa
quirk	strangaĵo
glitch	cimo
glitch	problemo
glitch	difekto
glitch	miso
glitch	fuŝo
glitch	ŝiro
pneumoconiosis	pneŭmokoniozo
diaphanous	diafana
fustian	fusteno
fustian	bombazino
nostril	naztruo
signal	signalo
lojban	Loĵbano
lojban	loĵbana
curious	scivola
curious	kurioza
curiosity	scivoleco
negligible	neglektinda
occult	okultismo
alcove	alkovo
cylindrical	cilindra
pashto	paŝtua
alexander	Aleksandro
british isles	Britaj Insuloj
onion	cepo
onion	bulbo
monastery	monaĥejo
secluded	izola
celibacy	fraŭleco
monastic	monaĥa
cerebral	cerba
cantankerous	kverelema
cantankerous	grumblema
cantankerous	incitiĝema
cantankerous	kolerema
cantankerous	malbonhumora
atheism	ateismo
moses	Moseo
great-granddaughter	pranepino
bridegroom	edziĝanto
egret	egreto
hexagon	seslatero
hexagon	heksagono
hexagon	sesangulo
octagon	okangulo
octagon	oklatero
arc	arko
plover	pluvio
collage	kolaĝo
allah	Alaho
priestess	pastrino
nutmeg	muskato
barber	barbiro
lawyer	advokato
lawyer	advokatino
farmer	farmisto
penumbra	duonombro
stepdaughter	vicfilino
stepdaughter	duonfilino
salubrious	sanfavora
gaul	Gaŭlio
gaul	Gaŭlujo
gaul	gaŭlo
gaul	gaŭlino
reptile	reptilio
kingfisher	alciono
bovine spongiform encephalopathy	Bova Spongoforma Encefalopatio
bovine spongiform encephalopathy	malsano de bova freneziĝo
bovine spongiform encephalopathy	bovofreneziĝo
graphite	grafito
rhombus	rombo
sunspot	sunmakulo
goldfish	orfiŝo
sterile	malfekunda
sterile	sterila
offspring	ido
offspring	filo
offspring	filino
offspring	idaro
grease	graso
lower saxony	Malsupra Saksio
north rhine-westphalia	Nordrejn-Vestfalio
rhineland-palatinate	Rejnlando-Palatinato
saxony	Saksio
saxony	Saksujo
saxony-anhalt	Saksio-Anhalto
saxony-anhalt	Saksujo-Anhalto
thuringia	Turingujo
thuringia	Turingio
croatian	kroata
croatian	kroato
stepbrother	vicfrato
-tion	-ado
holland	Holando
lip	lipo
cent	cendo
reception	akcepto
reception	akceptejo
volcanologist	vulkanologo
volcanology	vulkanologio
volcanology	vulkanoscienco
climatology	klimatscienco
wasabi	vasabio
horseradish	kreno
horn	korno
horn	aŭtokorno
half brother	duonfrato
something	io
n/a	neaplikebla
n/a	nedisponebla
antelope	antilopo
gazelle	gazelo
flamingo	flamengo
flamingo	fenikoptero
cheetah	gepardo
hyena	hieno
jackal	ŝakalo
leopard	leopardo
lion	leono
lion	virleono
lion	leonino
hippopotamus	hipopotamo
hyrax	hyrako
warthog	verukapro
dynamic	dinamika
static	statika
lioness	leonino
scorpion	skorpio
bull ant	soldatformiko
baboon	paviano
monkey	simio
monkey	infanaĉo
monkey	bubo
lyre	liro
poisonous	venena
poisonous	veneniga
toxic	toksa
toxin	toksino
erase	forigi
erase	viŝi
zeus	Zeŭso
valley	valo
valley	malaltaĵo
valley	malaltejo
ox	okso
festival	festivalo
wheat	tritiko
beret	bireto
gothic	gota lingvo
gothic	gotika
template	ŝablono
lizard	lacerto
type	tajpi
plan	projekti
miner	ministo
minor	negrava
minor	neplenaĝulo
stepsister	vicfratino
corfu	Korfuo
defenestration	trafenestrigo
avuncular	onkla
avuncular	onklina
chios	Ĥio
corinth	Korinto
parrot	papago
parrot	psitako
subtle	subtila
alzheimer's disease	alchajmero
hitman	murdisto
parakeet	konuro
cockatoo	kakatuo
front	antaŭo
front	antaŭa
video	video
video	filmeto
heating	hejtado
carry	porti
transport	transporti
scanner	skanilo
substitution	anstataŭigo
propaganda	propagando
reference	referenco
form	formo
form	formularo
form	formi
form	formiĝi
historical	historia
research	esploro
underpants	kalsono
heater	hejtilo
thong	zorio
nahuatl	naŭatla lingvo
nahuatl	navatla lingvo
awe	admirego
peanut	arakido
canadianize	kanadigi
francophone	francparola
francophone	francparolanto
francophone	franclingvano
anglophone	anglaparola
anglophone	anglaparolanto
anglophone	anglalingvano
australianise	aŭstraliigi
hoarse	raŭka
guest	gasto
grasp	kompreni
happen	okazi
hernia	hernia
snowman	neĝhomo
don't	ne
parkinson's disease	Parkinsona malsano
yawn	oscedi
yawn	oscedo
pause	paŭzo
mane	kolharo
cruise	krozo
cruise	krozi
bear cub	ursido
she-bear	ursino
reykjavik	Rejkjaviko
valletta	La-Valeto
ursine	ursa
pentagon	kvinlatero
pentagon	kvinangulo
pineapple	ananaso
pineapple	ananasujo
maize	maizo
tobacco	tabako
heptagon	seplatero
heptagon	sepangulo
heptagon	heptagono
nonagon	naŭlatero
achromatic	akromata
identify	identigi
undermine	subfosi
exile	ekzili
double	duobla
double	duopa
double	duobligi
double	duobliĝi
antagonist	kontraŭulo
antagonist	kontraŭbatalanto
antagonist	antagonisto
uae	UAE
souvenir	memoraĵo
magazine	magazino
magazine	revuo
formaldehyde	formaldehido
moat	fosaĵo
brine	peklakvo
brine	pekli
shrimp	salikoko
shrimp	salikokaĵo
amazing	mirinda
