# person 	plurality	formality  	gender   	nominative	dative	accusative	disjunctive	
1        	singular 	nonspecific	neuter   	yo        	me    	me        	mi         
1        	plural   	nonspecific	masculine	nosotros  	nos   	nos       	nosotros   
1        	plural   	nonspecific	feminine 	nosotras  	nos   	nos       	nosotras   
2        	singular 	familiar   	neuter   	tú        	te    	te        	ti         
2        	singular 	formal     	masculine	usted     	le    	lo        	           
2        	singular 	formal     	feminine 	usted     	le    	la        	usted      
2        	plural   	familiar   	masculine	vosotros  	os    	os        	vosotros   
2        	plural   	familiar   	feminine 	vosotras  	os    	os        	vosotras   
2        	plural   	formal     	masculine	ustedes   	les   	los       	ustedes    
2        	plural   	formal     	feminine 	ustedes   	les   	las       	ustedes    
3        	singular 	nonspecific	masculine	él        	le    	lo        	él         
3        	singular 	nonspecific	feminine 	ella      	le    	la        	ella       
3        	singular 	nonspecific	neuter   	ello      	le    	lo        	ello       
3        	plural   	nonspecific	masculine	ellos     	les   	los       	ellos      
3        	plural   	nonspecific	feminine 	ellas     	les   	las       	ellas      
reflexive	plural   	nonspecific	neuter   	          	se    	se        	si         
