📍	noun	lugar	253110	place
💰	verb	valer	252437	to value
🧍🧍	pronoun	ustedes	249063	you all [respectfully]
👂	verb	escuchar	248630	to listen
	noun	claro	248501	sunny spell
	adverb	claro	248501	of course
👩‍👦‍👦	noun	madre	243957	mother
📅→	adverb	mañana	240468	tomorrow
📅→	noun	mañana	240468	the morning
	adjective	primero	240167	first, first up
🗺️?	preposition	donde	239143	where
🗺️?	pronoun	donde	239143	where
🗺️?	conjunction	donde	239143	where
🔎	verb	buscar	237956	to search
🪦	verb	morir	234989	to die
	noun	vale	234778	voucher
	adverb	seguro	234759	surely
🗺️←	adverb	allí	231694	there
🧍	noun	persona	231409	person
	noun	espera	228562	wait
🧮	verb	contar	227577	to count; to tell
➗	noun	parte	226454	division; ticket; part
👨‍👩‍👦	noun	hijo	225292	son
	preposition	menos	223231	except; minus
🚶←🚶	verb	seguir	221341	to follow
	adjective	gran	218718	great
	verb	recordar	213744	to remember, to recollect
👩	noun	mujer	212158	woman
📛	noun	nombre	210227	name
	verb	cambiar	208005	to shift; to exchange; to switch
🧮	verb	importar	207789	to count; to matter; to mind
👩‍👦‍👦	noun	mamá	207161	mum, mom
👨‍👧‍👦	noun	papá	206078	dad
	verb	perder	203908	to lose
3	numeral	tres	202568	three
📅	adverb	hoy	202178	today
	verb	usar	194729	to use
🖐️	noun	mano	193252	hand
🐁	adjective	pequeño	188688	small; little
∃🧍	pronoun	alguno	188390	somebody
	adjective	listo	188232	ready
	adjective	último	187077	final; last
	adverb	realmente	185661	indeed; actually; really
👹	adjective	mal	185501	bad; evil
💡	noun	idea	182491	idea
🪦	adjective	serio	182487	stiff; grave; serious
	adverb	aún	182484	still
💩	noun	mierda	181554	bullshit; crap; shit
🌇	noun	tarde	179351	afternoon
∀🤌	determiner	cada	177861	each; every
🏁	verb	terminar	177571	to complete; to finish; to close
	verb	bajar	176604	to go down, come down
💸	verb	intentar	176376	to intend; to attempt; to sell
🧑‍🔧	verb	formar	174214	to form; to make
⌛	adjective	pasado	172168	past
🥰	verb	amar	171990	to love
1	adjective	único	169290	only; one
📈	noun	razón	167338	reason
👮	noun	policía	166742	policeman; police
	pronoun	tanto	166428	so much; so many
📅	noun	semana	165950	week
⏲️	noun	minuto	165521	minute
	verb	preocupar	165308	to concern; to worry
	adjective	tarde	163364	late
	adverb	tarde	163364	late
👨‍👩‍👧‍👦	noun	familia	160010	family
👹	adjective	malo	159632	bad
👦	noun	hermano	158843	brother
💬	noun	dicho	155990	saying
👣	noun	forma	155140	form; kind; way
	adverb	demasiado	154876	too
📥	verb	traer	154707	to bring
	preposition	entre	153486	among; between
🚶	verb	caminar	151635	to walk
💸	verb	pagar	150139	to pay
🤪	adjective	loco	149831	insane; nuts; mad
⌛	noun	pasado	149286	past
🐥	noun	chica	148925	chico, girl
🧠	verb	cuidar	148370	to mind; to care
🐘	adjective	grande	146629	large; grand; big
📥	verb	conseguir	146405	to get
🥇	verb	ganar	144407	to gain
👩‍💼	noun	señora	143885	madam; lady
🧾	noun	cuenta	142382	count, tally
😶	noun	cabeza	141601	head
	noun	caso	140676	case
	adverb	todavía	140159	yet; still
	noun	lado	139885	side
	verb	armar	139463	to arm
🆓	verb	librar	136798	to free
2<sup>nd</sup>	adjective	segundo	136402	second
🔥😐🔥	adjective	maldito	135726	cursed; damned
🤬	verb	maldecir	135726	to curse; to swear; to damn
	verb	significar	134481	to portend
🏛️	noun	historia	132425	history
🥣	noun	cariño	131653	affection, fondness
👗	verb	vestir	131245	to dress; to wear
🚪	noun	puerta	130654	door
	adjective	rápido	128921	rapid, quick, fast
🧑‍🏭	verb	unir	128801	to unite
💸	verb	comprar	128462	to buy
🚐	noun	van	128365	van
🤵	verb	encantar	126943	to lure; to charm
🤔	verb	olvidar	126319	to forget
🏙️	adjective	genial	126068	bright; cool
	pronoun	cuál	125948	which
🧓	adjective	viejo	125791	old
🏳️‍🌈	adjective	feliz	124880	gay; happy
🛣️	noun	camino	124298	road; way
☝️	verb	tocar	123567	to touch
	verb	vengar	123540	to avenge
	adverb	quizá	121291	perhaps; maybe
👋	noun	adiós	120840	farewell; goodbye
💡	verb	conocer	120317	to meet; to know
✍️	verb	sacar	120308	to put out, to get out
👨	noun	tío	119396	uncle
<sub>🚶</sub>🚶🚶	adjective	medio	118856	middle; mean
	preposition	durante	118591	during
🦙	noun	llama	118142	llama
	preposition	contra	117870	against; versus
📅	noun	mes	117765	month
🪦	noun	muerto	117149	dead
🔤	noun	palabra	116310	word
💪	noun	arma	115666	weapon; arm
🤔	conjunction	pues	115423	well [you see...]
	verb	regresar	114957	to return
	noun	rápido	114932	rapid
🏃	adverb	rápido	114932	quickly
👣	noun	manera	114639	way
🌳	noun	haya	114600	beech
	adjective	caro	114475	dear
🆘	noun	ayuda	113932	help
	adjective	querido	113859	dear
⚠️	adjective	importante	113696	important
→🕳️	adverb	dentro	113610	in
✍️	verb	escribir	112930	to write
	adverb	casi	112894	almost
	adverb	quizás	112248	perhaps; maybe
🧑‍⚖️	verb	pedir	111044	to ask for something
🏠←🚶	preposition	hacia	110847	towards
