an 	 adjective 	 w:Ælfric of Eynsham 	 * late 10th century, Ælfric
an 	 adjective 	 w:Ælfric of Eynsham 	 * c. 995, Ælfric, '
an 	 noun 	 one 	 one
lama 	 adjective 	 lame 	 lame
to 	 adverb 	 besides 	 besides
to 	 adverb 	 moreover 	 in addition, also, too; moreover
to 	 adverb 	 too 	 in addition, also, too; moreover
to 	 adverb 	 also 	 in addition, also, too; moreover
to 	 adverb 	 too 	 to an excessive degree; too
her 	 adverb 	 here 	 here
east 	 adjective 	 eastern 	 eastern, easterly
east 	 adjective 	 easterly 	 eastern, easterly
east 	 adverb 	 from 	 from the east
sibling 	 noun 	 kinsman 	 Family members relative, kinsman
sibling 	 noun 	 relative 	 Family members relative, kinsman
son 	 noun 	 sound 	 a musical sound; vocal, instrumental
son 	 noun 	 musical 	 a musical sound; vocal, instrumental
son 	 noun 	 instrumental 	 a musical sound; vocal, instrumental
son 	 noun 	 vocal 	 a musical sound; vocal, instrumental
non 	 noun 	 ninth 	 Nones, the ninth hour after sunrise
non 	 noun 	 hour 	 Nones, the ninth hour after sunrise
non 	 noun 	 sunrise 	 Nones, the ninth hour after sunrise
non 	 noun 	 nones 	 Nones, the ninth hour after sunrise
non 	 noun 	 religious 	 Nones, the religious service appointed to this hour
non 	 noun 	 appoint 	 Nones, the religious service appointed to this hour
non 	 noun 	 service 	 Nones, the religious service appointed to this hour
non 	 noun 	 this 	 Nones, the religious service appointed to this hour
non 	 noun 	 hour 	 Nones, the religious service appointed to this hour
non 	 noun 	 nones 	 Nones, the religious service appointed to this hour
non 	 noun 	 form 	 a form of address from younger to older monks
non 	 noun 	 monk 	 a form of address from younger to older monks
non 	 noun 	 younger 	 a form of address from younger to older monks
non 	 noun 	 address 	 a form of address from younger to older monks
non 	 noun 	 older 	 a form of address from younger to older monks
not 	 noun 	 sign 	 a sign; mark; a mark made on an object
not 	 noun 	 mark 	 a sign; mark; a mark made on an object
bold 	 noun 	 building 	 house, dwelling, building
bold 	 noun 	 dwelling 	 house, dwelling, building
bold 	 noun 	 house 	 house, dwelling, building
tan 	 noun 	 twig 	 twig, branch
tan 	 noun 	 branch 	 twig, branch
turtle 	 noun 	 turtle dove 	 turtle dove
amber 	 noun 	 bucket 	 bucket
