→🕳️	preposition	on	4380	in
🧍🧍🧍‍♂️	pronoun	sē	3892	he
←	determiner	sē	3892	that
🧍🧍🧍‍♂️	pronoun	hē	3281	he
∧	conjunction	and	3230	and
🧍🧍🐍	pronoun	hit	3129	it
🧍🧍🐍	pronoun	þæt	3079	it
	conjunction	þæt	2922	
←	determiner	þæt	2922	that
	pronoun	ic	2506	
🧍🧍	pronoun	þū	2295	you
	conjunction	þa	2160	
	conjunction	ond	2049	
🧘	verb	wesan	2006	to be
	pronoun	he	1939	
	particle	þe	1926	
🧍	pronoun	iċ	1866	i
	conjunction	ne	1865	
	preposition	to	1819	
🧘	verb	bēon	1727	to be
🧍🧍👫	pronoun	hīe	1641	they
	pronoun	se	1380	
	determiner	se	1380	
	pronoun	þu	1335	
	conjunction	swa	1278	
	pronoun	swa	1278	
🧍🧍	preposition	mid	1184	with
	preposition	in	1026	
	conjunction	þonne	829	
	conjunction	nu	700	
🏠🧍	preposition	of	682	by
🏠🧍	preposition	þurh	659	by
	preposition	ofer	650	
	pronoun	hi	640	
🧓	noun	god	635	god
🧍🧍🧍‍♀️	pronoun	hēo	537	she
🏢↙	noun	eorþe	520	ground
	conjunction	ær	507	
	preposition	ær	507	
∧	conjunction	ac	474	but
	verb	willan	472	to want
	verb	faran	467	to go; travel
🧑‍🤝‍🧑	pronoun	wē	445	we
🏋️	verb	magan	437	to may; to can
	preposition	for	433	because of
	determiner	min	393	
	preposition	æfter	392	according to
	preposition	æt	387	
	verb	sculan	382	to shall
	preposition	eac	364	
	preposition	under	355	
	conjunction	swylce	327	
	conjunction	gif	322	
🔁	adverb	eft	317	again
	conjunction	ge	285	
	determiner	þin	284	
	pronoun	eall	269	
	conjunction	hu	268	
	adverb	oft	260	often
🧑‍🤝‍🧑	noun	folc	257	people
	pronoun	heo	246	
	conjunction	þeah	237	
🔤	noun	word	226	word
👨‍👧‍👦	noun	fæder	214	father
	pronoun	heora	211	
	preposition	forð	207	
←	pronoun	þes	205	this
	determiner	þes	205	
🤴	noun	cyning	203	king
👨	noun	wer	199	man
	preposition	geond	192	
	preposition	ymb	176	about
	conjunction	þy	171	
	pronoun	fela	168	
	preposition	be	144	about
📛	noun	nama	144	name
	conjunction	oððe	142	
	pronoun	hio	140	
🤔	adverb	wel	137	well
💂	noun	weard	137	guard
🧑‍⚖️	verb	hātan	137	to command; to order
🏠←🚶	verb	cuman	136	to come
∃🤌	pronoun	sum	133	some
	pronoun	mīn	133	
🧍🧍	pronoun	ġē	132	you
T	adjective	sōþ	131	true; real
🏠🧍	preposition	fram	130	by
	pronoun	eom	128	
	adjective	an	123	only
	pronoun	þēs	123	
	determiner	þēs	123	
	pronoun	man	117	anyone
	conjunction	butan	104	
🕳️→	preposition	butan	104	out of
🌍	noun	woruld	103	world
	verb	nesan	103	to survive
	conjunction	næs	93	
🌃	noun	niht	91	night
🦸	noun	hæleð	85	hero
🧑‍🏫	verb	secgan	85	to say; tell
🎁	verb	sellan	85	to give
∨	conjunction	oþþe	84	or
💡	verb	witan	84	to know
	determiner	ure	81	
	preposition	innan	80	
	verb	motan	80	to need
🧍	verb	standan	78	to stand
🧑‍🔧	verb	dōn	76	to put; to make; to get
	noun	eard	76	homeland
	noun	land	72	land
	preposition	agen	70	
🖐️	noun	hand	70	hand
🪖	noun	helm	69	helmet
	pronoun	hwa	68	
🏢↙	noun	grund	67	ground
	adjective	heard	62	hard
📥	verb	weorþan	61	to become; to happen; to get
	conjunction	þon	59	
	pronoun	þon	59	
	determiner	þon	59	
🍃	noun	blæd	59	leaf
👼	adjective	hāliġ	54	sacred; holy
🤴	noun	eorl	54	earl; duke; count
