🤺	verb	stab	dʰeygʷ-, bʰod-
😼	verb	scratch	gerbʰ-
	verb	dig	dʰeygʷ-
🏊	verb	swim	(s)neh₂-
🦅	verb	fly	peth₂-, gʷel-
🚶	verb	walk	gʰredʰ-
🧗	verb	climb	steygʰ-
🐇	verb	jump	prew-
←🚶	verb	go	h₁ey-, gʷem-, ǵʰeh₁-
👷	verb	do, make, build	kʷer-
🧑‍🔧	verb	work, make	wérǵom, h₃ep-
🏠←🚶	verb	come	gʷémt, gʷm̥sḱéti, gʷeh₂-
🛌	verb	lay	légʰyeti, ḱéytor
🪑	verb	sit	sédt, sísdeti
🧍	verb	stand	stéh₂t, stestóh₂e, stísteh₂ti
	verb	turn	wértti
🪂	verb	fall	ḱh₂d-
🎁	verb	give	déh₃t, dédeh₃ti
🧗	verb	hold	segʰ-
🧴	verb	rub	melh₂-
🧼	verb	wash	lewh₃-, neygʷ-
🚶←🪨	verb	pull	tragʰ-
🪨←🚶	verb	push	trenkʷ-, (s)tew-
🤾	verb	throw	swep-
🪢	verb	tie	yewg-
🪡	verb	sew	syuh₁-
🧮	verb	count	dol-, del-
💬	verb	say	sekʷ-, wéwket
🎤	verb	sing	kan-, sengʷʰ-
🎈	verb	float	plew-
	verb	flow	plew-
🧊	verb	freeze	gel-
	verb	swell	tewh₂-
☀️	noun	sun	sóh₂wl̥
🌙	noun	moon	mḗh₁n̥s, lówksneh₂
⭐	noun	star	h₂stḗr
💧	noun	water	h₂ekʷeh₂, h₂ep-, wódr̥
🌧️	noun	rain	h₂ekmon
🏞️	noun	river	h₂ékʷeh₂
🚣‍♂️	noun	lake	léymō
🏞️	noun	river	h₂ep-
⛵	noun	sea	móri
🧂	noun	salt	séh₂ls
💎	noun	stone	h₂éḱmō
⛱️	noun	sand	sámh₂dʰos
💨	noun	dust	pers-
🪨	noun	earth	dʰéǵʰōm
☁️	noun	cloud	nébʰos
🌫️	noun	fog	snewdʰ-
🌌	noun	sky	dyḗws
💨	noun	wind	ḱewero-, h₂wéh₁n̥ts
🌨️	noun	snow	snóygʷʰos
🧊	noun	ice	yeǵ-
🚬	noun	smoke	dʰuh₂mós
🔥	noun	fire	h₁eh₂ter-, h₁n̥gʷnis, péh₂wr̥
⚱️	noun	ash	h₃és-no-, h₃és-i-
	verb	burn	dʰegʷʰ-, swel-, h₁ews-
🛣️	noun	road	pónth₁s
⛰️	noun	mountain	men-, bʰerǵʰ-
🟥	adjective	red	h₁rewdʰós
🟩	adjective	green	ǵʰelh₃-, gʰreh₁-
🟨	adjective	yellow	ǵʰelh₃-
🟫	adjective	brown	bʰerh-
⬛	adjective	black	swordós, h₂ems-, kr̥snós
⬜	adjective	white	h₂elbʰós
🌫️	adjective	grey	pelh-
🏙️	noun	light	h₁lengʷʰ-
🌃	noun	darkness	h₁régʷos, (s)ḱeh₃-, témhos
🌃	noun	night	nókʷts
🌅🏙️🌇🌃	noun	day	h₂eǵh-, dei-n-
🌅	noun	morning	h₂éwsōs
🌇	noun	evening	wek(ʷ)speros
←📅	noun	yesterday	dʰǵʰyésteros, dʰǵʰyes-
📅	noun	month	mḗh₁n̥s
🌱🌿🍂☃️	noun	year	yeh₁-, wétos
🌱	noun	spring	wósr̥
🌿	noun	summer	semh₂-
🪂	noun	fall	(s)h₁es-
☃️	noun	winter	ǵʰéyōm
	adjective	warm	tep-, gʷʰer-
🥶	adjective	cold	gel-
🥛	adjective	full	pl̥h₁nós
🆕	adjective	new	néwos
🧓	adjective	old	sénos
	adjective	good	bʰed-, h₁su-, h₁wésus
	adjective	bad	h₂wap-, dus-
🧟	adjective	rotten	pu-
💩	adjective	dirty	swerd-
📏	adjective	straight	h₃reǵtós
🔪	adjective	sharp	h₁edʰ-, h₂ḱrós
🥄	adjective	dull	dʰwel-
	adjective	smooth	gʰleh₂dʰ-
💦	adjective	wet	wed-
🌵	adjective	dry	ters-
	adjective	correct	weh₁-
	adjective	near	h₁opi, h₁epi, h₂énti
	adjective	far	wi
→	adjective	right	deḱs-
←	adjective	left	leh₂ywós
🏠🧍	preposition	at	h₁epi, opi, h₂éd, h₃ebʰi, h₃bʰi
	preposition	in	h₁en, h₁(e)ntér
🧍🧍	preposition	with	ḱóm, pe, me
	conjunction	and	-kʷe, de, nu, h₁é
📛	noun	name	h₁nómn̥
	verb	cover	(es)t
🍬	adjective	sweet	swéh₂dus, délkus
🍋	adjective	sour, salty	súhros
🍵	adjective	bitter	h₂eh₃mós
🌾	noun	grain	ǵr̥h₂nóm, dʰohnéh₂
🍎	noun	apple	h₂ébōl
	noun	acorn	gʷelh₂-
🧃	noun	juice	sokʷós
🍺	noun	beer	h₂elut-
🍷	noun	wine	wéyh₁ō
🥛	noun	milk	h₂melǵ-
🍯	noun	honey	mélit, kn̥h₂ónks
👦	noun	brother	bʰréh₂tēr
👧	noun	sister	swésōr
👨‍👩‍👦	noun	son	suhnús
👨‍👩‍👧	noun	daughter	dʰugh₂tḗr
👴	noun	uncle, grandfather	h₂éwh₂os
👧	noun	niece, granddaughter	néptih₂
👦	noun	nephew, grandson	népōts
🥈	noun	silver	h₂r̥ǵn̥tóm
🥇	noun	gold	h₂eus
🥉	noun	bronze	h₂éyos
	noun	charcoal	h₁óngʷl̥
	verb	turn	kʷel-
🛞	noun	wheel	kʷékʷlos
	noun	axle	h₂eḱs-
🚙	noun	vehicle	ḱr̥sós
🏠	noun	house	dṓm
🛖	noun	dwelling	h₂wóstu
🚪	noun	door	dʰwṓr
<sub>🐛</sub>	noun	leech	leech
<sub>🐜</sub>	noun	flea	plúsis
🐝	noun	bee	bʰey-
🐜	noun	ant	morwi-
🐝	noun	wasp	wóps
🦈	noun	whale, shark	(s)kʷálos
🐉	noun	dragon, serpent	h₁ógʷʰis
🦅	noun	eagle	h₃érō
🦢	noun	crane	gerh₂ḗn
🐦	noun	sparrow	spḗr
🐦	noun	goose	ǵʰh₂éns
🦆	noun	duck	h₂énh₂ts
🐦	noun	woodpecker, magpie	(s)peyk-
🐄	noun	cow	h₂eǵʰ-
🐎	noun	horse	ǵʰéyos
🐖	noun	hog, pig, swine	suh-
🐑	noun	sheep	h₂ówis
🐐	noun	goat	h₂eyǵ-
🐄🐄	noun	cattle	gʷṓws
🐄🐖🐓	noun	livestock	péḱu
🦬🦬	noun	flock, herd	h₂ger-
🐕	noun	dog	ḱwṓ
🐺	noun	wolf	wĺ̥kʷos
🐻	noun	bear	h₂ŕ̥tḱos
🦌	noun	deer, elephant	h₁el
🦫	noun	beaver	bʰébʰrus
🦔	noun	hedgehog	ǵʰḗr
🐁	noun	mouse	múh₂s
🐎	noun	stallion	h₁éḱwos
🐎	noun	mare	h₁éḱweh₂
🐂	noun	bull	uksḗn, táwros
🐄	noun	she-cow	woḱéh₂
🐄	noun	heifer	steríh₂s
🐷	noun	piglet	pórḱos
🐑	noun	lamb	h₂egʷnós
🐏	noun	ram	wr̥h₁ḗn, moysós
🐐	noun	he-goat	kápros
🦌	noun	buck	bʰuǵ-
🪺	noun	nest	nisdós
🐂	noun	yoke	yugóm
↘🐄	noun	hoof	ḱoph₂ós
🧥	noun	wool	h₂wĺ̥h₁neh₂
🌳	noun	oak	pérkus
🌳	noun	ash tree	heh₃s-
🌳	noun	alder	wern-
🌳	noun	birch	bʰerhǵós
🌳	noun	beech	bʰeh₂ǵos
🌳	noun	elm	h₁élem
	noun	fern	p(t)erh-
	noun	moss	mews-
	noun	cereal, barley	yéwos, h₂élbʰit
🌾	noun	rye	hrugʰís
🌾	noun	wheat	puhrós
	noun	awl	h₁ólos
⛏️	noun	adze	h₃edʰḗs
