*	*	*	*	present	present	past	past	present	present		
be-inherently	indicative	1	dual	𐍃𐌹𐌾𐌿	siju	𐍅𐌴𐍃𐌿	wēsu	—	—		
be-inherently	indicative	2	dual	𐍃𐌹𐌾𐌿𐍄𐍃	sijuts	𐍅𐌴𐍃𐌿𐍄𐍃	wēsuts	—	—		
be-inherently	indicative	1	plural	𐍃𐌹𐌾𐌿𐌼	sijum	𐍅𐌴𐍃𐌿𐌼	wēsum	—	—		
be-inherently	indicative	2	plural	𐍃𐌹𐌾𐌿𐌸	sijuþ	𐍅𐌴𐍃𐌿𐌸	wēsuþ	—	—		
be-inherently	indicative	3	plural	𐍃𐌹𐌽𐌳	sind	𐍅𐌴𐍃𐌿𐌽	wēsun	—	—		
be-inherently	subjunctive	2	singular	𐍃𐌹𐌾𐌰𐌿	sijau	𐍅𐌴𐍃𐌾𐌰𐌿	wēsjau	—	—		
be-inherently	subjunctive	3	singular	𐍃𐌹𐌾𐌰𐌹𐍃	sijais	𐍅𐌴𐍃𐌴𐌹𐍃	wēseis	—	—		
be-inherently	subjunctive	2	dual	𐍃𐌹𐌾𐌰𐌹	sijai	𐍅𐌴𐍃𐌹	wēsi	—	—		
be-inherently	subjunctive	2	plural	𐍃𐌹𐌾𐌰𐌹𐍅𐌰	sijaiwa	𐍅𐌴𐍃𐌴𐌹𐍅𐌰	wēseiwa	—	—		
be-inherently	subjunctive	3	plural	𐍃𐌹𐌾𐌰𐌹𐍄𐍃	sijaits	𐍅𐌴𐍃𐌴𐌹𐍄𐍃	wēseits	—	—		
be-inherently	subjunctive	1	plural	𐍃𐌹𐌾𐌰𐌹𐌼𐌰	sijaima	𐍅𐌴𐍃𐌴𐌹𐌼𐌰	wēseima	—	—		
be-inherently	subjunctive	2	plural	𐍃𐌹𐌾𐌰𐌹𐌸	sijaiþ	𐍅𐌴𐍃𐌴𐌹𐌸	wēseiþ	—	—		
be-inherently	subjunctive	3	plural	𐍃𐌹𐌾𐌰𐌹𐌽𐌰	sijaina	𐍅𐌴𐍃𐌴𐌹𐌽𐌰	wēseina	—	—		
be-inherently	imperative	2	singular	—	—						
be-inherently	imperative	3	singular	—	—						
be-inherently	imperative	2	dual	—	—						
be-inherently	imperative	2	plural	—	—						
be-inherently	imperative	3	plural	—	—						
be-inherently	participle			𐍅𐌹𐍃𐌰𐌽𐌳𐍃	wisands	𐍅𐌹𐍃𐌰𐌽𐍃	wisans				
be-inherently	infinitive			𐍅𐌹𐍃𐌰𐌽	wisan	𐍅𐌹𐍃𐌰𐌽	wisan	𐍅𐌹𐍃𐌰𐌽	wisan	#	class 5 strong
be-inherently	indicative	1	singular	𐍅𐌹𐍃𐌰	wisa	𐍅𐌰𐍃	was	𐍅𐌹𐍃𐌰𐌳𐌰	wisada		
be-inherently	indicative	2	singular	𐍅𐌹𐍃𐌹𐍃	wisis	𐍅𐌰𐍃𐍄	wast	𐍅𐌹𐍃𐌰𐌶𐌰	wisaza		
be-inherently	indicative	3	singular	𐍅𐌹𐍃𐌹𐌸	wisiþ	𐍅𐌰𐍃	was	𐍅𐌹𐍃𐌰𐌳𐌰	wisada		
be-inherently	indicative	1	dual	𐍅𐌹𐍃𐍉𐍃	wisōs	𐍅𐌴𐍃𐌿	wēsu	—	—		
be-inherently	indicative	2	dual	𐍅𐌹𐍃𐌰𐍄𐍃	wisats	𐍅𐌴𐍃𐌿𐍄𐍃	wēsuts	—	—		
be-inherently	indicative	1	plural	𐍅𐌹𐍃𐌰𐌼	wisam	𐍅𐌴𐍃𐌿𐌼	wēsum	𐍅𐌹𐍃𐌰𐌽𐌳𐌰	wisanda		
