motion	attribute	# sytsematic case name	PIE case name
		nominative	nominative
		vocative	vocative
		accusative	accusative
	of	genitive	genitive
using	the location of	location used	instrumental
from	the location of	origin	ablative
in	the location of	location	locative
to	the location of	destination	dative
using	the location of	location used	instrumental
from	the vicinity of	starting vicinity	ablative
in	the vicinity of	vicinity	locative
to	the vicinity of	ending vicinity	dative
using	the vicinity of	approximate location used	instrumental
from	the interior of	exit	ablative
in	the interior of	interior	locative
to	the interior of	entrance	dative
using	the interior of	interior used	instrumental
from	the surface of	starting surface	ablative
in	the surface of	surface	locative
to	the surface of	ending surface	dative
using	the surface of	surface used	instrumental
from	the presence of	catalyst	instrumental
in	the presence of	presence	instrumental
to	the presence of	product	dative
using	the presence of	object used	instrumental
from	the aid of	enabler	instrumental
in	the aid of	assistance	instrumental
to	the aid of	enabled	dative
using	the aid of	assistance used	instrumental
from	the aid of	enabler	instrumental
in	the aid of	assistance	instrumental
to	the aid of	enabled	dative
using	the aid of	assistance used	instrumental
from	the lack of	inhibitor	instrumental
in	the lack of	absence	instrumental
to	the lack of	aversion	dative
using	the lack of	absence used	instrumental
from	the interest of	causal premise	dative
in	the interest of	interest	dative
to	the interest of	causal goal	dative
using	the interest of	interest used	instrumental
from	the ownership of	starting possession of	genitive
in	the ownership of	possession of	genitive
to	the ownership of	ending possession of	genitive
using	the ownership of	ownership used	dative
from	the time of	starting time	ablative
in	the time of	time	instrumental
to	the time of	ending time	dative
using	the time of	time used	instrumental
from	the state of being	starting state	instrumental
in	the state of being	state	instrumental
to	the state of being	ending state	instrumental
using	the state of being	state used	instrumental
from	the topic of	topical premise	ablative
in	the topic of	topic	locative
to	the topic of	topical goal	dative
using	the topic of	topic used	instrumental
in	the company of		locative
in	the resemblance of	resemblance	
