# official names for grammatical cases are hard to follow,					
# so we refer to all grammatical cases using the following names, where applicable					
		dynamic	static	dynamic	static
		from	in/on/at/with	to	accomplished by
	the location of	origin	location	destination	location used
	the interior of	exit	interior	entrance	interior used
	the surface of	starting surface	surface	ending surface	surface used
	the vicinity of	starting vicinity	vicinity	ending vicinity	approximate location used
	the possession of	starting owner	owner	ending owner	owner used
	the ownership of	starting ownership	ownership	ending ownership	ownership used
	the time of	starting time	time	ending time	time used
	the state of being	starting state	state	ending state	state used
	the resemblance of	starting resemblance	resemblance	ending resemblance	resemblance used
	the topic of	topical premise	topic	topical goal	logical method used
	the company of	starting company	company	ending company	
	the presence of	catalyst	presence	product	object used
	the lack of	inhibitor	absence	aversion	absence used
	the aid of	enabler	assistance	enabled	assistance used
	the interest of	causal premise	interest	causal goal	consideration used
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
	nominative	ház			
	accusative	házat			
	dative	háznak			
	genitive	házé			
	locative				
	lative				
	vocative				
