														
#				active	active	active	active	active	active	active	active	active	active	
#				indicative	indicative	indicative	indicative	indicative	indicative	subjunctive	subjunctive	subjunctive	subjunctive	
#voice	verb	voice	mood	present	future	imperfect	perfect	future-perfect	pluperfect	present	imperfect	perfect	pluperfect	
active	be	1	singular	sum	erō	eram	fuī	fuerō	fueram	sim	essem	fuerim	fuissem	
active	be	2	singular	es	eris	erās	fuistī	fuerīs	fuerās	tūsīs	tūessēs	tūfuerīs	tūfuissēs	
active	be	3	singular	est	erit	erat	fuit	fuerit	fuerat	sit	esset	fuerit	fuisset	
active	be	1	plural	sumus	erimus	erāmus	fuimus	fuerīmus	fuerāmus	sīmus	essēmus	fuerīmus	fuissēmus	
active	be	2	plural	estis	eritis	erātis	fuistis	fuerītis	fuerātis	sītis	essētis	fuerītis	fuissētis	
active	be	3	plural	sunt	erunt	erant	fuērunt/fuēre	fuerint	fuerant	sint	essent	fuerint	fuissent	
imperative	be	1	singular		estō									
imperative	be	2	singular	es	is estō									
imperative	be	3	singular		estō									
imperative	be	1	plural		estō									
imperative	be	2	plural	este	estōte									
imperative	be	3	plural		ei suntō									
														
active	be able	1	singular	possum	poterō	poteram	potuī	potuerō	potueram	possim	possem	potuerim	potuissem	
active	be able	2	singular	potes	poteris	poterās	potuistī	potuerīs	potuerās	tūpossīs	tūpossēs	tūpotuerīs	tūpotuissēs	
active	be able	3	singular	potest	poterit	poterat	potuit	potuerit	potuerat	possit	posset	potuerit	potuisset	
active	be able	1	plural	possumus	poterimus	poterāmus	potuimus	potuerīmus	potuerāmus	possīmus	possēmus	potuerīmus	potuissēmus	
active	be able	2	plural	potestis	poteritis	poterātis	potuistis	potuerītis	potuerātis	possītis	possētis	potuerītis	potuissētis	
active	be able	3	plural	possunt	poterunt	poterant	potuērunt/-ēre	potuerint	potuerant	possint	possent	potuerint	potuissent	
														
active	want	1	singular	volō	volam	volēbam	voluī	voluerō	volueram	velim	vellem	voluerim	voluissem	
active	want	2	singular	vīs	volēs	volēbās	voluistī	voluerīs	voluerās	tūvelīs	tūvellēs	tūvoluerīs	tūvoluissēs	
active	want	3	singular	vult	volet	volēbat	voluit	voluerit	voluerat	velit	vellet	voluerit	voluisset	
active	want	1	plural	volumus	volēmus	volēbāmus	voluimus	voluerīmus	voluerāmus	velīmus	vellēmus	voluerīmus	voluissēmus	
active	want	2	plural	vultis	volētis	volēbātis	voluistis	voluerītis	voluerātis	velītis	vellētis	voluerītis	voluissētis	
active	want	3	plural	volunt	volent	volēbant	voluērunt/-ēre	voluerint	voluerant	velint	vellent	voluerint	voluissent	
														
active	go	1	singular	eō	ībō	ībam	iī/īvī	ierō	ieram	eam	īrem	ierim	īssem	
active	go	2	singular	īs	ībis	ībās	iistī	ierīs	ierās	tūeās	tūīrēs	tūierīs	tūīssēs	
active	go	3	singular	it	ībit	ībat	iit	ierit	ierat	eat	īret	ierit	īsset	
active	go	1	plural	īmus	ībimus	ībāmus	iimus	ierīmus	ierāmus	eāmus	īrēmus	ierīmus	īssēmus	
active	go	2	plural	ītis	ībitis	ībātis	iistis	ierītis	ierātis	eātis	īrētis	ierītis	īssētis	
active	go	3	plural	eunt	ībunt	ībant	iērunt/iēre	ierint	ierant	eant	īrent	ierint	īssent	
														
active	love	1	singular	amō	amābō	amābam	amāvī	amāverō	amāveram	amem	amārem	amāverim	amā(vi)ssem	
active	love	2	singular	amās	amābis	amābās	amāvistī	amāverīs	amāverās	tūamēs	tūamārēs	tūamāverīs	tūamāssēs	
active	love	3	singular	amat	amābit	amābat	amāvit	amāverit	amāverat	amet	amāret	amāverit	amāsset	
active	love	1	plural	amāmus	amābimus	amābāmus	amāvimus	amāverīmus	amāverāmus	amēmu	amārēmus	amāverīmus	amāssēmus	
active	love	2	plural	amātis	amābitis	amābātis	amāvistis	amāverītis	amāverātis	amētis	amārētis	amāverītis	amāssētis	
active	love	3	plural	amant	amābunt	amābant	amāvērunt/-ēre	amāverint	amāverant	ament	amārent	amāverint	amāssent	
passive	love	1	singular	amor	amābor	amābar	amātus sum	amātus erō	amātus eram	amer	amārer	amātus sim	amātus essem	
