Buck_ID	English			Latin	Ancient Greek	Proto Indo European
14-640	Tuesday	noun		diēs Martis|tertia fēria	tritē sab'batū|hē'merā 'areōs	
14-650	Wednesday	noun		diēs Mercurī|quarta fēria	te'tartē sab'batū|hē'merā her'mū	
14-660	Thursday	noun		diēs Iovis|quīnta fēria	pemptē sab'batū|hē'merā di'os	
14-670	Friday	noun		diēs Veneris|sexta fēria	paraskeu'ē|hē'merā apʰro'ditēs	
14-680	Saturday	noun		diēs Sāturnī|sabbatum	sabbaton|hē'merā 'kronū	
14-710	month	noun		mēnsis	mēn	
14-730	year	noun		annus	etos|eniau'tos	*(h₁)ye ̄r(o/e)hₐ-, *wet-
14-740	winter	noun		hiems	kʰei'mōn	*gˆheim-
14-750	spring	noun		vēr	ear	*we ́sr̥
14-760	summer	noun		aestās	tʰeros	*sem-
14-770	autumn	noun		autumnus	pʰtʰi'nopōron	*h₁esen-
14-780	season	noun		tempus|tempestās	hōrā|kai'ros	*(h₁)ye ̄r(o/e)hₐ-
15-210	smell	verb		olfacere|odōrārī	ozō	
15-212	sniff	verb			hrīnēla'teō|o'spʰrainomai	
15-220	smell	verb		olēre|fragrāre	o'spʰrainomai|o'smē	
15-250	fragrant|good smelling	adjective		fragrāns|odōrifer|suāvis	eu'ōdēs	
15-260	stinking|bad smelling	adjective		foetidus|pūtidus	du'sōdēs	
15-310	taste	verb		gustāre|sapere	geuomai	*gˆeus-
15-350	sweet	adjective		dulcis|suāvis	glu'kus|hē'dus	
15-360	salty	adjective		salsus	halmu'ros	
15-370	bitter	adjective		amārus	pi'kros	*h₂ em-, *h₂ em-ro-s
15-380	acid|sour	adjective		acidus|acerbus	o'ksus|o'ksinēs	*h₂ emros
15-390	brackish	adjective		salsus|amārus	halmu'ros|hal'mōdēs	
15-410	hear	verb		audīre	a'kūō|'kluō	*kˆleu-, *kˆleus-
15-420	listen	verb		auscultāre	akro'aomai	
15-440	sound|noise	noun		sonus	psopʰos|ē'kʰē|'ēkʰos|'kelados	*dhwen-, *gˆhwonos, *kˆle ́utrom
15-450	loud	adjective		magnus|clārus	ē'kʰēeis|tʰoru'bōdēs|keladei'nos	
15-460	quiet|silence	adjective		quiētus|tranquillus	hēre'miā|hēsu'kʰiā	*h₁erh₁-|*kʷ
15-510	see	verb		vidēre	ho'raō|'derkomai	*derkˆ-|*legˆ-|*leuk-|*sekʷ-|*weid-|*wel-|*wet-
15-520	look|look at	verb		aspicere	blepō|'skeptomai	
15-550	show	verb		mōnstrāre|ostendere	deiknūmi|'pʰainō	*deikˆ-|*d(h)ekʷ s-
15-560	shine	verb		lūcēre|nitēre|splendēre|candēre	lampō|pʰa'einō|'stilbō	*bheh₂-|*bhel-|*bherhₓ gˆ-|*bhleg|*dei-|*deiw-|*ghel-|*hₐ ewes-|*kˆeuk-|*lap-|*leuk-|*mer-|*(s)kand-|*(s)plend-|*sweid-
15-570	bright	adjective		clārus|lūcidus|nitidus	lam'pros|pʰaei'nos|pʰai'dros	*dei-|*gˆhers-|*leuko ́s|*(s)koitro ́s
15-610	color	noun		color	kʰrōma	
15-620	light	adjective		clārus	leu'kos	
15-630	dark	adjective		fuscus|pullus	melās|kelai'nos	*dh(o)ngu-|*to ́mhₓ es-
15-640	white	adjective		albus|candidus	leu'kos|ar'gos	*bhelh₁-|*h₂ergˆ-|*h₂ r̥ gˆ(u)|*h₄elbho ́s|*kˆweitos
15-650	black	adjective		sort	preto|negro	*kʷ r̥sno ́s|*mel-n-
15-660	red	adjective		ruber|rūfus|russus	eru'tʰros	*h₁ei-|*h₁ elu-|*h₁ reudh-|*kˆo ́unos
15-670	blue	adjective		caeruleus	ku'aneos	*kˆer- ~ *kˆr̥-wos|modheros
15-680	green	adjective		viridis	kʰlō'ros	*kˆer- ~ *kˆr̥-wos|*kˆyeh₁-|*modheros
15-690	yellow	adjective		flāvus|helvus	ksan'tʰos	*gˆhel- ~ *ghel-
15-710	touch	verb		tangere tāctus	haptomai|'psauō	*deg-|*ml̥kˆ-
15-712	pinch	verb		vellicāre	nussō	
15-720	feel	verb		temptāre|palpāre	ai'stʰanomai	
15-740	hard	adjective		dūrus	sklē'ros	*kar-|*sth₂ei-
15-750	soft	adjective		mollis	mala'kos	*meldh-|*mel(h₁)-
15-760	rough	adjective		asper	trā'kʰus	*kreup-
15-770	smooth	adjective		lēvis	leios	
15-780	sharp	adjective		acūtus	o'ksus|o'ksuthēktos	
15-790	blunt|dull	adjective		hebes|obtūsus	am'blus	
15-810	heavy	adjective		gravis	ba'rus	
15-820	light-weight	adjective		levis	ela'phros	
15-830	wet|damp	adjective		ūmidus|madidus|ūvidus	hu'gros|'notios|note'ros	
15-840	dry	adjective		siccus|āridus	ksē'ros|'auos	
15-850	hot	adjective		calidus	tʰer'mos	
15-851	warm	adjective		calidus	kʰlia'ros|hu'potʰermos|tʰer'mos	
15-860	cold	adjective		frīgidus|gelidus	psū'kʰros|krue'ros|kru'oeis	
15-870	clean	adjective		mundus|pūrus	katʰa'ros	
15-880	dirty|soiled	adjective		sordidus|squālidus	hrupa'ros|a'katʰartos	
15-890	wrinkled	adjective		rūgātus|rūgōsus	hrū'sos|hruti'dōdēs	
16-110	soul|spirit	noun		anima|animus|spīritus	psū'kʰē|tʰū'mos|'pneuma	
16-150	surprised|astonished	adjective		admīrātiō|stupor	tetʰē'pōs|ekpeplēg'menos	
16-180	good fortune|luck	noun		fortūna secunda	tukʰē|eutu'kʰiā	
16-190	misfortune|bad luck	noun		fortūna adversa|infortūnium	sumpʰo'rā|du'stukʰēma|a'tukʰēma|'patʰos|'patʰēma	
16-230	joyful|glad|happy	adjective		gaudium|laetitia|laetus	hila'ros|'eutʰumos|pʰai'dros	
16-250	laugh	verb		rīdēre|rīdēre	ge'laō	
16-251	smile	verb		subrīdēre	meidi'aō	
16-260	play	verb		lūdere	paizō|a'tʰūrō	
16-270	love	verb		amor|cāritās|dīligere	erōs|pʰi'liā|stor'gē|e'raō|aga'paō|pʰi'leō|'stergō	
16-290	kiss	verb		ōsculārī|sāviārī|bāsiāre	pʰi'leō|ku'neō	
16-300	embrace	verb		amplectī|complectī	peri'ptussō|peri'plekomai	
16-310	pain	noun		dolor	algos|o'dunē|'patʰos|'patʰēma	
16-320	grief|sorrow|sadness	noun		dolor|aegritudō|trīstis	lūpē|'algos|o'dunē	
16-330	anxiety|worry	noun		anxietās	apo'riā|'merimna|adēmo'niā	
16-340	regret|be sorry	verb		paenitēre	meta'melei|metano'eō	
16-350	pity	noun		misericordia	eleos|'oiktos	
16-370	cry|weep	verb		flēre|plōrāre	klaiō	
16-380	tear	noun		lacrima	dakru	
16-390	groan	verb		gemere	stenō|ste'nazō	
16-410	hate	verb		odium	mīsos|'ekʰtʰrā	
16-420	anger	noun		īra	or'gē|'kʰolos|kʰo'lē|'mēnis|tʰū'mos	
16-440	envy|jealousy	noun		invidia|līvor|aemulātiō	pʰtʰonos|zēlotu'piā|'zēlos	
16-450	shame	noun		pudor|verēcundia	ai'dōs|ai'skʰūnē	
16-480	proud	adjective		superbus	hupe'rēpʰanos	
16-510	dare	verb		audēre	tol'maō|tʰar'reō|tʰar'seō	
16-520	brave	adjective		fortis|animōsus|audāx	tʰra'sus|tolmē'ros|aga'tʰos	
16-530	fear|fright	noun		timor|metus|pavor|terror	deos|'pʰobos	
16-540	danger	noun		perīculum|discrīmen	kindūnos	
16-620	desire|want	verb		cupere|dēsīderāre	epitʰū'meō|po'tʰeō	
16-622	choose	verb		dēligere|optāre|sūmere	hai'reomai|e'klegō	
16-630	hope	noun		spēs	el'pis	
16-650	faithful	adjective		fīdus|fidēlis	pi'stos	
16-660	TRUE	adjective		vērus	alē'tʰēs	
16-670	lie|tell lies	verb		mendācium	pseudomai	
16-680	deceit	noun		fraus|dolus	a'patē|'dolos	
16-690	forgive	verb		ignōscere|remittere|perdōnāre	suŋgi'gnōskō	
16-710	good	adjective		bonus	aga'tʰos|ka'los	
16-720	bad	adjective		malus	ka'kos	
16-730	right|correct	adjective		iūstus|rēctus	dikaios|akri'bēs|or'tʰos	
16-740	wrong	adjective		iniūstus	plēmme'lēs|hamarta'nomenos|hēmartē'menos	
16-760	fault	noun		culpa|noxa	spʰalma|ai'tiā	
16-770	mistake|error	noun		error|errātum	hamar'tiā|'spʰalma	
16-780	blame	noun		reprehēnsiō|vituperātiō	mom'pʰē|'oneidos|'psogos|'mōmos	
16-790	praise	verb		laus	epainos|'ainos	
16-810	beautiful	adjective		pulcher|fōrmōsus|bellus	ka'los|euei'dēs|'eumorpʰos|ō'raios	
16-820	ugly	adjective		dēfōrmis|turpis	dusei'dēs|'dusmorpʰos|ais'kʰros	
16-830	greedy	adjective		avidus|cupidus|avārus	a'korestos|'aplēstos|'likʰnos|'laimargos	
16-840	clever	adjective		intellegēns	so'pʰos|sune'tos|dei'nos|'empeiros	
17-110	mind	noun		mēns|animus	nūs	
17-130	think|reflect	verb		cōgitāre	enno'eō|pʰro'neō	
17-140	think	verb		arbitrārī|opīnārī	no'mizō|hē'geomai	
17-150	believe	verb		crēdere	peitʰomai|pi'steuō	
17-160	understand	verb		intellegere|comprehendere	su'niēmi|sunno'eō|enno'eō|katalam'banō	
17-170	know	verb		scīre|nōscere|cognōscere	oida|e'pistamai|gi'gnōskō	
17-171	guess	verb		conjicere|augurārī	ei'kazō|tek'mairomai|man'teuomai	
17-172	imitate	verb		imitārī	mī'meomai	
17-180	seem	verb		vidērī	pʰainomai|do'keō	
17-190	idea|notion	noun		idea	ennoia|i'deā	
17-210	wise	adjective		sapiēns|prūdēns	so'pʰos|'pʰronimos|'sōpʰrōn	
17-220	foolish|stupid	adjective		stultus|fatuus|stolidus	apʰrōn|mō'ros|blaks|a'noētos|ē'litʰios	
17-230	insane|crazy	adjective		insānus|āmēns|dēmēns	mani'kos|mai'nomenos|lus'sōdēs|lussoma'nēs	
17-240	learn	verb		discere	man'tʰanō	
17-242	study	verb		studēre	mele'taō	
17-250	teach	verb		docēre	di'daskō	
17-260	pupil	noun		discipulus|alumnus	matʰē'tēs|pʰoitē'tēs	
17-270	teacher	noun		doctor|magister	di'daskalos	
17-280	school	noun		lūdus|schola	didaska'leion|skʰo'leion	
17-310	remember	verb		meminisse|reminiscī|recordārī	memnēmai|mi'mnēskomai	
17-320	forget	verb		oblīvīscī	epilan'tʰanomai|lan'tʰanomai	
17-340	clear|plain	adjective		clārus|plānus|apertus|ēvidēns	dēlos|sa'pʰēs|enar'gēs	
17-350	obscure	adjective		obscūrus	asa'pʰēs|'adēlos|skotei'nos	
17-360	secret	adjective		occultus|sēcrētus|clandestīnus	kru'ptos|la'tʰraios	
17-370	sure|certain	adjective		certus	bebaios|aspʰa'lēs	
17-380	explain	verb		explānāre|explicāre|expōnere	eksē'geomai|sapʰē'nizō	
17-410	intention|purpose	noun		cōnsilium|prōpositum	pronoia|'gnōmē|'protʰesis|di'anoia	
17-420	cause	verb		causa	ekka'leō|proka'leomai	
17-430	doubt	verb		dubitātiō|dubium	api'stiā|distag'mos	
17-440	suspect	verb		suspīciō	hupo'psiā|hu'ponoia	
17-441	betray	verb		trādere|prōdere	pro'didōmi	
17-450	need|necessity	noun		opus|necessitās	kʰreiā|a'naŋkē	
17-460	easy	adjective		facilis	hrāidios|'eukolos	
17-470	difficult	adjective		difficilis	kʰale'pos|'duskolos	
17-480	try|attempt	verb		experīrī|temptāre|probāre	pei'raomai|apopei'raomai|epikʰei'reō	
17-490	way|manner	noun		modus	tropos	
17-510	and	conjunction		ac|et|-que|atque	kai|te	
17-520	because	conjunction		quia|quod|quoniam	e'pei|epei'dē|di'oti	
17-530	if	conjunction		sī	ei|e'an|an|ēn	
17-540	or	conjunction		an|aut|vel|seu|sīve	ē|'eite|'ētoi	
17-550	yes|affirmative	particle		etiam|immō|ita|sānē|certē|quippe|scīlicet	nai|'panu ge	
17-560	no|negative	particle		nōn|minimē	ū'kʰi|ūda'mōs|ū	
17-610	how	adverb		quārē|quōmodō	pōs	
17-620	how many	adjective		quantī	posoi	
17-630	how much	adjective		quantum	poson	
17-640	what	noun		quid	ti	
17-650	when	adverb		quandō	pote|pē'nika	
17-660	where	adverb		ubi	pū	
17-670	which	adjective		quis|uter	poios	
17-680	who	noun		quis	tis	
17-690	why	adverb		quārē	di'a ti|'tinos 'heneka	
18-110	voice	noun		vōx	pʰō'nē	
18-120	sing	verb		canere	a'eidō|'āidō	
18-130	shout|cry out	verb		clāmāre	bo'aō|'krazō|krau'gazō	
18-150	whisper	verb		susurrāre	psitʰu'rizō	
18-160	mumble	verb		murmurāre	psel'lizō	
18-170	whistle	verb		fistulāre	sū'rizō|'sizō|hroi'zeō	
18-180	shriek|screech	verb		exclāmāre	krau'gazō|ala'lazō	
18-190	howl	verb		ululāre	olo'lūzō|ō'rūomai	
18-210	speak|talk	verb		loquī|fārī	legō|ago'reuō|la'leō|homī'leō	
18-211	stutter|stammer	verb		balbūtīre	trau'lizō|batta'rizō	
18-220	say	verb		dīcere	mū'tʰeomai|'legō|pʰē'mi	
18-221	tell story	verb		narrāre|memorāre|referre	mū'tʰeomai|diē'geomai|apʰē'geomai|eksē'geomai	
18-222	speech	verb		dēclāmāre|ōrātiōnem facere	ago'reuō|dēmēgo'reō	
18-230	silent	adjective		tacēre|silēre	siō'paō|sī'gaō	
18-240	language	noun		lingua|ōrātiō|sermō	glōssa|pʰō'nē	
18-260	word	noun		verbum|vōx	hrēma|'leksis|'epos	
18-280	name	noun		nōmen	onoma	
18-310	ask question|inquire	verb		rogāre|quaerere	erō'taō|e'reō|e'reomai	
18-320	answer	verb		respondēre	apo'krīnomai	
18-330	admit|confess	verb		fatērī|confitērī	homolo'geō	
18-340	deny	verb		negāre	ar'neomai	
18-350	ask|request	verb		poscere|petere|rogāre	ai'teō|erō'taō	
18-360	promise	verb		prōmittere	hupis'kʰneomai|epaŋ'gellō	
18-370	refuse	verb		recūsāre	ar'neomai	
18-380	forbid	verb		vetāre|prohibēre|interdīcere	apago'reuō	
18-390	rebuke|scold	verb		jurgāre|increpere|castīgāre	mempʰomai|'psegō|epitī'maō|onei'dizō|epi'plēssō	
18-410	call|summon	verb		vocāre	ka'leō	
18-420	call by name	verb		vocāre|nōmināre	ka'leomai|ono'mazomai	
18-430	announce	verb		nūntiāre	aŋ'gellō|anaŋ'gellō	
18-440	threaten	verb		minārī	apei'leō	
18-450	boast	verb		glōriārī|iactāre sē	eukʰomai|kom'peō|kom'pazō|kau'kʰaomai	
18-510	write	verb		scrībere	grapʰō	
18-520	read	verb		legere	anagi'gnōskō	
18-560	paper	noun		charta|papȳrus	kʰartēs	
18-570	pen	noun		calamus|penna	kalamos	
18-610	book	noun		liber	bublos|'biblos|bu'blion|bi'blion	
18-670	poet	noun		poēta	poiē'tēs|aoi'dos	
18-710	flute	noun		calamus|tībia|fistula	au'los	
18-720	drum	noun		tympanum	tumpanon|'tupanon	
18-730	horn|trumpet	noun		lituus|cornū	keras|'salpiŋks	
18-740	rattle	noun		crepitāculum	krotalon	
19-110	country	noun		fīnēs|terra	kʰōrā|gē	
19-120	one's native country	noun		patria		
19-150	city|town	noun		urbs|oppidum		
19-160	village	noun		vīcus		
19-170	boundary	noun		fīnis|līmes		
19-210	people|populace	noun		populus|plēbs|vulgus		
19-230	tribe|clan	noun		tribus|gēns		
19-240	chief|chieftain	noun		prīnceps		
19-250	staff|walking stick	noun		baculum		
19-310	rule|govern	verb		regere|imperāre		
19-320	king|ruler	noun		rēx		
19-330	queen	noun		rēgīna		
19-360	noble|nobleman	noun		nōbilis|patricius		
19-370	citizen|subject	noun		cīvis		
19-410	master	noun		dominus|erus		
19-420	slave	noun		servus|mancipium		
19-430	servant	noun		famulus|minister|ancilla		
19-440	freeman	noun		līber		
19-450	command|order	verb		iubēre|imperāre		
19-460	obey	verb		oboedīre|pārēre		
19-470	let|permit	verb		sinere|patī|permittere		
19-510	friend|companion	noun		amīcus		
19-520	enemy	noun		inimīcus|hostis		
19-540	neighbor	noun		vīcīnus		
19-550	stranger	noun		peregrīnus|hospes|advena		
19-560	guest	noun		hospes		
19-570	host	noun		hospes		
19-580	help|aid	verb		iuvāre|adiūtare		
19-590	hinder|prevent	verb		impedīre|obstāre|prohibēre		
19-610	custom	noun		mōs|cōnsuētūdō		
19-620	strife|quarrel	noun		līs|iūrgium|rixa		
19-630	conspiracy|plot	noun		coniūrātiō|cōnspīrātiō		
19-650	meet	verb		obviam		
19-720	prostitute	noun		meretrīx|scortum		
2-100	person|human being	noun		homō	antʰrōpos	
2-210	man	noun		vir	a'nēr	
2-220	woman	noun		mulier|fēmina	gu'nē	
2-230	male	noun		mās|masculus|masculīnus	arsēn|'arrēn	
2-240	female	noun		fēmina	tʰēlus	
2-250	boy	noun		puer	pais|'koros|'kūros	
2-251	young man	noun		adulēscēns	epʰēbos|nea'nias|mei'rakion	
2-260	girl	noun		puella	pais|'korē|par'tʰenos	
2-261	young woman	noun		puella	ne'anis|'meiraks|'korē	
2-270	child	noun		puerī	pais	
2-280	infant|baby	noun		infāns	pai'dion|'brepʰos	
2-310	husband	noun		vir|marītus|coniux	a'nēr|'posis	
2-320	wife	noun		uxor|coniux|marīta	gu'nē|'alokʰos|'akoitis	
2-330	marry	verb		dūcere uxōrem|nūbere	ga'meō|ga'meomai	
2-340	marriage|wedding	noun		coniugium|cōnūbium	gamos	
2-341	divorce	noun		dīvortium	di'azeuksis|'gamū di'alusis	
2-350	father	noun		pater	pa'tēr	*t-at- 
2-360	mother	noun		māter	mētēr	
2-370	parents	noun		parentēs	to'keis|te'kontes|go'neis	
2-380	married man	noun		vir|marītus|coniux	suzuks|'suzugos	
2-390	married woman	noun		uxor|marīta|coniux	suzuks|'suzugos	
2-410	son	noun		fīlius|nātus	hui'os	
2-420	daughter	noun		fīlia|nāta	tʰu'gatēr	
2-430	offspring	noun		nātī|līberī	pais	
2-440	brother	noun		frāter	adel'pʰos	
2-444	older brother	noun		frāter māior		
2-445	younger brother	noun		frāter minor		
2-450	sister	noun		soror	adel'pʰē	*swe ́so ̄r 
2-454	older sister	noun		soror māior		
2-455	younger sister	noun		soror minor		
2-456	sibling	noun		frāter|soror	adel'pʰoi	
2-458	twins	noun		geminī	didumoi	
2-460	grandfather	noun		avus	pappos	
2-461	old man	noun		senex|vetulus	pre'sbutēs	
2-470	grandmother	noun		avia	tētʰē|'mammē|an'nis	
2-471	old woman	noun		anus|vetula	pre'sbutis	
2-480	grandson	noun		nepōs	pai'dos 'pais|huiō'nos|hui'dūs|hui'deus|'eŋgonos	
2-490	granddaughter	noun		neptis	pai'dos 'pais|huiō'nē|'eŋgonos|eŋ'gonē	
2-510	uncle	noun		patruus|avunculus	patrōs|'mētrōs|'tʰeios	
2-511	mother's brother	noun		mātris frāter	mētrōs|mē'tradelpʰos	
2-512	father's brother	noun		patris frāter	patrōs|patroka'signētos|pa'tradelpʰos	
2-520	aunt	noun		amita|mātertera	tē'tʰis|'tʰeiā	
2-521	mother's sister	noun		mātris soror	mētrokasi'gnētē|mē'tradelpʰos	
2-522	father's sister	noun		patris soror	patrokasi'gnētē|patra'delpʰē	
2-530	nephew	noun		frātris fīlius|sorōris fīlius|nepōs	adelpʰi'dūs	
2-540	niece	noun		frātris fīlia|sorōris fīlia|neptis	adelpʰi'dē	
2-550	cousin	noun		patruēlis frāter|consobrīnus	anepsi'os|anepsi'ā	
2-560	ancestors	noun		maiōrēs	progonoi|pro'patores	
2-570	descendants	noun		prōgeniēs|posterī	ekgonoi|a'pogonoi	
2-610	father-in-law	noun		socer	pentʰe'ros	
2-611	father-in-law	noun		socer	pentʰe'ros|heku'ros	
2-620	mother-in-law	noun		socrus	pentʰe'rā	
2-621	mother-in-law	noun		socrus	pentʰe'rā|heku'rā	
2-630	son-in-law	noun		gener	gam'bros	
2-631	son-in-law	noun		gener	gam'bros	
2-640	daughter-in-law	noun		nurus	nu'os|'numpʰē	
2-641	daughter-in-law	noun		nurus	nu'os|'numpʰē	
2-710	stepfather	noun		vitricus|patrāster	patrui'os|mētrui'os	
2-720	stepmother	noun		noverca|mātrāster	mētrui'ā	
2-730	stepson	noun		prīvignus|fīliāster	progonos	
2-740	stepdaughter	noun		prīvigna|fīliāstra	progonos|pro'gonē	
2-750	orphan	noun		orbus|pūpillus|pūpilla	orpʰa'nos	
2-760	widow	noun		vidua	kʰērā	
2-770	widower	noun		viduus|caelebs	kʰēros	
2-810	relatives|kinsmen	noun		cognātī|propinquī	suŋge'neis	
2-820	family	noun		domus|familia	oikos|oi'kiā	
2-910	I	noun		ego	e'gō	
2-920	you	noun		tū	su	
2-930	he|she|it	noun		is|ea|id|ille|illa|illud	au'tos	
2-940	we	noun		nōs	hē'meis	
2-941	we	noun		nōs	hē'meis	
2-942	we	noun		nōs	hē'meis	
2-950	you	noun		vōs	hū'meis	
2-960	they	noun		ei|eae|ea|illī|illae|illa	spʰeis|au'toi	
20-110	fight	verb		pugnāre|proeliārī		
20-130	war|battle	noun		bellum|proelium		
20-140	peace	noun		pāx		
20-150	army	noun		exercitus		
20-170	soldier	noun		mīles		
20-210	weapons|arms	noun		arma|tēla		
20-220	club	noun		clāva|fūstis		
20-222	battle-ax	noun		bipennis		
20-230	sling	noun		funda		
20-240	bow	noun		arcus		
20-250	arrow	noun		sagitta		
20-260	spear	noun		hasta|lancea		
20-270	sword	noun		gladius|ēnsis		
20-280	gun|cannon	noun				
20-310	armor	noun		arma|armatūra		
20-330	helmet	noun		cassis|galea		
20-340	shield	noun		scūtum|clipeus		
20-350	fortress	noun		castellum		
20-360	tower	noun		turris		
20-410	victory	noun		victōria		
20-420	defeat	noun		clādēs		
20-430	attack	verb		impetus		
20-440	defend	verb		dēfēnsiō		
20-450	retreat	verb		receptus		
20-460	surrender	verb		dēdere|trādere		
20-470	captive|prisoner	noun		captīvus		
20-471	guard|sentinel	noun		custōdiae|custōs		
20-480	booty|spoils	noun		praeda|spolia		
20-490	ambush	verb		īnsidiae		
20-510	fisherman	noun		piscātor		
20-520	fishhook	noun		hāmus		
20-530	fishing line	noun		līnea		
20-540	fishnet	noun		verriculum|sagēna|rēte		
20-550	fish trap	noun		laqueus		
20-560	bait	noun		ēsca		
20-610	hunt	verb		vēnārī|sectārī		
20-620	shoot	verb		jactāre|jaculārī		
20-630	miss target	verb		errāre		
20-640	trap	noun		laqueus		
20-650	trap	verb		laqueāre|irrētīre		
21-110	law	noun		iūs|lēx		
21-150	court	noun		iūdicium|iūdicēs		
21-160	judge	verb		iūdicāre		
21-170	judgment	noun		iūdicium		
21-180	judge	noun		iūdex		
21-210	plaintiff	noun		petītor|accūsātor|actor		
21-220	defendant	noun		reus		
21-230	witness	noun		testis		
21-240	swear	verb		iūrāre		
21-250	oath	noun		iūs iūrandum		
21-310	accuse	verb		accūsāre		
21-320	condemn	verb		damnāre|condemnāre		
21-330	convict	verb		convincere		
21-340	acquit	verb		absolvere		
21-350	guilty	adjective		sōns|noxius		
21-360	innocent	adjective		innocēns		
21-370	penalty|punishment	noun		poena|damnum|noxa		
21-380	fine	noun		multa		
21-390	prison|jail	noun		carcer		
21-420	murder	verb		caedēs|nex|homicīdium		
21-430	adultery	noun		adulterium		
21-440	rape	noun		stuprum		
21-460	arson	noun		incendium		
21-470	perjury	noun		periūrium		
21-510	steal	verb		fūrārī		
21-520	thief	noun		fūr		
22-110	religion	noun		religiō		
22-120	God	noun		deus		
22-130	temple|church	noun		templum|aedēs		
22-140	altar	noun		āra|altāre		
22-150	sacrifice|offering	noun		sacrificium		
22-160	worship	verb		venerārī|adōrāre		
22-170	pray	verb		precārī|ōrāre		
22-180	priest	noun		sacerdōs		
22-190	holy|sacred	adjective		sacer|sanctus		
22-220	preach	verb		praedicāre		
22-230	bless	verb		benedīcere		
22-240	curse	verb		exsecrārī|maledīcere		
22-260	fast	verb		iēiūnāre		
22-310	heaven	noun		caelum		
22-320	hell	noun		inferna		
22-350	demon|evil spirit	noun		daemōn|diabolus		
22-370	idol	noun		īdōlum		
22-420	magic|witchcraft|sorcery	noun		magica ars|magicē|magia		
22-430	sorcerer|witch	noun		sāga|striga|maga		
22-440	fairy|elf	noun		nympha		
22-450	ghost|phantom	noun		mānēs|lārva|phantasma		
22-470	omen|portent	noun		ōmen|augurium|auspicium		
3-110	animal	noun		animal|bestia|ferus	zōon|tʰēr|tʰē'rion	
3-120	male	adjective		mās|masculus	arsēn|'arrēn	
3-130	female	adjective		fēmina|fēminīna	tʰēlus	
3-150	livestock	noun		pecus	ktēnē|bo'skēmata|'probata	
3-160	pasture	noun		pāscere|pāscuum	no'mos|no'mē	
3-180	herdsman	noun		pāstor	poi'mēn|bū'kolos|ai'polos	
3-190	stable|stall	noun		stabulum	statʰ'mos	
3-200	cattle	noun		bōvēs|pecus	boes	
3-210	bull	noun		taurus	tauros	*tauros 
3-220	ox	noun		bōs	būs	*uk(w)se ̄n- 
3-230	cow	noun		bōs|vacca	būs	
3-240	calf	noun		vitulus	moskʰos	
3-250	sheep	noun		ovis	ois|'probaton	
3-260	ram	noun		ariēs	krī'os	
3-280	ewe	noun		ovis	ois	
3-290	lamb	noun		agnus	a'mnos|a'rēn	
3-320	boar	noun		verrēs	kapros	
3-340	sow	noun		sūs|scrōfa|porca	hus	
3-350	pig	noun		porcus|porcellus	kʰoi'ridion|'delpʰaks	
3-360	goat	noun		capra	aiks	
3-370	he-goat	noun		hircus|caper	tragos	
3-380	kid	noun		haedus	eripʰos	
3-410	horse	noun		equus	hippos	
3-420	stallion	noun		equus admissārius	hippos|o'kʰeion	
3-440	mare	noun		equa	hippos	
3-450	foal|colt	noun		pullus|eculus	pōlos	
3-460	ass|donkey	noun		asinus	onos	
3-470	mule	noun		mūlus	hē'mionos	
3-500	fowl	noun		avis|volucris	ornitʰes|'orneis	
3-520	cock|rooster	noun		gallus	alektru'ōn|'ornis	
3-540	hen	noun		gallīna	alekto'ris|'ornis	
3-550	chicken	noun		pullus	or'nitʰion|neos'sion	
3-560	goose	noun		ānser	kʰēn	
3-570	duck	noun		anas	nēssa	
3-580	nest	noun		nīdus	pʰōle'os|pʰōle'ā|kali'ā|sē'kos	
3-581	bird	noun		avis	ornis|ptē'non|peteē'non|petei'non	
3-582	seagull	noun		gāvia	laros	
3-583	heron	noun		ardea	erōdi'os	
3-584	eagle	noun		aquila	ae'tos|aie'tos	
3-585	hawk	noun		accipiter	hi'eraks|'hirēks	
3-586	vulture	noun		vultur	gūps	
3-591	bat	noun		vespertiliō	nukte'ris	
3-592	parrot	noun		psittacus	psitta'kos	
3-593	crow	noun		cornīx	koraks	
3-594	dove	noun		columba	periste'rā	
3-596	owl	noun		ulula|noctua|strix|būbō	glauks	
3-610	dog	noun		canis	kuōn	
3-614	rabbit	noun		cunīculus	kuniklos|'koniklos	
3-620	cat	noun		fēlēs	ai'elūros|'ailūros|ga'leē|ga'lē	
3-622	opossum	noun				
3-630	mouse|rat	noun		mūs	mūs	
3-650	fish	noun		piscis	i'kʰtʰūs	
3-652	fin	noun		pinna	pte'rugion	
3-653	fishscale	noun		squāma	le'pis|lo'pis|'lepos	
3-654	gill	noun		branchiae	braŋkʰia	
3-655	shell	noun		testa|concha	ostrakon|'koŋkʰē|'koŋkʰos|koŋ'kʰulion	
3-661	shark	noun		pistrīx	karkʰa'rias	
3-662	porpoise|dolphin	noun		porculus marīnus	del'pʰis	
3-663	whale	noun		bālaena|cētus	pʰallaina|'kētos	
3-664	stingray	noun		raia	ba'tis|'batos	
3-665	freshwater eel	noun		anguilla	eŋkʰelus	
3-710	wolf	noun		lupus	lukos	
3-720	lion	noun		leō	leōn	
3-730	bear	noun		ursus	arktos	
3-740	fox	noun		vulpēs	a'lōpēks	
3-750	deer	noun		cervus	elapʰos	
3-760	monkey	noun		sīmia	pitʰēkos	
