#swadesh 207 id	part-of-speech	English	Proto-Indo-European	Proto-Germanic	Proto-Italic	Proto-Indo-Iranian	Proto-Balto-Slavic	Proto-Slavic		 Latin 	Portuguese 	Spanish 	French 	Italian	Romanian
141	verb	sing	*kan-	*singwaną	*kanō	*gáHyati	*gāˀi-, *paitei	*pěti		canere, cantāre	cantar	cantar	chanter	cantare	cânta
142	verb	play		*laikaną	*loidō			*jьgrati		lūdere, iocor	jogar	jugar	jouer	giocare	juca
143	verb	float	*plew-	*flutōną, *fleutaną	*flowitō		*plū́ˀtei	*plavati, *plyti		nāre, natāre	flutuar, boiar	flotar	flotter	galleggiare, fluttuare in the air	pluti
144	verb	flow	*plew-	*flōaną	*flūō		*tektei, *bḗˀgtei	*strujiti, *teťi		"fluere, currere (in the sense of ""running water"")"	fluir	fluir	couler	fluire, scorrere	curge
145	verb	freeze	*gel-	*freusaną	*frīgēō, *gelō			*mьrzěti, *mьrznǫti		gelāre, glaciāre (to become ice)	gelar	congelar, helar	geler	gelare, congelare, ghiacciare	îngheța
146	verb	swell	*tewh₂-	*swellaną	*tumēō		*brinktei	*bręknǫti, *puxnǫti		īnflāre	inchar-se (intran.)	hincharse (intran.), inflarse (intran.)	gonfler	gonfiare, soffiare (dial.)	inflama, umfla
147	noun	sun	*sóh₂wl̥	*sunnǭ, *sōwulō	*swōl	*súHar	*sauˀl-, *sul-	*sъlnьce		sōl	sol	sol	soleil	sole	soare
148	noun	moon	*mḗh₁n̥s, *lówksneh₂	*mēnô	*louksnā	*mā́Has	*laukšnāˀ, *mḗˀn(e)s-, *mḗˀnō	*luna, *měsęcь		lūna	lua	luna	lune	luna	lună
149	noun	star	*h₂stḗr	*sternǭ	*stērolā	*Hstā́	*g/źwaizdāˀ, *g/źwaiźdāˀ	*gvězda		stēlla	estrela	estrella	étoile	stella	stea
150	noun	water	*h₂ekʷeh₂, *h₂ep-, *wódr̥	*watōr	*akʷā	*Hā́pš	*wandō	*vapa*, *voda*		aqua	água	agua	eau	acqua	apă
151	noun	rain	*h₂ekmon	*regną	*plowjā			*dъždžь		pluvia	chuva	lluvia	pluie	pioggia	ploaie
152	noun	river	*h₂ékʷeh₂	*ahwō	*flowmən		*raikāˀ, *upas	*rěka		flūmen, fluvius, rīvus (creek / small river)	rio	río	fleuve, rivière	fiume, rivolo	râu, fluviu
153	noun	lake	*h₂ep-	*lakō	*lakus		*éźera	*ezero		lacus	lago	lago	lac	lago	lac
154	noun	sea	*móri	*mari, *saiwiz	*mari		*mári	*moře		mare	mar	mar	mer	mare	mare
155	noun	salt	*séh₂ls	*saltą	*sāls		*sal-, *sāl-	*solь		sāl	sal	sal	sel	sale	sare
156	noun	stone	*h₂éḱmō	*stainaz	*lapis		*ákmō, *kā́ˀmō	*kamy, *kamorъ		lapis, petra	pedra	piedra	pierre	pietra	piatră
157	noun	sand	*sámh₂dʰos	*samdaz	*sabolom			*pěsъkъ		arēna, sabulō	areia	arena	sable	sabbia, arena (rare), rena (only dialectal)	nisip, arină (reg.)
158	noun	dust	*pers-	*dustą, *stubjuz	*polwis		*paršas, *pirštis	*porxъ, *pylь, *pьrstь		pulvis	pó, poeira	polvo	poussière	polvere	praf, pulbere
159	noun	earth	*dʰéǵʰōm	*erþō	*terzā	*ȷ́ʰžʰáHs, *bʰúHmiš	*źemē	*zemľa		"terra (also meaning ""land"")"	terra	tierra	terre	"terra (also meaning ""land"")"	"pământ, țară (rare, in the sense of ""land"")"
160	noun	cloud	*nébʰos	*wulkaną, *melhmô	*nouðetis	*Hmaygʰás, *abʰrás	*néba	*obolkъ		nūbēs, nimbus (large cloud)	nuvem	nube	nuage, nue	nuvola, nube	nor
161	noun	fog	*snewdʰ-	*nebulaz, *mihstaz	*neβelā	*dʰuHmás	*míglāˀ	*mьgla		nebula, cālīgō	névoa, neblina	niebla, neblina	brume	nebbia	negură, ceață
162	noun	sky	*dyḗws	*himinaz	*kailom	*dyā́wš		*nebo		caelum	céu	cielo	ciel	cielo	cer
163	noun	wind	*ḱewero-, *h₂wéh₁n̥ts	*windaz	*wentos		*wēˀ-tr-	*větrъ		ventus	vento	viento	vent	vento	vînt/vânt
164	noun	snow	*snóygʷʰos	*snaiwaz	*sniks		*snáigas	*sněgъ		nix, (genitive sg : nivis)	neve	nieve	neige	neve	zăpadă, nea
165	noun	ice	*yeǵ-	*īsą	*gelus		*ledús	*ledъ		glaciēs, gelū (frost / water-ice)	gelo	hielo	glace	ghiaccio	gheață
166	noun	smoke	*dʰuh₂mós	*raukiz	*fūmos	*dʰuHmás	*dū́ˀmas	*dymъ, *pušьkъ		fūmus	fumo	humo	fumée	fumo	fum
167	noun	fire	*h₁eh₂ter-, *h₁n̥gʷnis, *péh₂wr̥	*fōr	*əngʷnis	*Hagníš*, *HaHtar-*	*ungnis	*ogňь, *vatra		ignis, focus (fireplace)	fogo	fuego	feu	fuoco	foc
168	noun	ash	*h₃és-no-, *h₃és-i-	*askǭ	*kenis		*pel-	*pepelъ, *popelъ		cinis, (genitive sg : cineris)	cinza	ceniza	cendre	cenere	cenușă, scrum
169	verb	to burn	*dʰegʷʰ-, *swel-, *h₁ews-	*brinnaną	*ouzō		*degtéi	*gorěti, *polěti, *žeťi		ārdēre, cremāre	arder, queimar	arder, quemar	brûler	bruciare, ardere	arde
170	noun	road	*pónth₁s	*wegaz	*wijā		*pántis, *pintis	*cěsta, *dorga, *pǫtь, *stьdza		via, strāta (paved road)	estrada, caminho, via	carretera, camino, vía	route	strada, via	drum, cale, stradă
171	noun	mountain	*men-, *bʰerǵʰ-	*bergaz	*monts	*gr̥Híš, *párwatas	*garā́ˀ	*gora		mōns, (genitive sg : montis)	montanha, monte	montaña, monte	montagne, mont	montagna, monte	munte
172	adjective	red	*h₁rewdʰós	*raudaz	*ruðros	*Hráwdʰitas, *Hrudʰrás, *ĉáwnas	*raudas	*čьrvenъ, *čьrmьnъ, *rudъ, *rъdrъ		ruber, vermiculus, russus (rare)	vermelho, rubro	rojo	rouge	rosso, vermiglio (a specific kind of red)	roșu
173	adjective	green	*ǵʰelh₃-, *gʰreh₁-	*grōniz	*weyziðis	*j́ʰáriš	*źelˀ-	*zelenъ, *grěnъ		viridis	verde	verde	vert	verde	verde
174	adjective	yellow	*ǵʰelh₃-	*gelwaz	*flāwos		*gilˀtas	*žьltъ, *solvъ*		flāvus, galbinus (yellowish)	amarelo	amarillo	jaune	giallo	galben
175	adjective	white	*h₂elbʰós	*hwītaz	*alβos	*ćwaytás	*balˀta	*bělъ, *bronъ*		albus, candidus, blancus (vulg.)	branco	blanco	blanc	bianco	alb
176	adjective	black	*swordós, *h₂ems-, *kr̥snós	*swartaz, *blakaz	*niɣros	*kr̥šnás, *ćyaHwás	*kiršnas	*čьrnъ, *vornъ*		niger, āter, fuscus	negro	negro	noir	nero	negru
177	noun	night	*nókʷts	*nahts	*noks	*kšáp, *nákts	*náktis	*noťь		nōx, (genitive sg : noctis)	noite	noche	nuit	notte	noapte
178	noun	day	*h₂eǵh-, *dei-n-	*dagaz	*djous		*deinas, *dinas	*dьnь		dīes, diurnum (vulg. / diminutive)	dia	día	jour	giorno, dì rare and poetic	zi
179	noun	year	*yeh₁-, *wétos	*jērą, *aþna-	*wetos	*ćarHáts		*godъ, *lěto		annus	ano	año	année	anno	an
180	adjective	warm	*tep-, *gʷʰer-	*warmaz	*kaliðos			*teplъ, *toplъ		calidus, caldus	quente	caliente, cálido	chaud	caldo	cald
181	adjective	cold	*gel-	*kaldaz	*frīgos	*ȷ́ʰimás		*xoldьnъ, *studenъ		frīgidus	frio	frío	froid	freddo	frig
182	adjective	full	*pl̥h₁nós	*fullaz	*plēnos	*pr̥Hnás	*pílˀnas	*pьlnъ		plēnus	cheio	lleno	plein	pieno	plin
183	adjective	new	*néwos	*niwjaz	*nowos	*náwas	*náujas, *náwas	*novъ		novus	novo	nuevo	nouveau	nuovo	nou
184	adjective	old	*sénos	*sinīgaz	*senos	*ȷ́r̥Hnás	*senas, *wetušas	*davьnъ*, *starъ, *vetъxъ		vetus, vetulus	velho	viejo	vieux	vecchio, vetusto rare	vechi
185	adjective	good	*bʰed-, *h₁su-, *h₁wésus	*gōdaz	*dwenos	*Hwásuš, *ćriHrás, *Hsu-		*dobrъ		bonus	bom	bueno	bon	buono	bun
186	adjective	bad	*h₂wap-, *dus-	*ubilaz	*malos	*ákas, *pāpás, *Hagʰás, *duš-		*lošь, *zъlъ		malus	mau adj., mal adv.	malo adj., mal adv.	mauvais adj., mal adv.	cattivo, malo obs.	rău
187	adjective	rotten	*pu-	*fausaz, *rutāndz	*pūtos			*gňilъ		puter, putridus	podre	podrido	pourri	marcio, putrido	putred
188	adjective	dirty	*swerd-	*fūlaz	*swerdiðos			*mьrsьnъ		sordidus	sujo	sucio	sale	sporco, sudicio, sordido poetic 	murdar, spurcat (rare)
189	adjective	straight	*h₃reǵtós	*strakaz	*rektos	*Hr̥ȷ́úš		*prostъ		rectus	reto	recto	droit	dritto, diritto less common	drept
190	adjective	round		*trindaz, *kraitijaz	*rotontnos			*krǫglъ		rotundus	redondo	redondo	rond	rotondo, tondo	rotund
191	adjective	sharp (as a knife)	*h₁edʰ-, *h₂ḱrós	*hwassaz	*akowtos	*tigmás	*aśras	*bridъkъ, *ostrъ		ācer, affiliatus, acūtus	afiado	afilado	affilé	affilato	ascuțit
192	adjective	dull (as a knife)	*dʰwel-	*slaiwaz	*heβes			*tǫpъ		hebes, brutus	rombo	sin filo, romo	émoussé	spuntato, smussato	bont
193	adjective	smooth		*slihtaz	*lēnis		*glā́ˀdus	*gladъkъ		levis	liso	liso	lisse	liscio	neted
194	adjective	wet	*wed-	*wētaz, *nataz	*wegmiðos		*walg-	*mokrъ, *volžьnъ, *vьlgъkъ		umidus, madidus, ūdus	molhado	húmedo, mojado	mouillé	umido, madido, bagnato	ud, umed
195	adjective	dry	*ters-	*þursuz	*seikkos	*Hsúškas	*saušás	*suxъ		siccus	seco	seco	sec	secco	uscat, sec
196	adjective	correct	*weh₁-	*rehtaz	*wēros	*Hr̥ȷ́úš		*pravъ, *věrьnъ		rectus, correctus	correto	correcto	correct	corretto	corect
197	adjective	near	*h₁opi, *h₁epi, *h₂énti	*nēhwaz	*prokʷe		*tuwas	*blizъkъ		propinquus, iuxtā	perto, próximo	cerca, próximo	près, proche	"vicino, prossimo less common, propinquo rare, adiacente (for ""touching"" proximity)"	aproape, lângă
198	adjective	far	*wi	*ferrai	*prokol			*dalekъ		procul, laxius, distāns, (genitive sg. : distantis), longinquus, longitanus (vulg.)	longe, longínquo, distante	lejos, lejano, distante	loin, lointain, distant	lontano, distante	departe, distant
199	adjective	right	*deḱs-	*tehswô	*deksteros	*dáćšinas	*deśinas	*desnъ, *pravъ		dexter, directus (straight)	direito	derecho	droit	destro, diritto the right	drept
200	adjective	left	*leh₂ywós	*winistraz	*laiwos	*(H)sawyás		*lěvъ, *šujь		sinister	esquerdo	izquierdo	gauche	sinistro	stâng
201	preposition	at	*h₁epi, *opi, *h₂éd, *h₃ebʰi, *h₃bʰi	*at	*ad		*prei	*po, *pri, *u		in, ad, ablative case	em, a	en, a	en, à	in, a	în, la
202	preposition	in	*h₁en, *h₁(e)ntér	*in	*en		*in	*vъ(n)		in	em	en	en, dans	in, dentro	în
203	preposition	with	*ḱóm, *pe, *me	*midi	*kom		*śun	*sъ(n)		cum, apud (with accusative)	com	con	avec	con	cu
204	preposition	and	*-kʷe, *de, *nu, *h₁é	*andi	*et	*-ča	*ō	*a, *i		et	e	y, e (before /i/)	et	"e, ed (before ""e"" vowel)"	și
205	preposition	if		*jabai	*sei		*ar	*jako		sī	se	si	si	se	dacă
206	preposition	because		*hwandê	*kʷod			*bo		quia, quoniam	porque	porque	parce que	perché	pentru că
207	noun	name	*h₁nómn̥	*namô	*nomən	*Hnā́ma	*inˀmen	*jьmę		nōmen	nome	nombre	nom	nome	nume
