#swadesh 207 id	part-of-speech	English	Proto-Indo-European	Proto-Germanic	Proto-Italic	Proto-Indo-Iranian	Proto-Balto-Slavic	Proto-Slavic		 Latin 	Portuguese 	Spanish 	French 	Italian	Romanian
18	determiner            	many	*monogʰo-	*managaz	*moltos	*pr̥Húš	*managas	*mъnogъ*, *mъnogo*		multus, pl multī	muito	mucho	beaucoup, maint (archaic)	molto	mulți
19	determiner            	some	*kaylo-, *solwo-	*sumaz	*partim	*kínčid	*kelis	*několiko		aliquī, aliquot	alguns	algunos	quelques	alcuni pl , qualche s 	niște
20	determiner            	few	*peh₂w-	*fawaz	*paukos	*īšát		*malъ		paucus	pouco	poco	peu	poco	puțin
21	determiner            	other	*h₂élyos, *h₂el-nó-	*anþeraz, *aljaz	*aljos	*Hanyás	*kitas	*drugъ		alter m, altera f, alius 	outro m, outra f	otro m, otra f	autre m/f	altro m,altra f 	alt m, altă f
22	noun                 	one	*(H)óynos, *(H)óykos, *(H)óywos, *sḗm	*ainaz	*oinos	*Háywas, *Háykas	*aiˀnas, *eiˀnas	*(j)edinъ, *(j)edьnъ		ūnus m, ūna f	um m, uma f	uno m, un m (before a masculine noun), una f	un m, une f	uno m, un m (before a masculine noun), una f 	unu m, un m (before a masculine noun), una f
23	noun                 	two	*dwóh₁; *dwó	*twai	*duō	*dwáH	*duwō	*dъva		duo m, duae f	dois m, duas f	dos	deux	due	doi m, două f
24	noun                 	three	*tréyes	*þrīz	*trēs	*tráyas	*tríjes	*trьje		trēs	três	tres	trois	tre	trei
25	noun                 	four	*kʷetwóres	*fedwōr	*kʷettwōr	*čatwā́ras	*ketures	*četyre		quattuor	quatro	cuatro	quatre	quattro	patru
26	noun                 	five	*pénkʷe	*fimf	*kʷenkʷe	*pánča	*penke	*pętь		quinque	cinco	cinco	cinq	cinque	cinci
27	adjective	big	*méǵh₂s	*mikilaz	*magnos	*maȷ́ʰás		*golěmъ, *velikъ		magnus, grandis	grande	grande	grand	grande	mare
28	adjective	long	*dl̥h₁gʰós	*langaz	*dlongos	*dr̥Hgʰás	*dílˀgas	*dьlgъ		longus	longo	largo, luengo (obs.)	long	lungo	lung
29	adjective	wide	*stelh₃ós	*wīdaz, *braidaz	*stlātos	*pr̥tʰúš	*platus	*širokъ		latus, amplus, largus	largo	ancho	large	largo	larg
30	adjective	thick	*bʰenǵʰ, *tégus	*þekuz	*kartsus	*stʰuHrás	*stāˀras	*tъlstъ		crēber, grossus, spissus	grosso, espesso	grueso	gros, épais	spesso, grosso	gros
31	adjective	heavy	*gʷréh₂us	*kuruz, *swēraz	*gʷrawos	*gr̥Húš	*tingús	*tęžьkъ		gravis	pesado	pesado	lourd	pesante	greu
32	adjective	small	*mey-	*smalaz, *lītilaz	*pauros	*tusćás	*(s)malas	*drebьnъ, *malъ, *xudъ		parvus	pequeno	pequeño	petit	piccolo	mic
33	adjective	short	*mréǵʰus, *(s)ker-	*skurtaz	*breɣʷis	*kr̥dʰúš	*kartus	*kortъkъ		curtus (object), brevis (time)	curto	corto	court	corto	scurt
34	adjective	narrow	*h₂enǵʰ-	*anguz, *narwaz	*anɣustos	*Hánȷ́ʰuš	*anźus	*ǫzъkъ, *těsnъ		angustus, strictus (tightened)	estreito	estrecho	étroit	stretto, angusto rare	strâmt, îngust
35	adjective	thin	*ténh₂us	*þunnuz	*tenwis	*kr̥ćás, *tánuš	*tenˀwas	*tьnъkъ		macer, subtīlis, tenuis	magro (people), fino (objects)	delgado, fino (objects only)	maigre	magro (people), sottile (objects)	subțire, slab
36	noun	woman	*gʷḗn, *h₁esor-	*kwenǭ	*fēmanā	*ǰánHs, *gnáHs, *stríH	*génāˀ	*žena		fēmina, mulier	mulher	mujer	femme	donna, femmina (dial)	femeie, muiere
37	noun	man	*h₂nḗr, *wiHrós	*gumô, *weraz	*wiros	*wiHrás, *Hnáras	*wī́ˀras	*mǫžь		vir, homō	homem	hombre	homme	uomo	bărbat, (rare) om
38	noun	human	*mon-, *ǵʰmṓ	*manô	*hemō	*manušyás, *mártyas	*źmō	*čelověkъ		homō, hūmānum (vulg.)	humano, pessoa	humano, persona	humain, personne	umano, uomo (generic), persona	om, persoană
39	noun	child		*barną, *kinþą	*puweros	*ȷ́aHtás	*dēˀtis, *waikas	*čędo, *dětь, *orbę		īnfāns, (genitive sg : infantis), puer	criança	niño	enfant	bambino	copil
40	noun	wife	*pótnih₂	*kwēniz	*uksōr	*pátniH		*žena		uxor, mulier, spōnsa	mulher, esposa	esposa, mujer	épouse, femme	sposa, moglie	soție, nevastă
