				
*wegˆhnos 	*wegˆh- 	bear	wagon	
*wegˆhyeha- (WC) 	*wegˆh- 	bear	track, road	
*weg w- (WC) 		wet		
*weg w h- 		speak solemnly		
*weh 1r- 		conWdence, faithfulness		
*weh 1ros (NW) 	*weh1 r- 	conWdence	true	
*weh ab- (NW) 		cry, scream		
*w(e)h a stos (NW) 		empty		
*weh at- (WC) 		(suppurating) wound		
*weh xp- 		body of water		
*we/oh xr 		water		
*we ́i 		we		
*weid- 		see, know (as a fact)		
*weig/k- 		+turn, yield		
*wei(h1)- 		plait, wattle		
*wei(hx)- 		go after		
*weih x- 		be strong		
*we ́ihx(e)s- 	*weih x- 	be strong	strength, vitality, vital force	
*weik- 		appear		
*weik- 		consecrate		
*weik- (NW) 		fight		
*weip-  *weib- 		turn		
*weip- (E) 		set in motion, agitate		
*weis- 		twist, wind around		
*weis- 		ooze out		
*weis- 		stink		
*weit- 		willow		
*wekˆ- 		wish, want		
*wek w- 		speak		
*wel- 		die		
*wel- 		grass		
*wel- 		see		
*wel- 		turn, wind, roll		
*wel- 		wish, want		
*wel- (WC) 		warm, heat		
*weld- 		crush, grind, wear out		
*wel(h 2)- 		strike, tear at		
*weliko/eh a- (WC) 		willow		
*welk-  *welg- (NW) 		wet		
*wels- 		bulge		
*we ́lsu- 	*wel- 	grass	meadow, pasture	
*welutrom 	*wel- 	turn	case	
*we ́mhx mi 		spew, vomit		
*wen- 		strike, wound		
*wendh- 		wind, twist		
*wendh- 	*wendh- 	wind	(a single) hair	
*we/ondhso- 	*wendh- 	wind	facial hair	
*weng- 		bend		
*wenh x- 		desire, strive to obtain		
*wenVst(r)- 		(ab)omasum		
*wer- (WC) 		Wnd, take		
*wer- 		boil, cook		
*wer- 		crow		
*wer- 		perceive, give attention to		
*wer- 		surround, cover, contain		
*wer- 		burn		
*werb(h)- 	*wer- 	perceive	oversee, protect	
*wergˆ- 		shave, shear		
*wergˆ- 		work		
*we ́rhx us 		broad, wide		
*werno/eh a- 		alder		
*wers- 		+thresh		
*wers- 		peak		
*werse ̄n 		male		
*wert- 		turn		
*werwer- 		squirrel		
*wes- 		crush, grind, pound, wear out; wither		
*wes- 		graze		
*wes- 		buy		
*wes- 		be dressed, dress		
*wesno- 	*wes- 	buy	purchase	
*we ́speros  *we ́keros (WC) 		evening		
*we ́sr8 		spring		
*we ́stor- 	*wes- 	graze	herdsman	
*wesu- 		excellent, noble		
*wet- 		year		
*wet- 		see (truly)		
*we ́telos 	*wet- 	year	yearling	
*wi- 		apart, in two, asunder		
*widh- 	perhaps *wi- 	apart		
*widheweh a- 	*widh- 	to be separated	widow	
*widhu (NW) 	*widh- 	to be separated	tree, forest	
*wih 1 e ̄ ́n 	*wei(h 1)- 	plait, wattle	grapevine	
*wih x ro ́s 	*weih x- 	be strong	man, husband	
*wikso- (WC) 		mistletoe		
*wikˆpots 	*wikˆsˇ- 	extended family		
*po ́tis 		husband	master of the clan	
*wikˆs 		(social unit of ) settlement, family clan		
*wi(n)gˆ- 		elm		
*wis-/*gˆ(h)ombhros (NW) 		bison		
*wı ́ss 	*weis- 	ooze out	poison	
*witeros 	*wi- 	apart	far	
*wl8h 2 neh a- 		wool		
*wl8ka ̄nos 		smith god		
*wl8k w ı ́h a- 	*wl8kw o ́s 	dangerous	she-wolf 	
*wl8k w os 		dangerous		
*wl8k w os 	*wl8k w o ́s 	dangerous	wolf 	
*wl(o)p- 		(red) fox		
*wn8d s				
tı ́- 		bladder		
*w(n8)na ́kts 		leader, lord		
*wo ́dr8 		water		
*wogw hnis (WC) 		ploughshare		
*wo ́h 1 		you two		
*wo ́inom (PIE?) 	*wei(h x)- 	plait	wine	
*wokˆe ́h a- 		cow		
*wo ̄k w s 	*wekw- 	speak	voice	
*wolno/eh a- 		(bloody) wound		
*wo ́los 		tail hair (of a horse)		
*wo ́lswom (GA) 	*wels- 	bulge	gums	
*wo ́rghs 		chain, row, series		
*worhx d-i/o- (WC) 	*worh xdo- 	wart	frog	
*worh x do- 		wart		
*worh x dhus 		upright, high		
*wo ́r(h x)gˆs 		nourishment, strength		
*worPo- 		enclosure		
*wortok w- (GA) 		quail		
*worwos (WC) 		furrow		
*wos(h x)-ko- (NW) 		wax		
*wospo/eh a- 	*wes- 	be dressed	garment	
*wo ́su 		goods		
*wo ̄t- (NW) 	*wet- see truly ] 	poet, seer		
*wo ̄tis 	*wet- 	see truly	god-inspired	
*wr8b- (WC) 		branch, sprig, twig		
*wredh- 		grow, stand, take shape		
*wreg- 		track, hunt, follow		
*wreg- (NW) 		press, oppress		
*wreh 1 gˆ- (WC) 		break, tear to pieces		
*wreh a gh- (WC) 		thorn		
*(w)rep- 		turn, incline		
*wre ̄tos 		Xock, herd		
*wr8h 1 e ̄n 		lamb		
*wr(h a)d- (WC) 		root; branch		
*wr8h x os 		pimple		
*wriyo/eh a- 		fort		
*wr8mis (WC) 		worm, insect		
*wr8to/eh a- 	*wer- 	surround	enclosure	
* y				
*yagˆ- (GA) 		honour, worship		
*yak(k)- (WC) 		 cure, make well		
*yam  yau (NW) 		now, already		
*(y)ebh- 		elephant		
*ye ́bhe/o- 		enter, penetrate, copulate		
