						
beetle 		NW *webhel- ~ *wobhel-				
before 	*pr̥hₐe ́h₁, *pr̥hₐ e ́i					
beg 					E *yehₐ-	
beget a child 	*gˆenh₁-, *tek-					
begin 	*neik-					
behind 	*h₄ epe ́r-, *h₄ e ́po, *po-skʷ o-		WC *gˆho ̄-, *pos			
being (come into) 	*bheu(hₓ)-					
belch 	*h₁ reug-					
believe 	*h₂/3 ehₓ-, *kˆred-dheh₁-					
belt 		NW *kerd-				
bend 	*bheidh-, *bheug-, *bhedh-, *h₂ enk-, *kamer-, *kleng-, *leng-, *lenk-, *nem-, *weng-, *swe(n)g-		WC *leug-			
bend (of terrain) 			WC *kam-p-			
benefit 		NW *lau-				
bent 	*h₂ o ́nkos, *lei-					
berry 	*hₐ o ́gehₐ-	NW *dhreghes-	WC *h₁ o ́iwo/ehₐ-,  *sre/ohₐ gs			
bestow 	*h₂/3 enkˆ-					
bestowed 	*h₂/3 o ́nkˆos					
between 	*h₁ ente ́r					
beyond 	*hₐ et	NW *hₐelnos				
bi- 	*dwi-					
bind 	*bhendh-, *deh₁-, *dhergˆh-, *kergh-, *yeu-		WC *mer-			
birch 	*bherhₓ gˆos					
bird 	*hₐ ewei-, *pipp-					
bird (type of) 	*(s)p(e)iko/ehₐ-, *teter-					
bird of prey 				GA *kˆyeino-		C *gˆhy- ~ *gˆyei-	
bison 		NW *wis-/*gˆ(h)ombhros				
bite 	*denkˆ-					
bitter 	*h₂ em-, *h₂ em-ro-s					
black 	*kʷ r̥sno ́s, *mel-n-	NW *kˆeir-				
blackberry 	*mo ́rom					
blackbird 		NW *hₐ emesl-	WC *kopso-			
bladder 	*wn̥d s tı ́-					
blame 	*h₁lengh-					
bleat 		NW *bhleh₁-				
blind 	*hₐendho ́s					
blood 	*h₁e ́sh₂r̥, *kre ́uhₐ					
bloom 	*bhel-					
blossom 	*bhel-					
blow 	*bhel-, *bhes-, *h₂ weh₁-, *peis-, *per-, *p(h)eu-, *swei-, *wet-					
blue 	*kˆer- ~ *kˆr̥-wos, modheros					
boar 	*tworkˆo ́s	NW/WC ?*h₁eperos				
board 		NW *ske ́its	WC *swel- ~ *sel-			
boat 	*ne ́hₐus, *(s)kolmos					
body 	*kre ́ps					
boil 	*seu-, *sret-, *yes-		WC *bhreu-			
bold 	*dhers-					
bolster 	*bho ́lgˆhis-					
bolt 			WC *klehₐ wis			
bone 	*h₂o ́st					
booty 	*soru					
border 	*h₄erh₂os, *morgˆ-, *te ́rmn̥					
born 	*gˆenh₁-					
both 	*bho ̄u					
bottom 	*bhudhno ́-					
bow 		NW *hₐ e ́rkʷos		GA *to ́ksom		
bowl 	*kumbo/ehₐ-					
bowstring 				GA *gʷ(i)ye ̄hₐ		
braid 	*plekˆ-		WC *mer-			
brain 	*mosghos		WC *mre ́ghmen-		E *mo ́str̥	
bran 			WC *kʷ et-			
branch 	*h₂o ́sdos, *h₄logˆ-, *kˆank-, *kˆo ́h₁ ko ̄h₂	NW *ghₐbhlo/ehₐ-	WC *gol-,  *gʷe ́sdos,  *wr̥b-,  *wr(hₐ)d-			
brave 	*dhers-					
break 	*bheg-, *bhreu-, *leugˆ-, *reup-	NW *bhregˆ-	WC *bhreus-,  *h₃ lem-,  *plekˆ-,  *wreh₁gˆ			
breast 	*dhh₁ ilehₐ -, *h₁o ́uhₓ dhr̥-, *pap-, *pe ́rkˆus, *pste ́nos-					
