#swadesh id,English,Proto-Indo-European,Proto-Germanic,Proto-Italic,Proto-Indo-Iranian,Proto-Balto-Slavic,Proto-Slavic
1,I (1sg),*éǵh₂(om),*ek,*egō,*aȷ́ʰám,"*ēź-, *ēˀźun","*(j)azъ, *ja"
2,you (2sg),*túh₂,*þū,*tū,"*túH, *tuHám",*tūˀ,*ty
3,"he, she, it (3sg)",*éy,*iz,*is,*sá,"*is, *anas","*jь, *ja, *je, *onъ, *ona, *ono"
4,we (1pl),*wéy,*wīz,*nōs,*wayám,*mes,*my
5,you (2pl),*yū,*jūz,*wōs,"*yúH, *yuHyám",*jūˀs,*vy
6,they (3pl),*éyes,*iz,*is,*tā́s,*eis,"*ji, *ję, *ja, *oni, *ony, *ona"
7,this,"*só, *séh₂, *tód",*hiz,*hek(e),*ayám,*śis,"*sь, *sa, *se"
8,that,"*yós, *yéh₂, *yód",*sa,*istos,*tád,"*tas, *anas","*tъ, *ta, *to, *onъ, *ona, *ono"
9,here,*ḱi,*hē₂r,*hek(e),*Hidʰá,*śei,"*sьde, *tu"
10,there,*h₂en,*þar,*iðei,*tátra,,"*tamo, *tu"
11,who,"*kʷis (pron.), *kʷod (adj.)",*hwaz,"*kʷis, *kʷoi","*kás, káH, kád",*kas,*kъto
12,what,*kʷis,*hwat,"*kʷis, *kʷoi","*kím, *čím",*ki,"*čь, *čьto"
13,where,*kʷesmi,*hwar,*kʷāmdō,*kúH,*ku,*kъde
14,when,,*hwan,*kʷuðei,*kadáH,*kadāˀn,*kogъda
15,how,,*hwō,*kʷām,*káyna,,"*jako, *kako"
16,not,"*n̥-, *ne",*ne,*ne,"*na, *a-",*ne,*ne
17,all,,*allaz,*opnis,*sárwas,*wiśas,*vьśь
18,many,*monogʰo-,*managaz,*moltos,*pr̥Húš,*managas,"*mъnogъ*, *mъnogo*"
19,some,"*kaylo-, *solwo-",*sumaz,*partim,*kínčid,*kelis,*několiko
20,few,*peh₂w-,*fawaz,*paukos,*īšát,,*malъ
21,other,"*h₂élyos, *h₂el-nó-","*anþeraz, *aljaz",*aljos,*Hanyás,*kitas,*drugъ
22,one,"*(H)óynos, *(H)óykos, *(H)óywos, *sḗm",*ainaz,*oinos,"*Háywas, *Háykas","*aiˀnas, *eiˀnas","*(j)edinъ, *(j)edьnъ"
23,two,*dwóh₁; *dwó,*twai,*duō,*dwáH,*duwō,*dъva
24,three,*tréyes,*þrīz,*trēs,*tráyas,*tríjes,*trьje
25,four,*kʷetwóres,*fedwōr,*kʷettwōr,*čatwā́ras,*ketures,*četyre
26,five,*pénkʷe,*fimf,*kʷenkʷe,*pánča,*penke,*pętь
27,big,*méǵh₂s,*mikilaz,*magnos,*maȷ́ʰás,,"*golěmъ, *velikъ"
28,long,*dl̥h₁gʰós,*langaz,*dlongos,*dr̥Hgʰás,*dílˀgas,*dьlgъ
29,wide,*stelh₃ós,"*wīdaz, *braidaz",*stlātos,*pr̥tʰúš,*platus,*širokъ
30,thick,"*bʰenǵʰ, *tégus",*þekuz,*kartsus,*stʰuHrás,*stāˀras,*tъlstъ
31,heavy,*gʷréh₂us,"*kuruz, *swēraz",*gʷrawos,*gr̥Húš,*tingús,*tęžьkъ
32,small,*mey-,"*smalaz, *lītilaz",*pauros,*tusćás,*(s)malas,"*drebьnъ, *malъ, *xudъ"
33,short,"*mréǵʰus, *(s)ker-",*skurtaz,*breɣʷis,*kr̥dʰúš,*kartus,*kortъkъ
34,narrow,*h₂enǵʰ-,"*anguz, *narwaz",*anɣustos,*Hánȷ́ʰuš,*anźus,"*ǫzъkъ, *těsnъ"
35,thin,*ténh₂us,*þunnuz,*tenwis,"*kr̥ćás, *tánuš",*tenˀwas,*tьnъkъ
36,woman,"*gʷḗn, *h₁esor-",*kwenǭ,*fēmanā,"*ǰánHs, *gnáHs, *stríH",*génāˀ,*žena
37,man (adult male),"*h₂nḗr, *wiHrós","*gumô, *weraz",*wiros,"*wiHrás, *Hnáras",*wī́ˀras,*mǫžь
38,man (human being),"*mon-, *ǵʰmṓ",*manô,*hemō,"*manušyás, *mártyas",*źmō,*čelověkъ
39,child,,"*barną, *kinþą",*puweros,*ȷ́aHtás,"*dēˀtis, *waikas","*čędo, *dětь, *orbę"
40,wife,*pótnih₂,*kwēniz,*uksōr,*pátniH,,*žena
41,husband,"*wiHrós, *pótis","*brūdigumô, *weraz, *abô","*wiros, *nēr",*pátiš,*mangjás,*mǫžь
42,mother,*méh₂tēr,*mōdēr,*mātēr,*máHtā,*mā́ˀtē,*mati
43,father,"*átta, *ph₂tḗr","*fadēr, *attô",*patēr,*pHtā́,"*tet-, *at-","*baťa, *otъ, *otьcь"
44,animal,"*dʰewsóm, *ǵʰwer-",*deuzą,*anamālis,*páću,*źwēˀrís,*zvěrь
45,fish,"*dʰǵʰu-, *peysḱ-",*fiskaz,*piskis,*mátsyas,*źū́ˀs,*ryba
46,bird,*h₂éwis,*fuglaz,*awis,*Háwiš,*putāˀ,"*pъta, *pъtica"
47,dog,*ḱwṓ,*hundaz,*kō,*ćwā́,"*śwṓ, *śunas",*pьsъ
48,louse,"*ḱ(o)nid-, *lewH-",*lūs,*pezdis,*ćwíšas,,*vъšь
49,snake,"*h₂éngʷʰis, *(s)neh₁tr-","*snakô, *slangô, *nadraz",*anɣʷis,"*sarpás, *nāgás","*angi(o)s, *angi(a)s","*ǫžь, *zmьja"
50,worm,*wr̥mis,*wurmiz,*wormis,*kŕ̥miš,*kírmis,*čьrvь
51,tree,*dóru*,*trewą,*arðōs,*dā́ru,*dérwa,*dervo
52,forest,,"*furhiþą, *walþuz, *furhō, *skōgaz, *widuz",*selwā,,"*medja, *medjāˀ",*lěsъ
53,stick,*ǵʰasto-,"*stikkô, *stukkaz",*baklom,*waytasás,*kaukas,"*drьkolь, *xlǫdъ, *kyjь, *palica, *žьzlъ"
54,fruit,,"*akraną, *ubatją",*poomos,,,"*ovoťe, *plodъ"
55,seed,*séh₁mn̥,"*sēdiz, *sēmô",*sēmen,*bíHȷ́am,*sēˀmen,*sěmę
56,leaf,"*lewbʰ-, *bʰolh₃yom",*laubą,*folyom,*parnám,"*lapas, *leistas",*listъ
57,root,*wréh₂ds,*wrōts,*wrādīks,,,*kory
58,bark (of a tree),*bʰérHǵos,"*barkuz, *rindǭ",*korteks,"*twákš, *varkás ~ valkás",*karā́ˀ,*(s)kora
59,flower,*bʰleh₃-,*blōmô,*flōs,,,*květъ
60,grass,*koyno-,*grasą,*grāmen,*tŕ̥nam,,*trava
61,rope,*roypnós,*raipaz,*fuðnis,"*rázǰuš, *rać-*",*wirwis,"*(v)ǫže, *povorzъ"
