appear	infinitive	simple	apparaître											
be-inherently	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
be-inherently	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
be-inherently	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
be-inherently	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
be-inherently	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
be-inherently	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
be-inherently	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
change	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
change	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
change	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
change	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
change	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
change	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
change	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
climb	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
climb	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
climb	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
climb	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
climb	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
climb	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
climb	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
cool	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
cool	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
cool	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
