*	*	*	*	singular	singular	singular	singular	singular	singular	plural	plural	plural	plural	plural	plural
*	*	*	*	1	1	2	2	3	3	1	1	2	2	3	3
*	*	*	*	latin	ipa	latin	ipa	latin	ipa	latin	ipa	latin	ipa	latin	ipa
appear	indicative	present	simple	apparais	a.pa.ʁɛ	apparais	a.pa.ʁɛ	apparaît	a.pa.ʁɛ	apparaissons	a.pa.ʁɛ.sɔ̃ | a.pa.ʁe.sɔ̃	apparaissez	a.pa.ʁɛ.se | a.pa.ʁe.se	apparaissent	a.pa.ʁɛs
appear	indicative	past	imperfective	apparaissais	a.pa.ʁɛ.sɛ | a.pa.ʁe.sɛ	apparaissais	a.pa.ʁɛ.sɛ | a.pa.ʁe.sɛ	apparaissait	a.pa.ʁɛ.sɛ | a.pa.ʁe.sɛ	apparaissions	a.pa.ʁɛ.sjɔ̃ | a.pa.ʁe.sjɔ̃	apparaissiez	a.pa.ʁɛ.sje | a.pa.ʁe.sje	apparaissaient	a.pa.ʁɛ.sɛ | a.pa.ʁe.sɛ
appear	indicative	past	perfective	apparus	a.pa.ʁy	apparus	a.pa.ʁy	apparut	a.pa.ʁy	apparûmes	a.pa.ʁym	apparûtes	a.pa.ʁyt	apparurent	a.pa.ʁyʁ
appear	indicative	future	simple	apparaîtrai	a.pa.ʁɛ.tʁe | a.pa.ʁe.tʁe	apparaîtras	a.pa.ʁɛ.tʁa | a.pa.ʁe.tʁa	apparaîtra	a.pa.ʁɛ.tʁa | a.pa.ʁe.tʁa	apparaîtrons	a.pa.ʁɛ.tʁɔ̃ | a.pa.ʁe.tʁɔ̃	apparaîtrez	a.pa.ʁɛ.tʁe | a.pa.ʁe.tʁe	apparaîtront	a.pa.ʁɛ.tʁɔ̃ | a.pa.ʁe.tʁɔ̃
appear	conditional			apparaîtrais	a.pa.ʁɛ.tʁɛ | a.pa.ʁe.tʁɛ	apparaîtrais	a.pa.ʁɛ.tʁɛ | a.pa.ʁe.tʁɛ	apparaîtrait	a.pa.ʁɛ.tʁɛ | a.pa.ʁe.tʁɛ	apparaîtrions	a.pa.ʁɛ.tʁi.jɔ̃ | a.pa.ʁe.tʁi.jɔ̃	apparaîtriez	a.pa.ʁɛ.tʁi.je | a.pa.ʁe.tʁi.je	apparaîtraient	a.pa.ʁɛ.tʁɛ | a.pa.ʁe.tʁɛ
appear	subjunctive	present	simple	apparaisse	a.pa.ʁɛs	apparaisses	a.pa.ʁɛs	apparaisse	a.pa.ʁɛs	apparaissions	a.pa.ʁɛ.sjɔ̃ | a.pa.ʁe.sjɔ̃	apparaissiez	a.pa.ʁɛ.sje | a.pa.ʁe.sje	apparaissent	a.pa.ʁɛs
appear	subjunctive	past	imperfective	apparusse	a.pa.ʁys	apparusses	a.pa.ʁys	apparût	a.pa.ʁy	apparussions	a.pa.ʁy.sjɔ̃	apparussiez	a.pa.ʁy.sje	apparussent	a.pa.ʁys
