*	*	*	*	present	past	present	present	present	#	
endure	active	1	dual	tr̥h₂uwós	tr̥h₂uwé	—	térh₂uowos	tr̥h₂wih₁wé	#	
endure	active	2	dual	tr̥h₂utés	tr̥h₂utóm	tr̥h₂utóm	térh₂uetes	tr̥h₂wih₁tóm	#	
endure	active	3	dual	tr̥h₂utés	tr̥h₂utā́m	tr̥h₂utā́m	térh₂uetes	tr̥h₂wih₁tā́m	#	
endure	active	1	plural	tr̥h₂umós	tr̥h₂umé	—	térh₂uomos	tr̥h₂wih₁mé	#	
endure	active	2	plural	tr̥h₂uté	tr̥h₂uté	tr̥h₂uté	térh₂uete	tr̥h₂wih₁té	#	
endure	active	3	plural	tr̥h₂wénti	tr̥h₂wént	tr̥h₂wéntu	térh₂uonti	tr̥h₂wih₁ént	#	
fall	active	1	singular	péth₂oh₂	péth₂om	—	péth₂ōh₂	péth₂oyh₁m̥	#	imperfective, thematic
fall	active	2	singular	péth₂esi	péth₂es	péth₂e	péth₂ēsi	péth₂oys	#	
fall	active	3	singular	péth₂eti	péth₂et	péth₂etu	péth₂ēti	péth₂oyt	#	
fall	active	1	dual	péth₂owos	péth₂owe	—	péth₂ōwos	péth₂oywe	#	
fall	active	2	dual	péth₂etes	péth₂etom	péth₂etom	péth₂ētes	péth₂oytom	#	
fall	active	3	dual	péth₂etes	péth₂etām	péth₂etām	péth₂ētes	péth₂oytām	#	
fall	active	1	plural	péth₂omos	péth₂ome	—	péth₂ōmos	péth₂oyme	#	
fall	active	2	plural	péth₂ete	péth₂ete	péth₂ete	péth₂ēte	péth₂oyte	#	
fall	active	3	plural	péth₂onti	péth₂ont	péth₂ontu	péth₂ōnti	péth₂oyh₁n̥t	#	
fall	middle	1	singular	péth₂oh₂er	péth₂oh₂e	—	péth₂ōh₂er	péth₂oyh₂e	#	
fall	middle	2	singular	péth₂eth₂er	péth₂eth₂e	péth₂eso	péth₂ēth₂er	péth₂oyth₂e	#	
fall	middle	3	singular	péth₂etor	péth₂eto	❔	péth₂ētor	péth₂oyto, péth₂oyh₁o	#	
fall	middle	1	dual	péth₂owosdʰh₂	péth₂owedʰh₂	—	péth₂ōwosdʰh₂	péth₂oywedʰh₂	#	
fall	middle	2	dual	❔	❔	❔	❔	❔	#	
fall	middle	3	dual	❔	❔	❔	❔	❔	#	
fall	middle	1	plural	péth₂omosdʰh₂	péth₂omedʰh₂	—	péth₂ōmosdʰh₂	péth₂oymedʰh₂	#	
fall	middle	2	plural	péth₂edʰh₂we	péth₂edʰh₂we	péth₂edʰh₂we	péth₂ēdʰh₂we	péth₂oydʰh₂we	#	
fall	middle	3	plural	péth₂oror, péth₂ontor	péth₂oro, péth₂onto	❔	péth₂ōror, péth₂ōntor	péth₂oyro, péth₂oyh₁n̥to	#	
fly	active	1	singular	péth₂oh₂	péth₂om	—	péth₂ōh₂	péth₂oyh₁m̥	#	imperfective, thematic
fly	active	2	singular	péth₂esi	péth₂es	péth₂e	péth₂ēsi	péth₂oys	#	
fly	active	3	singular	péth₂eti	péth₂et	péth₂etu	péth₂ēti	péth₂oyt	#	
fly	active	1	dual	péth₂owos	péth₂owe	—	péth₂ōwos	péth₂oywe	#	
fly	active	2	dual	péth₂etes	péth₂etom	péth₂etom	péth₂ētes	péth₂oytom	#	
fly	active	3	dual	péth₂etes	péth₂etām	péth₂etām	péth₂ētes	péth₂oytām	#	
fly	active	1	plural	péth₂omos	péth₂ome	—	péth₂ōmos	péth₂oyme	#	
fly	active	2	plural	péth₂ete	péth₂ete	péth₂ete	péth₂ēte	péth₂oyte	#	
fly	active	3	plural	péth₂onti	péth₂ont	péth₂ontu	péth₂ōnti	péth₂oyh₁n̥t	#	
fly	middle	1	singular	péth₂oh₂er	péth₂oh₂e	—	péth₂ōh₂er	péth₂oyh₂e	#	
fly	middle	2	singular	péth₂eth₂er	péth₂eth₂e	péth₂eso	péth₂ēth₂er	péth₂oyth₂e	#	
fly	middle	3	singular	péth₂etor	péth₂eto	❔	péth₂ētor	péth₂oyto, péth₂oyh₁o	#	
fly	middle	1	dual	péth₂owosdʰh₂	péth₂owedʰh₂	—	péth₂ōwosdʰh₂	péth₂oywedʰh₂	#	
fly	middle	2	dual	❔	❔	❔	❔	❔	#	
fly	middle	3	dual	❔	❔	❔	❔	❔	#	
fly	middle	1	plural	péth₂omosdʰh₂	péth₂omedʰh₂	—	péth₂ōmosdʰh₂	péth₂oymedʰh₂	#	
fly	middle	2	plural	péth₂edʰh₂we	péth₂edʰh₂we	péth₂edʰh₂we	péth₂ēdʰh₂we	péth₂oydʰh₂we	#	
fly	middle	3	plural	péth₂oror, péth₂ontor	péth₂oro, péth₂onto	❔	péth₂ōror, péth₂ōntor	péth₂oyro, péth₂oyh₁n̥to	#	
hear	active	1	singular	ḱlēm		—	ḱlewoh₂	ḱluyéh₁m̥	#	perfective, athematic
hear	active	2	singular	ḱlews		ḱlew, ḱludʰí	ḱlewesi	ḱluyéh₁s	#	
hear	active	3	singular	ḱlewt		ḱlewtu	ḱleweti	ḱluyéh₁t	#	
hear	active	1	dual	ḱluwé		—	ḱlewowos	ḱl̥wih₁wé	#	
hear	active	2	dual	ḱlutóm		ḱlutóm	ḱlewetes	ḱl̥wih₁tóm	#	
hear	active	3	dual	ḱlutā́m		ḱlutā́m	ḱlewetes	ḱl̥wih₁tā́m	#	
hear	active	1	plural	ḱlumé		—	ḱlewomos	ḱl̥wih₁mé	#	
hear	active	2	plural	ḱluté		ḱluté	ḱlewete	ḱl̥wih₁té	#	
hear	active	3	plural	ḱl̥wént		ḱl̥wéntu	ḱlewonti	ḱl̥wih₁ént	#	
