*	*	*	*	*	nominative 	vocative 	accusative 	genitive 	ablative 	dative 	locative 	instrumental 			
	1-possessor	plural-possessor	neuter 	plural	ṇseréh₂ 	ṇseréh₂ 	ṇseréh₂ 	ṇseróHom 	ṇserómos 	ṇserómos 	ṇseróysu 	ṇserṓys 			
	2-possessor	singular-possessor	masculine 	singular	téwijos 	téwije 	téwijom 	téwijosyo 	téwijead 	téwijoey 	téwijoy 	téwijoh₁ 			
	2-possessor	singular-possessor	masculine 	dual	téwijoh₁ 	téwijoh₁ 	téwijoh₁ 	—	—	—	—	—			
	2-possessor	singular-possessor	masculine 	plural	téwijoes 	téwijoes 	téwijoms 	téwijoHom 	téwijomos 	téwijomos 	téwijoysu 	téwijōys 			
	2-possessor	singular-possessor	feminine 	singular	téwijeh₂ 	téwijeh₂ 	téwijām 	téwijeh₂s 	téwijeh₂s 	téwijeh₂ey	téwijeh₂i 	téwijeh₂h₁			
	2-possessor	singular-possessor	feminine 	dual	téwijeh₂h₁e	téwijeh₂h₁e	téwijeh₂h₁e	—	—	—	—	—			
	2-possessor	singular-possessor	feminine 	plural	téwijeh₂es 	téwijeh₂es 	téwijeh₂m̥s 	téwijeh₂oHom 	téwijeh₂mos 	téwijeh₂mos 	téwijeh₂su 	téwijeh₂bʰi 			
	2-possessor	singular-possessor	neuter 	singular	téwijom 	téwijom 	téwijom 	téwijosyo 	téwijead 	téwijoey 	téwijoy 	téwijoh₁ 			
	2-possessor	singular-possessor	neuter 	dual	téwijoyh₁	téwijoyh₁	téwijoyh₁	—	—	—	—	—			
	2-possessor	singular-possessor	neuter 	plural	téwijeh₂ 	téwijeh₂ 	téwijeh₂ 	téwijoHom 	téwijomos 	téwijomos 	téwijoysu 	téwijōys 			
	2-possessor	plural-possessor	masculine 	singular	userós 	useré 	useróm 	userósyo 	useréad 	useróey 	useróy 	useróh₁ 			
	2-possessor	plural-possessor	masculine 	dual	useróh₁ 	useróh₁ 	useróh₁ 	—	—	—	—	—			
	2-possessor	plural-possessor	masculine 	plural	useróes 	useróes 	useróms 	useróHom 	userómos 	userómos 	useróysu 	userṓys 			
	2-possessor	plural-possessor	feminine 	singular	useréh₂ 	useréh₂ 	userā́m 	useréh₂s 	useréh₂s 	useréh₂ey 	useréh₂i 	useréh₂h₁ 			
	2-possessor	plural-possessor	feminine 	dual	useréh₂h₁e 	useréh₂h₁e 	useréh₂h₁e 	—	—	—	—	—			
	2-possessor	plural-possessor	feminine 	plural	useréh₂es 	useréh₂es 	useréh₂m̥s 	useréh₂oHom 	useréh₂mos 	useréh₂mos 	useréh₂su 	useréh₂bʰi 			
	2-possessor	plural-possessor	neuter 	singular	useróm 	useróm 	useróm 	userósyo 	useréad 	useróey 	useróy 	useróh₁ 			
	2-possessor	plural-possessor	neuter 	dual	useróyh₁ 	useróyh₁ 	useróyh₁ 	—	—	—	—	—			
	2-possessor	plural-possessor	neuter 	plural	useréh₂ 	useréh₂ 	useréh₂ 	useróHom 	userómos 	userómos 	useróysu 	userṓys 			
#		singular-possessor	masculine 	singular	séwijos 	séwije 	séwijom 	séwijosyo 	séwijead 	séwijoey 	séwijoy 	séwijoh₁ 			
#		singular-possessor	masculine 	dual	séwijoh₁ 	séwijoh₁ 	séwijoh₁ 	—	—	—	—	—			
#		singular-possessor	masculine 	plural	séwijoes 	séwijoes 	séwijoms 	séwijoHom 	séwijomos 	séwijomos 	séwijoysu 	séwijōys 			
#		singular-possessor	feminine 	singular	séwijeh₂ 	séwijeh₂ 	séwijām 	séwijeh₂s 	séwijeh₂s 	séwijeh₂ey	séwijeh₂i 	séwijeh₂h₁			
#		singular-possessor	feminine 	dual	séwijeh₂h₁e	séwijeh₂h₁e	séwijeh₂h₁e	—	—	—	—	—			
#		singular-possessor	feminine 	plural	séwijeh₂es 	séwijeh₂es 	séwijeh₂m̥s 	séwijeh₂oHom 	séwijeh₂mos 	séwijeh₂mos 	séwijeh₂su 	séwijeh₂bʰi 			
#		singular-possessor	neuter 	singular	séwijom 	séwijom 	séwijom 	séwijosyo 	séwijead 	séwijoey 	séwijoy 	séwijoh₁ 			
#		singular-possessor	neuter 	dual	séwijoyh₁	séwijoyh₁	séwijoyh₁	—	—	—	—	—			
#		singular-possessor	neuter 	plural	séwijeh₂ 	séwijeh₂ 	séwijeh₂ 	séwijoHom 	séwijomos 	séwijomos 	séwijoysu 	séwijōys 			
#		plural-possessor	masculine 	singular	séweros 	séwere 	séwerom 	séwerosyo 	séweread 	séweroey 	séweroy 	séweroh₁ 			
#		plural-possessor	masculine 	dual	séweroh₁ 	séweroh₁ 	séweroh₁ 	—	—	—	—	—			
#		plural-possessor	masculine 	plural	séwijoes 	séwijoes 	séwijoms 	séweroHom 	séweromos 	séweromos 	séweroysu 	séwerōys 			
#		plural-possessor	feminine 	singular	séwereh₂ 	séwereh₂ 	séwerām 	séwereh₂s 	séwereh₂s 	séwereh₂ey	séwereh₂i 	séwereh₂h₁			
#		plural-possessor	feminine 	dual	séwereh₂h₁e	séwereh₂h₁e	séwereh₂h₁e	—	—	—	—	—			
#		plural-possessor	feminine 	plural	séwijeh₂es 	séwijeh₂es 	séwijeh₂m̥s 	séwereh₂oHom 	séwereh₂mos 	séwereh₂mos 	séwereh₂su 	séwereh₂bʰi 			
#		plural-possessor	neuter 	singular	séwerom 	séwerom 	séwerom 	séwerosyo 	séweread 	séweroey 	séweroy 	séweroh₁ 			
#		plural-possessor	neuter 	dual	séweroyh₁	séweroyh₁	séweroyh₁	—	—	—	—	—			
#		plural-possessor	neuter 	plural	séwijeh₂ 	séwijeh₂ 	séwijeh₂ 	séweroHom 	séweromos 	séweromos 	séweroysu 	séwerōys 			
