	# person	plurality	formality  	gender   	nominative	accusative	genitive	dative
personal	1       	singular 		         	ich       	mich      	meiner  	mir   
personal	2       	singular 	familiar   	         	du        	dich      	deiner  	dir   
personal	2       	singular 	polite     	masculine	er        	ihn       	seiner  	ihm   
personal	2       	singular 	polite     	feminine	Sie       	Sie       	Ihrer   	Ihnen 
personal	2       	singular 	polite     	neuter	Sie       	Sie       	Ihrer   	Ihnen 
personal	2       	singular 	elevated   		Ihr       	Euch      	Euer    	Euch  
personal	3       	singular 		masculine	er        	ihn       	seiner  	ihm   
personal	3       	singular 		feminine 	sie       	sie       	ihrer   	ihr   
personal	3       	singular 		neuter   	es        	es        	seiner  	ihm   
personal	1       	plural   			wir       	uns       	unser   	uns   
personal	2       	plural   	familiar   		ihr       	euch      	euer    	euch  
personal	2       	plural   	polite     		Sie       	Sie       	Ihrer   	Ihnen 
personal	2       	plural   	elevated   		Ihr       	Euch      	Euer    	Euch  
personal	3       	plural   			sie       	sie       	ihrer   	ihnen 
