(?<=[C]ʷ?ʰ[r]?[V]+[mnr]?[ptkbdg]pʰ 	p             
(?<=[C]ʷ?ʰ[r]?[V]+[mnr]?[ptkbdg]tʰ 	t             
(?<=[C]ʷ?ʰ[r]?[V]+[mnr]?[ptkbdg]kʰ 	k             
(?<=[C]ʷ?ʰ[r]?[V]+[mnr]?[ptkbdg]kʷʰ	kʷ            
                                   
(?<=[C]ʷ?ʰ[r]?[V]+[mnr]?[ptkbdg]bʰ 	b             
(?<=[C]ʷ?ʰ[r]?[V]+[mnr]?[ptkbdg]dʰ 	d             
(?<=[C]ʷ?ʰ[r]?[V]+[mnr]?[ptkbdg]gʰ 	g             
(?<=[C]ʷ?ʰ[r]?[V]+[mnr]?[ptkbdg]gʷʰ	gʷ            
                                   
h(?=[r]?[V]+[C]ʷ?ʰ)                	∅             
                                   
#                                  	strengthened y sound                                                                             
\b[ijy]                            	dy            
d[ijy]                             	dzy           
t[ijy]                             	tsy           
dʰ[ijy]                            	tsy           
(?<=[C][R])h₁(?=[C])               	ē             
(?<=[C][R])h₂(?=[C])               	ā             
(?<=[C][R])h₃(?=[C])               	ō             
                                   
(?<=[C])([R])[H](?=[V])            	a\1           
[V]kʷ                              	ukʷ           
                                   
#                                  	Proto-Greek->Pre-Greek                                                                           
m\b                                	n             
                                   
m̥(?=[R])                          	am            
m̥                                 	ã             
n̥(?=[R])                          	an            
n̥                                 	ã             
ã                                  	a             
                                   
[C]+s[C]+                          	s             
(?<=[C])t[ijy](?=[V])              	s             
ti                                 	si            
kʷkʷ                               	kw            
                                   
kʷe                                	te            
kʷʰe                               	tʰe           
gʷe                                	de            
gʷʰe                               	dʰe           
                                   
ās\b                               	ai            
ōs\b                               	oi            
                                   
#                                  	Armenian      
\bdw                               	k             
p                                  	pʰ            
t                                  	tʰ            
k                                  	kʰ            
                                   
#                                  	LIE->Proto-Indo-Iranian                                                                          
#                                  	palatalization of velars                                                                         
k                                  	tɕ            
kʰ                                 	tɕʰ           
g                                  	dʑ            
gʰ                                 	dʑʰ           
                                   
#                                  	merge of labiovelars with plain velars                                                           
kʷ                                 	k             
kʷʰ                                	kʰ            
gʷ                                 	g             
gʷʰ                                	gʰ            
                                   
#                                  	Law of Palatals: plain velars palatalized before front vowel                                     
k(?=[iejy])                        	t∫            
g(?=[iejy])                        	dʒ            
gʰ(?=[iejy])                       	dʒʰ           
                                   
#                                  	              
k(?=[dt])                          	š             
g(?=[dt])                          	ž             
gʰ(?=[dt])                         	ž             
                                   
ks                                 	šš            
                                   
e                                  	a             
o                                  	a             
                                   
\B[H]                              	i             
                                   
m̥                                 	a             
n̥                                 	a             
                                   
#                                  	Bartholomae's law: aspirate followed by voiceless consonant becomes voiced stop + voiced aspirant
dʰt                                	dzdʰ          
(?<=[ptkbdg]ʷ?)ʰ([ptk])            	ᵛ\1ᵛʰ                                                                                            	
pᵛ                                 	b             
tᵛ                                 	d             
kᵛ                                 	g             
ᵛ                                  	∅             
ʰʰ+                                	ʰ             
                                   
(?<=[rr̥uki]ʰ?)s                   	š             
(?<=[rr̥uki]ʰ?)z                   	ž             
                                   
#                                  	Brugmann's law: o in an open syllable lengthens                                                  
o                                  	ō             
                                   
l̥                                 	r̥            
l                                  	r             
                                   
#                                  	Paionian      
ʰ                                  	∅             
                                   
#                                  	Macedonian    
g                                  	k             
                                   
#                                  	Proto-Indo-Hittite->Anatolian                                                                    
bʰ                                 	b             
dʰ                                 	d             
