*	*	*	tonic	enclitic	enclitic	enclitic
*	*	*	nominative 	nominative 	genitive	accusative
1	singular		ʼanā̆/ʼanākū̆ 	-kū̆ 	-ī/-ya	-nī 
2	singular	masculine	ʼantā̆ 	-tā̆ 	-kā̆	-kā̆
2	singular	feminine	ʼantī̆ 	-tī̆ 	-kī̆	-kī̆
3	singular	masculine	šuʼa 	-a 	-šū̆	-šū̆
3	singular	feminine	šiʼa 	-at 	-šā̆/-šī̆	-šā̆/-šī̆
1	dual		❔	-?nuyā	-?niyā	-?nayā
2	dual		ʼantumā 	-tumā 	-kumā/-kumay	-kumā/-kumay
3	dual		šumā 	-ā 	-šumā/-šumay	-šumā/-šumay
1	plural		niḥnū̆ 	-nū̆ 	-nī̆	-nā̆ 
2	plural	masculine	ʼantum 	-tum 	-kum	-kum
2	plural	feminine	ʼantin 	-tin 	-kin	-kin
3	plural	masculine	šum/šumū 	-ū 	-šum	-šum
3	plural	feminine	šin/šinnā 	-ā 	-šin 	-šin 
