Id	English	Part
1-100	world	noun
1-210	earth|land	noun
1-212	ground|soil	noun
1-213	dust	noun
1-214	mud	noun
1-215	sand	noun
1-220	mountain|hill	noun
1-222	cliff|precipice	noun
1-230	plain|field	noun
1-240	valley	noun
1-250	island	noun
1-260	mainland	noun
1-270	shore	noun
1-280	cave	noun
1-310	water	noun
1-320	sea	noun
1-322	calm	adjective
1-323	rough	adjective
1-324	foam	noun
1-329	ocean	noun
1-330	lake	noun
1-340	gulf|bay	noun
1-341	lagoon	noun
1-342	reef	noun
1-343	headland|point	noun
1-350	wave	noun
1-352	tide	noun
1-353	lowtide	noun
1-354	hightide	noun
1-360	river|stream|brook	noun
1-362	whirlpool	noun
1-370	spring|well	noun
1-380	swamp	noun
1-390	waterfall	noun
1-410	woods|forest	noun
1-420	tree	noun
1-430	wood	noun
1-440	stone|rock	noun
1-450	earthquake	noun
1-510	sky	noun
1-520	sun	noun
1-530	moon	noun
1-540	star	noun
1-550	lightning flash|lightning	noun
1-560	thunder	noun
1-570	lightning bolt|lightning	noun
1-580	storm	noun
1-590	rainbow	noun
1-610	light	noun
1-620	darkness	noun
1-630	shade|shadow	noun
1-640	dew	noun
1-710	air	noun
1-720	wind	noun
1-730	cloud	noun
1-740	fog	noun
1-750	rain	noun
1-760	snow	noun
1-770	ice	noun
1-780	weather	noun
1-810	fire	noun
1-820	flame	noun
1-830	smoke	noun
1-840	ashes	noun
1-841	embers	noun
1-851	burn	verb
1-852	burn	verb
1-860	light|kindle|ignite	verb
1-861	extinguish	verb
1-870	match	noun
1-880	firewood	noun
1-890	charcoal	noun
10-110	move	verb
10-120	turn over	verb
10-130	turn around	verb
10-140	wind|wrap	verb
10-150	roll	verb
10-160	drop	verb
10-170	twist	verb
10-210	rise	verb
10-220	raise|lift	verb
10-230	fall	verb
10-240	drip	verb
10-250	throw	verb
10-252	catch ball	verb
10-260	shake	verb
10-320	flow	verb
10-330	sink	verb
10-340	float	verb
10-350	swim	verb
10-351	dive	verb
10-352	splash	verb
10-360	sail	verb
10-370	fly	verb
10-380	blow	verb
10-410	creep|crawl	verb
10-412	kneel	verb
10-413	crouch	verb
10-420	slide|slip	verb
10-430	jump|leap	verb
10-431	kick	verb
10-440	dance	verb
10-450	walk	verb
10-451	limp	verb
10-460	run	verb
10-470	go	verb
10-471	go up	verb
10-472	climb	verb
10-473	go down	verb
10-474	go out	verb
10-480	come	verb
10-481	come back	verb
10-490	go away|depart	verb
10-491	disappear	verb
10-510	flee	verb
10-520	follow	verb
10-530	pursue	verb
10-550	reach|arrive	verb
10-560	approach	verb
10-570	enter	verb
10-610	carry	verb
10-612	carry-in-hand	verb
10-613	carry-on-shoulder	verb
10-614	carry-on-head	verb
10-615	carry-underarm	verb
10-620	bring	verb
10-630	send	verb
10-640	lead	verb
10-650	drive	verb
10-660	ride	verb
10-670	push|shove	verb
10-710	road	noun
10-720	path	noun
10-740	bridge	noun
10-750	carriage|wagon|cart	noun
10-760	wheel	noun
10-770	axle	noun
10-780	yoke	noun
10-810	ship	noun
10-830	boat	noun
10-831	canoe	noun
10-832	outrigger	noun
10-840	raft	noun
10-850	oar	noun
10-851	paddle	noun
10-852	row	noun
10-860	rudder	noun
10-870	mast	noun
10-880	sail	noun
10-890	anchor	noun
10-910	harbor|port	noun
10-920	land	verb
11-110	have	verb
11-120	own|possess	verb
11-130	take	verb
11-140	seize|grasp	verb
11-150	hold	verb
11-160	get|obtain	verb
11-170	keep|retain	verb
11-180	thing	noun
11-210	give	verb
11-220	give back	verb
11-240	preserve|look after	verb
11-250	save|rescue	verb
11-270	destroy	verb
11-280	harm|injure|damage	verb
11-310	seek|look for	verb
11-320	find	verb
11-330	lose	verb
11-340	release|let go	verb
11-430	money	noun
11-440	coin	noun
11-510	rich	noun
11-520	poor	noun
11-530	beggar	noun
11-540	avaricious|stingy	adjective
11-610	lend	verb
11-620	borrow	verb
11-630	owe	verb
11-640	debt	noun
11-650	pay	verb
11-660	account|reckoning	noun
11-690	tax|tribute	noun
11-770	hire	verb
11-780	wages	noun
11-790	earn	verb
11-810	buy	verb
11-820	sell	verb
11-830	trade|barter	verb
11-840	merchant	noun
11-850	market place	noun
11-860	store|shop	noun
11-870	price	noun
11-880	dear|costly|expensive	adjective
11-890	cheap	noun
11-910	share|distribute	verb
11-920	weigh	verb
12-10	after	adposition
12-11	behind	adposition
12-110	place	verb
12-120	put	verb
12-130	sit	verb
12-140	lie down	verb
12-150	stand	verb
12-160	remain|stay	verb
12-170	remains|left overs	noun
12-20	beside	adposition
12-210	collect|gather	verb
12-212	pick up	verb
12-213	pile up	verb
12-220	join|unite	verb
12-230	separate	verb
12-232	divide	verb
12-240	open	verb
12-250	shut|close	verb
12-260	cover	verb
12-270	hide|conceal	verb
12-30	down|below	adposition
12-310	high	adjective
12-320	low	adjective
12-330	top	adjective
12-340	bottom	adjective
12-350	end	noun
12-352	pointed	noun
12-353	edge	noun
12-360	side	noun
12-370	middle|center	noun
12-40	before	adposition
12-41	front	noun
12-410	right	adjective
12-420	left	adjective
12-430	near	adjective
12-440	far	adjective
12-450	east	adjective
12-460	west	adjective
12-470	north	adjective
12-480	south	adjective
12-50	inside|in	adposition
12-530	grow	verb
12-540	measure	verb
12-541	span|fathom	noun
12-550	large|big	adjective
12-560	small|little	adjective
12-570	long	adjective
12-580	tall	adjective
12-590	short	adjective
12-60	outside	adjective
12-610	wide|broad	adjective
12-620	narrow	adjective
12-630	thick	adjective
12-650	thin	adjective
12-670	deep	adjective
12-680	shallow	adjective
12-70	under	adposition
12-710	flat	adjective
12-730	straight	adjective
12-740	crooked	adjective
12-750	hook	noun
12-760	corner	verb
12-770	cross	noun
12-780	square	noun
12-80	up|above	adposition
12-810	round	adjective
12-820	circle	noun
12-830	sphere|ball	noun
12-840	line	noun
12-850	hole	noun
12-920	like|similar	adposition
12-930	change	verb
13-0	zero|nothing	numeral
13-10	one	numeral
13-100	ten	numeral
13-101	eleven	numeral
13-102	twelve	numeral
13-103	fifteen	numeral
13-104	twenty	numeral
13-105	hundred	numeral
13-106	thousand	numeral
13-107	count	noun
13-140	every|all	adjective
13-150	much|many	adjective
13-160	more	adjective
13-170	little|few	adjective
13-180	enough	adjective
13-181	some	adjective
13-190	multitude|crowd	noun
13-20	two	numeral
13-210	full	adjective
13-220	empty	adjective
13-230	part|piece	noun
13-240	half	adjective
13-30	three	numeral
13-330	alone|only	adjective
13-340	first	ordinal
13-350	last	adjective
13-360	second	ordinal
13-370	pair	noun
13-380	twice	adverbial
13-40	four	numeral
13-420	third	ordinal
13-440	thrice	adverbial
13-50	five	numeral
13-60	six	numeral
13-70	seven	numeral
13-80	eight	numeral
13-90	nine	numeral
14-110	time	noun
14-120	age	noun
14-130	new	adjective
14-140	young	adjective
14-150	old	adjective
14-160	early	adjective
14-170	late	adjective
14-180	now	noun
14-190	immediately	adverb
14-210	swift|fast|quick	adjective
14-220	slow	adjective
14-230	hasten|hurry	verb
14-240	retard|delay	verb
14-250	begin|beginning	verb
14-252	last|endure	verb
14-260	end	noun
14-270	finish	verb
14-280	cease|stop	verb
14-290	ready	adjective
14-310	always	adverb
14-320	often	adverb
14-330	sometimes	adverb
14-331	soon	adverb
14-332	long-time	adverb
14-340	never	adverb
14-350	again	adverb
14-410	day	noun
14-420	night	noun
14-430	dawn	noun
14-440	morning	noun
14-450	noon|midday	noun
14-451	afternoon	noun
14-460	evening	noun
14-470	today	noun
14-480	tomorrow	noun
14-481	day-after-tomorrow	noun
14-490	yesterday	noun
14-491	day-before-yesterday	noun
14-510	hour	noun
14-530	clock|timepiece	noun
14-610	week	noun
14-620	Sunday	noun
14-630	Monday	noun
14-640	Tuesday	noun
14-650	Wednesday	noun
14-660	Thursday	noun
14-670	Friday	noun
14-680	Saturday	noun
14-710	month	noun
14-730	year	noun
14-740	winter	noun
14-750	spring	noun
14-760	summer	noun
14-770	autumn	noun
14-780	season	noun
15-210	smell	verb
15-212	sniff	verb
15-220	smell	verb
15-250	fragrant|good smelling	adjective
15-260	stinking|bad smelling	adjective
15-310	taste	verb
15-350	sweet	adjective
15-360	salty	adjective
15-370	bitter	adjective
15-380	acid|sour	adjective
15-390	brackish	adjective
15-410	hear	verb
15-420	listen	verb
15-440	sound|noise	noun
15-450	loud	adjective
15-460	quiet|silence	adjective
15-510	see	verb
15-520	look|look at	verb
15-550	show	verb
15-560	shine	verb
15-570	bright	adjective
15-610	color	noun
15-620	light	adjective
15-630	dark	adjective
15-640	white	adjective
15-650	black	adjective
15-660	red	adjective
15-670	blue	adjective
15-680	green	adjective
15-690	yellow	adjective
15-710	touch	verb
15-712	pinch	verb
15-720	feel	verb
15-740	hard	adjective
15-750	soft	adjective
15-760	rough	adjective
15-770	smooth	adjective
15-780	sharp	adjective
15-790	blunt|dull	adjective
15-810	heavy	adjective
15-820	light-weight	adjective
15-830	wet|damp	adjective
15-840	dry	adjective
15-850	hot	adjective
15-851	warm	adjective
15-860	cold	adjective
15-870	clean	adjective
15-880	dirty|soiled	adjective
15-890	wrinkled	adjective
16-110	soul|spirit	noun
16-150	surprised|astonished	adjective
16-180	good fortune|luck	noun
16-190	misfortune|bad luck	noun
16-230	joyful|glad|happy	adjective
16-250	laugh	verb
16-251	smile	verb
16-260	play	verb
16-270	love	verb
16-290	kiss	verb
16-300	embrace	verb
16-310	pain	noun
16-320	grief|sorrow|sadness	noun
16-330	anxiety|worry	noun
16-340	regret|be sorry	verb
16-350	pity	noun
16-370	cry|weep	verb
16-380	tear	noun
16-390	groan	verb
16-410	hate	verb
16-420	anger	noun
16-440	envy|jealousy	noun
16-450	shame	noun
16-480	proud	adjective
16-510	dare	verb
16-520	brave	adjective
16-530	fear|fright	noun
16-540	danger	noun
16-620	desire|want	verb
16-622	choose	verb
16-630	hope	noun
16-650	faithful	adjective
16-660	TRUE	adjective
16-670	lie|tell lies	verb
16-680	deceit	noun
16-690	forgive	verb
16-710	good	adjective
16-720	bad	adjective
16-730	right|correct	adjective
16-740	wrong	adjective
16-760	fault	noun
16-770	mistake|error	noun
16-780	blame	noun
16-790	praise	verb
16-810	beautiful	adjective
16-820	ugly	adjective
16-830	greedy	adjective
16-840	clever	adjective
17-110	mind	noun
17-130	think|reflect	verb
17-140	think	verb
17-150	believe	verb
17-160	understand	verb
17-170	know	verb
17-171	guess	verb
17-172	imitate	verb
17-180	seem	verb
17-190	idea|notion	noun
17-210	wise	adjective
17-220	foolish|stupid	adjective
17-230	insane|crazy	adjective
17-240	learn	verb
17-242	study	verb
17-250	teach	verb
17-260	pupil	noun
17-270	teacher	noun
17-280	school	noun
17-310	remember	verb
17-320	forget	verb
17-340	clear|plain	adjective
17-350	obscure	adjective
17-360	secret	adjective
17-370	sure|certain	adjective
17-380	explain	verb
17-410	intention|purpose	noun
17-420	cause	verb
17-430	doubt	verb
17-440	suspect	verb
17-441	betray	verb
17-450	need|necessity	noun
17-460	easy	adjective
17-470	difficult	adjective
17-480	try|attempt	verb
17-490	way|manner	noun
17-510	and	conjunction
17-520	because	conjunction
17-530	if	conjunction
17-540	or	conjunction
17-550	yes|affirmative	particle
17-560	no|negative	particle
17-610	how	adverb
17-620	how many	adjective
17-630	how much	adjective
17-640	what	noun
17-650	when	adverb
17-660	where	adverb
17-670	which	adjective
17-680	who	noun
17-690	why	adverb
18-110	voice	noun
18-120	sing	verb
18-130	shout|cry out	verb
18-150	whisper	verb
18-160	mumble	verb
18-170	whistle	verb
18-180	shriek|screech	verb
18-190	howl	verb
18-210	speak|talk	verb
18-211	stutter|stammer	verb
18-220	say	verb
18-221	tell story	verb
18-222	speech	verb
18-230	silent	adjective
18-240	language	noun
18-260	word	noun
18-280	name	noun
18-310	ask question|inquire	verb
18-320	answer	verb
18-330	admit|confess	verb
18-340	deny	verb
18-350	ask|request	verb
18-360	promise	verb
18-370	refuse	verb
18-380	forbid	verb
18-390	rebuke|scold	verb
18-410	call|summon	verb
18-420	call by name	verb
18-430	announce	verb
18-440	threaten	verb
18-450	boast	verb
18-510	write	verb
18-520	read	verb
18-560	paper	noun
18-570	pen	noun
18-610	book	noun
18-670	poet	noun
18-710	flute	noun
18-720	drum	noun
18-730	horn|trumpet	noun
18-740	rattle	noun
19-110	country	noun
19-120	one's native country	noun
19-150	city|town	noun
19-160	village	noun
19-170	boundary	noun
19-210	people|populace	noun
19-230	tribe|clan	noun
19-240	chief|chieftain	noun
19-250	staff|walking stick	noun
19-310	rule|govern	verb
19-320	king|ruler	noun
19-330	queen	noun
19-360	noble|nobleman	noun
19-370	citizen|subject	noun
19-410	master	noun
19-420	slave	noun
19-430	servant	noun
19-440	freeman	noun
19-450	command|order	verb
19-460	obey	verb
19-470	let|permit	verb
