	Id	English	Part	Common	Northwest	West Central	Graeco Aryan	Eastern	Central
0	1-100	world	noun						
1	1-210	earth|land	noun	*dhe ́gˆho ̄m|*pl̥th₂-ihₐ-		*h₁ er-			
2	1-212	ground|soil	noun						
3	1-213	dust	noun	*pe ̄(n)s-					
4	1-214	mud	noun	*penk-		*hₓ ihₓlu			
5	1-215	sand	noun			*sam˳hx dhos			
6	1-220	mountain|hill	noun	*gʷ orhₓ-|*bhergˆh-		*kolhₓ o ̄n			
7	1-222	cliff|precipice	noun	*pel(i)s-					
8	1-230	plain|field	noun	*hₐegˆros|*hₐ e ́rh₃ wr̥					
9	1-240	valley	noun	*dho ́lhₐ os|*lo ́nk(o/e)hₐ-					
10	1-250	island	noun						
11	1-260	mainland	noun						
12	1-270	shore	noun			*hₐ ehₓ peros (?)			
13	1-280	cave	noun				*ka ́iwr̥(t)		
14	1-310	water	noun	*h₂eP-|*w(e/o)hₓr|*wehₓp-|*wo ́dr̥	*hₐekʷehₐ-|*pen-	*ten̥hₐ g-|*yuhₓ-r-			
15	1-320	sea	noun	*mo ́ri					
16	1-322	calm	adjective						
17	1-323	rough	adjective	*kreup-					
18	1-324	foam	noun	*spohₓ in(o/e)hₐ					
19	1-329	ocean	noun						
20	1-330	lake	noun			*loku ́s			
21	1-340	gulf|bay	noun						
22	1-341	lagoon	noun						
23	1-342	reef	noun						
24	1-343	headland|point	noun	*bhr̥stı ́s|*hₐ e ́rdhis					
25	1-350	wave	noun						
26	1-352	tide	noun						
27	1-353	lowtide	noun						
28	1-354	hightide	noun						
29	1-360	river|stream|brook	noun	*dehₐ nu-|*h₂eb(h)-					
30	1-362	whirlpool	noun						
31	1-370	spring|well	noun						
32	1-380	swamp	noun			*hₓ ihₓ lu			
33	1-390	waterfall	noun						
34	1-410	woods|forest	noun	*gʷ orhₓ-	*widhu				
35	1-420	tree	noun	*do ́ru	*kʷ re ́snos|*widhu				
36	1-430	wood	noun	*do ́ru					
37	1-440	stone|rock	noun	*h₄ e ́kˆmo ̄n|*pel(i)s|*peru-		*leh₁-w-|*lep-			
38	1-450	earthquake	noun						
39	1-510	sky	noun	*ne ́bhes-					
40	1-520	sun	noun	*se ́hₐul					
41	1-530	moon	noun	*me ́h₁ no ̄t|*(s)kand-	*louksnehₐ-				
42	1-540	star	noun	*h₂ste ̄ ́r					
43	1-550	lightning flash|lightning	noun		*meldh-				
44	1-560	thunder	noun	*(s)tenhₓ-		*ghromos			
45	1-570	lightning bolt|lightning	noun		*meldh-				
46	1-580	storm	noun						
47	1-590	rainbow	noun						
48	1-610	light	noun						
49	1-620	darkness	noun	*h₁regʷ-es-					
50	1-630	shade|shadow	noun	*skˆo ̄y˳hₐ		*sko ́tos|*sko ́tos			
51	1-640	dew	noun	*ro ̄ ́s					
52	1-710	air	noun						
53	1-720	wind	noun						
54	1-730	cloud	noun						
55	1-740	fog	noun						
56	1-750	rain	noun	*dhreg-|*h₁ wers-|*n̥bh(ro/ri)-|*suhₓ-		*hₐeghlu (gˆh?)|*mregh-			
57	1-760	snow	noun	*dhreg-|*gˆheim-|*sneigʷ h-|*snigʷ h-s		*kˆer(s)no-			
58	1-770	ice	noun	*h₁eihₓ(s)-|*yeg-					
59	1-780	weather	noun						
60	1-810	fire	noun	*g(e)ulo-|*h₂ e ́hₓ tr̥|*hₐ eidh-|*hₓ n̥gʷ nis|*pe ́h₂ur					
61	1-820	flame	noun						
62	1-830	smoke	noun	*dhuh₂ mo ́s		*kʷ ap-|*(s)m(e)ug(h)-			
63	1-840	ashes	noun						
64	1-841	embers	noun						
65	1-851	burn	verb	*bhleg-|*dehₐu-|*dhegʷ h-|*gˆwelhₓ-|*h₁ eus-|*h₂ ehₓ-|*h₄ elh₁-|*hₐ eidh-|*hₐ el-|*kenk-|*kˆehₐ u-|*kˆeuk-|*kˆseh₁-|*preus-|*swelp-|*wer-	*ker-|*swel-				
66	1-852	burn	verb	*bhleg-|*dehₐu-|*dhegʷ h-|*gˆwelhₓ-|*h₁ eus-|*h₂ ehₓ-|*h₄ elh₁-|*hₐ eidh-|*hₐ el-|*kenk-|*kˆehₐ u-|*kˆeuk-|*kˆseh₁-|*preus-|*swelp-|*wer-	*ker-|*swel-				
67	1-860	light|kindle|ignite	verb	*dehₐ u-					
68	1-861	extinguish	verb	*gʷ es-					
69	1-870	match	noun						
70	1-880	firewood	noun						
71	1-890	charcoal	noun	*hₓo ́ngl̥	*perk-				
72	10-110	move	verb	*dih₁-|*h₁rei-|*h₁eig-|*h₁ reihₓ-|*meu(hₓ)-|*meus-|*sel-|*spergˆh-|*sret-					
73	10-120	turn over	verb						
74	10-130	turn around	verb						
75	10-140	wind|wrap	verb	*kenk-|*(s)keu(hₓ)-|*(s)pre(n)g-		*sper-			
76	10-150	roll	verb						
77	10-160	drop	verb						
78	10-170	twist	verb						
79	10-210	rise	verb	*swelno-					
80	10-220	raise|lift	verb	*kel-|*telh₂-|*kel(hₓ)-|*telh₂-					
81	10-230	fall	verb	*kˆad-|*ped-|*pteh₁-		*pho ̄			
82	10-240	drip	verb			*leg-|*stag-			
83	10-250	throw	verb	*gˆhi-|*gʷ elh₁-|*h₁ es-|*seh₁(i)-|*(s)keud-|*smeit-|*swep-		*yeh₁-			
84	10-252	catch ball	verb						
85	10-260	shake	verb	*kseubh-|*trem-|*wegh- (*wegˆh-?)	*kret-|*kreut|*(s)ku(n)t-	*kʷat-	*tweis-		
86	10-320	flow	verb	*dhen-|*gʷ el(s)-|*h₁ ers-|*hₐ el-|*leh₂-|*sreu-|*tek-		*del-|*ser-	*dhgʷ her-		
87	10-330	sink	verb						
88	10-340	float	verb	*pleu-					
89	10-350	swim	verb	*pleu-|*snehₐ-	*swem-				
90	10-351	dive	verb	*gʷ a ̄dh-|*mesg-					
91	10-352	splash	verb						
92	10-360	sail	verb						
93	10-370	fly	verb						
94	10-380	blow	verb	*bhel-|*bhes-|*h₂ weh₁-|*peis-|*per-|*p(h)eu-|*swei-|*wet-					
95	10-410	creep|crawl	verb	*serp-|*(t)sel-	*re ̄p-				
96	10-412	kneel	verb						
97	10-413	crouch	verb						
98	10-420	slide|slip	verb	*(s)leidh-	*sleubh-				
99	10-430	jump|leap	verb	*h₁ leig-|*lek-|*preu-|*preug-|*skand-|*skek-|*dher-		*kˆehₐ k-|*sel-			
100	10-431	kick	verb	*sperh₁-					
101	10-440	dance	verb						
102	10-450	walk	verb	*gˆhengh-					
103	10-451	limp	verb	*(s)keng-					
104	10-460	run	verb	*bhegʷ-|*drehₐ-|*drem-|*dreu-|*dhen-|*kˆers-|*reth₂-|*tek-|?*dheu-	*tregh-	*dhregh-	?*dheu-		
105	10-470	go	verb	*deuh₄-|*ghredh-|*h₁ ei-|*hₐ et-|*h₁leudh-|*leit(hₓ)-|*seh₁(i)-|*sed-|*sent-|*spleigˆh-|*steigh-|*wei(hₓ)-|*yehₐ-	*meihₓ-	*h₁ el-			
106	10-471	go up	verb						
107	10-472	climb	verb						
108	10-473	go down	verb						
109	10-474	go out	verb						
110	10-480	come	verb	*gʷ ehₐ-|*gʷ em-					
111	10-481	come back	verb						
112	10-490	go away|depart	verb						
113	10-491	disappear	verb						
114	10-510	flee	verb			*bheug-			
115	10-520	follow	verb	*sekʷ-|*wreg-					
116	10-530	pursue	verb						
117	10-550	reach|arrive	verb	*tem-					
118	10-560	approach	verb						
119	10-570	enter	verb	*ye ́bh(e/o)-					
120	10-610	carry	verb	*bher-|*wegˆh-					
121	10-612	carry-in-hand	verb						
122	10-613	carry-on-shoulder	verb						
123	10-614	carry-on-head	verb						
124	10-615	carry-underarm	verb						
125	10-620	bring	verb						
126	10-630	send	verb						
127	10-640	lead	verb	*neihₓ-					
128	10-650	drive	verb	*hₐegˆ-|*kel-	*dhreibh-				
129	10-660	ride	verb	*wegˆh-	*reidh-				
130	10-670	push|shove	verb	*reudh-|*(s)peud-|*(s)teud-|*wedh-	*skeubh-|*telk-			*neud-	
131	10-710	road	noun	*h₁ e ́itr̥-		*wegˆhyehₐ-			
132	10-720	path	noun	*po ́nto ̄h₂ s|*stı ́ghs					
133	10-740	bridge	noun						
