chapter_id	entry_id	meaning	Proto Austronesian_Phonemic	comment
9	211	pound with fist	*pak; *Tuk	PAN; Homonyn (1); means 'slap, clap'. *pik'slap'. *PEO *sapa'slap'.; PAN; Homonyn (1); means 'slap, clap'. *pik'slap'. *PEO *sapa'slap'.
9	220	cut	*tas	PAN; *PEO *pur(iu)'(weeds)slash w knife';*muj(iu)'cut off'; *tava.
9	223	stab	*sek	PAN; Homonyn (1). *PEO *suki'pierce, prick, lance, sew'; *zoka.
9	260	break	*pak; *puk; *tus	PAN; First form homonyn (2); second form (1). *PEO *aqulu'fallen, broken off'; PAN; First form homonyn (2); second form (1). *PEO *aqulu'fallen, broken off'; PAN; First form homonyn (2); second form (1). *PEO *aqulu'fallen, broken off'
9	261	broken	*ceq	PAN
9	270	split	*kaq; *laq	PAN; Homonyn (2). *PEO *vazi; *kola; *tapa; *wa(ŋ)ka.; PAN; Homonyn (2). *PEO *vazi; *kola; *tapa; *wa(ŋ)ka.
9	280	tear	*pas; *riC; *tes	PAN; *PEO *saR(ei).; PAN; *PEO *saR(ei).; PAN; *PEO *saR(ei).
9	320	stretch	*ɲat; ɲut	PAN; PAN
9	330	pull	*gut	PAN; Homonyn (2). *PEO *yavu-t; *savu-t'pull up, pull out'.
9	340	spread out	*kaŋs	PAN; Homonym (1). *PEO *pola; *taka;*sapapa 'compressed, broad'.
9	341	hang up	*wit	PAN; *PEO *zave.
9	342	press	*pit; *sek	PAN; Second form is homonyn (2). *PEO *ŋk(ou)ru'crunch'; PAN; Second form is homonyn (2). *PEO *ŋk(ou)ru'crunch'
9	343	squeeze, wring	*cit; *cut; *Det; *pes	PAN; PAN; PAN; PAN
9	360	wash	*ɲaw	PAN; *PEO *si(q)u-v'bathe, pour water on'; *(n)tave()ia'wash away'
9	500	nail	*paku	PAN; *PEO *vako.
9	560	glue	*keC; *lit	PAN; Second form is (1). *PEO *pilit'sticky, adhesive, resin, gum'.; PAN; Second form is (1). *PEO *pilit'sticky, adhesive, resin, gum'.
10	110	move	*suD	PAN
10	120	turn over	*keb	PAN; Homonyn (2)
10	130	turn around	*kub	PAN; Means 'surround, encircle'; homonyn (2). *PEO *liu.
10	140	wind, wrap	*bej; *kes; *kus	PAN; PAN; PAN
10	170	twist	*lit	PAN; Homonyn (2). *PEO *piko; *wili
10	230	fall	*buq	PAN; *PEO *opa; *sapila.
10	260	shake	*ger	PAN; *PEO *rere.
10	320	flow	*liR; *luR	PAN; *PEO *sali; *tape.; PAN; *PEO *sali; *tape.
10	330	sink	*leb; *neb; *ɲej	PAN; PAN; PAN
10	340	float	*puŋ; *taw	PAN; Homonyn (2). *PEO *manu.; PAN; Homonyn (2). *PEO *manu.
10	351	dive	*neb	PAN; *PEO *jobu; *jo(bpv)u.
10	352	splash	*cik	PAN; *PEO *pisi-k'squirt, spurt, spray, break wind(faeces), drizzle'
10	380	blow	*pus; *put	PAN; Homonyn (2). *PEO *pus(iu); *pusu'ooze out, spurt, spray, explode, puff, squirt'; *upi(upi); *pisi-k; *pwisi; *pisi.; PAN; Homonyn (2). *PEO *pus(iu); *pusu'ooze out, spurt, spray, explode, puff, squirt'; *upi(upi); *pisi-k; *pwisi; *pisi.
10	420	slide, slip	*lus; *rus	PAN; Second form is homonyn (2). *PEO *jara; PAN; Second form is homonyn (2). *PEO *jara
10	450	walk	*zak	PAN; *PEO *laka'go, step'
10	740	bridge	*tey	PAN
11	140	seize, grasp	*bit; *gem; *kem; *kep	PAN; Homonym (1). Also 'pluck, pull out' *buC; *dut. Fourth form is homonym (2).; PAN; Homonym (1). Also 'pluck, pull out' *buC; *dut. Fourth form is homonym (2).; PAN; Homonym (1). Also 'pluck, pull out' *buC; *dut. Fourth form is homonym (2).; PAN; Homonym (1). Also 'pluck, pull out' *buC; *dut. Fourth form is homonym (2).
11	310	seek, look for	*lat	PAN; Means 'open the eyes wide'; homonym (1).
12	110	place	*waŋ	PAN; *PEO *waa'space, interval'.
12	150	stand	*zeg	PAN; *PEO *ture
12	210	collect, gather	*puk; *pun	PAN; Homonyn (3). *PEO *soko-n'put into, pack, assemble'; *za(R)o; *lulu.; PAN; Homonyn (3). *PEO *soko-n'put into, pack, assemble'; *za(R)o; *lulu.
12	213	pile up	*bun	PAN; *PEO *apu(s, z)a.
12	220	join, unite	*kit	PAN; *PEO *jema; *pilit'stick together'.
12	240	open	*kab; *kaq	PAN; Homonyn (1). 'Open, of the mouth' is *ŋap; *ŋa(q).; PAN; Homonyn (1). 'Open, of the mouth' is *ŋap; *ŋa(q).
12	250	shut, close	*beŋ; *pet	PAN; Means 'block, stop, dam'. *PEO *pono-t'block, shut'; PAN; Means 'block, stop, dam'. *PEO *pono-t'block, shut'
12	260	cover	*Duŋ; *keb; *kep; *kub; *kup; *peŋ	PAN; Second form is homonyn (1); third form is homonyn (1); fourth form is homonym (1). *PEO *pulu'c. with leaves, bury'; *puke'uncover'.; PAN; Second form is homonyn (1); third form is homonyn (1); fourth form is homonym (1). *PEO *pulu'c. with leaves, bury'; *puke'uncover'.; PAN; Second form is homonyn (1); third form is homonyn (1); fourth form is homonym (1). *PEO *pulu'c. with leaves, bury'; *puke'uncover'.; PAN; Second form is homonyn (1); third form is homonyn (1); fourth form is homonym (1). *PEO *pulu'c. with leaves, bury'; *puke'uncover'.; PAN; Second form is homonyn (1); third form is homonyn (1); fourth form is homonym (1). *PEO *pulu'c. with leaves, bury'; *puke'uncover'.; PAN; Second form is homonyn (1); third form is homonyn (1); fourth form is homonym (1). *PEO *pulu'c. with leaves, bury'; *puke'uncover'.
12	330	top	*baw; *tuk	PAN; First form is homonym (1); second form is (2); PAN; First form is homonym (1); second form is (2)
12	340	bottom	*but	PAN
12	352	pointed	*til	PAN; Means 'small protruding part, to stick out.' *PEO *tuz(iu).
12	353	edge	*bir	PAN; Latter ex. means 'rim'.
12	580	tall	*kaw	PAN
12	650	thin (in dimension)	*pis	PAN; Homonyn (2).
12	680	shallow	*baw	PAN; Homonym (2)
12	710	flat	*paD; *pap	PAN; *PEO *rapa'broad'; *sapapa'compressed, broad'.; PAN; *PEO *rapa'broad'; *sapapa'compressed, broad'.
12	740	crooked	*kuk; *ku	PAN; Homonyn (1). See also 'bend' 09.140. *PEO *piki'paralyzed, cramp, limp'; PAN; Homonyn (1). See also 'bend' 09.140. *PEO *piki'paralyzed, cramp, limp'
12	750	hook	*wit	PAN
12	840	line	*ris; *rit	PAN; Homonyn (2) 'scratch a line'.*tosi-∅'score a line'; PAN; Homonyn (2) 'scratch a line'.*tosi-∅'score a line'
13	220	empty	*pis	PAN; Homonyn (1)
14	210	swift, fast, quick	*kas	PAN; Homonyn (3)
14	250	begin, beginning	*kas	PAN; Homonyn (1)
14	270	finish	*pus	PAN; Homonyn (1).
15	310	taste	*ɲam	PAN
15	380	acid, sour	*kawa	*PEO *wini
15	410	hear	*neR; *ŋeR	PAN; *PEO *roŋo-z; *roŋo; *rogo-z; *doŋo.; PAN; *PEO *roŋo-z; *roŋo; *rogo-z; *doŋo.
