chapter_id	entry_id	meaning	Vietnamese_phonetic	comment
3	450	foal, colt	ngụ'a con	
3	460	ass, donkey	lù'a	
3	470	mule	la	
3	500	fowl	gia cầm	
3	520	cock, rooster	gà trống	
3	540	hen	gà mái	
3	550	chicken	gà con	
3	560	goose	ngỗng	
3	570	duck	vịt	
3	580	nest	tôʔ; ôʔ	
3	581	bird	chim	
3	582	seagull	haʔi âu	
3	583	heron	cò	
3	584	eagle	d̄ại bàng	
3	585	hawk	diều hâu	
3	586	vulture	kền kền	
3	591	bat	do'i	
3	592	parrot	vẹt	
3	593	crow	quạ	
3	594	dove	bồ câu	
3	596	owl	cú	
3	610	dog	chó	
3	614	rabbit	thoʔ	
3	620	cat	mèo	
3	622	opossum	chuọʌt túi	
3	630	mouse, rat	chuột	
3	650	fish	cá	
3	652	fin (dorsal)	vây	
3	653	fishscale	vaʔy	
3	654	gill	mang	
3	655	shell	voʔ; mai	
3	661	shark	cá mập	
3	662	porpoise, dolphin	cá heo	
3	663	whale	cá voi	
3	664	stingray	cá ḍuó̂i	
3	665	freshwater eel	lu'o'n; cá chình	
3	710	wolf	sói	
3	720	lion	su' tu'ʔ	
3	730	bear	gấu	
3	740	fox	cáo; chồn	
3	750	deer	hu'o'u; nai	
3	760	monkey	khiʔ; vu'ọ'n; d̄u'ò'i u'o'i	
3	770	elephant	voi	
3	780	camel	lạc d̄à	
3	810	insect	sâu	
3	811	louse	chấy; rận	
3	812	nit (louse egg)	trú'ng chấy	
3	813	flea	bọ chép	
3	814	centipede	rết	
3	815	scorpion	bọ cạp	
3	816	cockroach	gián	
3	817	ant	kiến; kiến lu'ʔa	
3	818	spider	nhện	
3	819	spider web	mạng nhện	
3	820	bee	ong	
3	821	beeswax	sáp	
3	822	beehive	tôʔ ong	
3	823	wasp	ong vẽ; ong bắp cày	
3	830	fly	ruò̂i; mòng; ruồi trâu	
3	831	sandfly (midge), gnat	dĩn	
3	832	mosquito	muỗi	
3	840	worm	giun	
3	850	snake	rắn	
3	910	firefly	d̄om d̄óm	
3	920	butterfly	bu'ó'm	
3	930	grasshopper	cào cào; châu chấu	
3	940	snail	óʌc	
3	950	frog	é̂ch; nhái; cóc	
3	960	lizard	thằn lằn	
3	970	crocodile, alligator	cá sấu	
3	980	turtle	rùa; ba ba	
4	110	body	thân thêʔ	
4	120	skin, hide	da	
4	130	flesh	thịt	
4	140	hair (head)	tóc	
4	142	beard	râu	
4	144	body hair	lông	
4	145	pubic hair	lông lồn	
4	146	dandruff	gầu	
4	150	blood	máu	
4	151	vein, artery	mạch	
4	160	bone	xu'o'ng	
4	162	rib	xu'o'ng su'ò'n	
4	170	horn	sù'ng	
4	180	tail	d̄uôi	
4	190	back	lu'ng	
4	191	spine	xu'o'ng só̂ng	
4	200	head	d̄à̂u	
4	201	side of head, temple	thái du'o'ng	
4	202	skull	sọ	
4	203	brain	óc; não	
4	204	face	mặt	
4	205	forehead	trán	
4	207	jaw	hàm	
4	208	cheek	má	
4	209	chin	cằm	
4	215	blink	chó'p	
4	220	ear	tai	
4	221	earlobe	la.24 sa:j.33	
4	241	beak	moʔ	
4	270	tooth	răng; răng nanh	
4	312	armpit	nách	
4	374	footprint	vết bàn chân	
4	392	wing	cánh	
4	410	breast (of woman)	vú	
4	461	intestines, guts	ruột	
4	463	hip	hông; háng	
4	560	spit	nu'o'́t bọt; nu'o'́c rãi; nu'o'́c miếng	
4	620	dream	chiêm bao; mo' thấy; nằm thấy	
4	660	defecate	d̄ại tiện	
4	680	shiver	run; rung	
4	730	pregnant	có thai; có mang	
4	732	conceive	chu'ʔa	
4	750	die, dead	mất; khuât	
4	751	drowned	chết d̄uối; chết chìm	
4	780	bury (the dead)	chôn; mai táng	
4	790	grave, tomb	mộ; maʔ	
4	853	swelling	u	
4	854	itch	ngu'́a	
4	860	cure, heal	trị bệnh	
4	870	physician	thầy thuốc	
4	880	medicine, drug	thuốc; du'o'̣c phâʔm	
4	910	tired, weary	mệt; moʔi	
4	912	rest	tĩnh d̄u'o'̀ng	
4	940	lame	khập khiễng	
4	990	naked, bare	truồng	
5	121	cooked	luộc chín	
5	122	raw	chu'a chín	
5	125	rotten	thối; u'o'n; thìu; ôi	
5	230	roast, fry	quay; chiên; nu'ó'ng; rán	
5	240	bake	nu'ó'ng	
5	320	plate	diã	
5	340	pitcher, jug	vò; chum	
5	360	saucer	d̄iã lót chén	
5	460	peel	lột; bóc	
5	470	sieve, strain	giần; sàng; rây	
5	490	stir, mix	trộn lẫn; pha trộn	
5	560	crush, grind	xay; nghiền; tán; giã nát	
5	770	nut	hột; trái cây	
6	250	silk	to'; lụa	
6	320	spindle	thoi	
6	330	weave	dệt; d̄an	
6	710	ornament, adornment	trang trí; d̄ồ trang sú'c	
6	921	braid	tết; bện	
7	110	dwell, live	sống; o'ʔ	
7	130	hut	nhà sàn; chòi	
7	210	room	gian	
7	220	door, gate	côʔng	
7	231	latch, door-bolt	cho'́t cu'ʔa; then cu'ʔa	
7	270	wall	tu'o'̀ng; vách	
7	510	roof	mái	
7	560	post, pole	sào; cọc; cột; trụ	
8	150	cultivate, till	cày cấy; trồng trọt	
8	170	ditch	hào; mu'o'ng; rãnh	
8	330	sickle, scythe	liềm	
8	340	thresh	tuốt	
8	420	grain (barley, oats etc)	hạt	
8	691	pipe	ồng d̄iếu	
8	912	yam	cuʔ nâu; cuʔ mài	
8	940	bamboo	giang; trúc; vầu; nu'́a	
9	150	fold	gập; gấp	
9	160	tie, bind	trói	
9	180	chain	cái xích; xích	
9	222	chop, hew	bôʔ; chặt; băm; cheʔ; chém; phát; xắt	
9	260	break	beʔ; gẫy; võ'; rách; d̄u'́t	
9	270	split	cheʔ; bôʔ	
9	280	tear	xé; rách	
9	290	flay, skin	bóc; gọt	
