chapter_id	entry_id	meaning	Elamite_Phonemic	comment
4	750	die, dead	halpi-; hal-pi-ik; hal-pi-ip; la-ha-an	Sources: EW 605; EW 808.; NE, AchE Sources: EW 605; EW 808.; AchE Sources: EW 605; EW 808.; NE Sources: EW 605; EW 808.
4	810	strong, mighty, powerful	ib-ba-ak; šilha-; šil-ha-h; ši-il-ha-ak; ši-il-me	AchE Sources: EW 738; EW 1162; EW 1156-1157.; Sources: EW 738; EW 1162; EW 1156-1157.; NE Sources: EW 738; EW 1162; EW 1156-1157.; OE Sources: EW 738; EW 1162; EW 1156-1157.; OE Sources: EW 738; EW 1162; EW 1156-1157.
4	820	weak	iš-tuk-ra	AchE Source: EW 793.
4	852	bruise	ha-pi	AchE Source: EW 619.
4	860	cure, heal	si-it-ti; si-it-me	ME Source: EW 1079.; ME Source: EW 1079.
4	880	medicine, drug	qa-pu-ur	AchE Source: EW 437.
5	120	food	ab-be-be	AchE Source: EW 22.
5	230	roast, fry	kura-; ku-ra-at; ku-ra-ak	Source: EW 518.; ME Source: EW 518.; OE, ME Source: EW 518.
5	340	pitcher, jug	piti; pi-ti	Source: EW 224.; NE Source: EW 224.
5	370	spoon	ki-mal-tam	NE Source: EW 475.
5	380	knife (2)	du-šu-um-ya; du-ši-um; du-ši-um-ir-ra	ME Source: EW 377.; NE Source: EW 377.; NE Source: EW 377.
5	510	bread	ši-ip-ru-um; ši-ip-ri-um	ME Source: EW 1159.; AchE Source: EW 1159.
5	550	meal, flour	e-ul; u-ma-ma	NE Sources: EW 403; EW 1223.; AchE Sources: EW 403; EW 1223.
5	710	fruit	hurpi; hu-ur-pi; zib-ba	Sources: EW 723; EW 1288.; ME Sources: EW 723; EW 1288.; AchE Sources: EW 723; EW 1288.
5	750	fig	pi-ut-	AchE Source: EW 227.
5	760	grape	šá-ap-pan-na; šap	AchE Source: EW 1115, 1132.; AchE Source: EW 1115, 1132.
5	790	oil	appi; ap-pi	Source: EW 73.; AchE Source: EW 73.
5	791	grease, fat	abba; ab-ba	Source: EW 18.; OE Source: EW 18.
5	810	salt	anzi; an-zí	Source: EW 68.; AchE Source: EW 68.
5	840	honey	hal -la -ki	AchE Source: EW 600.
5	860	milk (noun)	sir-na	AchE Source: EW 1091.
5	880	cheese	pa	NE, AchE Source: EW 104.
5	940	fermented drink	an-na-in	AchE Source: EW 60.
6	130	tailor	šá-h-ši-ik-ra	NE Source: EW 1121.
6	210	cloth	tam-ši-um; ik-tin	NE Sources: EW 280; EW 750.; AchE Sources: EW 280; EW 750.
6	220	wool	tuk-ki-me; tuk-na; im-na	NE Sources: Ew 353, 354; EW 754.; NE Sources: Ew 353, 354; EW 754.; NE Sources: Ew 353, 354; EW 754.
6	230	linen, flax	zali; za-li	Source: EW 1279.; AchE Source: EW 1279.
6	240	cotton	qa-li-tam	NE Source: EW 421.
6	270	felt	da-bar-ri-um	NE Source EW 260. Cf. Akkadian tabarru 'Wolle'.
6	290	leather	šá-ir-šá-at-ti	NE Means 'Büffelfell' EW 1123.
6	330	weave	kurza-; kur-za-iš; kur-za-qa	Source: EW 537.; NE Source: EW 537.; NE Source: EW 537.
6	410	cloak	uk-ku-la-ki	NE Source: EW 1211.
6	430	coat	hu-el-ip	NE Source: EW 684.
6	510	shoe	ha-šá-ir	NE Source: EW 641.
6	550	hat, cap	uk-ku.ba-ti	NE Source: EW 1211. See 'Kopf' 04.200.
6	580	glove	kur-ip	NE Source: EW 523, means 'Handschuh'.
6	710	ornament, adornment	qa-ar-ra-h; qa-ar-ra-ha	ME Source: EW 409.; ME Source: EW 409.
6	730	ring (for finger)	šà-mi; si-mi-it-tum	NE Sources: EW 623, 1130; EW 1083.; ME Sources: EW 623, 1130; EW 1083.
6	910	comb	ah-hu-um; a-h-hu-im	ME Source: EW 33.; NE Source: EW 33.
6	940	ointment	hasu; ha-su-ip; mi-ir-ri-h	Sources: EW 640; EW 923.; NE, AchE Sources: EW 640; EW 923.; ME Sources: EW 640; EW 923.
6	960	mirror	šu-ha; šu-ha.zi-la	ME Source: EW 1175, 1176.; OE Source: EW 1175, 1176.
7	120	house	a-a-in; a-hi-in; ha-a-in; a-i-in; a-a-ni	NE Sources: EW 13, 34, 573; EW 14. See 'relatives, kinsmen' 02.810.; NE Sources: EW 13, 34, 573; EW 14. See 'relatives, kinsmen' 02.810.; NE Sources: EW 13, 34, 573; EW 14. See 'relatives, kinsmen' 02.810.; ME Sources: EW 13, 34, 573; EW 14. See 'relatives, kinsmen' 02.810.; ME Sources: EW 13, 34, 573; EW 14. See 'relatives, kinsmen' 02.810.
7	150	yard, court	tu-uš; ulhi; ul-hi; ul-hi	ME Source: EW 387; EW 1217.; Source: EW 387; EW 1217.; NE Source: EW 387; EW 1217.; AchE Source: EW 387; EW 1217.
7	220	door, gate	hu-el; hi-el; el; e-el; e-ul; ú-el; lu-gu-ú	ME, NE, AchE Sources: EW 683; EW 657; EW 393, 391; EW 403; EW 1201; EW 840. Also s/zip: ME, NE si-ip, EW 1075; AchE zí-ip, EW 1291; NE zip, EW 1302.; ME, NE Sources: EW 683; EW 657; EW 393, 391; EW 403; EW 1201; EW 840. Also s/zip: ME, NE si-ip, EW 1075; AchE zí-ip, EW 1291; NE zip, EW 1302.; ME Sources: EW 683; EW 657; EW 393, 391; EW 403; EW 1201; EW 840. Also s/zip: ME, NE si-ip, EW 1075; AchE zí-ip, EW 1291; NE zip, EW 1302.; AchE Sources: EW 683; EW 657; EW 393, 391; EW 403; EW 1201; EW 840. Also s/zip: ME, NE si-ip, EW 1075; AchE zí-ip, EW 1291; NE zip, EW 1302.; AchE Sources: EW 683; EW 657; EW 393, 391; EW 403; EW 1201; EW 840. Also s/zip: ME, NE si-ip, EW 1075; AchE zí-ip, EW 1291; NE zip, EW 1302.; NE Sources: EW 683; EW 657; EW 393, 391; EW 403; EW 1201; EW 840. Also s/zip: ME, NE si-ip, EW 1075; AchE zí-ip, EW 1291; NE zip, EW 1302.; ME Sources: EW 683; EW 657; EW 393, 391; EW 403; EW 1201; EW 840. Also s/zip: ME, NE si-ip, EW 1075; AchE zí-ip, EW 1291; NE zip, EW 1302.
7	221	doorpost, jamb	hal-ti; ha-al-te-te	ME Source: EW 610, 576.; ME Source: EW 610, 576.
7	250	window	ku-un-nir	NE Source: EW 564.
7	270	wall	te-ip-ta; hu-hu-un	ME Sources: EW 312; EW 688.; ME Sources: EW 312; EW 688.
7	320	stove	ku-ra-am-ma; ku-ra-na	ME Source: EW 518-519.; ME Source: EW 518-519.
7	422	blanket	gi-ut-máš-te; gi-ut-máš-ti	NE Source: EW 494.; NE Source: EW 494.
7	450	lamp, torch	hun; hu-ni-ir; hu-un-pu	Sources: EW 697; EW 720. See 'light' 01.610.; ME Sources: EW 697; EW 720. See 'light' 01.610.; ME Sources: EW 697; EW 720. See 'light' 01.610.
7	510	roof	a-ri; ku-uk; me-nu-me	Sources: EW 83; EW 553; EW 915.; ME, NE Sources: EW 83; EW 553; EW 915.; NE Sources: EW 83; EW 553; EW 915.
7	550	beam	te-ti	ME Source: EW 320.
7	560	post, pole	šali; ša-li	Source: EW 1127.; OE, ME Source: EW 1127.
7	570	board	šil-tur	NE Source: EW 1165.
7	620	brick	e-ri-en-tum; ú-ri-en-tu; hu-us-si-ip; ú-pa-at	ME, NE Sources: EW 399-400; EW 1246; EW 724; EW 1240.; ME Sources: EW 399-400; EW 1246; EW 724; EW 1240.; ME Sources: EW 399-400; EW 1246; EW 724; EW 1240.; ME Sources: EW 399-400; EW 1246; EW 724; EW 1240.
8	120	field (for cultivation)	hal-la	NE Source: EW 600.
8	130	garden	ya-ad-da	NE Source: EW 1261.
8	210	plow	āpi-; a-a-pi-h	Source: EW 15.; OE Source: EW 15.
8	240	shovel	atti; at-ti; šullu; šu-ul-lu	Sources: EW 99; EW 1190.; AchE Sources: EW 99; EW 1190.; Sources: EW 99; EW 1190.; AchE Sources: EW 99; EW 1190.
8	250	hoe	at-ti	AchE Source: EW 99.
8	311	seed	par; pa-ar	Source: EW 109.; ME Source: EW 109.
8	410	crop, harvest	hal-te-me; šu-lu-um	NE Respectively: 'Boden-Segen' EW 610; 'Getreidestand, Kornernte' EW 1178.; AchE Respectively: 'Boden-Segen' EW 610; 'Getreidestand, Kornernte' EW 1178.
8	420	grain (barley, oats etc)	tarmi; tarmu; tar-mi; tar-mu; mu-ša-al-lu	Sources: EW 292; EW 955.; Sources: EW 292; EW 955.; AchE Sources: EW 292; EW 955.; AchE Sources: EW 292; EW 955.; ME Sources: EW 292; EW 955.
8	430	wheat	ši-man	ME, AchE Source: EW 1165.
8	440	barley	kur-ru-sa; nu	< Median *xvarða- and kur-ru-šá < Old Persian *xvarša-, originally 'Speise', EW 533. EW 1004.; ME, NE Sources: EW 533. EW 1004.
8	570	flower	mi-ik-ki-ma	ME Source: EW 921.
8	760	sap	in-na-in; mu-ul-li; mi-el; mi-ul	AchE Sources: EW 758; EW 963; EW 921, 941.; OE Sources: EW 758; EW 963; EW 921, 941.; NE Sources: EW 758; EW 963; EW 921, 941.; AchE Sources: EW 758; EW 963; EW 921, 941.
9	110	do, make	huta-; hu-ud-da; hu-taš; hu-tan-ki; hu-ut-táh; hu-ut-te-eš	Sources: EW 708; EW 705; EW 705; EW 729, 732.; AchE Sources: EW 708; EW 705; EW 705; EW 729, 732.; OE, AchE Sources: EW 708; EW 705; EW 705; EW 729, 732.; OE Sources: EW 708; EW 705; EW 705; EW 729, 732.; ME, NE Sources: EW 708; EW 705; EW 705; EW 729, 732.; OE Sources: EW 708; EW 705; EW 705; EW 729, 732.
9	160	tie, bind	rabba-; ra-ab-ba-h; ráb-ba-qa	Sources: EW 1018; EW 1022.; ME Sources: EW 1018; EW 1022.; AchE Sources: EW 1018; EW 1022.
9	190	rope, cord	šá-am	NE, AchE Source: EW 1113.
9	210	strike (hit, beat)	halpi-; halpu-; hal-pu-h; hal-pi-ya	Source: EW 607. Cf. 'die, dead' 04.750.; Source: EW 607. Cf. 'die, dead' 04.750.; ME, NE Source: EW 607. Cf. 'die, dead' 04.750.; AchE Source: EW 607. Cf. 'die, dead' 04.750.
9	220	cut	máš-áš; šahši-; šá-h-ši-qa	NE Sources: EW 893; EW 1122.; Sources: EW 893; EW 1122.; NE Sources: EW 893; EW 1122.
9	250	ax	ipiš; i-pi-iš; hi-pi-is	Source: EW 764, 668.; NE Source: EW 764, 668.; AchE Source: EW 764, 668.
9	330	pull	sa-; sa-h	Source: EW 1058.; ME, NE Source: EW 1058.
9	430	carpenter	be-la-ti-ra; kiš-ki-ip-man-na	NE Sources: EW 184; EW 486.; NE Sources: EW 184; EW 486.
9	440	build	kuši-; ku-ši-ha; ku-si-iš; ku-ši-ik	Sources: EW 537-539.; ME Sources: EW 537-539.; ME Sources: EW 537-539.; ME Sources: EW 537-539.
9	460	bore	du-li-ib-be	AchE Means 'Bohrer'; source: EW 356.
9	480	saw	el-pi	AchE Source: EW 395.
9	490	hammer	sa-el	NE Source: EW 1057.
9	500	nail	sikti; zikti; si-ik-ti; zik-ti-ip	Sources: EW 1072; EW 1298.; Sources: EW 1072; EW 1298.; ME Sources: EW 1072; EW 1298.; NE Sources: EW 1072; EW 1298.
9	600	smith, blacksmith	kás-zí-ra	NE Source: EW 450.
9	610	forge	kassa-; kassi-; kazza-; kazzi-; qa-as-si-it-ri; qa-az-za-ak	Sources: EW 409; EW 411.; Sources: EW 409; EW 411.; Sources: EW 409; EW 411.; Sources: EW 409; EW 411.; ME Sources: EW 409; EW 411.; ME Sources: EW 409; EW 411.
9	630	cast (metals)	šari-; ša-ri-h	Source: EW 1137.; ME Source: EW 1137.
9	640	gold	la-an-si-ti-e; la-áš-da	ME Sources: EW 803; EW 501, 805.; AchE Sources: EW 803; EW 501, 805.
9	650	silver	lani; la-a-ni	Source: EW 802, 815.; OE Source: EW 802, 815.
9	660	copper, bronze	e-ri-ni; sa-h; sa-hi-i; si-hi-kak	NE; < Akkadian erû, source EW 401. EW 1058; EW 1071. Also zubar: OE, ME za-bar; NE za-bar-ru; ME zu-ba-ar, zu-bar; EW 1273; EW 1310. Also used in 'arrow' 20.250.; NE; source EW 401. EW 1058; EW 1071. Also zubar: OE, ME za-bar; NE za-bar-ru; ME zu-ba-ar, zu-bar; EW 1273; EW 1310. Also used in 'arrow' 20.250.; OE, ME; source EW 401. EW 1058; EW 1071. Also zubar: OE, ME za-bar; NE za-bar-ru; ME zu-ba-ar, zu-bar; EW 1273; EW 1310. Also used in 'arrow' 20.250.; NE; source EW 401. EW 1058; EW 1071. Also zubar: OE, ME za-bar; NE za-bar-ru; ME zu-ba-ar, zu-bar; EW 1273; EW 1310. Also used in 'arrow' 20.250.
9	670	iron	har-gi; har-ki-an-na	NE Source: EW 627, 630.; NE Source: EW 627, 630.
9	680	lead (noun)	ri-kur	NE Source: EW 1038.
9	690	tin, tinplate	a-na-ku	< Akkadian anāku, EW 57. Also NE an-nu-kur-ir-na, EW 61.
9	730	clay	halat; ha-la-at	Source: EW 594.; OE, AchE Source: EW 594.
