chapter_id	entry_id	meaning	Proto Polynesian_Phonemic	comment
1	210	earth, land	*ʔuta; *nuku; *fanua; *kele	PPN; PPN; PPN; PPN
1	212	earth=ground, soil	*kele; *fanua; *kau; *takaŋa; *repo	PPN; PPN; PPN; PPN; PEP; PPN
1	213	dust	*efu; *pu-efu; *efu; *lefu; *pUefu	PPN; See also 'ashes, powder, flour'.; PNP; PPN; See also 'ashes, powder, flour'.; PNP; PPN; See also 'ashes, powder, flour'.; PNP; PPN; See also 'ashes, powder, flour'.; PNP; PPN; See also 'ashes, powder, flour'.
1	214	mud	*oru; *oru; *pela; *kele; *repo; *Lepo; *taʔe	PPN; PPN; PPN; PPN; PPN; PPN; PPN
1	215	sand	*ʔone; *qone; *'one; *oneone; *kili-kili	PPN; PPN; PPN; PPN; PPN
1	220	mountain, hill	*maʔuŋa; *maquŋa; *siwi; *afu; *tuqasiwi	PPN; Second form is 'ridge of hill'. PPN *puke 'mound'.; PPN; Second form is 'ridge of hill'. PPN *puke 'mound'.; PPN; Second form is 'ridge of hill'. PPN *puke 'mound'.; PPN; Second form is 'ridge of hill'. PPN *puke 'mound'.; PPN; Second form is 'ridge of hill'. PPN *puke 'mound'.
1	222	cliff, precipice	*mato; *pari; *paLi; *kala	PPN; PEP *pali; PCP *bari.; PPN; PEP *pali; PCP *bari.; PPN; PEP *pali; PCP *bari.; PPN; PEP *pali; PCP *bari.
1	230	plain, field	*papa	PPN
1	250	island	*motu	PPN
1	270	shore	*quta	PPN
1	280	cave	*ʔana; *qana	PPN; 'Mine, pit' *(q)oru.; PPN; 'Mine, pit' *(q)oru.
1	310	water	*vai; *wai; *wari; *waLi; *suu; *sū; *su-a; *lanu	PPN; 'To melt, liquefy' *naw. PPN *suu; *lanu 'liquid, watery'. To draw/ fetch water asu. 'Fluid' *wale. 'Calm water' Lipo. 'Watery' ko(o)pu(u)wai.; PPN; 'To melt, liquefy' *naw. PPN *suu; *lanu 'liquid, watery'. To draw/ fetch water asu. 'Fluid' *wale. 'Calm water' Lipo. 'Watery' ko(o)pu(u)wai.; PPN; 'To melt, liquefy' *naw. PPN *suu; *lanu 'liquid, watery'. To draw/ fetch water asu. 'Fluid' *wale. 'Calm water' Lipo. 'Watery' ko(o)pu(u)wai.; PPN; 'To melt, liquefy' *naw. PPN *suu; *lanu 'liquid, watery'. To draw/ fetch water asu. 'Fluid' *wale. 'Calm water' Lipo. 'Watery' ko(o)pu(u)wai.; PPN; 'To melt, liquefy' *naw. PPN *suu; *lanu 'liquid, watery'. To draw/ fetch water asu. 'Fluid' *wale. 'Calm water' Lipo. 'Watery' ko(o)pu(u)wai.; PPN; 'To melt, liquefy' *naw. PPN *suu; *lanu 'liquid, watery'. To draw/ fetch water asu. 'Fluid' *wale. 'Calm water' Lipo. 'Watery' ko(o)pu(u)wai.; PPN; 'To melt, liquefy' *naw. PPN *suu; *lanu 'liquid, watery'. To draw/ fetch water asu. 'Fluid' *wale. 'Calm water' Lipo. 'Watery' ko(o)pu(u)wai.; PPN; 'To melt, liquefy' *naw. PPN *suu; *lanu 'liquid, watery'. To draw/ fetch water asu. 'Fluid' *wale. 'Calm water' Lipo. 'Watery' ko(o)pu(u)wai.
