*	*	*	*	nominative	accusative	genitive	dative	locative	allative	ablative	instrumental	vocative			
bone	plural	neuter	cuneiform	𒄩𒀸𒋫𒂊, 𒄩𒀸t𒀀𒄿	𒄩𒀸𒋫𒂊, 𒄩𒀸t𒀀𒄿	𒄩𒀸𒋾𒅀𒀸, 𒄩𒀸𒋫𒅀𒀸	𒄩𒀸𒋾𒅀𒀸, 𒄩𒀸𒋫𒅀𒀸	𒄩𒀸𒋾𒅀𒀸, 𒄩𒀸𒋫𒅀𒀸		𒄩𒀸𒋾𒅀𒊍, 𒄩𒀸𒋫𒅀𒊍	𒄩𒀸𒋫𒀉		#	-ai stem	
bone	plural	neuter	transliteration	ḫa-aš-ta-e, ḫa-aš-ta-i	ḫa-aš-ta-e, ḫa-aš-ta-i	ḫa-aš-ti-ya-aš, ḫa-aš-ta-ya-aš	ḫa-aš-ti-ya-aš, ḫa-aš-ta-ya-aš	ḫa-aš-ti-ya-aš, ḫa-aš-ta-ya-aš		ḫa-aš-ti-ya-az, ḫa-aš-ta-ya-az	ḫa-aš-ta-it 		#	-ai stem	
bone	plural	neuter	latin	ḫaštāe, ḫaštai	ḫaštāe, ḫaštai	ḫaštiyaš, ḫaštayaš	ḫaštiyaš, ḫaštayaš	ḫaštiyaš, ḫaštayaš		ḫaštiyaz, ḫaštayaz	ḫaštait		#	-ai stem	
king	singular	gendered	cuneiform	𒈗𒍑 	𒈗𒌦 	𒈗𒌋𒉿𒀸 	𒈗𒌋𒄿 	𒈗𒌋𒄿 	𒈗𒌋𒉿 	𒈗𒌋𒉿𒊍, 𒈗𒌋𒉿𒍝 	𒈗𒌋𒀉 		#	-u stem	
king	singular	gendered	transliteration	LUGAL-uš 	LUGAL-un 	LUGAL-ú-wa-aš 	LUGAL-ú-i 	LUGAL-ú-i 	LUGAL-ú-wa 	LUGAL-ú-wa-az, LUGAL-ú-wa-za 	LUGAL-ú-it 		#	-u stem	
king	singular	gendered	latin	ḫaššuš 	ḫaššun 	ḫaššuwaš 	ḫaššui 	ḫaššui 	ḫaššuwa 	ḫaššuwaz 	ḫaššwit 		#	-u stem	
king	plural	gendered	cuneiform	𒈗𒌋𒌍	𒈗𒍑	𒈗𒌋𒉿𒀸	𒈗𒌋𒉿𒀸	𒈗𒌋𒉿𒀸		𒈗𒌋𒉿𒊍, 𒈗𒌋𒉿𒍝	𒈗𒌋𒀉		#	-u stem	
king	plural	gendered	transliteration	LUGAL-ú-eš	LUGAL-uš	LUGAL-ú-wa-aš	LUGAL-ú-wa-aš	LUGAL-ú-wa-aš		LUGAL-ú-wa-az, LUGAL-ú-wa-za	LUGAL-ú-it 		#	-u stem	
king	plural	gendered	latin	ḫaššweš	ḫaššuš	ḫaššuwaš	ḫaššuwaš	ḫaššuwaš		ḫaššuwaz	ḫaššwit 		#	-u stem	
livestock	singular	neuter	cuneiform	𒇻𒊻 	*𒇻𒌦 	*𒇻𒌋𒉿𒀸 	*𒇻𒌋𒄿 	*𒇻𒌋𒄿 	*𒇻𒌋𒉿 	*𒇻𒌋𒉿𒊍, *𒇻𒌋𒉿𒍝 	*𒇻𒌋𒀉 		#	-u stem	"meaning is closer to ""sheep"""
