*	*	*	*	*	present	past	imperative	#				
be	active	1	singular	cuneiform	𒂊𒌍𒈪 	𒂊𒋗𒌦 	𒀀𒊭𒀠𒇻	#	consonant stem			
be	active	1	singular	transliteration	e-eš-mi 	e-šu-un 	a-ša-al-lu	#	consonant stem			
be	active	1	singular	latin	ēšmi 	ēšun 	ašallu	#	consonant stem			
be	active	2	singular	cuneiform	𒂊𒌍𒅆 	𒂊𒌍𒋫 	𒂊𒌍	#	consonant stem			
be	active	2	singular	transliteration	e-eš-ši 	e-eš-ta 	e-eš	#	consonant stem			
be	active	2	singular	latin	ēšši 	ēšt 	ēš	#	consonant stem			
be	active	3	singular	cuneiform	𒂊𒌍𒍣 	𒂊𒌍𒋫 	𒂊𒌍𒁺	#	consonant stem			
be	active	3	singular	transliteration	e-eš-zi 	e-eš-ta 	e-eš-du	#	consonant stem			
be	active	3	singular	latin	ēšzi 	ēšt 	ēšdu	#	consonant stem			
be	active	1	plural	cuneiform	𒀀𒋗𒂊𒉌 	𒂊𒋗𒂗 	𒀀𒋗𒂊𒉌	#	consonant stem			
be	active	1	plural	transliteration	a-šu-e-ni 	e-šu-en 	a-šu-e-ni	#	consonant stem			
be	active	1	plural	latin	ašueni 	ēšuen 	ašueni	#	consonant stem			
be	active	2	plural	cuneiform	𒀸𒋼𒉌 	𒂊𒌍𒋼𒂗 	𒂊𒌍𒋼𒂗	#	consonant stem			
be	active	2	plural	transliteration	aš-te-ni 	e-eš-te-en 	e-eš-te-en	#	consonant stem			
be	active	2	plural	latin	ašteni 	ēšten 	ēšten	#	consonant stem			
be	active	3	plural	cuneiform	𒀀𒊭𒀭𒍣 	𒂊𒊺𒅕 	𒀀𒊭𒀭𒁺	#	consonant stem			
be	active	3	plural	transliteration	a-ša-an-zi 	e-še-er 	a-ša-an-du 	#	consonant stem			
be	active	3	plural	latin	ašanzi 	ēšer 	ašandu	#	consonant stem			
work	active	1	singular	cuneiform	𒀭𒉌𒂊𒈪 	𒀭𒉌𒂗𒌦 	𒀭𒉌𒀠𒇻	#	-ye stem	needed for declension templates		
work	active	1	singular	transliteration	an-ni-e-mi 	an-ni-en-un 	an-ni-ya-al-lu	#	-ye stem	needed for declension templates		
work	active	1	singular	latin	anniemi 	annienun 	anniyallu	#	-ye stem	needed for declension templates		
work	active	2	singular	cuneiform	𒀭𒉌𒂊𒅆 	𒀭𒉌𒌍 	𒀭𒉌𒂊	#	-ye stem	needed for declension templates		
work	active	2	singular	transliteration	an-ni-e-ši 	an-ni-eš 	an-ni-e	#	-ye stem	needed for declension templates		
work	active	2	singular	latin	annieši 	annieš 	annie(t)	#	-ye stem	needed for declension templates		
work	active	3	singular	cuneiform	𒀭𒉌𒄑𒍣 	𒀭𒉌𒀉 	𒀭𒉌𒀉𒁺	#	-ye stem	needed for declension templates		
work	active	3	singular	transliteration	an-ni-ez-zi 	an-ni-et 	an-ni-ed-du	#	-ye stem	needed for declension templates		
work	active	3	singular	latin	anniezzi 	anniet 	annieddu	#	-ye stem	needed for declension templates		
work	active	1	plural	cuneiform	𒀭𒉌𒂊𒌋𒀀𒉌 	𒀭𒉌𒂊𒌋𒂗 	𒀭𒉌𒂊𒌋𒀀𒉌	#	-ye stem	needed for declension templates		
work	active	1	plural	transliteration	an-ni-e-u-a-ni 	an-ni-e-u-en 	an-ni-e-u-a-ni	#	-ye stem	needed for declension templates		
work	active	1	plural	latin	anniyeweni 	anniyewen 	anniyeweni	#	-ye stem	needed for declension templates		
work	active	2	plural	cuneiform	𒀭𒉌𒀉𒋫𒉌 	𒀭𒉌𒀉𒋼𒂗 	𒀭𒉌𒀉𒋼𒂗	#	-ye stem	needed for declension templates		
work	active	2	plural	transliteration	an-ni-et-ta-ni 	an-ni-et-te-en 	an-ni-et-te-en	#	-ye stem	needed for declension templates		
