# Swadesh 207 id	part-of-speech	English	Mandarin (Standard Mandarin)
56	noun	leaf	葉 (yè), 葉子 (yè zi)
57	noun	root	根 (gēn)
58	noun	bark	樹皮 (shù pí)
59	noun	flower	花 (huā)
60	noun	grass	草 (cǎo)
61	noun	rope	繩 (shéng), 繩子 (shéng zi)
62	noun	skin	皮 (pí), 皮膚 (pí fū)
63	noun	meat	肉 (ròu)
64	noun	blood	血 (xiě, xuè, xuě), 血液 (xiě, xuè, xuě yè)
65	noun	bone	骨 (gǔ), 骨頭 (gǔ tóu)
66	noun	fat	脂肪 (zhī fáng)
67	noun	egg	蛋 (dàn), 鷄蛋 (jī dàn)*
68	noun	horn	角 (jiǎo)
69	noun	tail	尾 (wěi), 尾巴 (wěi bā)
70	noun	feather	羽毛 (yǔ máo)
71	noun	hair	頭髮 (tóu fa)
72	noun	head	頭 (tóu)
73	noun	ear	耳朵 (ěr duo)
74	noun	eye	眼睛 (yǎn jing)
75	noun	nose	鼻 (bí), 鼻子 (bí zi)
76	noun	mouth	嘴 (zuǐ), 嘴巴 (zuǐ ba)
77	noun	tooth	牙齒 (yá chǐ)
78	noun	tongue	舌 (shé), 舌頭 (shé tou)
79	noun	fingernail	指甲 (zhǐ jia)
80	noun	foot	腳 (jiǎo)
81	noun	leg	腿 (tuǐ)
82	noun	knee	膝 (xī), 膝蓋 (xī gài)
83	noun	hand	手 (shǒu)
84	noun	wing	翼 (yì)*, 翅膀 (chì bǎng)
85	noun	belly	肚子 (dù zi)
86	noun	guts	腸子 (cháng zi)
87	noun	neck	脖子 (bó zi)
88	noun	back	背 (bèi)
89	noun	breast	胸 (xiōng)*, 胸部 (xiōng bù)*, 胸膛 (xiōng táng)*, 乳房 (rǔ fáng)*
90	noun	heart	心臟 (xīn zàng)
91	noun	liver	肝 (gān)*, 肝臟 (gān zàng)
92	verb	drink	喝 (hē)
93	verb	eat	吃 (chī)
94	verb	bite	咬 (yǎo)
95	verb	suck	吸 (xī)*, 啜 (chuò)*, 吮吸 (shǔn xī)*
96	verb	spit	吐 (tǔ)*, 吐口水 (tǔ kǒu shuǐ)*, 吐痰 (tǔ tán)*
97	verb	vomit	嘔 (ǒu)*, 吐 (tù)*, 嘔吐 (ǒu tù)*
98	verb	blow	吹 (chuī)
99	verb	breathe	呼吸 (hū xī)
