#swadesh 207 id	part-of-speech	English	Emoji	
183	adjective	new	👶	
184	adjective	old	🧓	
185	adjective	good	😇	
186	adjective	bad	👿	
187	adjective	rotten	🧟	
188	adjective	dirty	💩	
189	adjective	straight	📏	
190	adjective	round	🏐	
191	adjective	sharp	🔪	
192	adjective	dull	🥄	
193	adjective	smooth	🪞	
194	adjective	wet	💦	
195	adjective	dry	🌵	
196	adjective	correct	✅	
197	adjective	near	🧍🧍	
198	adjective	far	🧍   🧍	
199	adjective	right	➡️	
200	adjective	left	⬅️	
201	preposition	at	🏠🧍	
202	preposition	in	→🕳️	
203	preposition	with	🧍🧍	
204	preposition	and	∧	
205	preposition	if	A→B	
206	preposition	because	∵	
207	noun	name	📛	
