#swadesh 207 id	part-of-speech	English	Standard Arabic	Standard Arabic IPA	Modern Hebrew	Modern Hebrew IPA	Akkadian	Old Egyptian	Middle Egyptian	Late Egyptian
1	noun                 	I	أَنَا‎ (ʾanā)	/ʔa.na/	אני‎ 	/aˈni/	𒀀𒈾𒆪 (anāku)	jnk	jnk	jnk
2	noun                 	you	أَنْتَ‎‎ (ʾanta) (♂), أَنْتِ‎ (ʾanti) (♀)	/ʔan.ta/, /ʔan.ti/	אתה‎, את‎ 	/aˈta/ ♂, /ˈat/ ♀	𒀜𒋫 (atta) ♂, 𒀜𒋾 (atti) ♀	ṯwt ♂, ṯmt ♀	ntk ♂, ntṯ ♀	mntk ♂, mntt ♀
3	noun                 	he, she, it	هُوَ‎ (huwa) (♂), هِيَ‎ (hiya) (♀)	/hu.wa/, /hi.ja/	הוא‎ 	/ˈhu/	𒋗𒌑 (šū)	swt ♂, stt ♀	ntf ♂, nts ♀	mntf ♂, mntst ♀
4	noun                 	we	نَحْنُ‎ (naḥnu)	/naħ.nu/	אנחנו‎ 	/aˈnaχnu/	𒉌𒉡 (nīnu)	jnn	jnn	jnn
5	noun                 	you all	أَنْتُمْ‎‎ (ʾantum) (♂ pl), أَنْتُنَّ‎ (ʾantunna) (♀ pl), أَنْتُمَا‎ (ʾantumā) (dual)	/ʔan.tum/, /ʔan.tun.na/, /ʔan.tu.maː/	אתם‎ 	/aˈtem/	attunu ♂, attina ♀	ntṯn	ntṯn	mnttn
6	noun                 	they	هُمْ‎ (hum) (♂ pl), هُنَّ‎ (hunna) (♀ pl), هُمَا‎ (humā) (dual)	/humm/, /hun.na/, /hu.maː/	הם‎ 	/ˈhem/	𒋗𒉡 (šunu) ♂,𒅆𒈾 (šina) ♀	ntsn	ntsn	mntw
7	noun                 	this	هٰذَا‎ (hāḏā) (♂ sentient), هٰذِهِ‎ (hāḏihi) (♀ non-sentient), هٰذِي‎ (hāḏī) (♀ non-sentient)	/haː.ðaː/, /haː.ði.hi/, /haː.ðiː/	זה‎, זאת‎, אלה‎ 	/ˈze/ ♂, /ˈzot/ ♀, /ˈele/ pl	annû	pj, pw, pn (♂ det.), tj, tw, tn (♀ det.), nw, nn (pron.)	pn ♂, tn ♀, nn (pl.)	pꜣj ♂, tꜣj ♀, nꜣj (pl.)
8	noun                 	that	ذٰلِكَ‎ (ḏālika), ذَاكَ‎ (ḏāka), تِلْكَ‎ (tilka), تِيكَ‎ (tīka)	/ðaː.li.ka/, /ðaː.ka/, /til.ka/, /tiː.ka/	הוא‎, היא‎, הם‎ 	/ˈhu/ ♂, /ˈhi/ ♀, /ˈhem/ pl	šū, ullû	pf (♂ det.), tf (♀ det.), nf (pron.)	pf ♂, tf ♀, nf (pl.)	pꜣj ♂, tꜣj ♀, nꜣj (pl.)
9	noun                 	here	هُنَا‎ (hunā)	/hu.naː/	פה‎, כאן‎ 	/ˈpo/, /ˈkan/	annânu	ꜥn, ꜥꜣ	ꜥn, ꜥꜣ	ꜥn, ꜥꜣ
10	noun                 	there	هُنَاكَ‎ (hunāka), هُنَالِكَ‎ (hunālika), ثَمَّ‎ (ṯamma)	/hu.naː.ka/, /hu.naː.li.ka/, /θam.ma/	שם‎ 	/ˈʃam/	akannaka	ꜥf	ꜥf	ꜥf
11	noun                 	who	مَنْ‎‎ (man)	/man/	מי‎ 	/ˈmi/	mannu	mj	mj	mj
12	noun                 	what	مَا‎ (mā), مَاذَا‎ (māḏā)	/maː/, /maː.ðaː/	מה‎ 	/ˈma/	mīnu	mj, jḫ, jšst	mj, jḫ, jšst	mj, jḫ, jšst
13	noun                 	where	أَيْن‎ (ʾayn)	/ʔaj.na/	איפה‎ 	/ˈefo/	ali	ṯnj	ṯnj	ṯnj
14	noun                 	when	مَتَى‎ (matā)	/ma.taː/	מתי‎ 	/maˈtaj/	ayyānu, mati	zy nw	zy nw	zy nw
15	noun                 	how	كَيْف‎ (kayf)	/kaj.fa/	איך‎ 	/ˈeχ/	ana mīni, ammīni	mj mj, mj jḫ	mj mj, mj jḫ	mj mj, mj jḫ
16	adverb              	not	لَا‎ (lā), مَا‎ (mā), لَنْ‎ (lan) (future), لَمْ‎ (lam) (past)	/laː/, /maː/, /lan/, /lam/	לא‎, אין‎ 	/ˈlo/, /ˈen/	𒉡 (ula, lā)	nj	nj, nn	bw, bn
17	determiner            	all	كُلّ‎ (kull)	/kull/	כל‎ 	/ˈkol/	kalû	nb	nb	nb
18	determiner            	many	كَثِير‎ (kaṯīr)	/ka.θiːr/	הרבה‎ 	/haʁˈbe/	mādu	ꜥšꜣ	ꜥšꜣ	ꜥšꜣ
19	determiner            	some	بَعْض‎ (baʿḍ)	/baʕdˤ/	כמה‎, קצת‎ 	/ˈkama/, /ˈkt͡sat/		nhj	nhj	nhj
20	determiner            	few	قَلِيل‎ (qalīl)	/qa.liːl/	מעט‎ 	/meˈʔat/	ēṣu	nhj	nhj	nhj
21	determiner            	other	آخَر‎ (ʾāḵar), أُخْرَى‎ (ʾuḵrā), آخَرُون‎ (ʾāḵarūn), أُخَر‎ (ʾuḵar), أُخْرَيَات‎ (ʾuḵrayāt)	/ʔaː.xar/, /ʔux.raː/, /ʔaː.xa.ruːn/, /ʔu.xar/, /ʔux.ra.jaːt/	אחר‎ 	/aχˈeʁ/	šanû	ky	ky	ky
22	noun                 	one	وَاحِد‎ (wāḥid), وَاحِدَة‎ (wāḥida)	/waː.ħid/, /waː.ħi.da/	אחת‎ 	/aχˈat/	ištēn ♂, ištēt ♀	wꜥ	wꜥ	wꜥ
23	noun                 	two	اِثْنَان‎ (iṯnān), اِثْنَتَان‎ (iṯnatān)	/ʔiθ.naːn/, /ʔiθ.na.taːn/	שתיים‎ 	/ˈʃtaim/	šinā ♂, šittā ♀	snwj	snwj	snwj
24	noun                 	three	ثَلَاثَة‎ (ṯalāṯa), ثَلَاث‎ (ṯalāṯ)	/θa.laː.θa/, /θa.laːθ/	שלוש‎ 	/ʃaˈloʃ/	šalāš ♂, šalāšat ♀	ḫmtw	ḫmtw	ḫmtw
25	noun                 	four	أَرْبَعَة‎ (ʾarbaʿa), أَرْبَع‎ (ʾarbaʿ)	/ʔar.ba.ʕa/, /ʔar.baʕ/	ארבע‎ 	/ˈaʁba/	erbe ♂, erbet ♀	jfdw	jfdw	jfdw
26	noun                 	five	خَمْسَة‎ (ḵamsa), خَمْس‎ (ḵams)	/xam.sa/, /xams/	חמש‎ 	/χaˈmeʃ/	xamiš ♂, xamšat ♀	djw	djw	djw
27	adjective	big	كَبِير‎ (kabīr)	/ka.biːr/	גדול‎ 	/ɡaˈdol/	𒃲 (rabûm)	ꜥꜣ, wr	ꜥꜣ, wr	ꜥꜣ, wr
28	adjective	long	طَوِيل‎ (ṭawīl)	/tˤa.wiːl/	ארוך‎ 	/aˈʁoχ/	arku	ꜣw	ꜣw	ꜣw
