#swadesh 207 id	part-of-speech	English	Proto-Indo-Iranian	Sanskrit (Devanagari)	Sanskrit	Avestan	Old Persian	Middle Persian	Persian	Northern Kurdish	Ossetian	Hindi	Romani
1	noun                 	I	*aȷ́ʰám	अहम् (ahám)	ahám	azə̄m	adam	an, man	man	ez, min	æz	ma͠i	me
2	noun                 	you	*túH, *tuHám	त्वम् (tvám)	tvám	tūm, tū‎*	tuvam	tō	to	tu, to	dy	tū*, tum*, āp*	tu
3	noun                 	he, she, it	*sá	स (sá)	sá			ōy	u	ev, ew	wyj, uj	yah*, vah*	ov*, oj*
4	noun                 	we	*wayám	वयम् (vayám), नस् (nas)	vayám, nas			amāh	mâ	êm, ême	max, maxtæ	ham	amen
5	noun                 	you all	*yúH, *yuHyám	यूयम् (yūyám), वस् (vas)	yūyám, vas			ašmāh	šomâ	êve, hîn, engo	symax, symaxtæ, uæ, wyn, dytæ	tum*, āp*	tumen
6	noun                 	they	*tā́s	ते (té)	té			awēšān	ânhâ	evan, ewan	wydon, wydontæ, wydættæ, wyjtæ	ye*, ve*	on
7	noun                 	this	*ayám	इदम् (idám)	idám	aiiə̄m‎, aēm*		ēn	in	eve, ewe	aj, acy	yah	kado
8	noun                 	that	*sá	तत् (tát)	tát			ān	ân	ew	wyj, uj, wycy	vah	kodo
9	noun                 	here	*Hidʰá	अत्र (átra)	átra			ēdar	injâ	êre, vir	am, amyty, mænæ	yahā̃	kathe
10	noun                 	there	*tátra	तत्र (tátra)	tátra			ānōh	ânjâ	ewê	wym, wymyty, uærtæ, wyrdæm, wyrdæmyty	vahā̃	kothe
11	noun                 	who	*kás	क (ká)	ká			kē	ki, ke	kê, kî	ḱi, ḱitæ, kæcy, kæcytæ	kaun	kon
12	noun                 	what	*kím, *čím	किम् (kím)	kím			čē	če	çî, çi	cy, cytæ, cæj, cæjty	kyā	so
13	noun                 	where	*kúH	कुत्र (kútra)	kútra			kū	kojâ	kwê, kêrê	kæm, kæmyty, kædæm, kædæmty	kahā̃	kaj
14	noun                 	when	*kadáH	कदा (kadā́)	kadā́			kay	key	kengi, key	kæd, k°y	kab	kana
