#swadesh 207 id	part-of-speech	English	Proto-Slavic	Old Church Slavonic	Czech	Polish	Slovak	Lower Sorbian	Upper Sorbian	Bulgarian	Macedonian	Serbo-Croatian	Slovene	Belarusian	Russian	Rusyn	Ukranian
21	determiner            	other	*drugъ	инъ (inŭ)	druhý, jiný	drugi, inny	iný, ďalší	drugi	druhi	друг (drug)	друг (drug)	drugi	drugi	і́ншы (ínšy)	друго́й (drugój), ино́й (inój)	другый (druhŷj), іншый (inšŷj), інакшый (inakšŷj)	і́нший (ínšyj), о́ний (ónyj)
22	noun                 	one	*(j)edinъ, *(j)edьnъ	ѥдинъ (jedinŭ)	jeden	jeden	jeden	jaden	jedyn	едно (edno)	еден (eden)	jedan	ena	адзі́н (adzín)	оди́н (odín)	єден (jeden)	оди́н (odýn)
23	noun                 	two	*dъva	дъва (dŭva)	dva	dwa	dva	dwa	dwaj	две (dve)	два (dva)	dva	dva, dve	два (dva)	два (dva)	два (dva)	два (dva)
24	noun                 	three	*trьje	триѥ (trije)	tři	trzy	tri	tśi	tři	три (tri)	три (tri)	tri	tri	тры (try)	три (tri)	три (try)	три (try)
25	noun                 	four	*četyre	чєтꙑрє (četyre)	čtyři	cztery	štyri	styri	štyri	четири (četiri)	четири (četiri)	četiri	štiri	чаты́ры (čatýry)	четы́ре (četýre)	штири (štyry)	чоти́ри (čotýry)
26	noun                 	five	*pętь	пѧть (pętĭ)	pět	pięć	päť	pěś	pjeć	пет (pet)	пет (pet)	pet	pet	пяць (pjacʹ)	пять (pjatʹ)	пять (pjatʹ)	п'ять (pʺjatʹ)
27	adjective	big	*golěmъ, *velikъ	вєликъ (velikŭ)	velký	duży, wielki	veľký	wjeliki	wulki	голям (goljam)	голем (golem)	velik	velik	вялі́кі (vjalíki)	большо́й (bolʹšój), вели́кий (velíkij)*, кру́пный (krúpnyj)	великый (velykŷj)	вели́кий (velýkyj)
28	adjective	long	*dьlgъ	дльгъ (dlĭgŭ)	dlouhý	długi	dlhý	dłujki	dołhi	дълъг (dǎlǎg)	долг (dolg)	dug, dugačak	dolg	до́ўгі (dóŭhi)	дли́нный (dlínnyj)*, до́лгий (dólgij)*	довгый (dovhŷj)	до́вгий (dóvhyj)
29	adjective	wide	*širokъ	широкъ (širokŭ)	široký	szeroki	široký	šyroki	šěroki	широк (širok)	широк (širok)	širok	širok	шыро́кі (šyróki)	широ́кий (širókij)	шырокый (šŷrokŷj)	широ́кий (šyrókyj)
30	adjective	thick	*tъlstъ	дєбєлъ (debelŭ)	tlustý, hrubý	gruby	hrubý	tłusty	tołsty	плътен (plǎten), дебел (debel)	дебел (debel), густ (gust)	debeo	debel	то́ўсты (tóŭsty)	то́лстый (tólstyj)	тлустый (tlustŷj)	то́встий (tóvstyj)
31	adjective	heavy	*tęžьkъ	тѧжькъ (tęžĭkŭ)	těžký	ciężki	ťažký	śěžki	ćežki	тежък (težǎk)	тежок (težok)	težak	težek, težak	ця́жкі (cjážki), цяжкі́ (cjažkí)	тяжёлый (tjažólyj), тя́жкий (tjážkij)	тяжкый (tjažkŷj)	важки́й (važkýj)
32	adjective	small	*drebьnъ, *malъ, *xudъ	малъ (malŭ)	malý	mały	malý	mały	mały	малък (malǎk), дребен (dreben)	мал (mal)	malen	majhen	малы́ (malý)	ма́ленький (málenʹkij), ма́лый (mályj)	малый (malŷj), дрібный (dribnŷj)	мали́й (malýj), мале́нький (malénʹkyj)
33	adjective	short	*kortъkъ	кратъкъ (kratŭkŭ)	krátký	krótki	krátky	krotki	krótki	къс (kǎs), кратък (kratǎk)	кус (kus), краток (kratok)	kratak	kratek	каро́ткі (karótki)	коро́ткий (korótkij), кра́ткий (krátkij)	короткый (korotkŷj), куртый (kurtŷj)	коро́ткий (korótkyj)
34	adjective	narrow	*ǫzъkъ, *těsnъ	ѫзъкъ (ǫzŭkŭ)	úzký	wąski	úzky	wuski	wuski	тесен (tesen)	тесен (tesen)	uzak	ozek	ву́зкі (vúzki)	у́зкий (úzkij)	узкый (uzkŷj)	ву́зький (vúzʹkyj)
35	adjective	thin	*tьnъkъ	тьнъкъ (tĭnŭkŭ)	tenký	cienki	tenký	śańki	ćeńki	слаб (slab), тънък (tǎnǎk)	слаб (slab), тенок (tenok)	tanak	tanek	то́нкі (tónki)	то́нкий (tónkij)	тонкый (tonkŷj)	тонки́й (tonkýj)
36	noun	woman	*žena	жєна (žena)	žena	kobieta	žena	žeńska	žona	жена (žena)	жена (žena)	žena	ženska	жанчы́на (žančýna)	же́нщина (žénščina)	жена (žena)	жі́нка (žínka), жона́ (žoná)
37	noun	man	*mǫžь	мѫжь (mǫžĭ)	muž	mężczyzna	muž	muski	muž	мъж (mǎž)	маж (maž)	muškarac	moški	мужчы́на (mužčýna)	мужчи́на (mužčína)	муж (muž)	чолові́к (čolovík), мужчи́на (mužčýna)
38	noun	human	*čelověkъ	чловѣкъ (člověkŭ)	člověk	człowiek	človek	luź	čłowjek	човек (čovek)	човек (čovek)	čovek, čovjek	človek	чалаве́к (čalavjék)	челове́к (čelovék)	чоловік (čolovik)	люди́на (ljudýna), чолові́к (čolovík)
