#swadesh 207 id	part-of-speech	English	Proto-Slavic	Old Church Slavonic	Czech	Polish	Slovak	Lower Sorbian	Upper Sorbian	Bulgarian	Macedonian	Serbo-Croatian	Slovene	Belarusian	Russian	Rusyn	Ukranian
100	verb	laugh	*smьjati sę	смиꙗти (smijati)	smát	śmiać	smiať sa	smjaś	smjeć	смея се (smeja se)	се смее (se smee)	smijati se, smejati se	smejati	смяя́цца (smjajácca)	смея́ться (smejátʹsja)	сміяти (smijaty)	смія́тися (smijátysja)
101	verb	see	*viděti, *zьrěti	видѣти (viděti)	vidět	widzieć	vidieť	wiźeś	widźeć	виждам (viždam)	гледа (gleda)	videti, vidjeti	videti	ба́чыць (báčycʹ)	ви́деть (vídetʹ), уви́деть (uvídetʹ)	відїти (vidjity)	диви́тися (dyvýtysja), ба́чити (báčyty)
102	verb	hear	*slyšati	слꙑшати (slyšati)	slyšet	słyszeć	počuť	słyšaś	słyšeć	чувам (čuvam), слушам (slušam)	слуша (sluša)	čuti	slišati	чуць (čucʹ)	слы́шать (slýšatʹ), услы́шать (uslýšatʹ)	чути (čuty)	чу́ти (čúty), слу́хати (slúxaty)
103	verb	know	*věděti, *znati	вѣдѣти (věděti), знати (znati)	vědět, znát	wiedzieć, znać	vedieť, poznať	wěźeś	wědźeć	зная (znaja)	знае (znae)	znati	vedeti	ве́даць (vjédacʹ)	знать (znatʹ), ве́дать (védatʹ)*	знати (znaty)	зна́ти (znáty)
104	verb	think	*dumati, *mysliti, *mьněti	мꙑслити (mysliti)	myslet, dumat	myśleć	myslieť	mysliś	myslić	мисля (mislja)	мисли (misli), помислува (pomisluva)	misliti	misliti	ду́маць (dúmacʹ)	ду́мать (dúmatʹ), мы́слить (mýslitʹ)	думати (dumaty)	ду́мати (dúmaty)
105	verb	smell	*ǫxati, *paxnǫti, *voňati		čichat, cítit	czuć, niuchać, wąchać	čuchať	cuś, wucuś	čuć	мириша (miriša), душа (duša)	мириса (mirisa), смрди ( smrdi), души (duši)	mirisati	(po)duhati	ню́хаць (njúxacʹ)	ню́хать (njúxatʹ), чу́ять (čújatʹ)	нюхати (njuxaty)	чу́ти (čúty), ню́хати (njúxaty)
106	verb	fear	*bojati sę, *straxovati	боꙗти (bojati)	bát, strachovat	bać, lękać	báť sa	bójaś	bojeć	страхувам се (strahuvam se), боя се (boja se), опасявам се (opasjavam se)	плаши (plaši)	plašiti, bojati se, strahovati	bati	бая́цца (bajácca)	боя́ться (bojátʹsja)	бояти (bojaty)	боя́тися (bojátysja), ляка́тися (ljakátysja)
107	verb	sleep	*sъpati	съпати (sŭpati)	spát	spać	spať	spaś	spać	спя (spja)	спие (spie)	spavati	spati	спаць (spacʹ)	спать (spatʹ)	спати (spaty)	спа́ти (spáty)
108	verb	live	*žiti	жити (žiti)	žít	żyć	žiť	žywy byś	živy być	живея (živeja)	живее (živee)	živeti, živjeti	živeti	жыць (žycʹ)	жить (žitʹ)	жыти (žŷty)	жи́ти (žýty)
109	verb	die	*merti	оумрѣти (umrěti)	umírat, umřít	mrzeć, umierać, zdychać	umrieť, zomrieť	wumrěś	wumrěć	умирам (umiram)	умира (umira)	umreti, umrijeti	umreti, umirati	паміра́ць (pamirácʹ)	умира́ть (umirátʹ), умере́ть (umerétʹ)	умерати (umeraty)	вмира́ти (vmyráty)
110	verb	kill	*ubiti	оубити (ubiti)	zabít, usmrtit	uśmiercać, zabijać	zabiť	wusmjerśiś, kóńcowaś	zabić, kóncować	убивам (ubivam)	убива (ubiva)	ubiti	ubiti	забіва́ць (zabivácʹ)	убива́ть (ubivátʹ), уби́ть (ubítʹ)	забити (zabyty)	вбива́ти (vbyváty)
111	verb	fight	*borti	брати (brati)	bojovat, válčit	walczyć	bojovať	wójowaś	wojować	бия се (bija se)	бие (bie), тепа (tepa), бори (bori)	tući, boriti se	boriti	бі́цца (bícca), змага́цца (zmahácca)	боро́ться (borótʹsja), сража́ться (sražátʹsja), дра́ться (drátʹsja)	боёвати (bojovaty)	би́тися (býtysja)
112	verb	hunt	*loviti	ловити (loviti)	lovit	polować	loviť	góńtwowaś	hońtwjerić	ловувам (lovuvam)	лови (lovi)	loviti	loviti	палява́ць (paljavácʹ)	охо́титься (oxótitʹsja)	ловити (lovyty)	полюва́ти (poljuváty)
113	verb	hit	*udariti	оударити (udariti)	udeřit	uderzać	udrieť	biś, deriś	bić	удрям (udrjam)	удира (udira), чука (čuka)	udarati	udariti	біць (bicʹ), удара́ць (udarácʹ)	ударя́ть (udarjátʹ), уда́рить (udáritʹ)	ударити (udaryty)	би́ти (býty)
114	verb	cut	*krojiti, *rězati, *tęti	сѣщи (sěšti), рѣзати (rězati)	řezat, tít, tnout, síci	ciąć, kroić, rzezać	rezať	rězaś	rězać	режа (reža), сека (seka)	сече (seče), реже (reže), скратува (skratuva)	seći, sjeći, rezati	rezati	рэ́заць (rézacʹ)	ре́зать (rézatʹ), руби́ть (rubítʹ)	рїзати (rjizaty)	рі́зати (rízaty)
115	verb	split	*děliti, *cěpiti		rozdělit	dzielić, rozdzielać, rozszczepiać	rozdeliť	kłojś	šćěpić, pačić	цепя (cepja)	поделува (podeluva), расцепува (rascepuva)	deliti, dijeliti	razcepiti	дзялі́ць (dzjalícʹ), падзяля́ць (padzjaljácʹ)	разделя́ть (razdeljátʹ), раздели́ть (razdelítʹ)	роздїлити (rozdjilyty)	діли́ти (dilýty)
116	verb	stab	*bosti, *kolti	бости (bosti)	bodnout, píchnout	dźgać, kłuć, bóść	bodnúť	štapaś	štapać	промушвам (promušvam), пробождам (proboždam), наръгвам (narǎgvam)	убодува (uboduva)	ubosti	zabosti, zbosti	кало́ць (kalócʹ)	коло́ть (kolótʹ), кольну́ть (kolʹnútʹ)	колоти (koloty)	коло́ти (kolóty)
117	verb	scratch	*drapati, *draskati	чєсати (česati)	škrábat, drápat	drapać	škriabať	drapaś	drapać	драскам (draskam), дращя (draštja), чеша (češa)	гребе (grebe), чеша (češa)	češati	škrabati, škrabljati	чу́хаць (čúxacʹ), дра́паць (drápacʹ)	цара́пать (carápatʹ), поцара́пать (pocarápatʹ)	шкрябати (škrjabaty)	дря́пати (drjápaty), шкря́бати (škrjábaty)
118	verb	dig	*kopati, *ryti	копати (kopati)	kopat	kopać, ryć	kopať	ryś	ryć, kopać	копая (kopaja), ровя (rovja)	копа (kopa)	kopati	kopati	капа́ць (kapácʹ), рыць (rycʹ)	копа́ть (kopátʹ), рыть (rytʹ)	копати (kopaty)	ри́ти (rýty)
119	verb	swim	*pluti	плавати (plavati)	plavat	pływać	plávať	plěś	płuwać	плувам (pluvam)	плива (pliva)	plivati	plavati	пла́ваць (plávacʹ)	пла́вать (plávatʹ), плыть (plytʹ)	плавати (plavaty)	пла́вати (plávaty)
120	verb	fly	*letěti	лєтѣти (letěti)	letět	latać, lecieć	letieť	leśeś	lećeć, lětać	летя (letja)	лета (leta)	leteti, letjeti	leteti	лята́ць (ljatácʹ)	лета́ть (letátʹ), лете́ть (letétʹ)	летїти (letjity)	літа́ти (litáty)
121	verb	walk	*xoditi	ходити (xoditi)	jít, kráčet, chodit	iść, chodzić	ísť, kráčať	hyś	hić, chodźić	вървя (vǎrvja), ходя (hodja)	шета (šeta), оди (odi)	hodati	hoditi	ісці́ (iscí), хадзі́ць (xadzícʹ)	ходи́ть (xodítʹ), идти́ (idtí)	ходити (xodyty)	йти (jty), ходи́ти (xodýty)
122	verb	come	*jьti		přijít	przychodzić	prísť	pśiś	přińć, přijěć, dóńć	идвам (idvam), пристигам (pristigam), дохождам (dohoždam)	доаѓа (doaǵa)	dolaziti	priti	прыхо́дзіць (pryxódzicʹ)	приходи́ть (prixodítʹ), прийти́ (prijtí)	прийти (pryjty)	прихо́дити (pryxódyty)
123	verb	lay	*ležati*, *leťi*	лєжати (ležati)	ležet	leżeć	ležať	lažaś	ležeć	лежа (leža)*	лежи (leži)*	ležati	ležati	ляжа́ць (ljažácʹ)	лежа́ть (ležátʹ)*	лежати (ležaty)	лежа́ти (ležáty)
124	verb	sit	*sěděti*, *sěsti*	сѣдѣти (sěděti)	sedět	siedzieć	sedieť	sejźeś	sedźeć	седя (sedja)*	седи (sedi)*	sedeti, sjediti	sedeti	сядзе́ць (sjadzjécʹ)	сиде́ть (sidétʹ)*	сїдїти (sjidjity)	сиді́ти (sydíty)
125	verb	stand	*stojati*, *stati*	стати (stati)	stát	stać	stáť	stojaś	stać	стоя (stoja)*	стои (stoi)*	stajati	stati	стая́ць (stajácʹ)	стоя́ть (stojátʹ)*	стати (staty), стояти (stojaty)	стоя́ти (stojáty)
126	verb	turn	*vьrtěti		obrátit	obracać	obrátiť, otočiť	wobrośiś	wobroćić	завивам (zavivam)	врти (vrti), завртува (zavrtuva)	skrenuti	obrniti	паваро́чвацца (pavaróčvacca)	враща́ть (vraščátʹ), верте́ть (vertétʹ), крути́ть (krutítʹ)	обернути (obernuty)	верті́ти (vertíty), крути́ти (krutýty)
127	verb	fall	*pasti	пасти (pasti), падати (padati)	padat, upadnout	padać, spadać, upadać	padať	padaś	padać	падам (padam)	паѓа (paǵa)	pasti	padati	упа́сці (upásci)	па́дать (pádatʹ), упа́сть (upástʹ)	падати (padaty)	па́дати (pádaty)
128	verb	give	*dati	дати (dati), даꙗти (dajati)	dát	dawać	dať	dawaś	dać, dawać	давам (davam)	дава (dava)	dati	dajati	дава́ць (davácʹ)	дава́ть (davátʹ), дать (datʹ)	дати (daty), давати (davaty)	дава́ти (daváty)
129	verb	hold	*dьržati	дрьжати (drĭžati)	držet	trzymać, dzierżyć	držať	źaržaś	dźeržeć	държа (dǎrža)	држи (drži)	držati	držati	трыма́ць (trymácʹ)	держа́ть (deržátʹ)	держати (deržaty), тримати (trymaty)	трима́ти (trymáty)
130	verb	squeeze	*tiskati, *žęti		stlačit, zmáčknout, stisknout	ściskać, wyżymać	stlačiť, stisnúť	tłocyś	tłóčić	изцеждам (izceždam), изстисквам (izstiskvam)	стиска (stiska)	stisnuti, stegnuti	stiskati	сціска́ць (sciskácʹ)	сжима́ть (sžimátʹ), сжать (sžatʹ)	стисковати (styskovaty)	ча́вити (čávyty), ви́тискати (výtyskaty)
131	verb	rub	*terti	трьти (trĭti)	třít	trzeć	trieť	šurowaś	šudrować, šurować	трия (trija), търкам (tǎrkam)	трие (trie)	trljati	treti	це́рці (cjérci)	тере́ть (terétʹ), потере́ть (poterétʹ)	терти (terty)	те́рти (térty)
132	verb	wash	*myti	мꙑти (myti)	mýt, umývat	myć, prać	umyť, prať	myś	myć	мия (mija)	мие (mie)	prati	umivati	мыць (mycʹ)	мыть (mytʹ), помы́ть (pomýtʹ), умыва́ть (umyvátʹ), умы́ть (umýtʹ)	мыти (mŷty)	ми́ти (mýty)
133	verb	wipe	*brъsati, *brysati		utírat	wycierać	utrieť	trěś	trěć	бърша (bǎrša), трия (trija), търкам (tǎrkam)	брише (briše)	brisati	otirati, brisati	выціра́ць (vycirácʹ)	вытира́ть (vytirátʹ), вы́тереть (výteretʹ)	утерати (uteraty)	витира́ти (vytyráty)
134	verb	pull	*dьrpati, *tęťi, *vaditi		tahat	ciągnąć, pociągać	ťahať	śěgaś	ćahać	дърпам (dǎrpam), тегля (teglja), влача (vlača)	влече (vleče)	vući	vleči	цягну́ць (cjahnúcʹ)	тяну́ть (tjanútʹ), тащи́ть (taščítʹ)	тягати (tjahaty), тїгати (tjihaty)	тягну́ти (tjahnúty)
135	verb	push	*butati, *pьxati, *rinǫti		tlačit	pchać, popychać	tlačiť	tłocyś	tłóčić	бутам (butam), блъскам (blǎskam), тикам (tikam), тласкам (tlaskam)	турка (turka), бутка (butka)	gurati	suniti	шту́рхаць (štúrxacʹ)	толка́ть (tolkátʹ), толкну́ть (tolknútʹ), пиха́ть (pixátʹ), пихну́ть (pixnútʹ)	пхати (pxaty)	штовха́ти (štovxáty), ти́снути (týsnuty)
136	verb	throw	*kydati, *mesti, *metati, *verťi		házet	rzucać	hodiť	chytaś	mjetać	хвърлям (hvǎrljam), мятам (mjatam)	фрла (frla)	bacati	metati	кіда́ць (kidácʹ)	броса́ть (brosátʹ), бро́сить (brósitʹ), кида́ть (kidátʹ), ки́нуть (kínutʹ)	метати (metaty), шмаряти (šmarjaty), веречі (vereči)	кида́ти (kydáty)
137	verb	tie	*verzti, *vьrzati, *vęzati	вѧзати (vęzati)	vázat	wiązać	viazať	wězaś	wjazać	връзвам (vrǎzvam), завързвам (zavǎrzvam)	врзува (vrzuva)	vezati	vezati	вяза́ць (vjazácʹ), звя́зваць (zvjázvacʹ)	вяза́ть (vjazátʹ), свя́зывать (svjázyvatʹ)	вязати (vjazaty)	зв'я́зувати (zvʺjázuvaty)
138	verb	sew	*šiti		šít	szyć	šiť	šyś	šić	шия (šija)	шие (šie)	šiti	šivati	шыць (šycʹ)	шить (šitʹ), сшить (sšitʹ)	шыти (šŷty)	ши́ти (šýty)
139	verb	count	*čisti		počítat	liczyć, rachować	počítať, rátať	licyś	ličić	броя (broja), смятам (smjatam), изчислявам (izčisljavam)	брои (broi)	brojati, brojiti	šteti	лічы́ць (ličýcʹ)	счита́ть (sčitátʹ), посчита́ть (posčitátʹ)	раховати (raxovaty)	рахува́ти (raxuváty), лічи́ти (ličýty)
140	verb	say	*reťi, *věťati	рєщи (rešti)	mluvit, říkat	mówić, rzec	povedať	groniś, powědaś	rěčeć	казвам (kazvam)	вели (veli), кажува (kažuva)	reći, kazati	reči	каза́ць (kazácʹ)	говори́ть (govorítʹ), сказа́ть (skazátʹ), мо́лвить (mólvitʹ)*	повісти (povisty)	каза́ти (kazáty), мо́вити (móvyty), ректи́ (rektý), говори́ти (hovorýty)
141	verb	sing	*pěti	пѣти (pěti)	zpívat, pět	śpiewać	spievať	spiwaś	spěwać	пея (peja)	пее (pee)	pevati, pjevati	peti	спява́ць (spjavácʹ)	петь (petʹ), распева́ть (raspevátʹ)	співати (spivaty)	співа́ти (spiváty)
142	verb	play	*jьgrati	играти (igrati)	hrát	grać	hrať	graś	hrać, hrajkać	играя (igraja)	игра (igra)	igrati	igrati	гуля́ць (huljácʹ)	игра́ть (igrátʹ), поигра́ть (poigrátʹ), сыгра́ть (sygrátʹ)	грати (hraty), бавити ся (bavyty sja)	гра́ти (hráty)
143	verb	float	*plavati, *plyti		plout	pływać	plávať	pławiś	płuwać	плавам (plavam)	плови (plovi)	plutati, ploviti	plavati	плыць (plycʹ), плы́сці (plýsci)	пла́вать (plávatʹ), плыть (plytʹ)	плавати (plavaty)	пла́вати (plávaty)
144	verb	flow	*strujiti, *teťi	тєшти (tešti)	téct, téci	płynąć, ciec	tiecť, prúdiť	běžaś	běžeć, ćec	тека (teka)	тече (teče)	teći	teči	цячы́ (cjačý)	течь (tečʹ)	течі (teči)	текти́ (tektý)
145	verb	freeze	*mьrzěti, *mьrznǫti	помръзнѫти (pomrŭznǫti)	mrznout, zmrznout	marznąć, zamarzać	mrznúť	marznuś	mjerznyć	замръзвам (zamrǎzvam), замразявам (zamrazjavam), заледявам (zaledjavam)	заледува (zaleduva), замрзнува (zamrznuva)	zalediti, smrznuti	zamrzniti	ме́рзнуць (mjérznucʹ), замярза́ць (zamjarzácʹ)	замерза́ть (zamerzátʹ), замёрзнуть (zamjórznutʹ), ледене́ть (ledenétʹ), заледене́ть (zaledenétʹ)	мерзнути (merznuty)	ме́рзнути (mérznuty)
146	verb	swell	*bręknǫti, *puxnǫti		otékat	nabrzmiewać, obrzękać, pęcznieć, puchnąć	puchnúť	wopuchnuś	zaćekać	подувам се (poduvam se), отичам (otičam)	отекува (otekuva), набабрува (nababruva)	oteći, oteknuti	otekati	пу́хнуць (púxnucʹ)	пу́хнуть (púxnutʹ), опу́хнуть (opúxnutʹ), опуха́ть (opuxátʹ), отека́ть (otekátʹ)	напухнути (napuxnuty)	опуха́ти (opuxáty)
147	noun	sun	*sъlnьce	слъньцє (slŭnĭce)	slunce	słońce	slnko	słyńco	słónco, słónčko	слънце (slǎnce)	сонце (sonce)	sunce	sonce	со́нца (sónca)	со́лнце (sólnce)	сонце (sonce)	со́нце (sónce)
148	noun	moon	*luna, *měsęcь	мѣсѧць (měsęcĭ), лоуна (luna)	měsíc, luna	księżyc, miesiąc	mesiac	mjasec	měsačk	луна (luna), месечина (mesečina), месец (mesec)	месечина (mesečina)	mesec, mjesec	luna	ме́сяц (mjésjac)	луна́ (luná), ме́сяц (mésjac)*	місяць (misjacʹ)	мі́сяць (mísjacʹ)
149	noun	star	*gvězda	звѣзда (zvězda)	hvězda	gwiazda	hviezda	gwězda	hwězda	звезда (zvezda)	ѕвезда (dzvezda)	zvezda, zvijezda	zvezda	зо́рка (zórka)	звезда́ (zvezdá)	звізда (zvizda)	зі́рка (zírka)
150	noun	water	*vapa*, *voda*	вода (voda)	voda	woda	voda	wóda	woda	вода (voda)	вода (voda)	voda	voda	вада́ (vadá)	вода́ (vodá)	вода (voda)	вода́ (vodá)
151	noun	rain	*dъždžь	дъждь (dŭždĭ)	déšť	deszcz	dážď	dešć	dešć	дъжд (dǎžd)	дожд (dožd)	kiša	dež	дождж (doždž)	дождь (doždʹ)	додж (dodž)	дощ (došč)
152	noun	river	*rěka	рѣка (rěka)	řeka	rzeka	rieka	rěka	rěka	река (reka)	река (reka)	reka, rijeka	reka	рака́ (raká)	река́ (reká)	ріка (rika)	ріка́ (riká)
153	noun	lake	*ezero	ѥзєръ (jezerŭ)	jezero	jezioro	jazero	jazoro	jězor	езеро (ezero)	езеро (ezero)	jezero	jezero	во́зера (vózjera)	о́зеро (ózero)	озеро (ozero)	о́зеро (ózero)
154	noun	sea	*moře	морѥ (morje)	moře	morze	more	mórjo	morjo	море (more)	море (more)	more	morje	мо́ра (móra)	мо́ре (móre)	море (more)	мо́ре (móre)
155	noun	salt	*solь	соль (solĭ)	sůl	sól	soľ	sol	sól	сол (sol)	сол (sol)	sol, so	sol	соль (solʹ)	соль (solʹ)	сіль (silʹ)	сіль (silʹ)
156	noun	stone	*kamy, *kamorъ	камꙑ (kamy)	kámen	kamień	kameň	kamjeń	kamjeń	камък (kamǎk)	камен (kamen)	kamen, stena, stijena	kamen	ка́мень (kámjenʹ)	ка́мень (kámenʹ)	камінь (kaminʹ)	ка́мінь (káminʹ)
157	noun	sand	*pěsъkъ	пѣсъкъ (pěsŭkŭ)	písek	piasek	piesok	pěsk	pěsk	пясък (pjasǎk)	песок (pesok)	pesak, pijesak	pesek	пясо́к (pjasók)	песо́к (pesók)	пісок (pisok)	пісо́к (pisók)
158	noun	dust	*porxъ, *pylь, *pьrstь	прахъ (praxŭ)	prach	kurz, miał, pył	prach	proch	proch	прах (prah)	прашина (prašina)	prašina	prah	пыл (pyl)	пыль (pylʹ)	порох (porox)	пил (pyl), по́рох (pórox)
159	noun	earth	*zemľa	зємлꙗ (zemlja)	země	ziemia	zem	zemja	zemja	земя (zemja), суша (suša)	земја (zemja)	zemlja	zemlja	зямля́ (zjamljá)	земля́ (zemljá)	земля (zemlja)	земля (zemlja)
160	noun	cloud	*obolkъ	облакъ (oblakŭ)	mrak, oblak	chmura, obłok	oblak	mrok	mróčel	облак (oblak)	облак (oblak)	oblak	oblak	во́блака (vóblaka), хма́ра (xmára)	о́блако (óblako), ту́ча (túča)	хмара (xmara)	хма́ра (xmára), о́болок (óbolok)
161	noun	fog	*mьgla	мьгла (mĭgla)	mlha	mgła	hmla	kurjawa, mła	kurjawa, mhła	мъгла (mǎgla)	магла (magla)	magla	megla	тума́н (tumán), імгла́ (imhlá)	тума́н (tumán)	молга (molha)	тума́н (tumán)
162	noun	sky	*nebo	нєбо (nebo)	nebe	niebo	obloha, nebo	njebjo	njebjo	небе (nebe)	небо (nebo)	nebo	nebo	не́ба (njéba)	не́бо (nébo)	небо (nebo)	не́бо (nébo)
163	noun	wind	*větrъ	вѣтръ (větrŭ)	vítr	wiatr	vietor	wětš	wětřik	вятър (vjatǎr)	ветер (veter)	vetar, vjetar	veter	ве́цер (vjécjer)	ве́тер (véter)	вітор (vitor)	ві́тер (víter)
164	noun	snow	*sněgъ	снѣгъ (sněgŭ)	sníh	śnieg	sneh	sněg	sněh	сняг (snjag)	снег (sneg)	sneg, snijeg	sneg	снег (snjeh)	снег (sneg)	снїг (snjih)	сніг (snih)
165	noun	ice	*ledъ	лєдъ (ledŭ)	led	lód	ľad	lod	lód	лед (led)	мраз (mraz), лед (led)	led	led	лёд (ljod)	лёд (ljod)	лед (led)	кри́га (krýha), лід (lid)
166	noun	smoke	*dymъ, *pušьkъ	дꙑмъ (dymŭ)	kouř, dým	dym	dym	dym	kur, dym	пушек (pušek), дим (dim)	дим (dim), чад (čad)	dim	dim	дым (dym)	дым (dym)	дым (dŷm)	дим (dym)
167	noun	fire	*ogňь, *vatra	огнь (ognĭ)	oheň	ogień	oheň	wogeń	woheń	огън (ogǎn)	оган (ogan)	vatra	ogenj	аго́нь (ahónʹ)	ого́нь (ogónʹ)	огень (ohenʹ)	вого́нь (vohónʹ)
168	noun	ash	*pepelъ, *popelъ		popel	popiół	popol	popjeł	popjeł	пепел (pepel)	пепел (pepel)	pepeo	pepel	по́пел (pópjel)	зола́ (zolá), пе́пел (pépel)	попіль (popilʹ)	по́піл (pópil)
169	verb	to burn	*gorěti, *polěti, *žeťi	горѣти (gorěti)	hořet	palić, gorzeć, płonąć	horieť, páliť	paliś se	palić	горя (gorja)	гори (gori)	goreti, gorjeti	žgati	палі́ць (palícʹ)	жечь (žečʹ), сжечь (sžečʹ)*, горе́ть (gorétʹ), сгоре́ть (sgorétʹ)*	горїти (horjity)	горі́ти (horíty)
170	noun	road	*cěsta, *dorga, *pǫtь, *stьdza	пѫть (pǫtĭ)	silnice, cesta, pouť*	droga	cesta	droga	puć	път (pǎt)	пат (pat)	put, cesta	cesta	даро́га (daróha), шлях (šljax)	доро́га (doróga), путь (putʹ)	дорога (doroha)	доро́га (doróha)
171	noun	mountain	*gora	гора (gora)	hora	góra	hora	góra	hora	планина (planina)	планина (planina)	planina	gora	гара́ (hará)	гора́ (gorá)	гора (hora)	гора́ (horá)
172	adjective	red	*čьrvenъ, *čьrmьnъ, *rudъ, *rъdrъ	чръвєнъ (črŭvenŭ)	červený	czerwony	červený	cerwjeny	čerwjeny	червен (červen)	црвен (crven)	crven	rdeč	чырво́ны (čyrvóny)	кра́сный (krásnyj)	червеный (červenŷj)	черво́ний (červónyj)
173	adjective	green	*zelenъ, *grěnъ	зєлєнъ (zelenŭ)	zelený	zielony	zelený	zeleny	zeleny	зелен (zelen)	зелен (zelen)	zelen	zelen	зялёны (zjaljóny)	зелёный (zeljónyj)	зеленый (zelenŷj)	зеле́ний (zelényj)
174	adjective	yellow	*žьltъ, *solvъ*		žlutý	żółty	žltý	žołty	žołty	жълт (žǎlt)	жолт (žolt)	žut	rumen	жо́ўты (žóŭty)	жёлтый (žóltyj)	жовтый (žovtŷj)	жо́втий (žóvtyj)
175	adjective	white	*bělъ, *bronъ*	бѣлъ (bělŭ)	bílý	biały	biely	běły	běły	бял (bjal)	бел (bel)	beo, bijel	bel	бе́лы (bjély)	бе́лый (bélyj)	білый (bilŷj)	бі́лий (bílyj)
176	adjective	black	*čьrnъ, *vornъ*	чрънъ (črŭnŭ)	černý	czarny	čierny	carny	čorny	черен (čeren)	црн (crn)	crn	črn	чо́рны (čórny)	чёрный (čórnyj)	чорный (čornŷj)	чо́рний (čórnyj)
177	noun	night	*noťь	нощь (noštĭ)	noc	noc	noc	noc	nóc	нощ (nošt)	ноќ (noḱ)	noć	noč	ноч (noč)	ночь (nočʹ)	ніч (nič)	ніч (nič)
178	noun	day	*dьnь	дьнь (dĭnĭ)	den	dzień	deň	źeń	dźeń	ден (den)	ден (den)	dan	dan	дзень (dzjenʹ)	день (denʹ)	день (denʹ)	день (denʹ)
179	noun	year	*godъ, *lěto	лѣто (lěto)	rok, léto*	rok	rok	lěto	lěto	година (godina)	година (godina)	godina	leto	год (hod)	год (god)	рік (rik)	рік (rik), лі́то (líto)
180	adjective	warm	*teplъ, *toplъ	топлъ (toplŭ)	teplý	ciepły	teplý	śopły	ćopły	топъл (topǎl)	топол (topol)	topao	topel	цёплы (cjóply)	тёплый (tjóplyj)	теплый (teplŷj)	те́плий (téplyj)
181	adjective	cold	*xoldьnъ, *studenъ	хладьнъ (xladĭnŭ), стоудєнъ (studenŭ)	studený, chladný	zimny, chłodny	studený, chladný	zymny	zymny, chłódny	студен (studen), хладен (hladen)	студен (studen), ладен (laden)	hladno, hladnoća	hladen	хало́дны (xalódny)	холо́дный (xolódnyj), студёный (studjónyj)	зимный (zymnŷj), студеный (studenŷj), холодный (xolodnŷj)	холо́дний (xolódnyj)
182	adjective	full	*pьlnъ	испльнь (isplĭnĭ)	plný	pełny	plný	połny	połny	пълен (pǎlen), цял (cjal)	полн (poln)	pun	poln	по́ўны (póŭny)	по́лный (pólnyj)	повный (povnŷj)	по́вний (póvnyj)
183	adjective	new	*novъ	новъ (novŭ)	nový	nowy	nový	nowy	nowy	нов (nov)	нов (nov)	nov	nov	но́вы (nóvy)	но́вый (nóvyj)	новый (novŷj)	нови́й (novýj)
184	adjective	old	*davьnъ*, *starъ, *vetъxъ	старъ (starŭ)	starý	stary	starý	stary	stary	стар (star)	стар (star)	star	star	стары́ (starý)	ста́рый (stáryj)	старый (starŷj)	стари́й (starýj)
185	adjective	good	*dobrъ	добръ (dobrŭ)	dobrý	dobry	dobrý	dobry	dobry	добър (dobǎr)	добар (dobar)	dobar	dober	до́бры (dóbry)	хоро́ший (xoróšij), до́брый (dóbryj)	добрый (dobrŷj)	до́брий (dóbryj)
186	adjective	bad	*lošь, *zъlъ	зълъ (zŭlŭ)	špatný, zlý	zły	zlý	zły	hubjeny, špatny, zły	лош (loš)	лош (loš)	loš	zloben	дрэ́нны (drénny), ке́пскі (kjépski), благі́ (blahí)	плохо́й (ploxój), злой (zloj)	планый (planŷj)	пога́ний (pohányj)
187	adjective	rotten	*gňilъ		shnilý	zgniły	zhnitý	zgnity	zhniły	гнил (gnil)	гнил (gnil)	truo, gnjio	gnil	гнілы́ (hnilý)	гнило́й (gnilój)	гнилый (hnylŷj)	гнили́й (hnylýj)
188	adjective	dirty	*mьrsьnъ		špinavý	brudny	špinavý	njerěšny, brudny	mazany	мръсен (mrǎsen), нечист (nečist)	валкан (valkan), нечист (nečist)	prljav	umazan	бру́дны (brúdny)	гря́зный (grjáznyj)	брудный (brudnŷj)	бру́дний (brúdnyj)
189	adjective	straight	*prostъ	правъ (pravŭ), равьнъ (ravĭnŭ)	přímý, rovný	prosty	priamy, rovný	rowny	runy	прав (prav), пряк (prjak)	прав (prav)	prav, ravan	raven	прамы́ (pramý), про́сты (prósty)	прямо́й (prjamój)	прямый (prjamŷj)	прями́й (prjamýj)
190	adjective	round	*krǫglъ		kulatý	krągły, okrągły	okrúhly, guľatý	kulaty	kulojty, kulowaty	кръгъл (krǎgǎl)	тркалест (trkalest), тркалезен (trkalezen), кружен (kružen)	obao, okrugao	okrogel	кру́глы (krúhly)	кру́глый (krúglyj)	округлый (okruhlŷj)	кру́глий (krúhlyj)
191	adjective	sharp (as a knife)	*bridъkъ, *ostrъ	остръ (ostrŭ)	ostrý	ostry	ostrý	wótšy	wótry	остър (ostǎr)	остар (ostar)	oštar	oster	во́стры (vóstry)	о́стрый (óstryj)	острый (ostrŷj)	го́стрий (hóstryj)
192	adjective	dull (as a knife)	*tǫpъ		tupý	tępy	tupý	tupy	tupy	тъп (tǎp)	тап (tap)	tup	top	тупы́ (tupý)	тупо́й (tupój)	тупый (tupŷj)	тупи́й (tupýj)
