#swadesh 207 id	part-of-speech	English	Proto-Italic	Latin	Latin IPA	Vulgar Latin	French	French IPA	Spanish 	Portuguese 	Italian	Romanian
1	noun                 	I	*egō	ego	ˈɛ.ɡoː	*eo , *ego (*io)	je	/ʒə/	yo 	eu 	io 	eu
2	noun                 	you	*tū	tu	ˈt̪uː	*tu	tu (informal), vous (formal)	/ty/, /vu/	tú	tu	tu	tu
3	noun                 	he, she, it	*is	is ♂, ea ♀, id ⚲	ˈɪs, ˈe.a, ˈɪd̪	*ille (*elle)	il ♂, elle ♀	/il/, /ɛl/	él♂, ella♀, ello⚲	ele	lui, egli	el
4	noun                 	we	*nōs	nos	ˈnoːs	*nos , *nosotri (*nostri)	nous	/nu/	nosotros	nós	noi	noi
5	noun                 	you all	*wōs	vos	ˈwoːs	*vos , *vosotri (*vestri)	vous	/vu/	vosotros	vós	voi	voi
6	noun                 	they	*is	ei, ii ♂, eae ♀, ea ⚲	ˈe.iː/ˈi.iː, ˈe.ae̯, ˈe.a	*elles (*elli)	ils ♂, elles ♀	/il/, /ɛl/	ellos ♂, ellas ♀	eles ♂, elas ♀	loro, essi ♂, esse ♀	ei ♂, ele ♀
7	noun                 	this	*hek(e)	hic ♂, haec ♀, hoc ⚲	ˈhɪk, ˈhae̯k, ˈhɔk	*aquesto ( *eccum iste )	ceci	/sə.si/	éste ♂, ésta ♀	este ♂, esta ♀	questo, 'sto ♂, questa, 'sta ♀	acest ♂, această ♀
8	noun                 	that	*istos	ille ♂, illa ♀, illud ⚲	ˈɪl.lʲɛ, ˈɪl.lʲa, ˈɪl.lʲʊd	*aquello ( *eccum ille )	cela	/sə.la/	ése ♂, ésa ♀ (near), aquél ♂, aquélla ♀ (far)	esse ♂, essa ♀ (near), aquele ♂, aquela ♀ (far)	quello ♂, quella ♀	acel ♂, acea ♀
9	noun                 	here	*hek(e)	hic	ˈhɪk	*aqui ( *eccum hic )	ici	/i.si/	aquí, acá	aqui	qui, qua	aici
10	noun                 	there	*iðei	illic, ibi	ˈɪl.lʲɪk, ˈɪ.bɪ	*illa , *alli (*illic)	là	/la/	allí (far), ahí (near)	ali (near), aí (far)	là, lì, ivi	acolo
11	noun                 	who	*kʷis, *kʷoi	quis ♂, quae ♀	ˈkᶣɪs, ˈkʷae̯	*qui (*quis)	qui	/ki/	quién sg, quiénes pl	quem	chi	cine
12	noun                 	what	*kʷis, *kʷoi	quid	ˈkᶣɪd̪	*que	quoi	/kwa/	qué	qué	che	ce
13	noun                 	where	*kʷāmdō	ubi	ˈʊ.bɪ	*onde (*unde)	où	/u/	dónde	onde	dove, ove	unde
14	noun                 	when	*kʷuðei	cum, quando	ˈkʊ̃ˑ, ˈkʷan̪.d̪oː	*quando	quand	/kã/	cuándo	quando	quando	când
15	noun                 	how	*kʷām	quomodo	ˈkʷoː.mɔ.d̪ɔ	*quomo , *quomodo	comment	/kɔ.mã/	cómo	como	come	cum
16	adverb              	not	*ne	non, ne	ˈnoːn, ˈneː	*no (*non)	ne pas	/nə ... pɑ/	no	não	non	nu
17	determiner            	all	*opnis	omnes ♂♀, omnia ⚲	ˈɔm.neːs, ˈɔm.ni.a	*tuto , *totu	tout	/tu/	todo	todo	tutto	tot
18	determiner            	many	*moltos	multi ♂, multae ♀, multa ⚲	ˈmʊɫ.t̪iː, ˈmʊɫ.t̪ae̯, ˈmʊɫ.t̪a	*multo (*multi, *multu)	beaucoup	/bo.ku/	mucho	muito	molto	mulți
19	determiner            	some	*partim	aliqui ♂, aliqua ♀, aliquod ⚲	ˈa.lʲɪ.kᶣiː, ˈa.lʲɪ.kʷa, ˈa.lʲɪ.kʷɔd̪	*alicunus ( *alq unos , *aliqui), *qual quo	quelques	/kelk/	algunos	alguns	alcuni pl , qualche s 	niște
20	determiner            	few	*paukos	pauci ♂, paucae ♀, pauca ⚲	ˈpaʊ̯.kiː, ˈpaʊ̯.kae̯, ˈpaʊ̯.ka	*poco (*paucus)	peu	/pø/	poco	pouco	poco	puțin
21	determiner            	other	*aljos	alter, alius	ˈaɫ̪.t̪ɛ̞r, ˈa.lʲi.ʊs	*altro , *otro (*alter)	autre	/otʁ/	otro ♂, otra ♀	outro ♂, outra ♀	altro ♂,altra ♀ 	alt ♂, altă ♀
22	noun                 	one	*oinos	unus	ˈuː.nʊs	*uno (*unus, *unu)	un	/œ̃/	uno ♂, un ♂ (before a masculine noun), una ♀	um ♂, uma ♀	uno ♂, un ♂ (before a masculine noun), una ♀ 	unu ♂, un ♂ (before a masculine noun), una ♀
23	noun                 	two	*duō	duo	ˈd̪ʊ.ɔ	*dos (*duo)	deux	/dø/	dos	dois ♂, duas ♀	due	doi ♂, două ♀
24	noun                 	three	*trēs	tres	t̪reːs	*tres	trois	/tʁwɑ/	tres	três	tre	trei
25	noun                 	four	*kʷettwōr	quattuor	ˈkʷat̪.t̪ʊ.ɔr	*quattro (*quattuor)	quatre	/katʁ/	cuatro	quatro	quattro	patru
26	noun                 	five	*kʷenkʷe	quinque	ˈkᶣiːŋ.kᶣɛ	*cinque ( *quinque )	cinq	/sɛ̃k/	cinco	cinco	cinque	cinci
27	adjective	big	*magnos	magnus	ˈmaŋ.nʊs	*grande (*grandis)	grand	/ɡʁã/	grande	grande	grande	mare
28	adjective	long	*dlongos	longus	ˈɫɔŋ.ɡʊs	*longo (*longus, *longu)	long	/lõ/	largo	longo	lungo	lung
29	adjective	wide	*stlātos	latus	ˈɫaː.t̪ʊs	*largo (*largus)	large	/laʁʒ/	ancho	largo	largo	larg
30	adjective	thick	*kartsus	crassus	ˈkras.sʊs	*grosso (*grossus), *spisso (*spissus)	épais	/epɛ/	grueso	grosso, espesso	spesso, grosso	gros
31	adjective	heavy	*gʷrawos	gravis	ˈɡra.wɪs	*grave (*gravis), *pesant	lourd	/luʁ/	pesado	pesado	pesante	greu
32	adjective	small	*pauros	parvus	ˈpar.wʊs	*piccolo , *pittitus	petit	/pəti/	pequeño	pequeno	piccolo	mic
33	adjective	short	*breɣʷis	brevis	ˈbrɛ.wɪs	*curtu (*corto)	court	/kuʁ/	corto	curto	corto	scurt
34	adjective	narrow	*anɣustos	angustus	aŋ.ˈɡʊs̪.t̪ʊs	*strictus ( *estricto )	étroit	/etʁwa/	estrecho	estreito	stretto, angusto rare	strâmt, îngust
35	adjective	thin	*tenwis	gracilis, tenuis	ˈɡra.kɪ.lʲɪs, ˈt̪ɛ.nʊ.ɪs	*sottile (*subtilis, *subtile), *magro (*macer)	mince	/mɛ̃s/	delgado, fino (objects only)	magro (people), fino (objects)	magro (people), sottile (objects)	subțire, slab
36	noun	woman	*fēmanā	femina, mulier	ˈfeː.mɪ.na, ˈmʊ.lʲɪ.ɛ̞r	*mulier , *femina , *domna (*domina)	femme	/fam/	mujer	mulher	donna	femeie, muiere
37	noun	man	*wiros	vir	ˈwɪr	*homo	homme	/ɔm/	hombre	homem	uomo	bărbat
38	noun	human	*hemō	homo	ˈhɔ.moː	*humano (*homo, *homine), *persona	homme	/ɔm/	humano, persona	humano, pessoa	umano, uomo (generic), persona	om, persoană
39	noun	child	*puweros	puer	ˈpʊ.ɛ̞r	*infante (*infans)	enfant	/ɑ̃fɑ̃/	niño	criança	bambino	copil
40	noun	wife	*uksōr	uxor, mulier	ˈʊk.sɔr, ˈmʊ.lʲɪ.ɛ̞r	*sponsa , *mulier	femme, épouse	/fam/, /epuz/	esposa, mujer	mulher, esposa	sposa, moglie	soție, nevastă
41	noun	husband	*wiros, *nēr	maritus	ma.ˈriː.t̪ʊs	*marito (*maritus)	mari, époux	/maʁi/, /epu/	marido, esposo	marido, esposo	marito, sposo (in the wedding day)	soț
42	noun	mother	*mātēr	mater	ˈmaː.t̪ɛ̞r	*matre (*mater)	mère	/mɛʁ/	madre, mamá	♂ãe	madre, mamma	mamă
43	noun	father	*patēr	pater	ˈpa.t̪ɛ̞r	*patre (*pater)	père	/pɛʁ/	padre, papá, tata	pai	padre, papà	tată
44	noun	animal	*anamālis	animal	ˈa.nɪ.maɫ	*animale (*animal), *bestia (*bistia)	animal	/animal/	animal	animal	animale	animal
45	noun	fish	*piskis	piscis	ˈpɪs.kɪs	*pisco ( *piscis , *pesce)	poisson	/pwasõ/	pez	peixe	pesce	pește
46	noun	bird	*awis	avis	ˈa.wɪs	*avicellus , *avis , *passaru (*passer)	oiseau	/wazo/	ave, pájaro	ave, pássaro	uccello	pasăre
47	noun	dog	*kō	canis	ˈka.nɪs	*cane (*canis)	chien	/ʃjɛ̃/	perro	cão	cane	câine
48	noun	louse	*pezdis	pedis (pediculus)	ˈpeː.d̪ɪs (peː.ˈd̪iː.kʊ.ɫʊs)	*pedicellus ( *pediculu )	pou	/pu/	piojo	piolho	pidocchio	păduche
49	noun	snake	*anɣʷis	serpens, anguis	ˈsɛ̞r.pẽːs, ˈaŋ.ɡᶣɪs	*serpente (*serpens)	serpent	/sɛʁpɑ̃/	serpiente, culebra	serpe, serpente, cobra	serpente, serpe	șarpe
50	noun	worm	*wormis	vermis	ˈwɛ̞r.mɪs	*vermo (*vermis, *verme)	ver	/vɛʁ/	gusano, verme (Zool.)	verme	verme	vierme
51	noun	tree	*arðōs	arbor	ˈar.bɔr	*arborus ( *arbor )	arbre	/aʁbʁ/	árbol	árvore	albero	arbore
52	noun	forest	*selwā	silva	ˈsɪɫ.wa	*foresta , *bosco (*boscus)	forêt	/fɔʁɛ/	bosque, floresta, selva	floresta, bosque, selva	foresta, bosco	pădure
53	noun	stick	*baklom	baculum, palus	ˈba.kʊ.ɫʊ̃ˑ, ˈpaː.ɫʊs	*basto (*bastum, *baston), *palo (*palus)	bâton	/bɑtɔ̃/	palo, vara, bastón (cane)	bastão, pau, vara	bastone, rametto	băț, nuia
54	noun	fruit	*poomos	fructus	ˈfruːk.t̪ʊs	*fructo (*fructus)	fruit	/fʁɥi/	fruto, fruta	fruto, fruta	frutto	fruct
55	noun	seed	*sēmen	semen	ˈseː.mɛn	*sementia ( *semente , *semen)	graine	/ɡʁɛn/	semilla	semente	semente, seme	să♂ânță
56	noun	leaf	*folyom	folium	ˈfɔ.lʲɪ.ʊ̃ˑ	*folia (*folium)	feuille	/fœj/	hoja	folha	foglia	frunză
57	noun	root	*wrādīks	radix	ˈraː.d̪iːks	*radice (*radix)	racine	/ʁasin/	raíz	raiz	radice	rădăcină
58	noun	bark	*korteks	cortex	ˈkɔr.t̪ɛks	*scorcia (*scortea, *cortice)	écorce	/ekɔʁs/	corteza	casca	corteccia, scorza	scoarță, coajă
59	noun	flower	*flōs	flos	ˈfɫoːs	*flos (*flor, *floris)	fleur	/flœʁ/	flor	flor	fiore	floare
60	noun	grass	*grāmen	herba	ˈhɛ̞r.ba	*herba	herbe	/ɛʁb/	hierba	erva	erba	iarbă
61	noun	rope	*fuðnis	funis, restis	ˈfuː.nɪs, ˈrɛs.t̪ɪs	*corda (*chorda)	corde	/kɔʁd/	cuerda	corda	corda, fune	frânghie, coardă, funie
62	noun	skin	*pelnis	cutis	ˈkʊ.t̪ɪs	*pelle (*pellis)	peau	/po/	piel	pele	pelle	piele
63	noun	meat	*karō	caro	ˈka.roː	*carne (*caro, *carnis)	viande	/vjɑ̃d/	carne	carne	carne	carne
64	noun	blood	*sangwen	sanguis	ˈsaŋ.ɡᶣɪs	*sangre (*sanguis, *sanguine)	sang	/sɑ̃/	sangre	sangue	sangue	sânge
65	noun	bone	*os	os	ˈɔs	*osso (*os, *ossis)	os	/ɔs/	hueso	osso	osso	os
66	noun	fat	*pinɣʷe	pinguamen	ˈa.d̪ɛps, pɪŋ.ˈɡʷaː.mɛn	*grasso (*crassus, *grassu)	graisse	/ɡʁɛs/	grasa	gordura	grasso	grăsime
67	noun	egg	*ōwom	ovum	ˈɔ.wʊ̃ˑ	*ovus (*ovu)	œuf	/œf/	huevo	ovo	uovo	ou
68	noun	horn	*kornū	cornu	ˈkɔr.nuː	*cornu (*corno)	corne	/kɔʁn/	cuerno	corno	corno	corn
69	noun	tail	*kaudā	cauda	ˈkaʊ̯.d̪a	*coda (*cauda)	queue	/kø/	cola	cauda	coda	coadă
70	noun	feather	*plow(k)smā	penna	ˈpɛn.na	*penna , *pluma	plume	/plym/	pluma	pluma	piuma, penna	fulg, pană
71	noun	hair	*kriznis	pilus	ˈpɪ.ɫʊs	*pelo (*pilus), *capello (*capillu)	cheveux	/ʃəvø/	cabello, pelo	cabelo, pelo	capello	păr
72	noun	head	*kaput	caput	ˈka.pʊt̪	*capo ( *capu , *capitia), *testa	tête	/tɛt/	cabeza	cabeça	testa	cap
73	noun	ear	*auzis	auris	ˈaʊ̯.rɪs	*oricla (*auricula, *auris)	oreille	/ɔʁɛj/	oreja	orelha	orecchio	ureche
74	noun	eye	*okʷelos	oculus	ˈɔ.kʊ.ɫʊs	*oclus (*oculus, *oclu)	œil	/œj/	ojo	olho	occhio	ochi
75	noun	nose	*nās	nasus, naris	ˈnaː.sʊs, ˈnaː.rɪs	*nasus , *narices (*nasu, *naris)	nez	/ne/	nariz	nariz	naso	nas
76	noun	mouth	*ōs	os	ˈoːs	*bucca	bouche	/buʃ/	boca	boca	bocca	gură
77	noun	tooth	*dents	dens	ˈd̪ẽːs	*dente (*dens)	dent	/dɑ̃/	diente	dente	dente	dinte
78	noun	tongue	*denɣwā	lingua	ˈlʲɪŋ.ɡʷa	*lingua	langue	/lɑ̃ɡ/	lengua	língua	lingua	limbă
79	noun	fingernail	*ungus	unguis	ˈʊŋ.ɡᶣɪs	*unga (*unguis, *ungula)	ongle	/ɔ̃ɡl/	uña	unha	unghia	unghie
80	noun	foot	*peds	pes	ˈpeːs	*pede (*pes), *patta	pied	/pje/	pie	pé	piede	picior
81	noun	leg	*krūs	crus	ˈkruːs	*gamba , *perna	jambe	/ʒɑ̃b/	pierna	perna	gamba	gambă
82	noun	knee	*genū	genu	ˈɡɛ.nuː	*genuclum ( *geniculu , *genu)	genou	/ʒənu/	rodilla	joelho	ginocchio	genunchi
83	noun	hand	*manus	manus	ˈma.nʊs	*manu ( *manus )	main	/mɛ̃/	mano	♂ão	mano	♂ână
84	noun	wing	*akslā	ala	ˈaː.ɫa	*ala	aile	/ɛl/	ala	asa	ala	aripă
85	noun	belly	*wendtris	venter, abdomen	ˈwɛn̪.t̪ɛ̞r, ab.doː.mɛn	*venter (*ventres, *ventre), *pantex (*pantices)	ventre	/vɑ̃tʁ/	vientre, barriga	ventre, barriga	ventre, pancia (colloquial)	burtă, pântece
86	noun	guts	*laktis	viscera	ˈwɪs.kʊs	*intestino , *viscera	entrailles, intestins	/ɑ̃tʁɑj/, /ɛ̃tɛstɛ̃/	tripas pl, intestinos pl, entrañas pl	tripas pl, entranhas pl, intestinos pl	intestini pl, budella pl	mațe pl, ♂ăruntaie, intestine pl
87	noun	neck	*kʷolzom	cervix	ˈkɛ̞r.wiːks	*collo , *nucha , *cervix	cou	/ku/	cuello, nuca (nape)	pescoço, colo (rare), nuca (nape)	collo, nuca (nape)	gât
88	noun	back	*dorsom	dorsum, tergum	ˈd̪ɔr.sʊ̃ˑ, ˈt̪ɛ̞r.ɡʊ̃ˑ	*dorso (*dorsus)	dos	/do/	espalda (human), lomo (animal)	costas pl / (human), lombo (animal)	schiena (human), dorso (animal)	spate, dos
89	noun	breast	*pektos	mamma	ˈmam.ma	*pectus (*pectu), *seno (*sinus)	sein, poitrine	/sɛ̃/, /pwatʁin/	pecho, seno	peito, seio	petto, seno	piept, sân
90	noun	heart	*kord	cor	ˈkɔr	*coratio , *cor	cœur	/kœʁ/	corazón	coração	cuore	inimă, cord
91	noun	liver	*jekʷor	iecur	ˈjɛ.kʊr	*fegato (*ficatu)	foie	/fwɑ/	hígado	♀ígado	fegato	ficat
92	verb	drink	*pibō	bibere	ˈbɪ.bɛ.rɛ	*bibere (*bebere)	boire	/bwɑʁ/	beber, tomar	beber	bere	bea
93	verb	eat	*manðō	edere	ˈɛ.dɛ.rɛ	*manducare (*manjar, *mangiare), *comedere (*comere)	manger	/mɑ̃ʒe/	comer	comer	mangiare	♂ânca
