#swadesh 207 id	part-of-speech	English	Proto-Hellenic	Ancient Greek	Modern Greek	Modern Greek IPA
62	noun	skin		δέρμα (dérma)	δέρμα (dérma) 	ˈðerma
63	noun	meat	*kréwas	κρέας (kréas)	κρέας (kréas) 	ˈkreas
64	noun	blood	*éhər 	αἷμα (haîma)	αίμα (aíma) 	ˈema
65	noun	bone		ὀστοῦν (ostoûn)	κόκαλο (kókalo) 	ˈkokalo
66	noun	fat	*lípos	δημός (dēmós)	λίπος (lípos) 	ˈlipos
67	noun	egg	*ōyyón	ᾠόν (ōión)	αυγό (avgó) 	avˈɣo
68	noun	horn	*kéras 	κέρας (kéras)	κέρατο (kérato) 	ˈcerato
69	noun	tail		οὐρά (ourá), κέρκος (kérkos)	ουρά (ourá) 	uˈra
70	noun	feather	*ptílon 	πτερόν (pterón)	πούπουλο (poúpoulo), φτερό (fteró) 	ˈpupulo, fteˈro
71	noun	hair		θρίξ (thríx), κόμη (kómē)	τρίχα (trícha) (single), μαλλιά (malliá) (collective) 	ˈtrixa, maˈʎa
72	noun	head		κεφαλή (kephalḗ)	κεφάλι (kefáli) 	ceˈfali
73	noun	ear	*ṓws	οὖς (oûs)	αυτί (aftí) 	afˈti
74	noun	eye	*ókʷs 	ὀφθαλμός (ophthalmós)	μάτι (máti) 	ˈmati
75	noun	nose		ῥίς (rhís)	μύτη (mýti) 	ˈmiti
76	noun	mouth	*stómə	στόμα (stóma)	στόμα (stóma) 	ˈstoma
77	noun	tooth	*odónts 	ὀδούς (odoús)	δόντι (dónti) 	ˈðondi
78	noun	tongue		γλῶσσα (glôssa)	γλώσσα (glóssa) 	ˈɣlosa
79	noun	fingernail		ὄνυξ (ónux)	νύχι (nýchi) 	ˈniçi
80	noun	foot	*pṓts	πούς (poús)	πόδι (pódi) 	ˈpoði
81	noun	leg	*skélos	κῶλον (kôlon), σκέλος (skélos)	πόδι (pódi) 	ˈpoði
82	noun	knee	*gónu	γόνυ (gónu)	γόνατο (gónato) 	ˈɣonato
83	noun	hand	*kʰéhr 	χείρ (kheír)	χέρι (chéri) 	ˈçeri
84	noun	wing		πτέρυξ (ptérux)	φτερό (fteró) 	fteˈro
85	noun	belly		γαστήρ (gastḗr), κοιλία (koilía)	κοιλιά (koiliá) 	ciˈʎa
86	noun	guts	*énteron 	ἔντερα (éntera), σπλάγχνα (splánkhna)	σπλάχνα (spláchna), εντόσθια (entósthia) 	ˈsplaxna, eˈndosθia
87	noun	neck		αὐχήν (aukhḗn), τράχηλος (trákhēlos)	λαιμός (laimós) 	leˈmos
88	noun	back		νῶτον (nôton)	πλάτη (pláti) 	ˈplati
89	noun	breast		μαστός (mastós), στῆθος (stêthos, “chest”)	στήθος (stíthos) 	ˈstiθos
90	noun	heart	*kərdíyā	καρδία (kardía)	καρδιά (kardiá) 	karˈðʝa
91	noun	liver	*yékʷər 	ἧπαρ (hêpar)	συκώτι (sykóti) 	siˈkoti
92	verb	drink		πίνω (pínō)	πίνω (píno) 	ˈpino
93	verb	eat	*édō 	ἐσθίω (esthíō), ἔφαγον (éphagon)	τρώ(γ)ω 	ˈtro(ɣ)o
94	verb	bite		δάκνω (dáknō)	δαγκώνω (dagkóno) 	ðaˈŋɡono
95	verb	suck		σπάω (spáō)	ρουφώ (roufó) 	ruˈfo
96	verb	spit		πτύω (ptúō)	φτύνω (ftýno) 	ˈftino
97	verb	vomit		ἐμέω (eméō)	ξερνώ (xernó) 	kserˈno
98	verb	blow		φυσάω (phusáō)	φυσάω (fysáo) 	fiˈsao
99	verb	breathe	*pnéwō 	πνέω (pnéō)	αναπνέω (anapnéo), ανασαίνω (anasaíno) 	anaˈpneo, anaˈseno
100	verb	laugh		γελάω (geláō)	γελάω (geláo) 	ʝeˈlao
101	verb	see	*wéydō, *gʷlépō	βλέπω (blépō), ὁράω (horáō), εἶδον (eîdon)	βλέπω (vlépo) 	ˈvlepo
102	verb	hear	*akouhō, *awiyō	ἀκούω (akoúō), ἀΐω (aḯō)	ακούω (akoúo) 	aˈkuo
103	verb	know	*wóyda, *gignṓskō 	οἶδα (oîda), γιγνώσκω (gignṓskō)	ξέρω (xéro), γνωρίζω (gnorízo) 	ˈksero, ɣnoˈrizo
104	verb	think		νομίζω (nomízō), δοκέω (dokéō), νοέω (noéō), οἴομαι (oíomai)	σκέφτομαι (skéftomai), νομίζω (nomízo) 	ˈsceftome, noˈmizo
105	verb	smell	*óďďō	ὀσφραίνομαι (osphraínomai)	μυρίζω (myrízo) 	miˈrizo
106	verb	fear	*dédwoya	φοβέομαι (phobéomai)	φοβάμαι (fovámai) 	foˈvame
107	verb	sleep	*séudō, *iauhō	καθεύδω (katheúdō), εὕδω (heúdō), εὐνάζομαι (eunázomai), κοιμάομαι (koimáomai), ἰαύω (iaúō)	κοιμάμαι (koimámai) 	ciˈmame
108	verb	live	*ďṓwō 	ζάω (záō), βιόω (bióō), οἰκέω (oikéō)	ζω (zo) 	zo
109	verb	die		ἀποθνῄσκω (apothnḗiskō), θνῄσκω (thnḗiskō), τελευτάω (teleutáō), ὄλομαι (ólomai)	πεθαίνω (pethaíno) 	peˈθeno
110	verb	kill	*kʷʰékʷʰnon, *kʷʰéňňō 	ἀποκτείνω (apokteínō), ἔπεφνον (épephnon)	σκοτώνω (skotóno) 	skoˈtono
111	verb	fight		μάχομαι (mákhomai)	μαλώνω (malóno) 	maˈlono
112	verb	hunt		θηρεύω (thēreúō), θηράω (thēráō), ἰχνεύω (ikhneúō), κυνηγετέω (kunēgetéō), κυνηγέω (kunēgéō), σεύω (seúō)	κυνηγώ (kynigó) 	ciniˈɣo
113	verb	hit	*túpťō	τύπτω (túptō)	χτυπώ (chtypó) 	xtiˈpo
