*	*	nominative 	vocative 	genitive 	oblique 	instrumental 	perlative 	comitative 	allative 	ablative 	locative 	causative 
horse	singular	yuk 	— 	yukes 	yuk 	yukyo 	yukā 	yukaśśäl 	yukac 	yukäṣ 	yukaṃ 	— 
horse	plural	yukañ	—	yukāśśi	yukas	yukasyo	yukasā	yukasaśśäl	yukasac	yukasäṣ	yukasaṃ	— 
												
												
												
												
												
												
												
												
