*	*	*	*		*	*	nominative	accusative	genitive	dative	instrumental	prepositional	#																					
*	*	*	*		*	*	cyrillic	cyrillic	cyrillic	cyrillic	cyrillic	cyrillic	#																					
		1-possessor	singular-possessor	singular	masculine	animate	мой	моего́	моего́	моём	моему́	мои́м 	#	my																				
		1-possessor	singular-possessor	singular	neuter	animate	моё	моё	моего́	моём	моему́	мои́м 	#	my																				
		1-possessor	singular-possessor	singular	feminine	animate	моя́	мою́	мое́й 	мое́й 	мое́й 	мое́й 	#	my																				
		1-possessor	singular-possessor	plural		animate	мои́	мои́х 	мои́х 	мои́х 	мои́м	мои́ми 	#	my																				
		1-possessor	singular-possessor	singular	masculine	inanimate	мой	мой	моего́	моём	моему́	мои́м 	#	my																				
		1-possessor	singular-possessor	singular	neuter	inanimate	моё	моё	моего́	моём	моему́	мои́м 	#	my																				
		1-possessor	singular-possessor	singular	feminine	inanimate	моя́	мою́	мое́й 	мое́й 	мое́й 	мое́й 	#	my																				
		1-possessor	singular-possessor	plural		inanimate	мои́	мои́	мои́х 	мои́х 	мои́м	мои́ми 	#	my																				
													#																					
		2-possessor	singular-possessor	singular	masculine	animate	твой	твоего́	твоего́	твоём	твоему́	твои́м 	#	your																				
		2-possessor	singular-possessor	singular	neuter	animate	твоё	твоё	твоего́	твоём	твоему́	твои́м 	#	your																				
		2-possessor	singular-possessor	singular	feminine	animate	твоя́	твою́	твое́й 	твое́й 	твое́й 	твое́й 	#	your																				
		2-possessor	singular-possessor	plural		animate	твои́	твои́х 	твои́х 	твои́х 	твои́м	твои́ми 	#	your																				
		2-possessor	singular-possessor	singular	masculine	inanimate	твой	твой	твоего́	твоём	твоему́	твои́м 	#	your																				
		2-possessor	singular-possessor	singular	neuter	inanimate	твоё	твоё	твоего́	твоём	твоему́	твои́м 	#	your																				
		2-possessor	singular-possessor	singular	feminine	inanimate	твоя́	твою́	твое́й 	твое́й 	твое́й 	твое́й 	#	your																				
		2-possessor	singular-possessor	plural		inanimate	твои́	твои́	твои́х 	твои́х 	твои́м	твои́ми 	#	your																				
													#																					
		1-possessor	plural-possessor	singular	masculine	animate	наш	на́шего	на́шего	на́шем	на́шему	на́шим	#	our																				
		1-possessor	plural-possessor	singular	neuter	animate	на́ше	на́ше	на́шего	на́шем	на́шему	на́шим	#	our																				
		1-possessor	plural-possessor	singular	feminine	animate	на́ша	на́шу	на́шей	на́шей	на́шей	на́шей	#	our																				
		1-possessor	plural-possessor	plural		animate	на́ши	на́ших 	на́ших 	на́ших 	на́шим	на́шими 	#	our																				
		1-possessor	plural-possessor	singular	masculine	inanimate	наш	наш	на́шего	на́шем	на́шему	на́шим	#	our																				
		1-possessor	plural-possessor	singular	neuter	inanimate	на́ше	на́ше	на́шего	на́шем	на́шему	на́шим	#	our																				
		1-possessor	plural-possessor	singular	feminine	inanimate	на́ша	на́шу	на́шей	на́шей	на́шей	на́шей	#	our																				
		1-possessor	plural-possessor	plural		inanimate	на́ши	на́ши	на́ших 	на́ших 	на́шим	на́шими 	#	our																				
													#																					
		2-possessor	plural-possessor	singular	masculine	animate	ваш	ва́шего	ва́шего	ва́шем	ва́шему	ва́шим	#	all your																				
		2-possessor	plural-possessor	singular	neuter	animate	ва́ше	ва́ше	ва́шего	ва́шем	ва́шему	ва́шим	#	all your																				
		2-possessor	plural-possessor	singular	feminine	animate	ва́ша	ва́шу	ва́шей	ва́шей	ва́шей	ва́шей	#	all your																				
		2-possessor	plural-possessor	plural		animate	ва́ши	ва́ших 	ва́ших 	ва́ших 	ва́шим	ва́шими 	#	all your																				
		2-possessor	plural-possessor	singular	masculine	inanimate	ваш	ваш	ва́шего	ва́шем	ва́шему	ва́шим	#	all your																				
		2-possessor	plural-possessor	singular	neuter	inanimate	ва́ше	ва́ше	ва́шего	ва́шем	ва́шему	ва́шим	#	all your																				
		2-possessor	plural-possessor	singular	feminine	inanimate	ва́ша	ва́шу	ва́шей	ва́шей	ва́шей	ва́шей	#	all your																				
		2-possessor	plural-possessor	plural		inanimate	ва́ши	ва́ши	ва́ших 	ва́ших 	ва́шим	ва́шими 	#	all your																				
													#																					
#	reflexive			singular	masculine	animate	свой	своего́	своего́	своём	своему́	свои́м 	#	one's own																				
#	reflexive			singular	neuter	animate	своё	своё	своего́	своём	своему́	свои́м 	#	one's own																				
#	reflexive			singular	feminine	animate	своя́	свою́	свое́й 	свое́й 	свое́й 	свое́й 	#	one's own																				
#	reflexive			plural		animate	свои́	свои́х 	свои́х 	свои́х 	свои́м	свои́ми 	#	one's own																				
#	reflexive			singular	masculine	inanimate	свой	свой	своего́	своём	своему́	свои́м 	#	one's own																				
#	reflexive			singular	neuter	inanimate	своё	своё	своего́	своём	своему́	свои́м 	#	one's own																				
#	reflexive			singular	feminine	inanimate	своя́	свою́	свое́й 	свое́й 	свое́й 	свое́й 	#	one's own																				
#	reflexive			plural		inanimate	свои́	свои́	свои́х 	свои́х 	свои́м	свои́ми 	#	one's own																				
#													#																					
#	interrogative			singular	masculine	animate	чей	чьего́	чьего́	чьему́	чьим	чьём	#	whose																				
#	interrogative			singular	neuter	animate	чьё	чьё	чьего́	чьему́	чьим	чьём	#	whose																				
#	interrogative			singular	feminine	animate	чья	чью	чьей	чьей	чьей	чьей	#	whose																				
#	interrogative			plural		animate	чьи	чьих	чьих	чьим	чьи́ми	чьих 	#	whose																				
#	interrogative			singular	masculine	inanimate	чей	чей	чьего́	чьему́	чьим	чьём	#	whose																				
#	interrogative			singular	neuter	inanimate	чьё	чьё	чьего́	чьему́	чьим	чьём	#	whose																				
#	interrogative			singular	feminine	inanimate	чья	чью	чьей	чьей	чьей	чьей	#	whose																				
#	interrogative			plural		inanimate	чьи	чьи	чьих	чьим	чьи́ми	чьих 	#	whose																				
