*	*	*	*	nominative	vocative	accusative	genitive	prepositional	dative	instrumental	#
tall	inanimate	singular	neuter	высо́кое	высо́кое	высо́кое	высо́кого	высо́ком	высо́кому	высо́ким	#
tall	inanimate	singular	feminine	высо́кая	высо́кая	высо́кую	высо́кой	высо́кой	высо́кой	высо́кой	#
tall	inanimate	plural		высо́кие	высо́кие	высо́кие	высо́ких 	высо́ких 	высо́ким	высо́кими 	#
good	animate	singular	masculine	хоро́ший	хоро́ший	хоро́шего	хоро́шего	хоро́шем	хоро́шему	хоро́шим	#
good	animate	singular	neuter	хоро́шее	хоро́шее	хоро́шее	хоро́шего	хоро́шем	хоро́шему	хоро́шим	#
good	animate	singular	feminine	хоро́шая	хоро́шая	хоро́шую	хоро́шей	хоро́шей	хоро́шей	хоро́шей	#
good	animate	plural		хоро́шие	хоро́шие	хоро́ших 	хоро́ших 	хоро́ших 	хоро́шим	хоро́шими 	#
good	inanimate	singular	masculine	хоро́ший	хоро́ший	хоро́ший	хоро́шего	хоро́шем	хоро́шему	хоро́шим	#
good	inanimate	singular	neuter	хоро́шее	хоро́шее	хоро́шее	хоро́шего	хоро́шем	хоро́шему	хоро́шим	#
good	inanimate	singular	feminine	хоро́шая	хоро́шая	хоро́шую	хоро́шей	хоро́шей	хоро́шей	хоро́шей	#
good	inanimate	plural		хоро́шие	хоро́шие	хоро́шие	хоро́ших 	хоро́ших 	хоро́шим	хоро́шими 	#
big	animate	singular	masculine	большо́й	большо́й	большо́го	большо́го	большо́м	большо́му	больши́м	#
big	animate	singular	neuter	большо́е	большо́е	большо́е	большо́го	большо́м	большо́му	больши́м	#
big	animate	singular	feminine	больша́я	больша́я	большу́ю	большо́й	большо́й	большо́й	большо́й	#
big	animate	plural		больши́е	больши́е	больши́х 	больши́х 	больши́х 	больши́м	больши́ми 	#
big	inanimate	singular	masculine	большо́й	большо́й	большо́й	большо́го	большо́м	большо́му	больши́м	#
big	inanimate	singular	neuter	большо́е	большо́е	большо́е	большо́го	большо́м	большо́му	больши́м	#
big	inanimate	singular	feminine	больша́я	больша́я	большу́ю	большо́й	большо́й	большо́й	большо́й	#
big	inanimate	plural		больши́е	больши́е	больши́е	больши́х 	больши́х 	больши́м	больши́ми 	#
#mom's	animate	singular	masculine	ма́мин	ма́мин	ма́миного,  ма́мина	ма́миного,  ма́мина	ма́мином	ма́миному,  ма́мину	ма́миным	#
#mom's	animate	singular	neuter	ма́мино	ма́мино	ма́мино	ма́миного,  ма́мина	ма́мином	ма́миному,  ма́мину	ма́миным	#
#mom's	animate	singular	feminine	ма́мина	ма́мина	ма́мину	ма́миной	ма́миной	ма́миной	ма́миной	#
#mom's	animate	plural		ма́мины	ма́мины	ма́миных 	ма́миных 	ма́миных 	ма́миным	ма́миными 	#
#mom's	inanimate	singular	masculine	ма́мин	ма́мин	ма́мин	ма́миного,  ма́мина	ма́мином	ма́миному,  ма́мину	ма́миным	#
#mom's	inanimate	singular	neuter	ма́мино	ма́мино	ма́мино	ма́миного,  ма́мина	ма́мином	ма́миному,  ма́мину	ма́миным	#
