verb 	 ser 	 14812665 	 to be 	 to be 	 get; be
noun 	 de 	 12230593 	 water 	  	 mass noun; dee; water
preposition 	 de 	 12218247 	 off; from; about 	  	 from; off; about; of; out of
particle 	 que 	 12131641 	  	 to 	 
preposition 	 que 	 12131641 	 than 	  	 than
pronoun 	 que 	 12131641 	 who; that 	 who; that 	 which; that
conjunction 	 que 	 12131641 	 that 	 that 	 that
adverb 	 no 	 10444550 	 not 	 not 	 not
interjection 	 no 	 10444550 	 eh 	 eh? 	 eh
pronoun 	 ella 	 9603814 	 she, her 	 she, her 	 her; it; she
preposition 	 a 	 8038631 	 at; for; to 	  	 to; at; for
pronoun 	 él 	 7091742 	 him; he; it 	 he, him, masculine personal third person subject and disjunctive pronoun 	 he; it; him
conjunction 	 y 	 6044670 	 and 	 and 	 and
noun 	 e 	 5897102 	 e 	 nodot=1; east 	 e
preposition 	 en 	 5770082 	 into; at; on 	  	 at; on; upon; into; in
verb 	 estar 	 5327785 	 to be 	 to be . Compare ser, quedar 	 be; remain
pronoun 	 yo 	 4935816 	 me; i 	  	 me; i
adjective 	 un 	 4759154 	 one 	 uno one 	 one
verb 	 saber 	 4728733 	 to know 	 to know 	 taste; be able to; know
verb 	 ir 	 4642160 	 to go 	 to go 	 attend; blow; go over
verb 	 haber 	 4010692 	 to be 	 to have 	 be; there be
preposition 	 por 	 3748676 	 times; around; after 	  	 by; per; after; via; about; along; down; for; around; with; times; out of
adjective 	 qué 	 3490218 	 what 	 what; which interrogative only 	 what
pronoun 	 qué 	 3490218 	 what 	 what interrogative only 	 what
adverb 	 qué 	 3490218 	 how 	 what a; such 	 how
pronoun 	 tú 	 3320955 	 you 	 Second person pronoun in singular tense . you; thou 	 thou; you
adjective 	 uno 	 3255762 	  	  	 
pronoun 	 una 	 3255762 	 one 	 one 	 one; they
noun 	 una 	 3255762 	  	  	 
pronoun 	 éste 	 3167322 	 this one 	 this one 	 this one
pronoun 	 ellos 	 3129983 	 they 	 they, them  groups of neuter nouns) 	 they
verb 	 tener 	 2652512 	 to hold 	 to have, possess 	 hold
pronoun 	 se 	 2578296 	 one; they; you 	 usted and ustedes) reflexive direct or indirect object oneself, himself, herself, itself, yourself; each other; one another 	 each other; you; themselves; itself; they; herself; yourselves; one; yourself
noun 	 te 	 2560988 	  	  	 
preposition 	 con 	 2558479 	 with 	  	 with
preposition 	 para 	 2388336 	 by; for; to 	  	 by; to; as for; for; toward
adjective 	 mi 	 2367179 	  	 mío, my 	 
adjective 	 su 	 2178283 	  	 suyo His, her, its, one's, their 	 
verb 	 poder 	 2113357 	 to may; to can 	 to be able, can 	 can; be able to; may
noun 	 mi 	 2041140 	  	 mu; the Greek letter 	 
conjunction 	 si 	 1993102 	 if 	 if 	 if only; if; whether
noun 	 pero 	 1987226 	 but 	 but 	 kink
