		possession-plurality							singular	singular	singular	plural	plural	plural	singular	singular	singular	plural	plural	plural		possessive pronouns are kept separate from the other pronouns and are only to be studied if you hate yourself
		possession-gender	masculine	feminine	neuter	masculine	feminine	neuter	masculine	feminine	neuter	masculine	feminine	neuter	masculine	feminine	neuter	masculine	feminine	neuter		
possessor-person	possessor-plurality	possessor-gender	nominative	nominative	nominative	accusative	accusative	accusative	genitive	genitive	genitive	genitive	genitive	genitive	ablative	ablative	ablative	ablative	ablative	ablative	reflexive	
1	singular		meus	mea	meum	meum	meam	meum	meō	meae	meō	meīs	meīs	meīs	meō	meae	meō	meīs	meīs	meīs		
1	plural		noster	nostra	nostrum	nostrum	nostram	nostrum	nostrō	nostrae	nostrō	nostrīs	nostrīs	nostrīs	nostrō	nostrae	nostrō	nostrīs	nostrīs	nostrīs		
2	singular		tuus	tua	tuum	tuum	tuam	tuum	tuō	tuae	tuō	tuīs	tuīs	tuīs	tuō	tuae	tuō	tuīs	tuīs	tuīs		
2	plural		vester	vestra	vestrum	vestrum	vestram	vestrum	vestrō	vestrae	vestrō	vestrīs	vestrīs	vestrīs	vestrō	vestrā	vestrō	vestrīs	vestrīs	vestrīs		
3	singular		eius	eius	eius	eius	eius	eius	eius	eius	eius	eius	eius	eius	eius	eius	eius	eius	eius	eius	suum	
3	plural	masculine	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	suos	
3	plural	feminine	eārum	eārum	eārum	eārum	eārum	eārum	eārum	eārum	eārum	eārum	eārum	eārum	eārum	eārum	eārum	eārum	eārum	eārum	suas	
3	plural	neuter	"eōrum	"	"eōrum	"	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	eōrum	sua	
																						
																						
																						
