                                            
#                                           	possessive pronouns are kept separate from the other pronouns and are only to be studied if you hate yourself
                                            
# possesive, nominative, masculine, singular
my friend♂ is over there                    	amīcus meus est illunc                                                               
our friend♂ is over there                   	amīcus noster est illunc                                                             
your friend♂ is over there                  	amīcus tuus est illunc                                                               
all of your friend♂ is over there           	amīcus vester est illunc                                                             
his friend♂ is over there                   	amīcus eius est illunc                                                               
her friend♂ is over there                   	amīcus eius est illunc                                                               
its friend♂ is over there                   	amīcus eius est illunc                                                               
their♂ friend♂ is over there                	amīcus eōrum est illunc                                                              
their♀ friend♂ is over there                	amīcus eārum est illunc                                                              
their⚲ friend♂ is over there                	amīcus eōrum est illunc                                                              
                                            
# possesive, nominative, feminine, singular 
my friend♀ is over there                    	amīcam mea est illanc                                                                
our friend♀ is over there                   	amīcam nostra est illanc                                                             
your friend♀ is over there                  	amīcam tua est illanc                                                                
you guys♀' friend is over there             	amīcam vestra est illanc                                                             
his friend♀ is over there                   	amīcam eius est illanc                                                               
her friend♀ is over there                   	amīcam eius est illanc                                                               
its friend♀ is over there                   	amīcam eius est illanc                                                               
their♂ friend♀ is over there                	amīcam eōrum est illanc                                                              
their♀ friend♀ is over there                	amīcam eārum est illanc                                                              
their⚲ friend♀ is over there                	amīcam eōrum est illanc                                                              
                                            
# possesive, nominative, neutral, singular  
my possession⚲ is over there                	possessiō meum est illuc                                                             
our possession⚲ is over there               	possessiō nostrum est illuc                                                          
your possession⚲ is over there              	possessiō tuum est illuc                                                             
all of your possession⚲ is over there       	possessiō vestrum est illuc                                                          
his possession⚲ is over there               	possessiō eius est illuc                                                             
her possession⚲ is over there               	possessiō eius est illuc                                                             
its possession⚲ is over there               	possessiō eius est illuc                                                             
their♂ possession⚲ is over there            	possessiō eōrum est illuc                                                            
their♀ possession⚲ is over there            	possessiō eārum est illuc                                                            
their⚲ possession⚲ is over there            	possessiō eōrum est illuc                                                            
                                            
                                            
# possesive, accusative, masculine, singular
he is my friend                             	is est amīcum meum                                                                   
he is our friend                            	is est amīcum nostrum                                                                
he is your friend                           	is est amīcum tuum                                                                   
he is all of your friend                    	is est amīcum vestrum                                                                
he is his friend                            	is est amīcum eius                                                                   
