*	*	*	*	possessive
1st-possessor	singular-possessor		         	mein      
2nd-possessor	singular-possessor	familiar-possessor	         	dein      
2nd-possessor	singular-possessor	polite-possessor	masculine	sein      
3rd-possessor	singular-possessor		masculine	sein      
3rd-possessor	singular-possessor		feminine 	ihr       
3rd-possessor	singular-possessor		neuter   	sein      
1st-possessor	plural-possessor		neuter   	unser     
2nd-possessor	singular-possessor	elevated-possessor	neuter   	Euer      
2nd-possessor	plural-possessor	elevated-possessor	neuter   	Euer      
2nd-possessor	plural-possessor	familiar-possessor	neuter   	euer      
2nd-possessor	singular-possessor	polite-possessor	neuter   	Ihr       
2nd-possessor	plural-possessor	polite-possessor	neuter   	Ihr       
3rd-possessor	plural-possessor		neuter   	ihr       
