*	*	*	*	Preterite 	Perfect 	Present	Imperative 	Stative 
decide	1	singular		aprus	aptaras	aparras		parsāku
decide	1	plural 		niprus	niptaras	niparras		parsānu
decide	2	singular	masculine	taprus	taptaras	taparras	purus	parsāta
decide	2	singular	feminine	taprusī	taptarsī (< *taptarasī)	taparrasī	pursi	parsāti
decide	2	plural	masculine	taprusā	taptarsā	taparrasā	pursa	parsātunu (masc.) /
decide	2	plural	feminine	taprusā	taptarsā	taparrasā	pursa	parsātina (fem.)
decide	3	singular	masculine	iprus	iptaras	iparras		paris (masc.) /
decide	3	singular	feminine	iprus	iptaras	iparras		parsat (fem.)
decide	3	plural	masculine	iprusū	iptarsū (< *iptarasū)	iparrasū		parsū
decide	3	plural	feminine	iprusā	iptarsā (< *iptarasā)	iparrasā		parsā 
