animal	Bare formsCaseSingularPluralNominativeainmhíainmhitheVocativea ainmhía ainmhitheGenitiveainmhíainmhitheDativeainmhíainmhithe	case	singular	plural	Nominative	ainmhí	ainmhithe	Vocative	a ainmhí	a ainmhithe	Genitive	ainmhí	ainmhithe	Dative	ainmhí	ainmhithe	Forms with the definite articleCaseSingularPluralNominativean t-ainmhína hainmhitheGenitivean ainmhína n-ainmhitheDativeleis an ainmhídon ainmhíleis na hainmhithe	case	singular	plural	Nominative	an t-ainmhí	na hainmhithe	Genitive	an ainmhí	na n-ainmhithe	Dative	leis an ainmhídon ainmhí	leis na hainmhithe
animal	case	singular	plural																										
animal	Nominative	ainmhí	ainmhithe																										
animal	Vocative	a ainmhí	a ainmhithe																										
animal	Genitive	ainmhí	ainmhithe																										
animal	Dative	ainmhí	ainmhithe																										
animal	case	singular	plural																										
animal	Nominative	an t-ainmhí	na hainmhithe																										
animal	Genitive	an ainmhí	na n-ainmhithe																										
animal	Dative	leis an ainmhídon ainmhí	leis na hainmhithe																										
attention	Bare forms (no plural form of this noun)CaseSingularNominativeaoidhVocativea aoidhGenitiveaoidheDativeaoidh	case	singular	Nominative	aoidh	Vocative	a aoidh	Genitive	aoidhe	Dative	aoidh	Forms with the definite articleCaseSingularNominativean aoidhGenitivena haoidheDativeleis an aoidhdon aoidh	case	singular	Nominative	an aoidh	Genitive	na haoidhe	Dative	leis an aoidhdon aoidh
attention	case	singular																		
attention	Nominative	aoidh																		
attention	Vocative	a aoidh																		
attention	Genitive	aoidhe																		
attention	Dative	aoidh																		
attention	case	singular																		
attention	Nominative	an aoidh																		
attention	Genitive	na haoidhe																		
attention	Dative	leis an aoidhdon aoidh																		
bird	Bare forms:CaseSingularPluralNominativeéanéinVocativea éina éanaGenitiveéinéanDativeéanéin	case	singular	plural	nominative	éan	éin	vocative	a éin	a éana	genitive	éin	éan	dative	éan	éin	Forms with the definite article:CaseSingularPluralNominativean t-éanna héinGenitivean éinna n-éanDativeleis an éandon éanleis na héin	case	singular	plural	nominative	an t-éan	na héin	genitive	an éin	na n-éan	dative	leis an éandon éan	leis na héin
bird	case	singular	plural																										
bird	nominative	éan	éin																										
bird	vocative	a éin	a éana																										
bird	genitive	éin	éan																										
bird	dative	éan	éin																										
bird	case	singular	plural																										
bird	nominative	an t-éan	na héin																										
bird	genitive	an éin	na n-éan																										
bird	dative	leis an éandon éan	leis na héin																										
boat	Bare forms:CaseSingularPluralNominativebádbáidVocativea bháida bhádaGenitivebáidbádDativebádbáid	case	singular	plural	nominative	bád	báid	vocative	a bháid	a bháda	genitive	báid	bád	dative	bád	báid	Forms with the definite article:CaseSingularPluralNominativean bádna báidGenitivean bháidna mbádDativeleis an mbáddon bhádleis na báid	case	singular	plural	nominative	an bád	na báid	genitive	an bháid	na mbád	dative	leis an mbáddon bhád	leis na báid
boat	case	singular	plural																										
boat	nominative	bád	báid																										
boat	vocative	a bháid	a bháda																										
boat	genitive	báid	bád																										
boat	dative	bád	báid																										
boat	case	singular	plural																										
boat	nominative	an bád	na báid																										
boat	genitive	an bháid	na mbád																										
boat	dative	leis an mbáddon bhád	leis na báid																										
book	Bare forms:CaseSingularPluralNominativeleabharleabhairVocativea leabhaira leabharaGenitiveleabhairleabharDativeleabharleabhair	case	singular	plural	nominative	leabhar	leabhair	vocative	a leabhair	a leabhara	genitive	leabhair	leabhar	dative	leabhar	leabhair	Forms with the definite article:CaseSingularPluralNominativean leabharna leabhairGenitivean leabhairna leabharDativeleis an leabhardon leabharleis na leabhair	case	singular	plural	nominative	an leabhar	na leabhair	genitive	an leabhair	na leabhar	dative	leis an leabhardon leabhar	leis na leabhair
book	case	singular	plural																										
book	nominative	leabhar	leabhair																										
book	vocative	a leabhair	a leabhara																										
book	genitive	leabhair	leabhar																										
book	dative	leabhar	leabhair																										
book	case	singular	plural																										
book	nominative	an leabhar	na leabhair																										
book	genitive	an leabhair	na leabhar																										
book	dative	leis an leabhardon leabhar	leis na leabhair																										
book		singular	singular	plural (m/f)	plural (m/f)
book	positive	masculine	feminine	(strong noun)	(weak noun)
book	Nominative	leabhar	leabhar	leabhara	leabhara
book	Vocative	leabhair	leabhar	leabhara	leabhara
book	Genitive	leabhair	leabhaire	leabhara	leabhar
book	Dative	leabhar	leabhar;leabhair (archaic)	leabhara	leabhara
book	comparative	níos leabhaire	níos leabhaire	níos leabhaire	níos leabhaire
book	superlative	is leabhaire	is leabhaire	is leabhaire	is leabhaire
book	Bare forms:CaseSingularPluralNominativeleabharleabhairVocativea leabhaira leabharaGenitiveleabhairleabharDativeleabharleabhair	case	singular	plural	nominative	leabhar	leabhair	vocative	a leabhair	a leabhara	genitive	leabhair	leabhar	dative	leabhar	leabhair	Forms with the definite article:CaseSingularPluralNominativean leabharna leabhairGenitivean leabhairna leabharDativeleis an leabhardon leabharleis na leabhair	case	singular	plural	nominative	an leabhar	na leabhair	genitive	an leabhair	na leabhar	dative	leis an leabhardon leabhar	leis na leabhair
book	case	singular	plural																										
book	nominative	leabhar	leabhair																										
book	vocative	a leabhair	a leabhara																										
book	genitive	leabhair	leabhar																										
book	dative	leabhar	leabhair																										
book	case	singular	plural																										
book	nominative	an leabhar	na leabhair																										
book	genitive	an leabhair	na leabhar																										
book	dative	leis an leabhardon leabhar	leis na leabhair																										
brother	Bare formsCaseSingularPluralNominativedeartháirdeartháireachaVocativea dheartháira dheartháireachaGenitivedearthárdeartháireachaDativedeartháirdeartháireacha	case	singular	plural	Nominative	deartháir	deartháireacha	Vocative	a dheartháir	a dheartháireacha	Genitive	dearthár	deartháireacha	Dative	deartháir	deartháireacha	Forms with the definite articleCaseSingularPluralNominativean deartháirna deartháireachaGenitivean dearthárna ndeartháireachaDativeleis an deartháirdon deartháirleis na deartháireacha	case	singular	plural	Nominative	an deartháir	na deartháireacha	Genitive	an dearthár	na ndeartháireacha	Dative	leis an deartháirdon deartháir	leis na deartháireacha
brother	case	singular	plural																										
brother	Nominative	deartháir	deartháireacha																										
brother	Vocative	a dheartháir	a dheartháireacha																										
brother	Genitive	dearthár	deartháireacha																										
brother	Dative	deartháir	deartháireacha																										
brother	case	singular	plural																										
brother	Nominative	an deartháir	na deartháireacha																										
brother	Genitive	an dearthár	na ndeartháireacha																										
brother	Dative	leis an deartháirdon deartháir	leis na deartháireacha																										
bug	Bare formsCaseSingularPluralNominativefeithidfeithidíVocativea fheithida fheithidíGenitivefeithidefeithidíDativefeithidfeithidí	case	singular	plural	Nominative	feithid	feithidí	Vocative	a fheithid	a fheithidí	Genitive	feithide	feithidí	Dative	feithid	feithidí	Forms with the definite articleCaseSingularPluralNominativean fheithidna feithidíGenitivena feithidena bhfeithidíDativeleis an bhfeithiddon fheithidleis na feithidí	case	singular	plural	Nominative	an fheithid	na feithidí	Genitive	na feithide	na bhfeithidí	Dative	leis an bhfeithiddon fheithid	leis na feithidí
bug	case	singular	plural																										
bug	Nominative	feithid	feithidí																										
bug	Vocative	a fheithid	a fheithidí																										
bug	Genitive	feithide	feithidí																										
bug	Dative	feithid	feithidí																										
bug	case	singular	plural																										
bug	Nominative	an fheithid	na feithidí																										
bug	Genitive	na feithide	na bhfeithidí																										
bug	Dative	leis an bhfeithiddon fheithid	leis na feithidí																										
clothing	Bare forms:CaseSingularPluralNominativeéadachéadaíVocativea éadaigha éadaíGenitiveéadaighéadaíDativeéadachéadaí	case	singular	plural	nominative	éadach	éadaí	vocative	a éadaigh	a éadaí	genitive	éadaigh	éadaí	dative	éadach	éadaí	Forms with the definite article:CaseSingularPluralNominativean t-éadachna héadaíGenitivean éadaighna n-éadaíDativeleis an éadachdon éadachleis na héadaí	case	singular	plural	nominative	an t-éadach	na héadaí	genitive	an éadaigh	na n-éadaí	dative	leis an éadachdon éadach	leis na héadaí
clothing	case	singular	plural																										
clothing	nominative	éadach	éadaí																										
clothing	vocative	a éadaigh	a éadaí																										
clothing	genitive	éadaigh	éadaí																										
clothing	dative	éadach	éadaí																										
clothing	case	singular	plural																										
clothing	nominative	an t-éadach	na héadaí																										
clothing	genitive	an éadaigh	na n-éadaí																										
clothing	dative	leis an éadachdon éadach	leis na héadaí																										
daughter	Bare formsCaseSingularPluralNominativeiníoniníonachaVocativea iníona iníonachaGenitiveiníneiníonachaDativeiníoninín (archaic, dialectal)iníonacha	case	singular	plural	Nominative	iníon	iníonacha	Vocative	a iníon	a iníonacha	Genitive	iníne	iníonacha	Dative	iníoninín (archaic, dialectal)	iníonacha	Forms with the definite articleCaseSingularPluralNominativean iníonna hiníonachaGenitivena hinínena n-iníonachaDativeleis an iníonleis an inín (archaic, dialectal)don iníondon inín (archaic, dialectal)leis na hiníonacha	case	singular	plural	Nominative	an iníon	na hiníonacha	Genitive	na hiníne	na n-iníonacha	Dative	leis an iníonleis an inín (archaic, dialectal)don iníondon inín (archaic, dialectal)	leis na hiníonacha
daughter	case	singular	plural																										
daughter	Nominative	iníon	iníonacha																										
daughter	Vocative	a iníon	a iníonacha																										
daughter	Genitive	iníne	iníonacha																										
daughter	Dative	iníoninín (archaic, dialectal)	iníonacha																										
daughter	case	singular	plural																										
daughter	Nominative	an iníon	na hiníonacha																										
daughter	Genitive	na hiníne	na n-iníonacha																										
daughter	Dative	leis an iníonleis an inín (archaic, dialectal)don iníondon inín (archaic, dialectal)	leis na hiníonacha																										
dog	Bare forms:CaseSingularPluralNominativegadhargadhairVocativea ghadhaira ghadharaGenitivegadhairgadharDativegadhargadhair	case	singular	plural	nominative	gadhar	gadhair	vocative	a ghadhair	a ghadhara	genitive	gadhair	gadhar	dative	gadhar	gadhair	Forms with the definite article:CaseSingularPluralNominativean gadharna gadhairGenitivean ghadhairna ngadharDativeleis an ngadhardon ghadharleis na gadhair	case	singular	plural	nominative	an gadhar	na gadhair	genitive	an ghadhair	na ngadhar	dative	leis an ngadhardon ghadhar	leis na gadhair
dog	case	singular	plural																										
dog	nominative	gadhar	gadhair																										
dog	vocative	a ghadhair	a ghadhara																										
dog	genitive	gadhair	gadhar																										
dog	dative	gadhar	gadhair																										
dog	case	singular	plural																										
dog	nominative	an gadhar	na gadhair																										
dog	genitive	an ghadhair	na ngadhar																										
