				nominative	nominative	accusative	accusative	instrumental	instrumental	dative	dative	ablative	ablative	genitive	genitive	locative	locative	
determiner	medial	feminine	plural	इमाः	imāḥ	इमाः	imāḥ	आभिः	ābhiḥ	आभ्यः	ābhyaḥ	आभ्यः	ābhyaḥ	आसाम्	āsām	आसु	āsu	
determiner	medial	neuter	singular	इदम्	idam	इदम्	idam											
determiner	medial	neuter	dual	इमे	ime	इमे	ime											
determiner	medial	neuter	plural	इमानि	imāni	इमानि	imāni											
determiner	distal	masculine	singular	असौ	asau	अमुम्	amum	अमुना	amunā	अमुष्मै	amuṣmai	अमुष्मात्	amuṣmāt	अमुष्य	amuṣya	अमुष्मिन्	amuṣmin	
determiner	distal	masculine	dual	अमू	amū	अमू	amū	अमूभ्याम्	amūbhyām	अमूभ्याम्	amūbhyām	अमूभ्याम्	amūbhyām	अमुयोः	amuyoḥ	अमुयोः	amuyoḥ	
determiner	distal	masculine	plural	अमी	amī	अमून्	amūn	अमीभिः	amībhiḥ	अमीभ्यः	amībhyaḥ	अमीभ्यः	amībhyaḥ	अमीषाम्	amīṣām	अमीषु	amīṣu	
determiner	distal	feminine	singular	असौ	asau	अमूम्	amūm	अमुया	amuyā	अमुष्यै	amuṣyai	अमुष्याः	amuṣyāḥ	अमुष्याः	amuṣyāḥ	अमुष्याम्	amuṣyām	
determiner	distal	feminine	dual	अमू	amū	अमू	amū	अमूभ्याम्	amūbhyām	अमूभ्याम्	amūbhyām	अमूभ्याम्	amūbhyām	अमुयोः	amuyoḥ	अमुयोः	amuyoḥ	
determiner	distal	feminine	plural	अमूः	amūḥ	अमूः	amūḥ	अमूभिः	amūbhiḥ	अमूभ्यः	amūbhyaḥ	अमूभ्यः	amūbhyaḥ	अमूषाम्	amūṣām	अमूषु	amūṣu	
determiner	distal	neuter	singular	अदः	adaḥ	अदः	adaḥ											
determiner	distal	neuter	dual	अमू	amū	अमू	amū											
determiner	distal	neuter	plural	अमूनि	amūni	अमूनि	amūni											
interrogative		masculine	singular		kaḥ		kam		kena		kasmai		kasmāt		kasya		kasmin	
interrogative		masculine	dual		kau		kau		kābhyām		kābhyām		kābhyām		kayoḥ		kayoḥ	
interrogative		masculine	plural		ke		kān		kaiḥ		kebhyaḥ		kebhyaḥ		keṣām		keṣu	
interrogative		feminine	singular		kā		kām		kayā		kasyai		kasyāḥ		kasyāḥ		kasyām	
interrogative		feminine	dual		ke		ke		kābhyām		kābhyām		kābhyām		kayoḥ		kayoḥ	
interrogative		feminine	plural		kāḥ		kāḥ		kābhiḥ		kābhyaḥ		kābhyaḥ		kāsām		kāsu	
interrogative		neuter	singular		kim		kim											
interrogative		neuter	dual		ke		ke											
interrogative		neuter	plural		kāni		kāni											
interrogative		masculine	singular		yaḥ		yam		yena		yasmai		yasmāt		yasya		yasmin	
interrogative		masculine	dual		yau		yau		yābhyām		yābhyām		yābhyām		yayoḥ		yayoḥ	
interrogative		masculine	plural		ye		yān		yaiḥ		yebhyaḥ		yebhyaḥ		yeṣām		yeṣu	
interrogative		feminine	singular		yā		yām		yayā		yasyai		yasyāḥ		yasyāḥ		yasyām	
interrogative		feminine	dual		ye		ye		yābhyām		yābhyām		yābhyām		yayoḥ		yayoḥ	
interrogative		feminine	plural		yāḥ		yāḥ		yābhiḥ		yābhyaḥ		yābhyaḥ		yāsām		yāsu	
interrogative		neuter	singular		yat		yat											
interrogative		neuter	dual		ye		ye											
interrogative		neuter	plural		yāni		yāni											
