person	plurality	gender	reflexivity	nominative	accusative	dative	genetive	ablative
1	single	neuter		ego	mē       	mihi  	meī        	mē    
1	plural	neuter		nōs	nōs	nōbīs 	nostrī     	nōbīs 
2	single	neuter		tū	tē       	tibi  	tuī        	tē    
2	plural	neuter		vōs	vōs      	vōbīs 	vestrī     	vōbīs 
								
3	single	male		is	eum	ea eī    	eius       	eō    
3	single	female		ea	eam	ea eī    	eius       	eā    
3	single	neuter		id	id	ea eī    	eius       	eō    
3	plural	male		ei	eōs      	ea eīs   	eōrum      	eīs   
3	plural	female		eae	eās      	ea eīs   	eārum      	eīs   
3	plural	neuter		ea	ea	ea eīs   	eōrum      	eīs   
								
3	single	male	reflexive		sēs      	id sibi  	suī       	sē    
3	single	female	reflexive		sēs      	id sibi  	suī       	sē    
3	single	neuter	reflexive		sēs      	id sibi  	suī       	sē    
3	plural	male	reflexive		sē      	id sibi 	suī       	sē    
3	plural	female	reflexive		sē      	id sibi	suī       	sē    
3	plural	neuter	reflexive		sē      	id sibi 	suī       	sē    
								
3	single	male	emphatic-reflexive		sēsēs    			sēsē 
3	single	female	emphatic-reflexive		sēsēs    			sēsē 
3	single	neuter	emphatic-reflexive		sēsēs    			sēsē 
3	plural	male	emphatic-reflexive		sēsē			sēsē 
3	plural	female	emphatic-reflexive		sēsē			sēsē 
3	plural	neuter	emphatic-reflexive		sēsē			sēsē 
								
