#			mood->	indicative	indicative	indicative	indicative	indicative	indicative	subjunctive	subjunctive	subjunctive	subjunctive	imperative	imperative										
#			tense->	present	past	future	present	past	future	present	past	present	past	present	future										
#verb	voice	person	aspect->	aortist	imperfect	aortist	perfect	perfect	perfect	aortist	imperfect	perfect	perfect	simple	simple										
be	active	1	singular	sum	eram	erō	fuī	fueram	fuerō	sim	essem	fuerim	fuissem		estō	irregular									
be	active	2	singular	es	erās	eris	fuistī	fuerās	fuerīs	sīs	essēs	fuerīs	fuissēs	es	estō	irregular									
be	active	3	singular	est	erat	erit	fuit	fuerat	fuerit	sit	esset	fuerit	fuisset		estō	irregular									
be	active	1	plural	sumus	erāmus	erimus	fuimus	fuerāmus	fuerīmus	sīmus	essēmus	fuerīmus	fuissēmus		estō	irregular									
be	active	2	plural	estis	erātis	eritis	fuistis	fuerātis	fuerītis	sītis	essētis	fuerītis	fuissētis	este	estōte	irregular									
be	active	3	plural	sunt	erant	erunt	fuērunt/fuēre	fuerant	fuerint	sint	essent	fuerint	fuissent		suntō	irregular									
be able	active	1	singular	possum	poteram	poterō	potuī	potueram	potuerō	possim	possem	potuerim	potuissem			irregular									
be able	active	2	singular	potes	poterās	poteris	potuistī	potuerās	potuerīs	possīs	possēs	potuerīs	potuissēs			irregular									
be able	active	3	singular	potest	poterat	poterit	potuit	potuerat	potuerit	possit	posset	potuerit	potuisset			irregular									
be able	active	1	plural	possumus	poterāmus	poterimus	potuimus	potuerāmus	potuerīmus	possīmus	possēmus	potuerīmus	potuissēmus			irregular									
be able	active	2	plural	potestis	poterātis	poteritis	potuistis	potuerātis	potuerītis	possītis	possētis	potuerītis	potuissētis			irregular									
be able	active	3	plural	possunt	poterant	poterunt	potuērunt/-ēre	potuerant	potuerint	possint	possent	potuerint	potuissent			irregular									
want	active	1	singular	volō	volēbam	volam	voluī	volueram	voluerō	velim	vellem	voluerim	voluissem			irregular									
want	active	2	singular	vīs	volēbās	volēs	voluistī	voluerās	voluerīs	velīs	vellēs	voluerīs	voluissēs			irregular									
want	active	3	singular	vult	volēbat	volet	voluit	voluerat	voluerit	velit	vellet	voluerit	voluisset			irregular									
want	active	1	plural	volumus	volēbāmus	volēmus	voluimus	voluerāmus	voluerīmus	velīmus	vellēmus	voluerīmus	voluissēmus			irregular									
want	active	2	plural	vultis	volēbātis	volētis	voluistis	voluerātis	voluerītis	velītis	vellētis	voluerītis	voluissētis			irregular									
want	active	3	plural	volunt	volēbant	volent	voluērunt/-ēre	voluerant	voluerint	velint	vellent	voluerint	voluissent			irregular									
go	active	1	singular	eō	ībam	ībō	iī/īvī	ieram	ierō	eam	īrem	ierim	īssem			irregular									
go	active	2	singular	īs	ībās	ībis	iistī	ierās	ierīs	eās	īrēs	ierīs	īssēs	ī	ītō	irregular									
go	active	3	singular	it	ībat	ībit	iit	ierat	ierit	eat	īret	ierit	īsset		ītō	irregular									
go	active	1	plural	īmus	ībāmus	ībimus	iimus	ierāmus	ierīmus	eāmus	īrēmus	ierīmus	īssēmus			irregular									
go	active	2	plural	ītis	ībātis	ībitis	iistis	ierātis	ierītis	eātis	īrētis	ierītis	īssētis	īte	ītōte 	irregular									
go	active	3	plural	eunt	ībant	ībunt	iērunt/iēre	ierant	ierint	eant	īrent	ierint	īssent		euntō	irregular									
go	passive	1	singular	eor	ībar	ībor 	itus sum	itus eram	itus erō	eam 	īrem 	ierim 	īssem 			irregular									
