*	*	*	*	1	2	2	2	3	1	2	2	3
*	*	*	*	singular	singular	singular	singular	singular	plural	plural	plural	plural
*	*	*	*		informal	informal	formal			informal	formal	
*	*	*	*		tuteo	voseo						
appear	indicative	present		aparezco	apareces	aparecés	aparece	aparece	aparecemos	aparecéis	aparecen	aparecen
appear	indicative	past	imperfective	aparecía	aparecías	aparecías	aparecía	aparecía	aparecíamos	aparecíais	aparecían	aparecían
appear	indicative	past	perfective	aparecí	apareciste	apareciste	apareció	apareció	aparecimos	aparecisteis	aparecieron	aparecieron
appear	indicative	future		apareceré	aparecerás	aparecerás	aparecerá	aparecerá	apareceremos	apareceréis	aparecerán	aparecerán
appear	indicative	conditional		aparecería	aparecerías	aparecerías	aparecería	aparecería	apareceríamos	apareceríais	aparecerían	aparecerían
appear	subjunctive	present		aparezca	aparezcas	aparezcás	aparezca	aparezca	aparezcamos	aparezcáis	aparezcan	aparezcan
appear	subjunctive	past	imperfective	apareciera | apareciese	aparecieras | aparecieses	aparecieras | aparecieses	apareciera | apareciese	apareciera | apareciese	apareciéramos | apareciésemos	aparecierais | aparecieseis	aparecieran | apareciesen	aparecieran | apareciesen
appear	subjunctive	past	perfective	apareciere	aparecieres	aparecieres	apareciere	apareciere	apareciéremos	apareciereis	aparecieren	aparecieren
appear	imperative	affirmative			aparece	aparecé	aparezca	aparezca	aparezcamos	apareced	aparezcan	aparezcan
appear	imperative	negative			no aparezcas	no aparezcas	no aparezca	no aparezca	no aparezcamos	no aparezcáis	no aparezcan	no aparezcan
be-inherently	indicative	present		soy	eres	sos	es	es	somos	sois	son	son
be-inherently	indicative	past	imperfective	era	eras	eras	era	era	éramos	erais	eran	eran
be-inherently	indicative	past	perfective	fui	fuiste	fuiste	fue	fue	fuimos	fuisteis	fueron	fueron
be-inherently	indicative	future		seré	serás	serás	será	será	seremos	seréis	serán	serán
be-inherently	indicative	conditional		sería	serías	serías	sería	sería	seríamos	seríais	serían	serían
be-inherently	subjunctive	present		sea	seas	seás	sea	sea	seamos	seáis	sean	sean
be-inherently	subjunctive	past	imperfective	fuera | fuese	fueras | fueses	fueras | fueses	fuera | fuese	fuera | fuese	fuéramos | fuésemos	fuerais | fueseis	fueran | fuesen	fueran | fuesen
be-inherently	subjunctive	past	perfective	fuere	fueres	fueres	fuere	fuere	fuéremos	fuereis	fueren	fueren
be-inherently	imperative	affirmative			sé	sé	sea	sea	seamos	sed	sean	sean
be-inherently	imperative	negative			no seas	no seas	no sea	no sea	no seamos	no seáis	no sean	no sean
be-momentarily	indicative	present		estoy	estás	estás	está	está	estamos	estáis	están	están
be-momentarily	indicative	past	imperfective	estaba	estabas	estabas	estaba	estaba	estábamos	estabais	estaban	estaban
be-momentarily	indicative	past	perfective	estuve	estuviste	estuviste	estuvo	estuvo	estuvimos	estuvisteis	estuvieron	estuvieron
be-momentarily	indicative	future		estaré	estarás	estarás	estará	estará	estaremos	estaréis	estarán	estarán
be-momentarily	indicative	conditional		estaría	estarías	estarías	estaría	estaría	estaríamos	estaríais	estarían	estarían
be-momentarily	subjunctive	present		esté	estés	estés	esté	esté	estemos	estéis	estén	estén
be-momentarily	subjunctive	past	imperfective	estuviera | estuviese	estuvieras | estuvieses	estuvieras | estuvieses	estuviera | estuviese	estuviera | estuviese	estuviéramos | estuviésemos	estuvierais | estuvieseis	estuvieran | estuviesen	estuvieran | estuviesen
be-momentarily	subjunctive	past	perfective	estuviere	estuvieres	estuvieres	estuviere	estuviere	estuviéremos	estuviereis	estuvieren	estuvieren
be-momentarily	imperative	affirmative			está	está	esté	esté	estemos	estad	estén	estén
be-momentarily	imperative	negative			no estés	no estés	no esté	no esté	no estemos	no estéis	no estén	no estén
change	indicative	present		cambio	cambias	cambiás	cambia	cambia	cambiamos	cambiáis	cambian	cambian
change	indicative	past	imperfective	cambiaba	cambiabas	cambiabas	cambiaba	cambiaba	cambiábamos	cambiabais	cambiaban	cambiaban
change	indicative	past	perfective	cambié	cambiaste	cambiaste	cambió	cambió	cambiamos	cambiasteis	cambiaron	cambiaron
change	indicative	future		cambiaré	cambiarás	cambiarás	cambiará	cambiará	cambiaremos	cambiaréis	cambiarán	cambiarán
change	indicative	conditional		cambiaría	cambiarías	cambiarías	cambiaría	cambiaría	cambiaríamos	cambiaríais	cambiarían	cambiarían
change	subjunctive	present		cambie	cambies	cambiés	cambie	cambie	cambiemos	cambiéis	cambien	cambien
change	subjunctive	past	imperfective	cambiara | cambiase	cambiaras | cambiases	cambiaras | cambiases	cambiara | cambiase	cambiara | cambiase	cambiáramos | cambiásemos	cambiarais | cambiaseis	cambiaran | cambiasen	cambiaran | cambiasen
change	subjunctive	past	perfective	cambiare	cambiares	cambiares	cambiare	cambiare	cambiáremos	cambiareis	cambiaren	cambiaren
change	imperative	affirmative			cambia	cambiá	cambie	cambie	cambiemos	cambiad	cambien	cambien
change	imperative	negative			no cambies	no cambies	no cambie	no cambie	no cambiemos	no cambiéis	no cambien	no cambien
climb	indicative	present		escalo	escalas	escalás	escala	escala	escalamos	escaláis	escalan	escalan
climb	indicative	past	imperfective	escalaba	escalabas	escalabas	escalaba	escalaba	escalábamos	escalabais	escalaban	escalaban
