	code	name	latitude	longitude	genus	family	Vso	Vso2	Vom	Vson	Vson2	Vn	Vsoq	Vsow	Vsow2	Np	Nr	Ng	Nd	Nn	Na
10	acg	Achagua	4.41666666667	-72.25	Japura-Colombia	Arawakan	SVO			SNegVO		NegV		Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun			Noun-Adjective
11	acl	Acholi	3.0	32.6666666667	Western Nilotic	Eastern Sudanic	SVO			More than one position		Type 1 / Type 2		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive		Noun-Numeral	Noun-Adjective
12	acm	Achumawi	41.5	-121.0	Achumawi	Hokan	SVO		No dominant order	Other		NegV				Prepositions					
13	acn												Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	No dominant order
14	aco	Acoma	34.9166666667	-107.583333333	Keresan	Keresan	No dominant order		No dominant order			Type 1 / Type 4				Postpositions		Genitive-Noun	Demonstrative-Noun	No dominant order	No dominant order
15	acu											[V-Neg]	No question particle					Genitive-Noun			
16	adg	Adang	-8.2	124.0	Alor-Pantar	Greater West Bomberai	SOV			OptDoubleNeg		OptDoubleNeg		Not initial interrogative phrase		Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
17	adi	Adioukrou	5.41666666667	-4.58333333333	Agneby	Niger-Congo	SVO		VOX	MorphNeg		[V-Neg]	Final	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
18	adk															Postpositions		Genitive-Noun	Demonstrative-Noun		
19	adn	Adynyamathanha	-30.5	139.5	Central Pama-Nyungan	Pama-Nyungan	No dominant order		No dominant order							Postpositions		Genitive-Noun			Adjective-Noun
20	ady	Adyghe (Abzakh)	45.2333333333	40.5833333333	Northwest Caucasian	Northwest Caucasian	SOV									Postpositions			Demonstrative prefix		Noun-Adjective
21	adz	Adzera	-6.25	146.25	Oceanic	Austronesian	SVO		VOX	OptDoubleNeg		OptDoubleNeg	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
22	aeg	Arabic (Egyptian)	30.0	31.0	Semitic	Afro-Asiatic	SVO		VOX	OptDoubleNeg		OptDoubleNeg	Initial	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	No dominant order	Noun-Adjective
23	aga	Agarabi	-6.16666666667	146.0	Gauwa	Trans-New Guinea	SOV						No question particle					Genitive-Noun		Numeral-Noun	Adjective-Noun
24	agb	Leggbó	6.0	8.0	Upper Cross	Niger-Congo	SVO			MorphNeg	SVO but SO[Neg-V]	[Neg-V]						Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
25	agc	Agta (Central)	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	VSO			NegVSO		NegV	Initial	Initial interrogative phrase		Prepositions		Noun-Genitive	Demonstrative suffix	Numeral-Noun	Adjective-Noun
26	agd	Agta (Dupaningan)	18.0	122.083333333	Greater Central Philippine	Austronesian	VSO			NegVSO		NegV	Second position	Initial interrogative phrase				Noun-Genitive	Mixed	Numeral-Noun	Adjective-Noun
27	agh	Aghem	6.66666666667	10.0	Wide Grassfields	Niger-Congo	SVO			More than one position		Type 1 / Type 2						Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
28	agm	Angami	25.6666666667	94.5	Angami-Pochuri	Sino-Tibetan	SOV			SOVNeg		VNeg	Final			Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
29	agt	Anguthimri	-12.3333333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	SOV		OXV										Noun-Demonstrative	Noun-Numeral	Noun-Adjective
30	ain	Ainu	43.0	143.0	Ainu	Ainu	SOV			SONegV		NegV	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
31	aja	Aja	7.33333333333	25.6666666667	Kresh	Central Sudanic	SVO			SVONeg		VNeg				Prepositions		Noun-Genitive		No dominant order	Adjective-Noun
32	ajg	Ajagbe	7.0	1.75	Gbe	Niger-Congo	No dominant order	SOV or SVO	No dominant order	More than one position		Type 1 / Type 2	Final			Postpositions	Noun-Relative clause	No dominant order	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
33	akh	Akha	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	SOV			SONegV		NegV	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
34	akn	Akan	6.5	-1.25	Tano	Niger-Congo	SVO			MorphNeg		[Neg-V]	In either of two positions	Not initial interrogative phrase		No dominant order		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
35	ala	Alamblak	-4.66666666667	143.333333333	Sepik Hill	Sepik	SOV		No dominant order	SONegV		NegV	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
36	alb	Albanian	41.0	20.0	Albanian	Indo-European	SVO			SNegVO		NegV	Initial			Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
37	ale	Aleut	54.0	-166.0	Aleut	Eskimo-Aleut	SOV														
38	alk	Arop-Lokep	-5.38333333333	147.05	Oceanic	Austronesian	SVO			SVONeg		VNeg	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	No dominant order	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
39	all	Ala'ala	-8.91666666667	146.75	Oceanic	Austronesian	SOV			Other		NegV	Initial	Not initial interrogative phrase		No dominant order	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
40	aln	Alune	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	SVO			SVONeg		VNeg				Prepositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
41	als									Other		NegV				Prepositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
42	alw	Alawa	-15.1666666667	134.25	Mara	Mangarrayi-Maran	No dominant order		No dominant order			NegV				Prepositions			Demonstrative-Noun		No dominant order
43	aly	Alyawarra	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	SOV			MorphNeg		[V-Neg]				Postpositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
44	ama	Amara	-5.66666666667	148.5	Oceanic	Austronesian	SVO		VOX							Prepositions			Noun-Demonstrative	Noun-Numeral	Noun-Adjective
45	amb	Ambulas	-3.83333333333	143.0	Ndu	Sepik	SOV			More than one position		Type 1 / Type 4		Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Adjective-Noun
46	amc	Amahuaca	-10.5	-72.5	Panoan	Pano-Tacanan	No dominant order					[V-Neg]	Second position			Postpositions		Genitive-Noun	Demonstrative-Noun		Noun-Adjective
47	ame	Amele	-5.25	145.583333333	Mabuso	Trans-New Guinea	SOV		XOV	OptDoubleNeg		OptDoubleNeg	Final	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
48	amh	Amharic	10.0	38.0	Semitic	Afro-Asiatic	SOV			ObligDoubleNeg		ObligDoubleNeg		Not initial interrogative phrase		No dominant order	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
49	ami	Amis	23.3333333333	121.333333333	East Formosan	Austronesian	No dominant order	VSO or VOS								Prepositions	Relative clause-Noun	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
50	amk															Postpositions			Demonstrative-Noun	Numeral-Noun	Adjective-Noun
51	aml	Ambae (Lolovoli Northeast)	-15.4166666667	167.883333333	Oceanic	Austronesian	SVO		VOX	ObligDoubleNeg		ObligDoubleNeg	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
52	amm																	Genitive-Noun			No dominant order
53	amn	Amanab	-3.58333333333	141.25	Border	Border	SOV		XOV	ObligDoubleNeg		ObligDoubleNeg	In either of two positions	Not initial interrogative phrase				Genitive-Noun	Demonstrative-Noun		Noun-Adjective
54	amo											ObligDoubleNeg	Final				Noun-Relative clause		Noun-Demonstrative	Noun-Numeral	Noun-Adjective
55	amp	Arrernte (Mparntwe)	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	SOV			MorphNeg		[V-Neg]	Second position			Postpositions	Noun-Relative clause		Noun-Demonstrative	Noun-Numeral	Noun-Adjective
56	amq	Ambai	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	SVO		VOX	SVONeg		VNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
57	amr									ObligDoubleNeg		ObligDoubleNeg	Initial			Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
58	ams	Arabic (Modern Standard)	25.0	42.0	Semitic	Afro-Asiatic	VSO		VOX	NegVSO		NegV	Initial			Prepositions		Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
59	amt									MorphNeg		[Neg-V]				Postpositions	Mixed	Genitive-Noun		Noun-Numeral	No dominant order
60	amx									ObligDoubleNeg		ObligDoubleNeg						Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
61	ana									ObligDoubleNeg		ObligDoubleNeg	No question particle			Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	No dominant order	Noun-Adjective
62	anc	Angas	9.5	9.5	West Chadic	Afro-Asiatic	SVO		VOX	SVONeg		VNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
63	ane	Anêm	-5.58333333333	149.083333333	Anêm	Anêm	SVO			SVONeg		VNeg				Prepositions		No dominant order	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
64	ang	Anggor	-3.75	141.166666667	Senagi	Senagi	SOV		XOV	MorphNeg		[V-Neg]	No question particle			Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
65	ani	//Ani	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	No dominant order		No dominant order	Other		VNeg	Final	Not initial interrogative phrase				Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
66	anj	Anejom	-20.2	169.8	Oceanic	Austronesian	VOS		VOX	NegVOS		NegV	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
67	ann	Anindilyakwa	-14.0	136.5	Anindilyakwa	Gunwinyguan	No dominant order			Other		OptDoubleNeg				Inpositions		No dominant order	Demonstrative-Noun		
68	ano	Anong	27.3333333333	98.75	Nungish	Sino-Tibetan	SOV						No question particle					Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
69	anu	Anufo	10.0833333333	0.25	Tano	Niger-Congo	SVO			SVNegO		VNeg	Final	Not initial interrogative phrase			Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
70	any	Anywa	8.0	33.5	Western Nilotic	Eastern Sudanic	No dominant order		No dominant order	Other		NegV		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative suffix	Noun-Numeral	Noun-Adjective
71	ao	Ao	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	SOV			OptDoubleNeg		OptDoubleNeg	Final	Not initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
72	aoj	Mufian	-3.5	143.0	Kombio-Arapesh	Torricelli	SVO		VOX	ObligDoubleNeg		ObligDoubleNeg	Final	Not initial interrogative phrase			Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
73	api	Apinayé	-5.5	-48.0	Je Setentrional	Macro-Ge	SOV		XOV				Initial	Initial interrogative phrase		Postpositions		Genitive-Noun	Noun-Demonstrative		Noun-Adjective
74	apl	Apalaí	0.0	-54.0	Cariban	Cariban	No dominant order	SOV or OVS	OVX	MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase		Postpositions		Genitive-Noun		No dominant order	Noun-Adjective
75	apt	Apatani	27.5	93.75	Tani	Sino-Tibetan	SOV			MorphNeg		[V-Neg]	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
76	apu	Apurinã	-9.0	-67.0	Purus	Arawakan	SVO		No dominant order	More than one position		NegV	No question particle	Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
77	apw	Apache (Western)	33.75	-110.0	Athapaskan	Na-Dene	SOV		OXV	ObligDoubleNeg		ObligDoubleNeg	No question particle	Not initial interrogative phrase			Noun-Relative clause		Demonstrative-Noun	Noun-Numeral	
78	ara	Lokono	5.5	-55.1666666667	Antillean Arawakan	Arawakan	SVO		VOX	Other		VNeg	No question particle			Postpositions	Mixed	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
79	arc	Archi	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	SOV		XOV	MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
80	arg	Arabic (Gulf)	26.0	49.0	Semitic	Afro-Asiatic	SVO		VOX	SNegVO		NegV	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Mixed	Numeral-Noun	Noun-Adjective
81	ari	Aribwatsa	-6.71666666667	147.0	Oceanic	Austronesian	SVO											Genitive-Noun			
82	arj	Arabic (Kuwaiti)	29.5	47.5	Semitic	Afro-Asiatic	SVO			SNegVO		NegV		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Mixed	No dominant order	Noun-Adjective
83	arm	Armenian (Eastern)	40.0	45.0	Armenian	Indo-European	No dominant order	SOV or SVO	No dominant order	More than one position		Type 1 / Type 3	No question particle	Not initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
84	aro	Arosi	-10.25	161.333333333	Oceanic	Austronesian	SVO		VOX	SNegVO		NegV	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
85	arp	Arapesh (Mountain)	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	SVO			OptDoubleNeg		OptDoubleNeg	Final	Not initial interrogative phrase		Prepositions		No dominant order	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
86	arq	Arabic (Iraqi)	33.0	44.0	Semitic	Afro-Asiatic	SVO			MorphNeg		[Neg-V]		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive		Numeral-Noun	Noun-Adjective
87	arw	Armenian (Western)	38.5	43.5	Armenian	Indo-European	SOV		No dominant order	More than one position		Type 1 / Type 3	No question particle	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
88	asm	Asmat	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	SOV			SOVNeg		VNeg	Final	Not initial interrogative phrase		No adpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
89	ass	Assamese	26.0	93.0	Indic	Indo-European	SOV			MorphNeg		[Neg-V]	No question particle	Not initial interrogative phrase				Genitive-Noun	Demonstrative-Noun	No dominant order	Adjective-Noun
90	asu	Asuriní	-3.5	-49.5	Maweti-Guarani	Tupian	OVS			ObligDoubleNeg		ObligDoubleNeg				Postpositions					
91	asy	Arabic (Syrian)	34.0	38.0	Semitic	Afro-Asiatic	No dominant order	SVO or VSO		More than one position		NegV	Final	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Mixed	No dominant order	Noun-Adjective
92	ata									Other		NegV	Final	Not initial interrogative phrase		Prepositions		Noun-Genitive	Noun-Demonstrative	Numeral-Noun	No dominant order
93	ath	Athpare	27.0	87.3333333333	Himalayish	Sino-Tibetan	SOV			MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase			Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
94	atk															Postpositions		Genitive-Noun	Demonstrative-Noun	Noun-Numeral	
95	atm	Atacameño	-23.0	-69.0	Kunza	Kunza	SOV														Noun-Adjective
96	ats	Atsugewi	40.75	-121.0	Atsugewi	Hokan	No dominant order												Demonstrative-Noun		
97	au	Au	-3.58333333333	142.083333333	Central Wapei	Torricelli	SVO		VOX	More than one position		Type 1 / Type 2		Not initial interrogative phrase		Prepositions		No dominant order	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
98	ava	Avar	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	SOV			SOVNeg		VNeg	Second position	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
99	avk	Avikam	5.16666666667	-5.5	Avikam-Alladian	Niger-Congo	SVO		VOX				Final						Noun-Demonstrative		
100	avo	Avokaya	4.66666666667	30.0	Moru-Ma'di	Central Sudanic	No dominant order	SOV or SVO	No dominant order							Postpositions		No dominant order	Noun-Demonstrative		
101	awa	Awa	-6.66666666667	145.75	Gauwa	Trans-New Guinea	SOV			SONegV		NegV					Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
102	awe											[V-Neg]				Postpositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
103	awi	Aekyom	-5.75	141.416666667	Elevala	Kamula-Elevala	SOV							Not initial interrogative phrase				Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
104	awp	Awa Pit	1.5	-78.25	Barbacoan	Barbacoan	SOV		XOV	ObligDoubleNeg		ObligDoubleNeg	Final	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
105	awt	Awtuw	-3.58333333333	142.0	Ram	Sepik	SOV		No dominant order	MorphNeg		[Neg-V]	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
106	awy	Awyi	-2.91666666667	140.583333333	Border	Border	SOV													Noun-Numeral	Noun-Adjective
107	ayi	Anyi	7.0	-3.5	Tano	Niger-Congo	SVO		VOX									Genitive-Noun			Noun-Adjective
108	aym	Aymara (Central)	-17.0	-69.0	Aymaran	Aymaran	SOV			More than one position		NegV	Final	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
109	ayo																	Genitive-Noun		Numeral-Noun	Noun-Adjective
110	ayr	Ayoreo	-20.25	-59.25	Zamucoan	Zamucoan	SVO											Genitive-Noun			
111	ayw	Ayiwo	-10.3333333333	166.25	Oceanic	Austronesian	SVO									Prepositions		Noun-Genitive	Noun-Demonstrative		Noun-Adjective
112	aze	Azerbaijani	40.5	48.5	Turkic	Altaic	SOV			MorphNeg		[V-Neg]	Final	Not initial interrogative phrase				Genitive-Noun		Numeral-Noun	Adjective-Noun
113	azi	Azari (Iranian)	37.5	47.0	Turkic	Altaic	SOV			MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase			Mixed				
114	baa	Barai	-9.33333333333	148.083333333	Koiarian	Trans-New Guinea	SOV			SONegV		NegV				Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
115	bab	Babungo	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	SVO			ObligDoubleNeg		ObligDoubleNeg	Final			Prepositions	Noun-Relative clause		Noun-Demonstrative	Noun-Numeral	Noun-Adjective
116	bac	Bachamal	-13.1666666667	130.166666667	Wandjiginy	Wandjiginy	No dominant order		No dominant order	Other		NegV		Initial interrogative phrase		Postpositions					No dominant order
117	bae	Baré	1.0	-67.0	Japura-Colombia	Arawakan	SVO			SNegVO		NegV	No question particle	Initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
118	baf	Bafut	6.25	9.91666666667	Wide Grassfields	Niger-Congo	SVO			ObligDoubleNeg	SVO, but NegSNegOV	ObligDoubleNeg	No question particle			Prepositions					Noun-Adjective
119	bag	Bagirmi	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	SVO		VOX	SVONeg		VNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
120	bai	Bai	26.0	100.0	Macro-Bai	Sino-Tibetan	SVO		No dominant order	SNegVO		NegV	Final	Not initial interrogative phrase		No dominant order	Relative clause-Noun	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Adjective-Noun
121	baj	Bajau (Sama)	-4.33333333333	123.0	Sama-Bajaw	Austronesian	No dominant order					NegV				Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative		Noun-Adjective
122	bak	Baka (in Cameroon)	2.58333333333	13.5833333333	Ubangi	Niger-Congo	SVO		VOX	SVONeg		VNeg				Prepositions		Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Adjective-Noun
123	bam	Bambara	12.5	-7.5	Western Mande	Mande	SOV		OVX	SNegOV		NegV	Final			Postpositions	Correlative	Genitive-Noun	Mixed	Noun-Numeral	Noun-Adjective
124	bao	Bao'an	35.75	102.833333333333	Mongolic	Altaic	SOV			Other		NegV	No question particle			Postpositions					
125	baq	Baure	-13.0833333333	-64.1666666667	Bolivia-Parana	Arawakan	VOS			NegVOS		NegV		Initial interrogative phrase			Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
126	bar	Bari	5.0	31.6666666667	Eastern Nilotic	Eastern Sudanic	SVO			SNegVO		NegV		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
127	bas	Basaá	3.91666666667	10.5	Bantu	Niger-Congo	SVO		VOX	Other		VNeg				Prepositions		Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
128	baw	Bawm	22.5	92.25	Kuki-Chin	Sino-Tibetan	SOV		OXV	SOVNeg		VNeg	Final	Not initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
129	bbf											ObligDoubleNeg	Final			Postpositions			Mixed		Noun-Adjective
130	bbl	Babole	1.08333333333	17.25	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]		Not initial interrogative phrase		Prepositions	Noun-Relative clause			Noun-Numeral	Noun-Adjective
131	bbu	Barambu	3.5	27.0	Ubangi	Niger-Congo	No dominant order	SVO or VSO		OptDoubleNeg	SVO/VSO, but [Neg-V]SO(Neg)	OptDoubleNeg				Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Adjective-Noun
132	bbw	Bininj Gun-Wok	-12.5	133.75	Marne	Gunwinyguan	No dominant order		OVX	Other		NegV	Initial	Initial interrogative phrase		No dominant order		Genitive-Noun	Mixed	No dominant order	No dominant order
133	bch	Berber (Chaouia)	35.0	7.0	Berber	Afro-Asiatic	No dominant order	SVO or VSO		More than one position		NegV						Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
134	bco	Bella Coola	52.5	-126.666666667	Bella Coola	Salishan	VSO			NegVSO		NegV	No question particle			Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative		Adjective-Noun
135	bdm	Badimaya	-27.6666666667	118.0	Western Pama-Nyungan	Pama-Nyungan	SOV		No dominant order	Other		NegV	No question particle	Initial interrogative phrase				Genitive-Noun	Demonstrative-Noun	No dominant order	Noun-Adjective
136	bdu	Budu	2.0	28.0	Bantu	Niger-Congo	SVO									Prepositions		Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
137	bdw	Baham	-3.16666666667	132.666666667	West Bomberai	Greater West Bomberai	SOV												Noun-Demonstrative		Noun-Adjective
138	bej	Beja	18.0	36.0	Beja	Afro-Asiatic	SOV			MorphNeg		[Neg-V]	No question particle	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative before and after Noun		No dominant order
139	bel									OptDoubleNeg		OptDoubleNeg	Final				Relative clause-Noun	Genitive-Noun		Numeral-Noun	Adjective-Noun
140	bem												In either of two positions	Not initial interrogative phrase					Mixed	Noun-Numeral	Noun-Adjective
141	ben	Bengali	24.0	90.0	Indic	Indo-European	SOV		XOV	SOVNeg		VNeg									
142	ber	Berta	10.3333333333	34.6666666667	Berta	Berta	SVO			MorphNeg		[Neg-V]	Final				Noun-Relative clause		Demonstrative suffix	Noun-Numeral	Noun-Adjective
