	code	name	latitude	longitude	genus	family	Vso	Vso2	Vom	Vson	Vson2	Vn	Vsoq	Vsow	Vsow2	Np	Nr	Ng	Nd	Nn	Na
0	aab	Arapesh (Abu)	-3.45	142.95	Kombio-Arapesh	Torricelli	SVO			SVONeg		VNeg	Final	Not initial interrogative phrase					Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1	aar									MorphNeg		[V-Neg]	No question particle			Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
2	aba	Abau	-4.0	141.25	Abau	Sepik	SOV			SOVNeg		VNeg				Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	
3	abi	Abipón	-29.0	-61.0	Abipon	Guaicuruan	SVO		VOX	Other		NegV		Initial interrogative phrase		Prepositions	Noun-Relative clause	No dominant order	Demonstrative-Noun		No dominant order
4	abk	Abkhaz	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	SOV		XOV	MorphNeg		Type 3 / Type 4	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	No dominant order	Noun-Adjective
5	abn	Arabana	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	SOV			Other		NegV						No dominant order			Noun-Adjective
6	abo	Arbore	5.0	36.75	Lowland East Cushitic	Afro-Asiatic	SOV										Noun-Relative clause	Noun-Genitive		Noun-Numeral	Noun-Adjective
7	abu	Abun	-0.5	132.5	Abun	Abun	SVO		VOX	ObligDoubleNeg		ObligDoubleNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
8	abv	Abui	-8.25	124.666666667	Alor-Pantar	Greater West Bomberai	SOV			SOVNeg		VNeg		Not initial interrogative phrase		No adpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
9	ace	Acehnese	5.5	95.5	Malayo-Sumbawan	Austronesian	No dominant order		No dominant order			NegV	In either of two positions	Mixed		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
