	latitude	longitude	code	name	pattern	family	genus	Vso	Vsom	Vson	Vsoq	Vsow	Nprgdna
7	-0.5	132.5	abu	Abun		Abun	Abun	sVo	sVom	snVnꜝ¹o	sVoq	sVo	p  g  Na# dr 
138	18.0	36.0	bej	Beja		Afro-Asiatic	Beja	soV	soV 	soⁿV		soV	  dg aNa  dꜝounrp
133	35.0	7.0	bch	Berber (Chaouia)		Afro-Asiatic	Berber	sVso	sVso 	snV¹so			    # Na gd  
143	32.5	-1.5	bfg	Berber (Figuig)		Afro-Asiatic	Berber	Vso	Vsom	nVso	qVso	wVso	p d # Na g r 
180	33.0	-5.0	bma	Berber (Middle Atlas)		Afro-Asiatic	Berber	Vso	Vsom	Vso	qVso	wVso	p d # Na gdr 
201	34.5	-4.0	brf	Berber (Rif)		Afro-Asiatic	Berber	sVo	sVom	snVo	qsVo	wsVo	p   # Na gdr 
598	36.5	5.0	kbl	Kabyle		Afro-Asiatic	Berber	Vso	Vsom	nVnꜝ¹so			p     Na g r 
1462	20.0	-2.0	tsk	Tamashek		Afro-Asiatic	Berber	Vso	Vsom	nVnˀ¹so	qVso	wVso	p   # Na gdr 
1363	31.0	-5.0	tas	Tashlhiyt		Afro-Asiatic	Berber	*	* 	*		*	      N  gᵈ  
223	13.5	14.5	bud	Buduma		Afro-Asiatic	Biu-Mandara	sVo	sVom	sVon	sVoq	sVo	p     Na#gdr 
470	10.4166666667	13.4166666667	gud	Gude		Afro-Asiatic	Biu-Mandara	Vso	Vsom	nsVo	Vsoq	wVso	p    aN #gᵈr 
492	11.8666666667	13.7166666667	hdi	Hdi		Afro-Asiatic	Biu-Mandara	Vso	Vsom	nVnꜝ¹so	Vsoq	wVso	p d   Na#gdꜝounr 
758	11.5	14.8333333333	lag	Lagwan		Afro-Asiatic	Biu-Mandara	sVo	sVo 	sVon	sVoq	sVo	p     Na#gᵈ  
795	11.25	13.5833333333	lmg	Lamang		Afro-Asiatic	Biu-Mandara	Vso	Vsom	nVnˀ¹so	Vsoq		p d   Na#gdr 
850	10.8333333333	14.1666666667	mda	Mada (in Cameroon)		Afro-Asiatic	Biu-Mandara	sVo	sVo 	sVon			      Na#gd  
904	11.5	13.75	mlg	Malgwa		Afro-Asiatic	Biu-Mandara	sVo	sVo 	sVⁿo		sVo	p     Na#gdr 
950	11.0	13.0	mrg	Margi		Afro-Asiatic	Biu-Mandara	sVo	sVo 	sVon	sVoq	sVo	p     Na#gdr 
842	11.0	15.4166666667	mbr	Mbara		Afro-Asiatic	Biu-Mandara	sVo	sVo 	sVon	sVoq		p     Na#gdrp
507	10.3333333333	13.8333333333	hna	Mina		Afro-Asiatic	Biu-Mandara	sVo	sVom	sVon	sVoq	sVo	p     Na#gdr 
929	10.5	14.0	mof	Mofu-Gudur		Afro-Asiatic	Biu-Mandara	sVo	sVom	sVo			p     Na#gdr 
875	10.8333333333	14.9166666667	mgu	Musgu		Afro-Asiatic	Biu-Mandara	sVo	sVo 	sVon	sVoq	sVo	p     Na#gdr 
1172	11.0	14.0833333333	pod	Podoko		Afro-Asiatic	Biu-Mandara	Vso	Vso 	Vson	Vsoq		p d  aNa#g r 
1382	11.0	11.8333333333	ter	Tera		Afro-Asiatic	Biu-Mandara	sVo	sVom	snVnˀ¹o	sVoq	sVo	p     Na#gdr 
1496	10.95	14.1166666667	uld	Uldeme		Afro-Asiatic	Biu-Mandara	sVo	sVom	sVon	sVoq		p     Na#gdr 
174	15.75	38.5	bln	Bilin		Afro-Asiatic	Central Cushitic	*	* 	*			   g# Na    p
608	12.6666666667	37.4166666667	kem	Kemant		Afro-Asiatic	Central Cushitic	soV	soV 	soVⁿ			 rdg aN     p
155	11.9166666667	18.75	bid	Bidiya		Afro-Asiatic	East Chadic	sVo	sVo 	snVnꜝ¹o			p     Na#gdr 
610	9.83333333333	15.0833333333	ker	Kera		Afro-Asiatic	East Chadic	sVo	sVo 	sVon	sVoq	sVo	p     Na#gdr 
775	9.08333333333	15.5833333333	lel	Lele		Afro-Asiatic	East Chadic	sVo	sVo 	sVon	sVoq	sVo	p  g  Na#gdr 
295	26.0	32.0	cop	Coptic		Afro-Asiatic	Egyptian-Coptic	sVo	sVom	snVnˀ¹o	qsVo	sVo	p d # Na gdr 
1283	6.66666666667	38.5	sid	Sidaama		Afro-Asiatic	Highland East Cushitic	soV	soV 	sonV		soV	 rdg#aN     p
6	5.0	36.75	abo	Arbore		Afro-Asiatic	Lowland East Cushitic	soV	soV 	soV			      Na#g r 
335	4.66666666667	36.3333333333	dha	Dhaasanac		Afro-Asiatic	Lowland East Cushitic	soV	somV	sonVnꜝ¹		soV	   g  Na# d  
1126	9.0	42.0	orh	Oromo (Harar)		Afro-Asiatic	Lowland East Cushitic	soV	smoV	sonVnꜝ¹		soV	      Na#gdrp
1130	-3.33333333333	39.8333333333	orw	Oromo (Waata)		Afro-Asiatic	Lowland East Cushitic	soV	somV	sonVnꜝ¹		soV	      Na#gdrp
1198	12.0	42.0	qaf	Qafar		Afro-Asiatic	Lowland East Cushitic	soV	soV 	soV			 rdg#aN     p
1319	3.0	45.0	som	Somali		Afro-Asiatic	Lowland East Cushitic	soV	soV 	sonV		soV	p  g# Na gᵈrp
831	10.5	15.5	mas	Masa		Afro-Asiatic	Masa	sVo	sVo 	sVon	sVoq	sVo	p     Na#g r 
48	10.0	38.0	amh	Amharic		Afro-Asiatic	Semitic	soV	soV 	sonVnꜝ¹		soV	prdg#aN     p
22	30.0	31.0	aeg	Arabic (Egyptian)		Afro-Asiatic	Semitic	sVo	sVom	snVnˀ¹o	qsVo	sVo	p   # Na#gdr 
80	26.0	49.0	arg	Arabic (Gulf)		Afro-Asiatic	Semitic	sVo	sVom	snVo		sVo	p d # Na gdr 
86	33.0	44.0	arq	Arabic (Iraqi)		Afro-Asiatic	Semitic	sVo	sVo 	sⁿVo		sVo	p   # Na g r 
82	29.5	47.5	arj	Arabic (Kuwaiti)		Afro-Asiatic	Semitic	sVo	sVo 	snVo		sVo	p d # Na#gdr 
58	25.0	42.0	ams	Arabic (Modern Standard)		Afro-Asiatic	Semitic	Vso	Vsom	nVso	qVso		p d # Na g   
91	34.0	38.0	asy	Arabic (Syrian)		Afro-Asiatic	Semitic	sVso	sVso 	snV¹so	sVsoq	wsVso	p d # Na#gdr 
264	8.112935	37.93267	chh	Chaha		Afro-Asiatic	Semitic	soV	smoV	soⁿV	soVq		pr g#aN   d p
493	31.5	34.8333333333	heb	Hebrew (Modern)		Afro-Asiatic	Semitic	sVo	sVo 	snVo	qsVo	wsVo	p   # Na gdr 
861	17.0	51.5	meh	Mehri		Afro-Asiatic	Semitic	sVso	sVso 	sVn¹so		wsVso	p   # Na#g r 
1008	36.3833	44.0	naj	Neo-Aramaic (Arbel Jewish)		Afro-Asiatic	Semitic	soV	soVm	sonV		soV	p d # Na g r 
1318	8.5	38.5	sod	Soddo		Afro-Asiatic	Semitic	soV	soV 	soⁿV			p  g aN     p
1402	14.5	38.5	tig	Tigrinya		Afro-Asiatic	Semitic	soV	soV 	sonVnꜝ¹		wsoV	p dg aN  g   
1390	16.5	38.5	tgr	Tigré		Afro-Asiatic	Semitic	soV	soV 	soⁿV		soV	prd #aN  gd  
344	6.16666666667	36.25	dim	Dime		Afro-Asiatic	South Omotic	soV	soV 	soVⁿ			      Na# d p
206	-5.33333333333	36.0	brn	Burunge		Afro-Asiatic	Southern Cushitic	sVo	sVo 	sVⁿo		sVo	p     Na#gᵈrp
552	-4.0	35.5	irq	Iraqw		Afro-Asiatic	Southern Cushitic	soV	soV 	soVⁿ		soV	p     Na#gdr 
423	6.66666666667	37.25	gam	Gamo		Afro-Asiatic	Ta-Ne-Omotic	soV	soV 	soV			 rdg#aN     p
