# possessed-case  	possessed-gender	possessed-plurality	emoji
nominative        	neuter          	singular           	🧍‍♂️<sub>🏠</sub> →                                                   
nominative        	masculine       	singular           	🧍‍♂️<sub>👦</sub> →                                                
nominative        	feminine        	singular           	🧍‍♂️<sub>👧</sub> →                                                
nominative        	neuter          	dual               	🧍‍♂️<sub>🏠🏠</sub> →                                                 
nominative        	masculine       	dual               	🧍‍♂️<sub>👦👦</sub> →                                          
nominative        	feminine        	dual               	🧍‍♂️<sub>👧👧</sub> →                                          
nominative        	neuter          	plural             	🧍‍♂️<sub>🏘️</sub> →                                                
nominative        	masculine       	plural             	🧍‍♂️<sub>👦👦👦</sub> →                                              
nominative        	feminine        	plural             	🧍‍♂️<sub>👧👧👧</sub> →                                              
                  
accusative        	neuter          	singular           	🧍<sub>🧍</sub>                                                         
accusative        	masculine       	singular           	🧍‍♂️<sub>🧍‍♂️</sub>                                                  
accusative        	feminine        	singular           	🧍‍♀️<sub>🧍‍♀️</sub>                                                
accusative        	neuter          	dual               	🧑‍🤝‍🧑<sub>🧑‍🤝‍🧑</sub>                                                     
accusative        	masculine       	dual               	👬<sub>👬</sub>                                           
accusative        	feminine        	dual               	👭<sub>👭</sub>                                         
accusative        	neuter          	plural             	🧑‍🤝‍🧑<sub>🧑‍🤝‍🧑</sub>                                                 
accusative        	masculine       	plural             	👬<sub>👬</sub>                                               
accusative        	feminine        	plural             	👭<sub>👭</sub>                                             
                  
dative            	neuter          	singular           	🧍‍♂️<sub>🏠</sub>←🚶‍♂️🐎                                         
dative            	masculine       	singular           	🧍‍♂️<sub>👦</sub>←🚶‍♂️🐎                                      
dative            	feminine        	singular           	🧍‍♂️<sub>👧</sub>←🚶‍♂️🐎                                      
dative            	neuter          	dual               	🧍‍♂️<sub>🏠🏠</sub>←🚶‍♂️🐎                                   
dative            	masculine       	dual               	🧍‍♂️<sub>👦👦</sub>←🚶‍♂️🐎                                     
dative            	feminine        	dual               	🧍‍♂️<sub>👧👧</sub>←🚶‍♂️🐎                                     
dative            	neuter          	plural             	🧍‍♂️<sub>🏘️</sub>←🚶‍♂️🐎                                   
dative            	masculine       	plural             	🧍‍♂️<sub>👦👦👦</sub>←🚶‍♂️🐎                                     
dative            	feminine        	plural             	🧍‍♂️<sub>👧👧👧</sub>←🚶‍♂️🐎                                     
                  
ablative          	neuter          	singular           	←🚶‍♂️🐎🧍‍♂️<sub>🏠</sub>                                       
ablative          	masculine       	singular           	←🚶‍♂️🐎🧍‍♂️<sub>👦</sub>                                    
ablative          	feminine        	singular           	←🚶‍♂️🐎🧍‍♂️<sub>👧</sub>                                    
ablative          	neuter          	dual               	←🚶‍♂️🐎🧍‍♂️<sub>🏠🏠</sub>                                 
ablative          	masculine       	dual               	←🚶‍♂️🐎🧍‍♂️<sub>👦👦</sub>                                   
ablative          	feminine        	dual               	←🚶‍♂️🐎🧍‍♂️<sub>👧👧</sub>                                   
ablative          	neuter          	plural             	←🚶‍♂️🐎🧍‍♂️<sub>🏘️</sub>                                 
ablative          	masculine       	plural             	←🚶‍♂️🐎🧍‍♂️<sub>👦👦👦</sub>                                   
ablative          	feminine        	plural             	←🚶‍♂️🐎🧍‍♂️<sub>👧👧👧</sub>                                   
                  
instrumental      	neuter          	singular           	←🚶‍♂️<sup>🧍‍♂️<sub>🪢</sub></sup>🐎                                     
instrumental      	masculine       	singular           	←🚶‍♂️<sup>🧍‍♂️<sub>👦</sub></sup>🐎                                 
instrumental      	feminine        	singular           	←🚶‍♂️<sup>🧍‍♂️<sub>👧</sub></sup>🐎                                 
instrumental      	neuter          	dual               	←🚶‍♂️<sup>🧍‍♂️<sub>🪢🪢</sub></sup>🐎                              
instrumental      	masculine       	dual               	←🚶‍♂️<sup>🧍‍♂️<sub>👦👦</sub></sup>🐎                                
instrumental      	feminine        	dual               	←🚶‍♂️<sup>🧍‍♂️<sub>👧👧</sub></sup>🐎                                
instrumental      	neuter          	plural             	←🚶‍♂️<sup>🧍‍♂️<sub>🪢🪢🪢</sub></sup>🐎                         
instrumental      	masculine       	plural             	←🚶‍♂️<sup>🧍‍♂️<sub>👦👦👦</sub></sup>🐎                                
instrumental      	feminine        	plural             	←🚶‍♂️<sup>🧍‍♂️<sub>👧👧👧</sub></sup>🐎                                
                  
locative          	neuter          	singular           	🧍‍♂️<sub>🏠</sub>🐎←🚶‍♂️                                              
locative          	masculine       	singular           	🧍‍♂️<sub>👦</sub>🐎←🚶‍♂️                                           
locative          	feminine        	singular           	🧍‍♂️<sub>👧</sub>🐎←🚶‍♂️                                           
locative          	neuter          	dual               	🧍‍♂️<sub>🏠🏠</sub>🐎←🚶‍♂️                                        
locative          	masculine       	dual               	🧍‍♂️<sub>👦👦</sub>🐎←🚶‍♂️                                          
locative          	feminine        	dual               	🧍‍♂️<sub>👧👧</sub>🐎←🚶‍♂️                                          
locative          	neuter          	plural             	🧍‍♂️<sub>🏘️</sub>🐎←🚶‍♂️                                        
locative          	masculine       	plural             	🧍‍♂️<sub>👦👦👦</sub>🐎←🚶‍♂️                                          
locative          	feminine        	plural             	🧍‍♂️<sub>👧👧👧</sub>🐎←🚶‍♂️                                          
                  
#                 	                	                   	NOTE: genitive and vocative are not applicable for all pronouns                                                                           
                  
