*	*	*	*	nominative	genitive	dative	accusative	vocative	#	doric																						
the	singular	masculine	greek	ὁ	τῶ	τῷ	τόν		#																							
the	singular	masculine	latin	ho 	tô 	tôi 	tón 		#																							
the	singular	feminine	greek	ἁ	τᾶς	τᾷ	τάν		#																							
the	singular	feminine	latin	ha 	tâs 	tâi 	tán 		#																							
the	singular	neuter	greek	τό	τῶ	τῷ	τό		#																							
the	singular	neuter	latin	tó 	tô 	tôi 	tó 		#																							
									#																							
the	dual	masculine	greek	τώ	τοῖν	τοῖν	τώ		#																							
the	dual	masculine	latin	tṓ 	toîn 	toîn 	tṓ 		#																							
the	dual	feminine	greek	τᾱ́	ταῖν	ταῖν	τᾱ́		#																							
the	dual	feminine	latin	tā́ 	taîn 	taîn 	tā́ 		#																							
the	dual	neuter	greek	τώ	τοῖν	τοῖν	τώ		#																							
the	dual	neuter	latin	tṓ 	toîn 	toîn 	tṓ 		#																							
									#																							
the	plural	masculine	greek	τοὶ	τῶν	τοῖς	τώς		#																							
the	plural	masculine	latin	toì 	tôn 	toîs 	tṓs 		#																							
the	plural	feminine	greek	ταὶ	τᾶν	ταῖς	τᾱ́ς		#																							
the	plural	feminine	latin	taì 	tân 	taîs 	tā́s 		#																							
the	plural	neuter	greek	τᾰ́	τῶν	τοῖς	τᾰ́		#																							
the	plural	neuter	latin	tá	tôn	toîs	tá 		#																							
																																
young man	singular	masculine	greek	νεᾱνῐ́ᾱς	νεᾱνῐ́ᾱ	νεᾱνῐ́ᾳ	νεᾱνῐ́ᾱν	νεᾱνῐ́ᾱ	#																							
young man	singular	masculine	latin	neāníās	neāníā	neāníāi	neāníān	neāníā	#																							
young man	dual	masculine	greek	νεᾱνῐ́ᾱ	νεᾱνῐ́αιν	νεᾱνῐ́αιν	νεᾱνῐ́ᾱ	νεᾱνῐ́ᾱ	#																							
young man	dual	masculine	latin	neāníā	neāníain	neāníain	neāníā	neāníā	#																							
young man	plural	masculine	greek	νεᾱνῐ́αι	νεᾱνῐᾶν	νεᾱνῐ́αις	νεᾱνῐ́ᾱς	νεᾱνῐ́αι	#																							
young man	plural	masculine	latin	neāníai	neāniân	neāníais	neāníās	neāníai	#																							
																																
woman	singular	feminine	greek	γῠνά	γῠναικός	γῠναικί	γῠναῖκᾰ	γύναι	#																							
woman	singular	feminine	latin	guná	gunaikós	gunaikí	gunaîka	gúnai	#																							
woman	dual	feminine	greek	γῠναῖκε	γῠναικαῖν	γῠναικαῖν	γῠναῖκε	γῠναῖκε	#																							
woman	dual	feminine	latin	gunaîke	gunaikaîn	gunaikaîn	gunaîke	gunaîke	#																							
woman	plural	feminine	greek	γῠναῖκες	γῠναικᾶν	γῠναιξί/γῠναιξίν	γῠναῖκᾰς	γῠναῖκες	#																							
woman	plural	feminine	latin	gunaîkes	gunaikân	gunaixí(n)	gunaîkas	gunaîkes	#																							
																																
																																
																																
																																
																																
																																
