attention	number	isolated forms	isolated forms	with possessive pronouns	with possessive pronouns	with possessive pronouns	with possessive pronouns	with possessive pronouns
attention	number	state	form	person	singular	singular	plural	plural
attention	number	state	form	person	m.	f.	m.	f.
attention	singular	indefinite	מַחְשָׁבָה	first	מַחְשָׁבָתִי‎	מַחְשָׁבָתִי‎	מַחְשָׁבָתֵנוּ‎	מַחְשָׁבָתֵנוּ‎
attention	singular	definite	הַמַּחְשָׁבָה‎	second	מַחְשָׁבָתְךָ‎	מַחְשָׁבָתֵךְ‎	מַחְשָׁבַתְכֶם‎	מַחְשָׁבַתְכֶן‎
attention	singular	construct	מַחְשָׁבַת־‎	third	מַחְשָׁבָתוֹ‎	מַחְשָׁבָתָהּ‎	מַחְשָׁבָתָם‎	מַחְשָׁבָתָן‎
attention	plural	indefinite	מַחְשְׁבוֹת‎	first	מחשבותיי / מַחְשְׁבוֹתַי‎	מחשבותיי / מַחְשְׁבוֹתַי‎	מַחְשְׁבוֹתֵינוּ‎	מַחְשְׁבוֹתֵינוּ‎
attention	plural	definite	הַמַּחְשְׁבוֹת‎	second	מַחְשְׁבוֹתֶיךָ‎	מחשבותייך / מַחְשְׁבוֹתַיִךְ‎	מַחְשְׁבוֹתֵיכֶם‎	מַחְשְׁבוֹתֵיכֶן‎
attention	plural	construct	מַחְשְׁבוֹת־‎	third	מַחְשְׁבוֹתָיו‎	מַחְשְׁבוֹתֶיהָ‎	מַחְשְׁבוֹתָם‎	מַחְשְׁבוֹתָן‎
book	number	isolated forms	isolated forms	with possessive pronouns	with possessive pronouns	with possessive pronouns	with possessive pronouns	with possessive pronouns
book	number	state	form	person	singular	singular	plural	plural
book	number	state	form	person	m.	f.	m.	f.
book	singular	indefinite	סֵפֶר	first	סִפְרִי‎	סִפְרִי‎	סִפְרֵנוּ‎	סִפְרֵנוּ‎
book	singular	definite	הַסֵּפֶר‎	second	סִפְרְךָ‎	סִפְרֵךְ‎	סִפְרְכֶם‎	סִפְרְכֶן‎
book	singular	construct	סֵפֶר־	third	סִפְרוֹ‎	סִפְרָהּ‎	סִפְרָם‎	סִפְרָן‎
book	plural	indefinite	סְפָרִים‎	first	ספריי / סְפָרַי‎	ספריי / סְפָרַי‎	סְפָרֵינוּ‎	סְפָרֵינוּ‎
book	plural	definite	הַסְּפָרִים‎	second	סְפָרֶיךָ‎	ספרייך / סְפָרַיִךְ‎	סִפְרֵיכֶם‎	סִפְרֵיכֶן‎
book	plural	construct	סִפְרֵי־‎	third	סְפָרָיו‎	סְפָרֶיהָ‎	סִפְרֵיהֶם‎	סִפְרֵיהֶן‎
brother	number	isolated forms	isolated forms	with possessive pronouns	with possessive pronouns	with possessive pronouns	with possessive pronouns	with possessive pronouns
brother	number	state	form	person	singular	singular	plural	plural
brother	number	state	form	person	m.	f.	m.	f.
brother	singular	indefinite	אָח	first	אָחִי‎	אָחִי‎	אָחִינוּ‎	אָחִינוּ‎
brother	singular	definite	הָאָח‎	second	אָחִיךָ‎	אָחִיךְ‎	אֲחִיכֶם‎	אֲחִיכֶן‎
brother	singular	construct	אֲחִי־‎	third	אָחִיו‎	אָחִיהָ‎	אֲחִיהֶם‎	אֲחִיהֶן‎
brother	plural	indefinite	אַחִים‎	first	אחיי / אַחַי‎	אחיי / אַחַי‎	אַחֵינוּ‎	אַחֵינוּ‎
brother	plural	definite	הָאַחִים‎	second	אַחֶיךָ‎	אחייך / אַחַיִךְ‎	אַחֵיכֶם‎	אַחֵיכֶן‎
brother	plural	construct	אַחֵי־‎	third	אֶחָיו‎	אַחֶיהָ‎	אַחֵיהֶם‎	אַחֵיהֶן‎
daughter	number	isolated forms	isolated forms	with possessive pronouns	with possessive pronouns	with possessive pronouns	with possessive pronouns	with possessive pronouns
daughter	number	state	form	person	singular	singular	plural	plural
daughter	number	state	form	person	m.	f.	m.	f.
daughter	singular	indefinite	בַּת	first	בִּתִּי‎	בִּתִּי‎	בִּתֵּנוּ‎	בִּתֵּנוּ‎
daughter	singular	definite	הַבַּת‎	second	בִּתְּךָ‎	בִּתֵּךְ‎	בִּתְּכֶם‎	בִּתְּכֶן‎
daughter	singular	construct	בַּת־	third	בִּתּוֹ‎	בִּתָּהּ‎	בִּתָּם‎	בִּתָּן‎
daughter	plural	indefinite	בָּנוֹת‎	first	בנותיי / בְּנוֹתַי‎	בנותיי / בְּנוֹתַי‎	בְּנוֹתֵינוּ‎	בְּנוֹתֵינוּ‎
daughter	plural	definite	הַבָּנוֹת‎	second	בְּנוֹתֶיךָ‎	בנותייך / בְּנוֹתַיִךְ‎	בְּנוֹתֵיכֶם‎	בְּנוֹתֵיכֶן‎
