*	*	*	*		*	nominative	genitive	dative	accusative	vocative	#	ionic			
personal	1		singular	tonic	greek	ἐγώ	ἐμέο / ἐμεῦ	ἐμοί	ἐμέ / με						
personal	1		singular	tonic	latin	egṓ	eméo / emeû	emoí	emé / me 						
personal	1		singular	enclitic	greek		μευ†	μοι†							
personal	1		singular	enclitic	latin		meu†	moi†							
personal	1		plural		greek	ἡμεῖς	ἡμέων	ἡμῖν	ἡμέᾰς						
personal	1		plural		latin	hēmeîs	hēméōn	hēmîn	hēméas 						
															
personal	2		singular	tonic	greek	σῠ́	σέο / σεῦ	σοί	σέ						
personal	2		singular	tonic	latin	sú	séo / seû	soí	sé						
personal	2		singular	enclitic	greek		σευ†	τοι†	σε†						
personal	2		singular	enclitic	latin		seu†	toi†	se† 						
personal	2		plural		greek	ῡ̔μεῖς	ῡ̔μέων	ῡ̔μῖν / ὗμῐν†	ῡ̔μέᾰς / ῡ̔́μεᾰς†	ῡ̔μεῖς					
personal	2		plural		latin	hūmeîs	hūméōn	hūmîn / hûmin†	hūméas / hū́meas†	hūmeîs 					
															
personal	3		singular	enclitic	greek		εὑ†	οἱ†	ἑ† / μῐν†						
personal	3		singular	enclitic	latin		heu†	hoi†	he† / min†						
personal	3	masculine	plural		greek	σφεῖς	σφέων / σφεων†	σφῐ́σῐ / σφῐ́σῐν / σφῐσῐ / σφῐσῐν† / σφῐ / σφῐν	σφέᾰς / σφεᾰς†						
personal	3	masculine	plural		latin	spheîs	sphéōn / spheōn†	sphísi(n) / sphisi(n)† / sphi / sphin	sphéas / spheas†						
personal	3	feminine	plural		greek	σφεῖς	σφέων / σφεων†	σφῐ́σῐ / σφῐ́σῐν / σφῐσῐ / σφῐσῐν† / σφῐ / σφῐν	σφέᾰς / σφεᾰς†						
personal	3	feminine	plural		latin	spheîs	sphéōn / spheōn†	sphísi(n) / sphisi(n)† / sphi / sphin	sphéas / spheas†						
personal	3	neuter	plural		greek				σφεᾰ†						
personal	3	neuter	plural		latin				sphea†						
															
															
															
															
															
