*	*	*	*	*	present	past							
see	indicative	singular	2	informal	seest, sixt	sawe, seye, saugh, seigh, saw, sey							
see	indicative	singular	2	formal	seen, see	sawen, sawe, seyen, seye							
see	indicative	singular	3		seeth, sikth	saugh, seigh, saw, sey							
see	subjunctive	singular			see	saweᴱ, seyeᴱ							
see	imperative	singular			see	—							
see	indicative	plural			seen, see	sawen, sawe, seyen, seye							
see	subjunctive	plural			seen, see	sawen, sawe, seyen, seye							
see	imperative	plural			seeth, see	—							
see	participle				seynge, seende	(y)seen, (y)see, (y)seyn, (y)sey							
show	infinitive				(to) schewen, schewe	(to) schewen, schewe							
show	indicative	singular	1		schewe	schewed							
show	indicative	singular	2	informal	schewest	schewedest							
show	indicative	singular	2	formal	schewen, schewe	scheweden, schewede							
show	indicative	singular	3		scheweth	schewed							
show	subjunctive	singular			schewe	schewed							
show	imperative	singular			schewe	—							
show	indicative	plural			schewen, schewe	scheweden, schewede							
show	subjunctive	plural			schewen, schewe	scheweden, schewede							
show	imperative	plural			scheweth, schewe	—							
show	participle				schewynge, schewende	schewed, yschewed							
startle	infinitive				(to) fryghten, fryghte	(to) fryghten, fryghte							
startle	indicative	singular	1		fryghte	fryghted							
startle	indicative	singular	2	informal	fryghtest	fryghtedest							
startle	indicative	singular	2	formal	fryghten, fryghte	fryghteden, fryghtede							
startle	indicative	singular	3		fryghteth	fryghted							
startle	subjunctive	singular			fryghte	fryghted							
startle	imperative	singular			fryghte	—							
startle	indicative	plural			fryghten, fryghte	fryghteden, fryghtede							
startle	subjunctive	plural			fryghten, fryghte	fryghteden, fryghtede							
startle	imperative	plural			fryghteth, fryghte	—							
startle	participle				fryghtynge, fryghtende	fryghted, yfryghted							
swim	infinitive				(to) swymmen, swymme	(to) swymmen, swymme							
swim	indicative	singular	1		swymme	swam, swymmed							
swim	indicative	singular	2	informal	swymmest	swumme, swam, swymmedest							
swim	indicative	singular	2	formal	swymmen, swymme	swummen, swumme, swymmeden, swymmede							
swim	indicative	singular	3		swymmeth	swam, swymmed							
swim	subjunctive	singular			swymme	swummeᴱ, swymmedᴱ							
swim	imperative	singular			swymme	—							
swim	indicative	plural			swymmen, swymme	swummen, swumme, swymmeden, swymmede							
swim	subjunctive	plural			swymmen, swymme	swummen, swumme, swymmeden, swymmede							
swim	imperative	plural			swymmeth, swymme	—							
swim	participle				swymmynge, swymmende	swummen, swumme, swymmed							
walk	infinitive				(to) walken, walke	(to) walken, walke							
walk	indicative	singular	1		walke	welk, walked							
walk	indicative	singular	2	informal	walkest	welke, welk, walkedest							
walk	indicative	singular	2	formal	walken, walke	welken, welke, walkeden, walkede							
walk	indicative	singular	3		walketh	welk, walked							
walk	subjunctive	singular			walke	welkeᴱ, walkedᴱ							
walk	imperative	singular			walke	—							
walk	indicative	plural			walken, walke	welken, welke, walkeden, walkede							
walk	subjunctive	plural			walken, walke	welken, welke, walkeden, walkede							
walk	imperative	plural			walketh, walke	—							
walk	participle				walkynge, walkende	walken, walke, walked, ywalken, ywalke							
work	infinitive				(to) werken, werke	(to) werken, werke							
work	indicative	singular	1		werke	wroghte							
work	indicative	singular	2	informal	werkest	wroghtest							
work	indicative	singular	2	formal	werken, werke	wroghten, wroghte							
work	indicative	singular	3		werketh	wroghte							
work	subjunctive	singular			werke	wroghte							
work	imperative	singular			werke	—							
work	indicative	plural			werken, werke	wroghten, wroghte							
work	subjunctive	plural			werken, werke	wroghten, wroghte							
work	imperative	plural			werketh, werke	—							
work	participle				werkynge, werkende	wroght, ywroght							
delight	infinitive				(to) gamen, game	(to) gamen, game							
delight	indicative	singular	1		game	gamed							
delight	indicative	singular	2	informal	gamest	gamedest							
delight	indicative	singular	2	formal	gamen, game	gameden, gamede							
delight	indicative	singular	3		gameth	gamed							
delight	subjunctive	singular			game	gamed							
delight	imperative	singular			game	—							
delight	indicative	plural			gamen, game	gameden, gamede							
delight	subjunctive	plural			gamen, game	gameden, gamede							
delight	imperative	plural			gameth, game	—							
delight	participle				gamynge, gamende	gamed, ygamed							
pound	infinitive				(to) pounen, poune	(to) pounen, poune							
pound	indicative	singular	1		poune	pouned							
pound	indicative	singular	2	informal	pounest	pounedest							
pound	indicative	singular	2	formal	pounen, poune	pouneden, pounede							
pound	indicative	singular	3		pouneth	pouned							
pound	subjunctive	singular			poune	pouned							
pound	imperative	singular			poune	—							
pound	indicative	plural			pounen, poune	pouneden, pounede							
pound	subjunctive	plural			pounen, poune	pouneden, pounede							
pound	imperative	plural			pouneth, poune	—							
pound	participle				pounynge, pounende	pouned, ypouned							
feed	infinitive				(to) feden, fede	(to) feden, fede							
feed	indicative	singular	1		fede	fedde							
feed	indicative	singular	2	informal	fedest	feddest							
feed	indicative	singular	2	formal	feden, fede	fedden, fedde							
feed	indicative	singular	3		fedeth, fet	fedde							
feed	subjunctive	singular			fede	fedde							
feed	imperative	singular			fede	—							
feed	indicative	plural			feden, fede	fedden, fedde							
feed	subjunctive	plural			feden, fede	fedden, fedde							
feed	imperative	plural			fedeth, fede	—							
feed	participle				fedynge, fedende	fed, yfed							
send	infinitive				(to) senden, sende	(to) senden, sende							
send	indicative	singular	1		sende	sente, sende							
send	indicative	singular	2	informal	sendest	sentest, sendest							
send	indicative	singular	2	formal	senden, sende	senten, sente, senden, sende							
send	indicative	singular	3		sendeth	sente, sende							
send	subjunctive	singular			sende	sente, sende							
send	imperative	singular			sende	—							
send	indicative	plural			senden, sende	senten, sente, senden, sende							
send	subjunctive	plural			senden, sende	senten, sente, senden, sende							
send	imperative	plural			sendeth, sende	—							
send	participle				sendynge, sendende	sent, send, ysent, ysend							
wind	infinitive				(to) wenden, wende	(to) wenden, wende							
wind	indicative	singular	1		wende	wente, wende							
wind	indicative	singular	2	informal	wendest	wentest, wendest							
wind	indicative	singular	2	formal	wenden, wende	wenten, wente, wenden, wende							
wind	indicative	singular	3		wendeth, went	wente, wende							
wind	subjunctive	singular			wende	wente, wende							
wind	imperative	singular			wende	—							
wind	indicative	plural			wenden, wende	wenten, wente, wenden, wende							
wind	subjunctive	plural			wenden, wende	wenten, wente, wenden, wende							
wind	imperative	plural			wendeth, wende	—							
wind	participle				wendynge, wendende	went, wend, ywent, ywend							
create	infinitive				(to) createn, create	(to) createn, create							
create	indicative	singular	1		create	create							
create	indicative	singular	2	informal	createst	createst							
create	indicative	singular	2	formal	createn, create	createn, create							
create	indicative	singular	3		createth	create							
create	subjunctive	singular			create	create							
create	imperative	singular			create	—							
create	indicative	plural			createn, create	createn, create							
create	subjunctive	plural			createn, create	createn, create							
create	imperative	plural			createth, create	—							
create	participle				creatynge, creatende	creat, created							
deliver	infinitive				(to) bryngen, brynge	(to) bryngen, brynge							
deliver	indicative	singular	1		brynge	broghte							
deliver	indicative	singular	2	informal	bryngest	broghtest							
deliver	indicative	singular	2	formal	bryngen, brynge	broghten, broghte							
deliver	indicative	singular	3		bryngeth	broghte							
deliver	subjunctive	singular			brynge	broghte							
deliver	imperative	singular			brynge	—							
deliver	indicative	plural			bryngen, brynge	broghten, broghte							
deliver	subjunctive	plural			bryngen, brynge	broghten, broghte							
deliver	imperative	plural			bryngeth, brynge	—							
deliver	participle				bryngynge, bryngende	broght, ybroght							
shine	infinitive				(to) schinen, schine	(to) schinen, schine							
shine	indicative	singular	1		schine	schon, schined							
shine	indicative	singular	2	informal	schinest	schone, schine, schon, schinedest							
shine	indicative	singular	2	formal	schinen, schine	schonen, schone, schinen, schine, schineden, schinede							
shine	indicative	singular	3		schineth	schon, schined							
shine	subjunctive	singular			schine	schone1, schine1, schined1							
shine	imperative	singular			schine	—							
shine	indicative	plural			schinen, schine	schonen, schone, schinen, schine, schineden, schinede							
shine	subjunctive	plural			schinen, schine	schonen, schone, schinen, schine, schineden, schinede							
shine	imperative	plural			schineth, schine	—							
shine	participle				schinynge, schinende	schinen, schined, yschinen, yschined							
write	infinitive				(to) writen, write	(to) writen, write							
write	indicative	singular	1		write	wrot							
write	indicative	singular	2	informal	writest	wrote, write, wrot							
write	indicative	singular	2	formal	writen, write	wroten, wrote, writen, write							
write	indicative	singular	3		writeth	wrot							
write	subjunctive	singular			write	wrote1, write1							
write	imperative	singular			write	—							
write	indicative	plural			writen, write	wroten, wrote, writen, write							
write	subjunctive	plural			writen, write	wroten, wrote, writen, write							
write	imperative	plural			writeth, write	—							
write	participle				writynge, writende	writen, wreten, ywrite							
choose	infinitive				(to) chesen, chese	(to) chesen, chese							
choose	indicative	singular	1		chese	chees, chas							
choose	indicative	singular	2	informal	chesest	chose, chees, chas							
choose	indicative	singular	2	formal	chesen, chese	chosen, chose							
choose	indicative	singular	3		cheseth	chees, chas							
choose	subjunctive	singular			chese	chose1							
choose	imperative	singular			chese	—							
choose	indicative	plural			chesen, chese	chosen, chose							
choose	subjunctive	plural			chesen, chese	chosen, chose							
choose	imperative	plural			cheseth, chese	—							
choose	participle				chesynge, chesende	(y)chosen, (y)chose, (y)coren, (y)core, (y)corn							
freeze	infinitive				(to) fresen, frese	(to) fresen, frese							
freeze	indicative	singular	1		frese	frees							
freeze	indicative	singular	2	informal	fresest	frose, frese, frees							
freeze	indicative	singular	2	formal	fresen, frese	frosen, frose, fresen, frese							
freeze	indicative	singular	3		freseth, frest	frees							
freeze	subjunctive	singular			frese	frose1, frese1							
freeze	imperative	singular			frese	—							
freeze	indicative	plural			fresen, frese	frosen, frose, fresen, frese							
freeze	subjunctive	plural			fresen, frese	frosen, frose, fresen, frese							
freeze	imperative	plural			freseth, frese	—							
freeze	participle				fresynge, fresende	frosen, frose, froren, frore							
bind	infinitive				(to) binden, binde	(to) binden, binde							
bind	indicative	singular	1		binde	band, bond, bound							
bind	indicative	singular	2	informal	bindest	bounde, bonde, band							
bind	indicative	singular	2	formal	binden, binde	bounden, bounde, bonden, bonde							
bind	indicative	singular	3		bindeth	band, bond, bound							
bind	subjunctive	singular			binde	bounde1, bonde1							
bind	imperative	singular			binde	—							
bind	indicative	plural			binden, binde	bounden, bounde, bonden, bonde							
bind	subjunctive	plural			binden, binde	bounden, bounde, bonden, bonde							
bind	imperative	plural			bindeth, binde	—							
bind	participle				bindynge, bindende	bounden, bounde, ybounden, ybounde							
help	infinitive				(to) helpen, helpe	(to) helpen, helpe							
help	indicative	singular	1		helpe	halp							
help	indicative	singular	2	informal	helpest	holpe, halp							
help	indicative	singular	2	formal	helpen, helpe	holpen, holpe							
help	indicative	singular	3		helpeth	halp							
help	subjunctive	singular			helpe	holpe1							
help	imperative	singular			helpe	—							
help	indicative	plural			helpen, helpe	holpen, holpe							
help	subjunctive	plural			helpen, helpe	holpen, holpe							
help	imperative	plural			helpeth, helpe	—							
help	participle				helpynge, helpende	holpen, holpe, yholpen, yholpe							
carry	infinitive				(to) beren, bere	(to) beren, bere							
carry	indicative	singular	1		bere	bar, ber							
carry	indicative	singular	2	informal	berest	bere, bare, bar, ber							
carry	indicative	singular	2	formal	beren, bere	beren, bere, baren, bare							
carry	indicative	singular	3		bereth	bar, ber							
carry	subjunctive	singular			bere	bere1, bare1							
carry	imperative	singular			bere	—							
carry	indicative	plural			beren, bere	beren, bere, baren, bare							
carry	subjunctive	plural			beren, bere	beren, bere, baren, bare							
carry	imperative	plural			bereth, bere	—							
carry	participle				berynge, berende	boren, bore, born, yboren, ybore, yborn							
break	infinitive				(to) breken, breke	(to) breken, breke							
break	indicative	singular	1		breke	brak, brek							
break	indicative	singular	2	informal	brekest	breke, brake, brak, brek							
break	indicative	singular	2	formal	breken, breke	breken, breke, braken, brake							
break	indicative	singular	3		breketh	brak, brek							
break	subjunctive	singular			breke	breke1, brake1							
break	imperative	singular			breke	—							
break	indicative	plural			breken, breke	breken, breke, braken, brake							
break	subjunctive	plural			breken, breke	breken, breke, braken, brake							
break	imperative	plural			breketh, breke	—							
break	participle				brekynge, brekende	broken, broke, ybroken, ybroke							
stand	infinitive				(to) standen, stande	(to) standen, stande							
stand	indicative	singular	1		stande	stod							
stand	indicative	singular	2	informal	standest	stode, stod							
stand	indicative	singular	2	formal	standen, stande	stoden, stode							
stand	indicative	singular	3		standeth, stant	stod							
stand	subjunctive	singular			stande	stode1							
stand	imperative	singular			stande	—							
stand	indicative	plural			standen, stande	stoden, stode							
stand	subjunctive	plural			standen, stande	stoden, stode							
stand	imperative	plural			standeth, stande	—							
stand	participle				standynge, standende	standen, stande, ystanden, ystande							
take	infinitive				(to) taken, take	(to) taken, take							
take	indicative	singular	1		take	tok							
take	indicative	singular	2	informal	takest	toke, tok							
take	indicative	singular	2	formal	taken, take	token, toke							
take	indicative	singular	3		taketh	tok							
take	subjunctive	singular			take	toke1							
take	imperative	singular			take	—							
take	indicative	plural			taken, take	token, toke							
take	subjunctive	plural			taken, take	token, toke							
take	imperative	plural			taketh, take	—							
take	participle				takynge, takende	taken, take, ytaken, ytake							
hold	infinitive				(to) holden, holde	(to) holden, holde							
hold	indicative	singular	1		holde	held							
hold	indicative	singular	2	informal	holdest	helde, held							
hold	indicative	singular	2	formal	holden, holde	helden, helde							
hold	indicative	singular	3		holdeth, holt	held							
hold	subjunctive	singular			holde	helde1							
hold	imperative	singular			holde	—							
hold	indicative	plural			holden, holde	helden, helde							
hold	subjunctive	plural			holden, holde	helden, helde							
hold	imperative	plural			holdeth, holde	—							
hold	participle				holdynge, holdende	holden, holde, yholden, yholde							
#know	infinitive				(to) knowen, knowe	(to) knowen, knowe							
#know	indicative	singular	1		knowe	knew							
#know	indicative	singular	2	informal	knowest	knewe, knew							
#know	indicative	singular	2	formal	knowen, knowe	knewen, knewe							
#know	indicative	singular	3		knoweth	knew							
#know	subjunctive	singular			knowe	knewe1							
#know	imperative	singular			knowe	—							
#know	indicative	plural			knowen, knowe	knewen, knewe							
#know	subjunctive	plural			knowen, knowe	knewen, knewe							
#know	imperative	plural			knoweth, knowe	—							
#know	participle				knowynge, knowende	knowen, knowe, yknowen, yknowe							
be	infinitive				(to) been, be	(to) been, be							
be	indicative	singular	1		am, be	was							
be	indicative	singular	2	informal	art, bist	were							
be	indicative	singular	2	formal	aren, are, been, be	weren, were							
be	indicative	singular	3		is, bith	was							
be	subjunctive	singular			be	were							
be	imperative	singular			be	—							
be	indicative	plural			aren, are, been, be	weren, were							
be	subjunctive	plural			aren, are, been, be	weren, were							
be	imperative	plural			been, be	weren, were							
be	participle				beynge, beende	been, be, ybeen, ybe							
do	infinitive				(to) don, do	(to) don, do							
do	indicative	singular	1		do	dide							
do	indicative	singular	2	informal	dost, dest	didest, dide							
do	indicative	singular	2	formal	don, do	diden, dide							
do	indicative	singular	3		doth, deth	dide							
do	subjunctive	singular			do	dide							
do	imperative	singular			do	—							
do	indicative	plural			don, do	diden, dide							
do	subjunctive	plural			don, do	diden, dide							
do	imperative	plural			doth, do	—							
do	participle				doynge, donde	don, do, ydon, ydo							
go	indicative	singular	1		go	yede, wente							
go	indicative	singular	2	informal	gost, gest	yedest, wentest							
go	indicative	singular	2	formal	gon, go	yeden, yede, wenten, wente							
go	indicative	singular	3		goth, geth	yede, wente							
go	subjunctive	singular			go	yede, wente							
go	imperative	singular			go	—							
go	indicative	plural			gon, go	yeden, yede, wenten, wente							
go	subjunctive	plural			gon, go	yeden, yede, wenten, wente							
go	imperative	plural			goth, go	—							
go	participle				goynge, gonde	gon, go, ygon, ygo							
want	infinitive				(to) willen, wille, wollen, wolle	(to) willen, wille, wollen, wolle							
want	indicative	singular	1		wille, wolle	wolde							
want	indicative	singular	2	informal	wilt, wolt	woldest, wolde							
want	indicative	singular	2	formal	willen, wille, wollen, wolle	wolden, wolde							
want	indicative	singular	3		wille, wolle	wolde							
want	subjunctive	singular			wille	wolde							
want	imperative	singular			—	—							
want	indicative	plural			willen, wille, wollen, wolle	wolden, wolde							
want	subjunctive	plural			willen, wille, wollen, wolle	wolden, wolde							
want	imperative	plural			—	—							
want	participle				willynge, willende	—							
know	infinitive				(to) cunnen, cunne	(to) cunnen, cunne							
know	indicative	singular	1		can	couthe, coude							
know	indicative	singular	2	informal	canst	couthest, coust							
know	indicative	singular	2	formal	cunnen, cunne, canne	couthen, couthe, couden, coude							
know	indicative	singular	3		can	couthe, coude							
know	subjunctive	singular			cunne, canne	couthe, coude							
know	imperative	singular			cunne, canne	—							
know	indicative	plural			cunnen, cunne, canne	couthen, couthe, couden, coude							
know	subjunctive	plural			cunnen, cunne, canne	couthen, couthe, couden, coude							
know	imperative	plural			cunneth, cunne, canne	—							
know	participle				cunnynge, cunnende	cunned, coud							
dare	infinitive				(to) durren, durre, dare	(to) durren, durre, dare							
dare	indicative	singular	1		dar	durste							
dare	indicative	singular	2	informal	darst	durstest, durste							
dare	indicative	singular	2	formal	durren, durre, daren, dare	dursten, durste							
dare	indicative	singular	3		dar	durste							
dare	subjunctive	singular			durre, dare	durste							
dare	imperative	singular			—	—							
dare	indicative	plural			durren, durre, daren, dare	dursten, durste							
dare	subjunctive	plural			durren, durre, daren, dare	dursten, durste							
dare	imperative	plural			—	—							
dare	participle				—	durre, dare, durst							
need	infinitive				—	—							
need	indicative	singular	1		mot, moste	moste							
need	indicative	singular	2	informal	most, mostest	mostest							
need	indicative	singular	2	formal	moten, mote, mosten, moste	mosten, moste							
need	indicative	singular	3		mot, moste	moste							
need	subjunctive	singular			mote, moste	moste							
need	imperative	singular			—	—							
need	indicative	plural			moten, mote, mosten, moste	mosten, moste							
need	subjunctive	plural			moten, mote, mosten, moste	mosten, moste							
need	imperative	plural			—	—							
need	participle				—	—							
crawl	infinitive				(to) creulen	(to) creulen							
crawl	indicative	singular	1		*creule	*creule							
crawl	indicative	singular	2	informal	*creult	*creuldest, creuld							
crawl	indicative	singular	2	formal	*creulen	*creulden, creuld							
crawl	indicative	singular	3		creule	creuld							
crawl	subjunctive	singular			*creule	*creulde							
crawl	imperative	singular			*—	*—							
crawl	indicative	plural			*creulen	*creulden, creulde							
crawl	subjunctive	plural			*creulen	*creulden, creulde							
crawl	imperative	plural			*creulen	*creulden, creulde							
crawl	participle				creulande	*creulen							
