	Id	English	Part	hieroglyphics	transcription	
93	10-370	fly	verb	𓊪𓅱𓇋𓇋𓏏𓆃	pwy	
94	10-380	blow	verb	𓈖𓆑𓏭𓊡𓀜	nfy	
95	10-410	creep|crawl	verb	𓎛𓈖𓌰𓅓𓌰𓅓𓂻	ḥnmnm	
96	10-412	kneel	verb	𓃀𓅡𓂋𓂓𓏤𓏤𓂡	brk	
97	10-413	crouch	verb			
98	10-420	slide|slip	verb	𓎛𓃀𓈖𓃀𓈖𓏛	ḥbnbn	
99	10-430	jump|leap	verb	𓎡𓄿𓂋𓏤𓇓𓏲𓀤	krs	
100	10-431	kick	verb	𓋴𓐟𓄿𓎛𓃃𓂻	sꜣḥ	
101	10-440	dance	verb	𓐍𓃀𓅡𓄿A87𓀜	ḫbꜣ	
102	10-450	walk	verb	𓐍𓈖𓂧𓂻	ḫnd	
103	10-451	limp	verb	𓎛𓂧𓇋𓇋A78	ḥdy	
104	10-460	run	verb	𓊪𓎛𓂋𓂋𓀝𓏛	pḥrr	
105	10-470	go	verb	𓈖𓂝𓇋𓇋𓂾𓂻	nꜥy	
106	10-471	go up	verb	𓍿𓊃U39I𓂾𓏭𓂻	ṯsj	
107	10-472	climb	verb			
108	10-473	go down	verb			
109	10-474	go out	verb	𓋴𓏏𓂋𓅯	str	
110	10-480	come	verb	𓅓𓂝𓈎𓄿𓌙𓌙𓏛	mqꜣ	
111	10-481	come back	verb			
112	10-490	go away|depart	verb	𓊃𓅱𓏛𓂻	swḏꜣ	
113	10-491	disappear	verb			
114	10-510	flee	verb	𓊪𓅱𓇋𓇋𓏏𓆃	pwy	
115	10-520	follow	verb	𓆰𓆰	jj	
116	10-530	pursue	verb	𓋴𓐍𓋴𓂻𓅓𓐠𓏤	sḫs m sꜣ	
117	10-550	reach|arrive	verb	𓇹𓂋𓏲𓂻	spr	
118	10-560	approach	verb	𓈎𓄿𓃭𓏤𓇋𓄿𓂾𓏭𓂻	qrj	
119	10-570	enter	verb	𓉔𓃀𓉔𓃀𓏴𓂡	hbj	
120	10-610	carry	verb	𓋴𓏏𓍬𓂻	stꜣsṯꜣ	
121	10-612	carry-in-hand	verb			
122	10-613	carry-on-shoulder	verb	𓂋𓏠𓈖𓂢	rmnj	
123	10-614	carry-on-head	verb			
124	10-615	carry-underarm	verb	𓎛𓍿𓍿D210	ḥṯṯ	
125	10-620	bring	verb	𓍬𓂻	sṯꜣ	
126	10-630	send	verb	𓇋𓀁𓋴𓏭𓊄𓏭𓂻	jssb	
127	10-640	lead	verb	𓐍𓂋𓊪𓏲𓌂𓏛𓀜𓀀𓏥	ḫrp	
128	10-650	drive	verb	𓐍𓂋𓊪𓂥	ḫrp	
129	10-660	ride	verb			
130	10-670	push|shove	verb	𓍯𓄿𓆷𓄿𓊕𓏭𓏴𓂡	wš	
131	10-710	road	noun	𓐝𓂝𓏏𓈖𓌙𓈐𓂻	mṯn	
132	10-720	path	noun	𓂋𓏤𓍯𓄿𓏏𓈐	r wꜣt	
133	10-740	bridge	noun			
134	10-750	carriage|wagon|cart	noun	𓉻𓏛𓎼𓄿𓂋𓏤𓍘𓇋	ꜥgrt	
135	10-760	wheel	noun			
136	10-770	axle	noun			
137	10-780	yoke	noun	𓎛𓍿𓂋V65𓃒𓏪	ḥtr	
138	10-810	ship	noun	𓌪𓊪𓈖𓏏P2G	kbnt	
139	10-830	boat	noun	𓇋𓂧𓊪𓊛	jdp	
140	10-831	canoe	noun	𓊃𓎔𓎛𓏭𓊛	smḥy	
141	10-832	outrigger	noun			
142	10-840	raft	noun	𓄞𓂧𓏲𓊛	šdw	
143	10-850	oar	noun	𓄊𓊃𓂋𓅱𓊤	wsrw	
144	10-851	paddle	noun			
145	10-852	row	noun	𓂙𓈖𓊛𓀜	ẖnj	
146	10-860	rudder	noun	𓈞𓅓𓇋𓇋𓏏𓊦	ḥmyt	
147	10-870	mast	noun	𓆱𓏏𓏤𓊡𓅱𓆱𓏤	ḫt ṯꜣw	
148	10-880	sail	noun	𓎛𓏏𓍔𓄿𓊡	ḥtꜣ	
149	10-890	anchor	noun			
150	10-910	harbor|port	noun	𓏠𓈖𓇋𓏲𓌙𓊛𓏏𓉐	mnjwt	
151	10-920	land	verb	𓏠𓈖𓇋𓏯𓌙𓊛𓀜	mnj	
152	11-110	have	verb			
153	11-120	own|possess	verb	𓈙𓃀𓏲𓏴𓏛	šb	
154	11-130	take	verb	𓊏𓊪𓂡	šsp	
155	11-140	seize|grasp	verb	𓄿𓅓𓅓𓂬	ꜣmm	
156	11-150	hold	verb	𓎔𓂡	mḥ	
157	11-160	get|obtain	verb			
158	11-170	keep|retain	verb	𓆷𓄿𓉻𓏛𓂋𓏤𓉐	šꜥr	
159	11-180	thing	noun	𓃹𓈖𓈖𓏏𓏥	wnnt	
160	11-210	give	verb	𓐝𓂝𓅷𓏲𓂡	mṯꜣ	
161	11-220	give back	verb			
162	11-240	preserve|look after	verb	𓂓𓏤𓈖𓏥𓇋𓀁	knj	
163	11-250	save|rescue	verb	𓈖𓈟𓅓𓀜	nḥm	
164	11-270	destroy	verb	𓋴𓇋𓎡𓈖𓅪	sjkn	
165	11-280	harm|injure|damage	verb	𓄿𓂝𓂝𓂝	ꜣꜥꜥ	
166	11-310	seek|look for	verb	𓅱𓆼𓄿𓐍𓂻	wḫꜣ	
167	11-320	find	verb	𓋴𓃀𓈎𓆭𓏛	sbq	
168	11-330	lose	verb	𓋴𓆑𓐍𓐍𓅱	sfḫ	
169	11-340	release|let go	verb	𓋴𓆑𓐍𓐍𓅱	sfḫ	
170	11-430	money	noun	𓌉𓋞𓈓	ḥḏ	
171	11-440	coin	noun			
172	11-510	rich	noun	𓐍𓅱𓂧𓐗𓏛	ḫwd	
173	11-520	poor	noun	𓈙𓍯𓄿𓀢𓅪	šwꜣ	
174	11-530	beggar	noun	𓈙𓍯𓄿𓅱𓅪𓀀	šwꜣw	
175	11-540	avaricious|stingy	adjective	𓆄𓅱𓅪𓂝𓏤	šw ꜥw	"# ""to be stingy"""
176	11-610	lend	verb			
177	11-620	borrow	verb			
178	11-630	owe	verb	𓆷𓄿𓇋𓏲𓏛	šꜣ	
179	11-640	debt	noun			
180	11-650	pay	verb	𓆑𓄿𓀋𓀜	fꜣy	
181	11-660	account|reckoning	noun	𓎛𓋴𓃀𓅱𓐎𓏛	ḥsbw	
182	11-690	tax|tribute	noun	𓎛𓏏𓂋𓆵𓏛	ḥtr	
183	11-770	hire	verb			
184	11-780	wages	noun	𓅡𓎡𓅱𓂡𓏥	bꜣkw	
185	11-790	earn	verb			
186	11-810	buy	verb	𓋴𓃹𓈖𓏌𓏲𓌕𓏛𓏪	swn	
187	11-820	sell	verb	𓆄𓏯𓏯𓀜	šwy	
188	11-830	trade|barter	verb	𓋴𓃹𓈖𓏌𓏲𓌕𓏛𓏪	swn	
189	11-840	merchant	noun	𓆄𓅱𓇋𓇋𓏏𓏲𓂡𓏥	šwyty	
190	11-850	market (place)	noun			
191	11-860	store|shop	noun			
192	11-870	price	noun	𓌕𓈖𓏏𓏛𓏥	swnt	
193	11-880	dear (costly, expensive)	adjective	𓀻𓋴𓏭𓏛	špsy	
194	11-890	cheap	noun			
195	11-910	share (distribute)	verb	𓊪𓈙𓏴𓏛	pš	
196	11-920	weigh	verb	𓆑𓄿𓂡	fꜣj	
197	12-10	after	adposition	𓅭𓆱𓍿	m-ḫt	
198	12-11	behind	adposition	𓂋𓇉𓄿𓁶𓉐	r ḥꜣ	
199	12-110	place	verb	𓅱𓂧𓏲𓇋𓇋𓂻	wdj	
200	12-120	put	verb	𓅱𓂧𓏲𓇋𓇋𓂻	wdj	
201	12-130	sit	verb	𓋴𓇛𓅓𓏛𓀔	snḏm	
202	12-140	lie down	verb	𓋴𓇥𓂋𓁀𓀜	sḏr	
203	12-150	stand	verb	𓊢𓏤𓏛𓏥	ꜥḥꜥw	
204	12-160	remain|stay	verb	𓋴𓏠𓈖𓍖𓏛	smn	
205	12-170	remains|left overs	noun			
206	12-20	beside	adposition	𓁷𓐛𓏤	ḥr gs	
207	12-210	collect|gather	verb	𓈖𓍇𓏌𓏭𓀜	nwj	
208	12-212	pick up	verb			
209	12-213	pile up	verb			
210	12-220	join|unite	verb	𓄥𓄿𓏛	smꜣ	
211	12-230	separate	verb	𓍋𓃀𓃀𓏯𓂻	ꜣbb	
212	12-232	divide	verb	𓄋𓊪𓏴	wpj	
213	12-240	open	verb	𓊃𓊌𓈖𓏴𓂻	sn	
214	12-250	shut|close	verb	𓋴𓃀𓐍𓉧	sbḫ	
215	12-260	cover	verb	𓊃𓊶𓊪𓏲𓏴𓂡	skꜣp	
216	12-270	hide|conceal	verb	𓋴𓂧𓎼𓄿𓇋𓇋𓁻	sdgꜣy	
217	12-30	down|below	adposition	𓂋𓌨𓂋𓅱𓈇𓏤	r ẖrw	
218	12-310	high	adjective	𓈎𓄿𓀠	qꜣj	
219	12-320	low	adjective	𓄤𓇋𓇋𓏏	nfryt	
220	12-330	top	adjective	𓃀𓏏𓈖𓁶	tbn	
221	12-340	bottom	adjective	𓄤𓇋𓇋𓏏	nfryt	
222	12-350	end	noun	𓄤𓇋𓇋𓏏	nfryt	
223	12-352	pointed	noun			
224	12-353	edge	noun			
225	12-360	side	noun	𓃭𓏤𓇋𓏏𓂢	rjt	
226	12-370	middle|center	noun	𓁷𓄣	ḥr jb	
227	12-40	before (a thing)	adposition	𓂋𓄂𓏏𓏤	r ḥꜣt	
228	12-41	front	noun			
229	12-410	right (side)	adjective	𓇋𓏠𓈖𓊿	jmn	
230	12-420	left (side)	adjective	𓋴𓅓𓎛𓏭𓂢	smḥ	
231	12-430	near	adjective	𓂋𓉔𓅱𓏥	r hꜣw	
