appear	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)
change	active	imperfect	cambiābam	cambiābās	cambiābat	cambiābāmus	cambiābātis	cambiābant
change	active	future	cambiābō	cambiābis	cambiābit	cambiābimus	cambiābitis	cambiābunt
change	active	perfect	cambiāvī	cambiāvistī	cambiāvit	cambiāvimus	cambiāvistis	cambiāvērunt, cambiāvēre
change	active	pluperfect	cambiāveram	cambiāverās	cambiāverat	cambiāverāmus	cambiāverātis	cambiāverant
change	active	future perfect	cambiāverō	cambiāveris	cambiāverit	cambiāverimus	cambiāveritis	cambiāverint
change	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
change	subjunctive	subjunctive	first	second	third	first	second	third
change	active	present	cambiem	cambiēs	cambiet	cambiēmus	cambiētis	cambient
change	active	imperfect	cambiārem	cambiārēs	cambiāret	cambiārēmus	cambiārētis	cambiārent
change	active	perfect	cambiāverim	cambiāverīs	cambiāverit	cambiāverīmus	cambiāverītis	cambiāverint
change	active	pluperfect	cambiāvissem	cambiāvissēs	cambiāvisset	cambiāvissēmus	cambiāvissētis	cambiāvissent
change	imperative	imperative	singular	singular	singular	plural	plural	plural
change	imperative	imperative	first	second	third	first	second	third
change	active	present	—	cambiā	—	—	cambiāte	—
change	active	future	—	cambiātō	cambiātō	—	cambiātōte	cambiantō
change	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
change	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
change	infinitives	infinitives	cambiāre	cambiāvisse	—	—	—	—
change	participles	participles	cambiāns	—	—	—	—	—
change	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
change	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
change	verbal nouns	verbal nouns	cambiandī	cambiandō	cambiandum	cambiandō	—	—
climb	   conjugation of ascendō (third conjugation)	   conjugation of ascendō (third conjugation)	   conjugation of ascendō (third conjugation)	   conjugation of ascendō (third conjugation)	   conjugation of ascendō (third conjugation)	   conjugation of ascendō (third conjugation)	   conjugation of ascendō (third conjugation)	   conjugation of ascendō (third conjugation)
climb	indicative	indicative	singular	singular	singular	plural	plural	plural
climb	indicative	indicative	first	second	third	first	second	third
climb	active	present	ascendō	ascendis	ascendit	ascendimus	ascenditis	ascendunt
climb	active	imperfect	ascendēbam	ascendēbās	ascendēbat	ascendēbāmus	ascendēbātis	ascendēbant
climb	active	future	ascendam	ascendēs	ascendet	ascendēmus	ascendētis	ascendent
climb	active	perfect	ascendī	ascendistī	ascendit	ascendimus	ascendistis	ascendērunt, ascendēre
climb	active	pluperfect	ascenderam	ascenderās	ascenderat	ascenderāmus	ascenderātis	ascenderant
climb	active	future perfect	ascenderō	ascenderis	ascenderit	ascenderimus	ascenderitis	ascenderint
climb	passive	present	ascendor	ascenderis, ascendere	ascenditur	ascendimur	ascendiminī	ascenduntur
climb	passive	imperfect	ascendēbar	ascendēbāris, ascendēbāre	ascendēbātur	ascendēbāmur	ascendēbāminī	ascendēbantur
climb	passive	future	ascendar	ascendēris, ascendēre	ascendētur	ascendēmur	ascendēminī	ascendentur
climb	passive	perfect	ascēnsus + present active indicative of sum	ascēnsus + present active indicative of sum	ascēnsus + present active indicative of sum	ascēnsus + present active indicative of sum	ascēnsus + present active indicative of sum	ascēnsus + present active indicative of sum
climb	passive	pluperfect	ascēnsus + imperfect active indicative of sum	ascēnsus + imperfect active indicative of sum	ascēnsus + imperfect active indicative of sum	ascēnsus + imperfect active indicative of sum	ascēnsus + imperfect active indicative of sum	ascēnsus + imperfect active indicative of sum
climb	passive	future perfect	ascēnsus + future active indicative of sum	ascēnsus + future active indicative of sum	ascēnsus + future active indicative of sum	ascēnsus + future active indicative of sum	ascēnsus + future active indicative of sum	ascēnsus + future active indicative of sum
climb	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
climb	subjunctive	subjunctive	first	second	third	first	second	third
climb	active	present	ascendam	ascendās	ascendat	ascendāmus	ascendātis	ascendant
climb	active	imperfect	ascenderem	ascenderēs	ascenderet	ascenderēmus	ascenderētis	ascenderent
climb	active	perfect	ascenderim	ascenderīs	ascenderit	ascenderīmus	ascenderītis	ascenderint
climb	active	pluperfect	ascendissem	ascendissēs	ascendisset	ascendissēmus	ascendissētis	ascendissent
climb	passive	present	ascendar	ascendāris, ascendāre	ascendātur	ascendāmur	ascendāminī	ascendantur
climb	passive	imperfect	ascenderer	ascenderēris, ascenderēre	ascenderētur	ascenderēmur	ascenderēminī	ascenderentur
climb	passive	perfect	ascēnsus + present active subjunctive of sum	ascēnsus + present active subjunctive of sum	ascēnsus + present active subjunctive of sum	ascēnsus + present active subjunctive of sum	ascēnsus + present active subjunctive of sum	ascēnsus + present active subjunctive of sum
climb	passive	pluperfect	ascēnsus + imperfect active subjunctive of sum	ascēnsus + imperfect active subjunctive of sum	ascēnsus + imperfect active subjunctive of sum	ascēnsus + imperfect active subjunctive of sum	ascēnsus + imperfect active subjunctive of sum	ascēnsus + imperfect active subjunctive of sum
climb	imperative	imperative	singular	singular	singular	plural	plural	plural
climb	imperative	imperative	first	second	third	first	second	third
climb	active	present	—	ascende	—	—	ascendite	—
climb	active	future	—	ascenditō	ascenditō	—	ascenditōte	ascenduntō
climb	passive	present	—	ascendere	—	—	ascendiminī	—
climb	passive	future	—	ascenditor	ascenditor	—	—	ascenduntor
climb	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
climb	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
climb	infinitives	infinitives	ascendere	ascendisse	ascēnsūrum esse	ascendī	ascēnsum esse	ascēnsum īrī
climb	participles	participles	ascendēns	—	ascēnsūrus	—	ascēnsus	ascendendus, ascendundus
climb	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
climb	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
climb	verbal nouns	verbal nouns	ascendendī	ascendendō	ascendendum	ascendendō	ascēnsum	ascēnsū
direct	   conjugation of dūcō (third conjugation, irregular short imperative)	   conjugation of dūcō (third conjugation, irregular short imperative)	   conjugation of dūcō (third conjugation, irregular short imperative)	   conjugation of dūcō (third conjugation, irregular short imperative)	   conjugation of dūcō (third conjugation, irregular short imperative)	   conjugation of dūcō (third conjugation, irregular short imperative)	   conjugation of dūcō (third conjugation, irregular short imperative)	   conjugation of dūcō (third conjugation, irregular short imperative)
direct	indicative	indicative	singular	singular	singular	plural	plural	plural
direct	indicative	indicative	first	second	third	first	second	third
direct	active	present	dūcō	dūcis	dūcit	dūcimus	dūcitis	dūcunt
direct	active	imperfect	dūcēbam	dūcēbās	dūcēbat	dūcēbāmus	dūcēbātis	dūcēbant
direct	active	future	dūcam	dūcēs	dūcet	dūcēmus	dūcētis	dūcent
direct	active	perfect	dūxī	dūxistī	dūxit	dūximus	dūxistis	dūxērunt, dūxēre
direct	active	pluperfect	dūxeram	dūxerās	dūxerat	dūxerāmus	dūxerātis	dūxerant
direct	active	future perfect	dūxerō	dūxeris	dūxerit	dūxerimus	dūxeritis	dūxerint
direct	passive	present	dūcor	dūceris, dūcere	dūcitur	dūcimur	dūciminī	dūcuntur
direct	passive	imperfect	dūcēbar	dūcēbāris, dūcēbāre	dūcēbātur	dūcēbāmur	dūcēbāminī	dūcēbantur
direct	passive	future	dūcar	dūcēris, dūcēre	dūcētur	dūcēmur	dūcēminī	dūcentur
direct	passive	perfect	ductus + present active indicative of sum	ductus + present active indicative of sum	ductus + present active indicative of sum	ductus + present active indicative of sum	ductus + present active indicative of sum	ductus + present active indicative of sum
direct	passive	pluperfect	ductus + imperfect active indicative of sum	ductus + imperfect active indicative of sum	ductus + imperfect active indicative of sum	ductus + imperfect active indicative of sum	ductus + imperfect active indicative of sum	ductus + imperfect active indicative of sum
direct	passive	future perfect	ductus + future active indicative of sum	ductus + future active indicative of sum	ductus + future active indicative of sum	ductus + future active indicative of sum	ductus + future active indicative of sum	ductus + future active indicative of sum
direct	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
direct	subjunctive	subjunctive	first	second	third	first	second	third
direct	active	present	dūcam	dūcās	dūcat	dūcāmus	dūcātis	dūcant
direct	active	imperfect	dūcerem	dūcerēs	dūceret	dūcerēmus	dūcerētis	dūcerent
direct	active	perfect	dūxerim	dūxerīs	dūxerit	dūxerīmus	dūxerītis	dūxerint
direct	active	pluperfect	dūxissem	dūxissēs	dūxisset	dūxissēmus	dūxissētis	dūxissent
direct	passive	present	dūcar	dūcāris, dūcāre	dūcātur	dūcāmur	dūcāminī	dūcantur
direct	passive	imperfect	dūcerer	dūcerēris, dūcerēre	dūcerētur	dūcerēmur	dūcerēminī	dūcerentur
direct	passive	perfect	ductus + present active subjunctive of sum	ductus + present active subjunctive of sum	ductus + present active subjunctive of sum	ductus + present active subjunctive of sum	ductus + present active subjunctive of sum	ductus + present active subjunctive of sum
direct	passive	pluperfect	ductus + imperfect active subjunctive of sum	ductus + imperfect active subjunctive of sum	ductus + imperfect active subjunctive of sum	ductus + imperfect active subjunctive of sum	ductus + imperfect active subjunctive of sum	ductus + imperfect active subjunctive of sum
direct	imperative	imperative	singular	singular	singular	plural	plural	plural
direct	imperative	imperative	first	second	third	first	second	third
direct	active	present	—	dūc, dūce	—	—	dūcite	—
direct	active	future	—	dūcitō	dūcitō	—	dūcitōte	dūcuntō
direct	passive	present	—	dūcere	—	—	dūciminī	—
direct	passive	future	—	dūcitor	dūcitor	—	—	dūcuntor
direct	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
direct	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
direct	infinitives	infinitives	dūcere	dūxisse	ductūrum esse	dūcī	ductum esse	ductum īrī
direct	participles	participles	dūcēns	—	ductūrus	—	ductus	dūcendus, dūcundus
direct	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
direct	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
direct	verbal nouns	verbal nouns	dūcendī	dūcendō	dūcendum	dūcendō	ductum	ductū
displease	   conjugation of displiceō (second conjugation)	   conjugation of displiceō (second conjugation)	   conjugation of displiceō (second conjugation)	   conjugation of displiceō (second conjugation)	   conjugation of displiceō (second conjugation)	   conjugation of displiceō (second conjugation)	   conjugation of displiceō (second conjugation)	   conjugation of displiceō (second conjugation)
displease	indicative	indicative	singular	singular	singular	plural	plural	plural
displease	indicative	indicative	first	second	third	first	second	third
displease	active	present	displiceō	displicēs	displicet	displicēmus	displicētis	displicent
displease	active	imperfect	displicēbam	displicēbās	displicēbat	displicēbāmus	displicēbātis	displicēbant
displease	active	future	displicēbō	displicēbis	displicēbit	displicēbimus	displicēbitis	displicēbunt
displease	active	perfect	displicuī	displicuistī	displicuit	displicuimus	displicuistis	displicuērunt, displicuēre
displease	active	pluperfect	displicueram	displicuerās	displicuerat	displicuerāmus	displicuerātis	displicuerant
displease	active	future perfect	displicuerō	displicueris	displicuerit	displicuerimus	displicueritis	displicuerint
displease	passive	present	displiceor	displicēris, displicēre	displicētur	displicēmur	displicēminī	displicentur
displease	passive	imperfect	displicēbar	displicēbāris, displicēbāre	displicēbātur	displicēbāmur	displicēbāminī	displicēbantur
displease	passive	future	displicēbor	displicēberis, displicēbere	displicēbitur	displicēbimur	displicēbiminī	displicēbuntur
displease	passive	perfect	displicitus + present active indicative of sum	displicitus + present active indicative of sum	displicitus + present active indicative of sum	displicitus + present active indicative of sum	displicitus + present active indicative of sum	displicitus + present active indicative of sum
displease	passive	pluperfect	displicitus + imperfect active indicative of sum	displicitus + imperfect active indicative of sum	displicitus + imperfect active indicative of sum	displicitus + imperfect active indicative of sum	displicitus + imperfect active indicative of sum	displicitus + imperfect active indicative of sum
displease	passive	future perfect	displicitus + future active indicative of sum	displicitus + future active indicative of sum	displicitus + future active indicative of sum	displicitus + future active indicative of sum	displicitus + future active indicative of sum	displicitus + future active indicative of sum
displease	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
displease	subjunctive	subjunctive	first	second	third	first	second	third
displease	active	present	displiceam	displiceās	displiceat	displiceāmus	displiceātis	displiceant
displease	active	imperfect	displicērem	displicērēs	displicēret	displicērēmus	displicērētis	displicērent
displease	active	perfect	displicuerim	displicuerīs	displicuerit	displicuerīmus	displicuerītis	displicuerint
displease	active	pluperfect	displicuissem	displicuissēs	displicuisset	displicuissēmus	displicuissētis	displicuissent
displease	passive	present	displicear	displiceāris, displiceāre	displiceātur	displiceāmur	displiceāminī	displiceantur
displease	passive	imperfect	displicērer	displicērēris, displicērēre	displicērētur	displicērēmur	displicērēminī	displicērentur
displease	passive	perfect	displicitus + present active subjunctive of sum	displicitus + present active subjunctive of sum	displicitus + present active subjunctive of sum	displicitus + present active subjunctive of sum	displicitus + present active subjunctive of sum	displicitus + present active subjunctive of sum
displease	passive	pluperfect	displicitus + imperfect active subjunctive of sum	displicitus + imperfect active subjunctive of sum	displicitus + imperfect active subjunctive of sum	displicitus + imperfect active subjunctive of sum	displicitus + imperfect active subjunctive of sum	displicitus + imperfect active subjunctive of sum
displease	imperative	imperative	singular	singular	singular	plural	plural	plural
displease	imperative	imperative	first	second	third	first	second	third
displease	active	present	—	displicē	—	—	displicēte	—
displease	active	future	—	displicētō	displicētō	—	displicētōte	displicentō
displease	passive	present	—	displicēre	—	—	displicēminī	—
displease	passive	future	—	displicētor	displicētor	—	—	displicentor
displease	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
displease	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
displease	infinitives	infinitives	displicēre	displicuisse	displicitūrum esse	displicērī	displicitum esse	displicitum īrī
displease	participles	participles	displicēns	—	displicitūrus	—	displicitus	displicendus
displease	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
displease	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
displease	verbal nouns	verbal nouns	displicendī	displicendō	displicendum	displicendō	displicitum	displicitū
eat	   conjugation of edō (third conjugation, some irregular alternative forms)	   conjugation of edō (third conjugation, some irregular alternative forms)	   conjugation of edō (third conjugation, some irregular alternative forms)	   conjugation of edō (third conjugation, some irregular alternative forms)	   conjugation of edō (third conjugation, some irregular alternative forms)	   conjugation of edō (third conjugation, some irregular alternative forms)	   conjugation of edō (third conjugation, some irregular alternative forms)	   conjugation of edō (third conjugation, some irregular alternative forms)
eat	indicative	indicative	singular	singular	singular	plural	plural	plural
eat	indicative	indicative	first	second	third	first	second	third
eat	active	present	edō	edis, ēs	edit, ēst	edimus	editis, ēstis	edunt
eat	active	imperfect	edēbam	edēbās	edēbat	edēbāmus	edēbātis	edēbant
eat	active	future	edam	edēs	edet	edēmus	edētis	edent
eat	active	perfect	ēdī	ēdistī	ēdit	ēdimus	ēdistis	ēdērunt, ēdēre
eat	active	pluperfect	ēderam	ēderās	ēderat	ēderāmus	ēderātis	ēderant
eat	active	future perfect	ēderō	ēderis	ēderit	ēderimus	ēderitis	ēderint
eat	passive	present	edor	ederis, edere	editur, ēstur	edimur	ediminī	eduntur
eat	passive	imperfect	edēbar	edēbāris, edēbāre	edēbātur	edēbāmur	edēbāminī	edēbantur
eat	passive	future	edar	edēris, edēre	edētur	edēmur	edēminī	edentur
eat	passive	perfect	ēsus + present active indicative of sum	ēsus + present active indicative of sum	ēsus + present active indicative of sum	ēsus + present active indicative of sum	ēsus + present active indicative of sum	ēsus + present active indicative of sum
eat	passive	pluperfect	ēsus + imperfect active indicative of sum	ēsus + imperfect active indicative of sum	ēsus + imperfect active indicative of sum	ēsus + imperfect active indicative of sum	ēsus + imperfect active indicative of sum	ēsus + imperfect active indicative of sum
eat	passive	future perfect	ēsus + future active indicative of sum	ēsus + future active indicative of sum	ēsus + future active indicative of sum	ēsus + future active indicative of sum	ēsus + future active indicative of sum	ēsus + future active indicative of sum
eat	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
eat	subjunctive	subjunctive	first	second	third	first	second	third
eat	active	present	edam, edim	edās, edīs	edat, edit	edāmus, edīmus	edātis, edītis	edant, edint
eat	active	imperfect	ederem, ēssem	ederēs, ēssēs	ederet, ēsset	ederēmus, ēssēmus	ederētis, ēssētis	ederent, ēssent
eat	active	perfect	ēderim	ēderīs	ēderit	ēderīmus	ēderītis	ēderint
eat	active	pluperfect	ēdissem	ēdissēs	ēdisset	ēdissēmus	ēdissētis	ēdissent
eat	passive	present	edar	edāris, edāre	edātur	edāmur	edāminī	edantur
eat	passive	imperfect	ederer	ederēris, ederēre	ederētur	ederēmur	ederēminī	ederentur
eat	passive	perfect	ēsus + present active subjunctive of sum	ēsus + present active subjunctive of sum	ēsus + present active subjunctive of sum	ēsus + present active subjunctive of sum	ēsus + present active subjunctive of sum	ēsus + present active subjunctive of sum
eat	passive	pluperfect	ēsus + imperfect active subjunctive of sum	ēsus + imperfect active subjunctive of sum	ēsus + imperfect active subjunctive of sum	ēsus + imperfect active subjunctive of sum	ēsus + imperfect active subjunctive of sum	ēsus + imperfect active subjunctive of sum
eat	imperative	imperative	singular	singular	singular	plural	plural	plural
eat	imperative	imperative	first	second	third	first	second	third
eat	active	present	—	ede, ēs	—	—	edite, ēste	—
eat	active	future	—	editō, ēstō	editō, ēstō	—	editōte, ēstōte	eduntō
eat	passive	present	—	edere	—	—	ediminī	—
eat	passive	future	—	editor	editor	—	—	eduntor
eat	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
eat	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
eat	infinitives	infinitives	edere, ēsse	ēdisse	ēsūrum esse	edī	ēsum esse	ēsum īrī
eat	participles	participles	edēns	—	ēsūrus	—	ēsus	edendus, edundus
eat	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
eat	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
eat	verbal nouns	verbal nouns	edendī	edendō	edendum	edendō	ēsum	ēsū
eat	   conjugation of ēdō (third conjugation)	   conjugation of ēdō (third conjugation)	   conjugation of ēdō (third conjugation)	   conjugation of ēdō (third conjugation)	   conjugation of ēdō (third conjugation)	   conjugation of ēdō (third conjugation)	   conjugation of ēdō (third conjugation)	   conjugation of ēdō (third conjugation)
eat	indicative	indicative	singular	singular	singular	plural	plural	plural
eat	indicative	indicative	first	second	third	first	second	third
eat	active	present	ēdō	ēdis	ēdit	ēdimus	ēditis	ēdunt
