*	*	*	*	*	masculine	masculine	feminine	feminine	#	middle
personal	predicand	enclitic	singular	3	𓇓𓅱	sw	𓋴𓏭/𓊃𓏭	sy	#	"""dependant"""
personal	predicand	enclitic	plural	1	𓈖𓏥	n	𓈖𓏥	n	#	"""dependant"""
personal	predicand	enclitic	plural	2	𓍿𓈖𓏥	ṯn	𓍿𓈖𓏥	ṯn	#	"""dependant"""
personal	predicand	enclitic	plural	3	𓋴 𓈖𓏥/𓊃𓈖𓏥	sn	𓋴 𓈖𓏥/𓊃𓈖𓏥	sn	"#	"	"""dependant"""
demonstrative	proximal		singular		𓊪𓈖 	pn	𓏏𓈖	tn	#	
demonstrative	proximal		plural		𓇑𓇑𓈖	nn n(y)	𓇑𓇑𓈖	nn n(y)	#	
demonstrative	distal		singular		𓊪𓆑(𓄿)	pfꜣ	𓏏𓆑(𓄿)	tfꜣ	#	
demonstrative	distal		plural		𓈖𓆑(𓄿)𓈖	nf(ꜣ) n(y)	𓈖𓆑(𓄿)𓈖	nf(ꜣ) n(y)	#	
demonstrative	vocative		singular		𓊪𓅱	pw	𓏏𓅱	tw	#	
demonstrative	vocative		plural		𓈖𓅱	nw	𓈖𓅱	nw	#	
demonstrative	anaphoric		singular		𓊪𓄿	pꜣ	𓏏𓄿	tꜣ	#	"translated as ""the"""
demonstrative	anaphoric		plural		𓈖𓄿𓈖	nꜣ n(y)	𓈖𓄿𓈖	nꜣ n(y)	#	"translated as ""the"""
